Time,Brooklyn,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:19.0,Shooting foul by L. Kornet (drawn by D. Sharpe),64-117, ,,4,117,64,53,2381.0
8:19.0,D. Sharpe makes free throw 1 of 2,65-117, ,,4,117,65,52,2381.0
8:19.0, ,65-117,J. Walsh enters the game for L. Kornet,,4,117,65,52,2381.0
8:19.0,D. Sharpe makes free throw 2 of 2,66-117, ,,4,117,66,51,2381.0
8:00.0, ,66-117,Turnover by J. Walsh (traveling),,4,117,66,51,2400.0
8:00.0,N. Clowney enters the game for D. Sharpe,66-117, ,,4,117,66,51,2400.0
7:52.0, ,66-117,Violation by Team (kicked ball),,4,117,66,51,2408.0
7:41.0,K. Johnson makes 2-pt jump shot from 20 ft (assist by J. Wilson),68-117, ,,4,117,68,49,2419.0
7:30.0, ,68-119,P. Pritchard makes 2-pt layup from 2 ft (assist by O. Brissett),,4,119,68,51,2430.0
7:13.0,K. Johnson misses 3-pt jump shot from 26 ft,68-119, ,,4,119,68,51,2447.0
7:11.0, ,68-119,Defensive rebound by J. Walsh,,4,119,68,51,2449.0
6:58.0, ,68-119,S. Hauser misses 3-pt jump shot from 26 ft,,4,119,68,51,2462.0
6:58.0, ,68-119,Offensive rebound by Team,,4,119,68,51,2462.0
6:58.0, ,68-119,Boston full timeout,,4,119,68,51,2462.0
6:58.0, ,68-119,Instant Replay (Challenge: Ruling Stands),,4,119,68,51,2462.0
6:58.0, ,68-119,N. Queta enters the game for S. Hauser,,4,119,68,51,2462.0
6:58.0,Jump ball: O. Brissett vs. N. Clowney (P. Pritchard gains possession),68-119,,,4,119,68,51,2462.0
6:38.0, ,68-119,S. Mykhailiuk misses 2-pt dunk from 2 ft,,4,119,68,51,2482.0
6:34.0, ,68-119,Offensive rebound by J. Walsh,,4,119,68,51,2486.0
6:31.0, ,68-121,N. Queta makes 2-pt jump shot from 11 ft (assist by O. Brissett),,4,121,68,53,2489.0
6:15.0,T. Watford makes 2-pt jump shot from 13 ft,70-121, ,,4,121,70,51,2505.0
6:15.0,Shooting foul by S. Mykhailiuk (drawn by T. Watford),70-121, ,,4,121,70,51,2505.0
6:15.0,T. Watford makes free throw 1 of 1,71-121, ,,4,121,71,50,2505.0
6:03.0, ,71-123,O. Brissett makes 2-pt jump shot from 13 ft,,4,123,71,52,2517.0
6:03.0, ,71-123,Shooting foul by T. Watford (drawn by O. Brissett),,4,123,71,52,2517.0
6:03.0, ,71-124,O. Brissett makes free throw 1 of 1,,4,124,71,53,2517.0
5:46.0,K. Bates-Diop misses 2-pt layup from 7 ft,71-124, ,,4,124,71,53,2534.0
5:42.0, ,71-124,Defensive rebound by O. Brissett,,4,124,71,53,2538.0
5:38.0, ,71-127,P. Pritchard makes 3-pt jump shot from 26 ft (assist by O. Brissett),,4,127,71,56,2542.0
5:21.0,K. Johnson misses 3-pt jump shot from 26 ft,71-127, ,,4,127,71,56,2559.0
5:18.0, ,71-127,Defensive rebound by N. Queta,,4,127,71,56,2562.0
5:05.0, ,71-127,J. Walsh misses 3-pt jump shot from 24 ft,,4,127,71,56,2575.0
5:00.0,Defensive rebound by T. Watford,71-127, ,,4,127,71,56,2580.0
4:53.0,J. Wilson makes 2-pt jump shot from 10 ft,73-127, ,,4,127,73,54,2587.0
4:38.0, ,73-127,O. Brissett misses 3-pt jump shot from 25 ft,,4,127,73,54,2602.0
4:37.0,Defensive rebound by K. Johnson,73-127, ,,4,127,73,54,2603.0
4:29.0,T. Watford makes 3-pt jump shot from 26 ft (assist by K. Johnson),76-127, ,,4,127,76,51,2611.0
4:18.0, ,76-130,P. Pritchard makes 3-pt jump shot from 29 ft (assist by O. Brissett),,4,130,76,54,2622.0
3:52.0,Shooting foul by N. Queta (drawn by K. Johnson),76-130, ,,4,130,76,54,2648.0
3:52.0,K. Johnson makes free throw 1 of 2,77-130, ,,4,130,77,53,2648.0
3:52.0,K. Johnson makes free throw 2 of 2,78-130, ,,4,130,78,52,2648.0
3:40.0, ,78-130,O. Brissett misses 3-pt jump shot from 26 ft,,4,130,78,52,2660.0
3:36.0,Defensive rebound by K. Bates-Diop,78-130, ,,4,130,78,52,2664.0
3:28.0,Turnover by K. Bates-Diop (lost ball; steal by O. Brissett),78-130, ,,4,130,78,52,2672.0
3:24.0, ,78-132,O. Brissett makes 2-pt dunk from 1 ft,,4,132,78,54,2676.0
3:03.0,Turnover by K. Johnson (traveling),78-132, ,,4,132,78,54,2697.0
2:50.0, ,78-132,Turnover by S. Mykhailiuk (bad pass; steal by K. Bates-Diop),,4,132,78,54,2710.0
2:44.0,K. Bates-Diop makes 3-pt jump shot from 26 ft (assist by N. Clowney),81-132, ,,4,132,81,51,2716.0
2:29.0, ,81-132,N. Queta misses 2-pt hook shot from 6 ft,,4,132,81,51,2731.0
2:27.0,Defensive rebound by N. Clowney,81-132, ,,4,132,81,51,2733.0
2:16.0,Personal foul by P. Pritchard (drawn by K. Johnson),81-132, ,,4,132,81,51,2744.0
2:13.0,K. Johnson makes 3-pt jump shot from 25 ft (assist by N. Clowney),84-132, ,,4,132,84,48,2747.0
1:48.0, ,84-134,P. Pritchard makes 2-pt jump shot from 17 ft,,4,134,84,50,2772.0
1:22.0,J. Wilson misses 2-pt jump shot from 13 ft,84-134, ,,4,134,84,50,2798.0
1:19.0, ,84-134,Defensive rebound by J. Walsh,,4,134,84,50,2801.0
1:08.0, ,84-134,P. Pritchard misses 2-pt layup from 3 ft,,4,134,84,50,2812.0
1:08.0, ,84-134,Offensive rebound by P. Pritchard,,4,134,84,50,2812.0
1:00.0, ,84-136,N. Queta makes 2-pt dunk from 1 ft (assist by P. Pritchard),,4,136,84,52,2820.0
0:54.0,Shooting foul by O. Brissett (drawn by K. Johnson),84-136, ,,4,136,84,52,2826.0
0:54.0,K. Johnson makes free throw 1 of 2,85-136, ,,4,136,85,51,2826.0
0:54.0,K. Johnson makes free throw 2 of 2,86-136, ,,4,136,86,50,2826.0
0:30.0, ,86-136,Turnover by Team (shot clock),,4,136,86,50,2850.0
0:25.0,K. Johnson misses 2-pt jump shot from 19 ft,86-136, ,,4,136,86,50,2855.0
0:22.0, ,86-136,Defensive rebound by P. Pritchard,,4,136,86,50,2858.0
0:00.0, ,86-136,Turnover by Team (shot clock),,4,136,86,50,2880.0
0:00.0,End of 4th quarter,86-136,,,4,136,86,50,2880.0
