Time,New Orleans,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:04.0,Shooting foul by D. White (drawn by C. McCollum),21-11, ,,1,11,21,-10,356.0
6:04.0,T. Murphy enters the game for Z. Williamson,21-11, ,,1,11,21,-10,356.0
6:04.0, ,21-11,S. Hauser enters the game for J. Holiday,,1,11,21,-10,356.0
6:04.0, ,21-11,P. Pritchard enters the game for J. Tatum,,1,11,21,-10,356.0
6:04.0,C. McCollum makes free throw 1 of 1,22-11, ,,1,11,22,-11,356.0
5:51.0, ,22-11,D. White misses 3-pt jump shot from 27 ft,,1,11,22,-11,369.0
5:50.0,Defensive rebound by Team,22-11, ,,1,11,22,-11,370.0
5:50.0, ,22-11,Loose ball foul by P. Pritchard (drawn by B. Ingram),,1,11,22,-11,370.0
5:38.0,T. Murphy misses 2-pt layup from 8 ft (block by J. Brown),22-11, ,,1,11,22,-11,382.0
5:36.0, ,22-11,Defensive rebound by J. Brown,,1,11,22,-11,384.0
5:30.0, ,22-14,P. Pritchard makes 3-pt jump shot from 24 ft (assist by S. Hauser),,1,14,22,-8,390.0
5:17.0,B. Ingram misses 2-pt jump shot from 17 ft,22-14, ,,1,14,22,-8,403.0
5:15.0, ,22-14,Defensive rebound by A. Horford,,1,14,22,-8,405.0
5:05.0, ,22-14,J. Brown misses 3-pt jump shot from 26 ft,,1,14,22,-8,415.0
5:03.0,Defensive rebound by J. Valančiūnas,22-14, ,,1,14,22,-8,417.0
4:58.0,T. Murphy misses 3-pt jump shot from 26 ft,22-14, ,,1,14,22,-8,422.0
4:55.0, ,22-14,Defensive rebound by A. Horford,,1,14,22,-8,425.0
4:49.0, ,22-16,J. Brown makes 2-pt dunk from 2 ft (assist by D. White),,1,16,22,-6,431.0
4:36.0,C. McCollum makes 3-pt jump shot from 27 ft,25-16, ,,1,16,25,-9,444.0
4:14.0, ,25-16,P. Pritchard misses 3-pt jump shot from 25 ft,,1,16,25,-9,466.0
