Time,New Orleans,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:25.0,N. Marshall enters the game for H. Jones,73-74, ,,3,74,73,1,1895.0
4:25.0,J. Valančiūnas enters the game for L. Nance,73-74, ,,3,74,73,1,1895.0
4:19.0, ,73-76,S. Hauser makes 2-pt dunk from 1 ft (assist by N. Queta),,3,76,73,3,1901.0
3:56.0,T. Murphy makes 3-pt jump shot from 26 ft (assist by B. Ingram),76-76, ,Tie,3,76,76,0,1924.0
3:49.0, ,76-76,S. Hauser misses 3-pt jump shot from 26 ft,,3,76,76,0,1931.0
3:46.0, ,76-76,Offensive rebound by J. Holiday,,3,76,76,0,1934.0
3:36.0, ,76-76,J. Holiday misses 2-pt layup from 4 ft (block by C. McCollum),,3,76,76,0,1944.0
3:33.0,Defensive rebound by T. Murphy,76-76, ,,3,76,76,0,1947.0
3:25.0,J. Valančiūnas misses 2-pt layup from 2 ft (block by N. Queta),76-76, ,,3,76,76,0,1955.0
3:24.0,Offensive rebound by J. Valančiūnas,76-76, ,,3,76,76,0,1956.0
3:23.0,Shooting foul by N. Queta (drawn by J. Valančiūnas),76-76, ,,3,76,76,0,1957.0
3:23.0,J. Valančiūnas makes free throw 1 of 2,77-76, ,Lead change,3,76,77,-1,1957.0
3:23.0,D. Daniels enters the game for C. McCollum,77-76, ,,3,76,77,-1,1957.0
3:23.0,J. Valančiūnas makes free throw 2 of 2,78-76, ,,3,76,78,-2,1957.0
3:11.0, ,78-79,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Brown),Lead change,3,79,78,1,1969.0
2:41.0,J. Valančiūnas misses 2-pt jump shot from 17 ft,78-79, ,,3,79,78,1,1999.0
2:39.0,Offensive rebound by T. Murphy,78-79, ,,3,79,78,1,2001.0
2:39.0,T. Murphy makes 2-pt layup at rim,80-79, ,Lead change,3,79,80,-1,2001.0
2:30.0, ,80-79,J. Holiday misses 3-pt jump shot from 26 ft,,3,79,80,-1,2010.0
2:29.0,Defensive rebound by N. Marshall,80-79, ,,3,79,80,-1,2011.0
2:19.0,B. Ingram makes 2-pt jump shot from 19 ft (assist by N. Marshall),82-79, ,,3,79,82,-3,2021.0
2:03.0, ,82-79,J. Brown misses 3-pt jump shot from 27 ft,,3,79,82,-3,2037.0
2:02.0,Defensive rebound by J. Valančiūnas,82-79, ,,3,79,82,-3,2038.0
1:46.0,T. Murphy misses 3-pt jump shot from 27 ft,82-79, ,,3,79,82,-3,2054.0
1:45.0,Offensive rebound by D. Daniels,82-79, ,,3,79,82,-3,2055.0
1:35.0,Shooting foul by J. Brown (drawn by J. Valančiūnas),82-79, ,,3,79,82,-3,2065.0
1:35.0,J. Valančiūnas makes free throw 1 of 2,83-79, ,,3,79,83,-4,2065.0
1:35.0, ,83-79,O. Brissett enters the game for N. Queta,,3,79,83,-4,2065.0
1:35.0,J. Valančiūnas misses free throw 2 of 2,83-79, ,,3,79,83,-4,2065.0
1:35.0, ,83-79,Defensive rebound by J. Brown,,3,79,83,-4,2065.0
1:19.0, ,83-79,J. Brown misses 2-pt layup from 7 ft (block by D. Daniels),,3,79,83,-4,2081.0
1:18.0,Defensive rebound by N. Marshall,83-79, ,,3,79,83,-4,2082.0
1:15.0,B. Ingram makes 2-pt dunk from 2 ft (assist by N. Marshall),85-79, ,,3,79,85,-6,2085.0
0:55.0, ,85-79,P. Pritchard misses 3-pt jump shot from 25 ft,,3,79,85,-6,2105.0
0:54.0,Defensive rebound by Team,85-79, ,,3,79,85,-6,2106.0
0:54.0,Z. Williamson enters the game for J. Valančiūnas,85-79, ,,3,79,85,-6,2106.0
0:33.0,N. Marshall makes 2-pt jump shot from 10 ft (assist by B. Ingram),87-79, ,,3,79,87,-8,2127.0
0:24.0, ,87-81,J. Holiday makes 2-pt layup from 7 ft (assist by J. Brown),,3,81,87,-6,2136.0
0:01.0,B. Ingram misses 2-pt jump shot from 21 ft,87-81, ,,3,81,87,-6,2159.0
0:01.0,Offensive rebound by Team,87-81, ,,3,81,87,-6,2159.0
0:00.0,End of 3rd quarter,87-81,,,3,81,87,-6,2160.0
12:00.0,Start of 4th quarter,87-81,,,4,81,87,-6,2160.0
11:39.0,Jump ball: S. Hauser vs. D. Daniels (O. Brissett gains possession),87-81,,,4,81,87,-6,2181.0
11:39.0,Turnover by T. Murphy (lost ball; steal by S. Hauser),87-81, ,,4,81,87,-6,2181.0
11:17.0, ,87-81,D. White misses 3-pt jump shot from 24 ft,,4,81,87,-6,2203.0
11:14.0,Defensive rebound by T. Murphy,87-81, ,,4,81,87,-6,2206.0
10:59.0,Z. Williamson makes 2-pt jump shot from 14 ft,89-81, ,,4,81,89,-8,2221.0
10:31.0, ,89-81,J. Tatum misses 2-pt layup from 5 ft,,4,81,89,-8,2249.0
10:29.0,Defensive rebound by Z. Williamson,89-81, ,,4,81,89,-8,2251.0
10:12.0,Z. Williamson makes 2-pt layup from 2 ft,91-81, ,,4,81,91,-10,2268.0
10:12.0,Shooting foul by O. Brissett (drawn by Z. Williamson),91-81, ,,4,81,91,-10,2268.0
10:12.0,Z. Williamson makes free throw 1 of 1,92-81, ,,4,81,92,-11,2268.0
9:55.0, ,92-84,J. Tatum makes 3-pt jump shot from 27 ft (assist by D. White),,4,84,92,-8,2285.0
9:36.0,Z. Williamson misses 2-pt layup from 4 ft (block by A. Horford),92-84, ,,4,84,92,-8,2304.0
9:35.0, ,92-84,Defensive rebound by J. Tatum,,4,84,92,-8,2305.0
9:15.0, ,92-86,J. Tatum makes 2-pt layup from 3 ft,,4,86,92,-6,2325.0
8:59.0,C. McCollum makes 2-pt jump shot from 8 ft (assist by Z. Williamson),94-86, ,,4,86,94,-8,2341.0
8:36.0, ,94-86,Turnover by J. Tatum (bad pass; steal by D. Daniels),,4,86,94,-8,2364.0
8:30.0,C. McCollum misses 2-pt jump shot from 13 ft,94-86, ,,4,86,94,-8,2370.0
8:28.0, ,94-86,Defensive rebound by A. Horford,,4,86,94,-8,2372.0
8:22.0, ,94-86,J. Tatum misses 2-pt layup from 5 ft (block by D. Daniels),,4,86,94,-8,2378.0
8:21.0,Defensive rebound by D. Daniels,94-86, ,,4,86,94,-8,2379.0
8:11.0,N. Marshall misses 3-pt jump shot from 24 ft,94-86, ,,4,86,94,-8,2389.0
8:10.0, ,94-86,Defensive rebound by O. Brissett,,4,86,94,-8,2390.0
8:08.0, ,94-86,Boston full timeout,,4,86,94,-8,2392.0
8:08.0,L. Nance enters the game for N. Marshall,94-86, ,,4,86,94,-8,2392.0
8:08.0, ,94-86,J. Brown enters the game for O. Brissett,,4,86,94,-8,2392.0
7:54.0, ,94-86,A. Horford misses 2-pt jump shot from 15 ft,,4,86,94,-8,2406.0
7:52.0, ,94-86,Offensive rebound by Team,,4,86,94,-8,2408.0
7:50.0, ,94-89,S. Hauser makes 3-pt jump shot from 26 ft (assist by J. Tatum),,4,89,94,-5,2410.0
7:24.0,Z. Williamson misses 3-pt jump shot from 26 ft,94-89, ,,4,89,94,-5,2436.0
7:22.0,Offensive rebound by D. Daniels,94-89, ,,4,89,94,-5,2438.0
7:15.0,Z. Williamson misses 2-pt layup from 2 ft,94-89, ,,4,89,94,-5,2445.0
7:14.0, ,94-89,Defensive rebound by J. Brown,,4,89,94,-5,2446.0
7:08.0, ,94-91,D. White makes 2-pt jump shot from 8 ft (assist by J. Brown),,4,91,94,-3,2452.0
6:40.0,T. Murphy misses 3-pt jump shot from 30 ft,94-91, ,,4,91,94,-3,2480.0
6:39.0, ,94-91,Defensive rebound by J. Brown,,4,91,94,-3,2481.0
6:22.0, ,94-94,D. White makes 3-pt jump shot from 27 ft (assist by J. Brown),Tie,4,94,94,0,2498.0
6:14.0,New Orleans full timeout,94-94, ,,4,94,94,0,2506.0
6:14.0,B. Ingram enters the game for C. McCollum,94-94, ,,4,94,94,0,2506.0
6:14.0,H. Jones enters the game for Z. Williamson,94-94, ,,4,94,94,0,2506.0
5:57.0,B. Ingram makes 2-pt jump shot from 13 ft,96-94, ,,4,94,96,-2,2523.0
5:46.0, ,96-96,J. Brown makes 2-pt layup from 2 ft,Tie,4,96,96,0,2534.0
5:25.0,B. Ingram makes 2-pt jump shot from 11 ft,98-96, ,,4,96,98,-2,2555.0
5:05.0, ,98-99,D. White makes 3-pt jump shot from 26 ft,Lead change,4,99,98,1,2575.0
4:35.0,Turnover by H. Jones (lost ball; steal by D. White),98-99, ,,4,99,98,1,2605.0
4:32.0, ,98-101,J. Tatum makes 2-pt dunk from 1 ft,,4,101,98,3,2608.0
4:10.0,B. Ingram misses 3-pt jump shot from 26 ft,98-101, ,,4,101,98,3,2630.0
4:08.0, ,98-101,Defensive rebound by J. Brown,,4,101,98,3,2632.0
4:06.0, ,98-101,Shooting foul by T. Murphy (drawn by J. Tatum),,4,101,98,3,2634.0
4:06.0, ,98-101,J. Tatum misses free throw 1 of 2,,4,101,98,3,2634.0
4:06.0, ,98-101,Offensive rebound by Team,,4,101,98,3,2634.0
4:06.0,C. McCollum enters the game for D. Daniels,98-101, ,,4,101,98,3,2634.0
4:06.0,Z. Williamson enters the game for L. Nance,98-101, ,,4,101,98,3,2634.0
4:06.0, ,98-101,J. Holiday enters the game for S. Hauser,,4,101,98,3,2634.0
4:06.0, ,98-102,J. Tatum makes free throw 2 of 2,,4,102,98,4,2634.0
3:56.0,Turnover by Z. Williamson (bad pass),98-102, ,,4,102,98,4,2644.0
3:40.0, ,98-104,D. White makes 2-pt layup from 5 ft,,4,104,98,6,2660.0
3:28.0,T. Murphy makes 3-pt jump shot from 24 ft (assist by C. McCollum),101-104, ,,4,104,101,3,2672.0
3:05.0, ,101-107,D. White makes 3-pt jump shot from 28 ft (assist by J. Tatum),,4,107,101,6,2695.0
2:51.0,Z. Williamson makes 2-pt layup from 2 ft,103-107, ,,4,107,103,4,2709.0
2:23.0, ,103-107,J. Tatum misses 3-pt jump shot from 27 ft,,4,107,103,4,2737.0
2:21.0, ,103-107,Offensive rebound by A. Horford,,4,107,103,4,2739.0
2:19.0, ,103-109,A. Horford makes 2-pt hook shot from 5 ft,,4,109,103,6,2741.0
2:04.0, ,103-109,Violation by Team (kicked ball),,4,109,103,6,2756.0
1:55.0,Turnover by Z. Williamson (lost ball; steal by J. Tatum),103-109, ,,4,109,103,6,2765.0
1:42.0, ,103-111,J. Tatum makes 2-pt dunk from 1 ft,,4,111,103,8,2778.0
1:42.0,New Orleans full timeout,103-111, ,,4,111,103,8,2778.0
1:33.0,C. McCollum misses 3-pt jump shot from 27 ft,103-111, ,,4,111,103,8,2787.0
1:31.0, ,103-111,Defensive rebound by J. Brown,,4,111,103,8,2789.0
1:07.0, ,103-114,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Tatum),,4,114,103,11,2813.0
0:59.0,C. McCollum makes 2-pt layup from 2 ft (assist by B. Ingram),105-114, ,,4,114,105,9,2821.0
0:49.0, ,105-114,Turnover by J. Holiday (bad pass; steal by Z. Williamson),,4,114,105,9,2831.0
0:44.0,T. Murphy misses 3-pt jump shot from 27 ft,105-114, ,,4,114,105,9,2836.0
0:42.0,Offensive rebound by B. Ingram,105-114, ,,4,114,105,9,2838.0
0:39.0,T. Murphy misses 3-pt jump shot from 28 ft,105-114, ,,4,114,105,9,2841.0
0:38.0,Offensive rebound by H. Jones,105-114, ,,4,114,105,9,2842.0
0:36.0,B. Ingram misses 3-pt jump shot from 24 ft,105-114, ,,4,114,105,9,2844.0
0:36.0,Offensive rebound by T. Murphy,105-114, ,,4,114,105,9,2844.0
0:35.0,T. Murphy makes 2-pt layup from 4 ft,107-114, ,,4,114,107,7,2845.0
0:32.0, ,107-114,Personal take foul by H. Jones (drawn by J. Tatum),,4,114,107,7,2848.0
0:32.0,D. Daniels enters the game for C. McCollum,107-114, ,,4,114,107,7,2848.0
0:25.0, ,107-114,Personal take foul by T. Murphy (drawn by J. Tatum),,4,114,107,7,2855.0
0:25.0, ,107-115,J. Tatum makes free throw 1 of 2,,4,115,107,8,2855.0
0:25.0,C. McCollum enters the game for D. Daniels,107-115, ,,4,115,107,8,2855.0
0:25.0, ,107-116,J. Tatum makes free throw 2 of 2,,4,116,107,9,2855.0
0:19.0,C. McCollum makes 2-pt layup from 4 ft,109-116, ,,4,116,109,7,2861.0
0:17.0, ,109-116,Boston full timeout,,4,116,109,7,2863.0
0:17.0,D. Daniels enters the game for C. McCollum,109-116, ,,4,116,109,7,2863.0
0:16.0, ,109-116,Turnover by J. Tatum (bad pass),,4,116,109,7,2864.0
0:16.0,C. McCollum enters the game for D. Daniels,109-116, ,,4,116,109,7,2864.0
0:10.0,B. Ingram makes 3-pt jump shot from 27 ft,112-116, ,,4,116,112,4,2870.0
0:09.0, ,112-116,Personal take foul by H. Jones (drawn by J. Tatum),,4,116,112,4,2871.0
0:09.0, ,112-117,J. Tatum makes free throw 1 of 2,,4,117,112,5,2871.0
0:09.0, ,112-118,J. Tatum makes free throw 2 of 2,,4,118,112,6,2871.0
0:09.0,L. Nance enters the game for H. Jones,112-118, ,,4,118,112,6,2871.0
0:05.0,Personal foul by D. White (drawn by B. Ingram),112-118, ,,4,118,112,6,2875.0
0:03.0,Turnover by C. McCollum (lost ball; steal by J. Tatum),112-118, ,,4,118,112,6,2877.0
0:00.0,End of 4th quarter,112-118,,,4,118,112,6,2880.0
