Time,Milwaukee,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:29.0,B. Lopez makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),88-104, ,,4,104,88,16,2431.0
7:10.0, ,88-104,Turnover by J. Tatum (bad pass; steal by M. Beasley),,4,104,88,16,2450.0
7:10.0, ,88-104,D. White enters the game for P. Pritchard,,4,104,88,16,2450.0
7:03.0,B. Lopez misses 3-pt jump shot from 23 ft,88-104, ,,4,104,88,16,2457.0
7:01.0, ,88-104,Defensive rebound by A. Horford,,4,104,88,16,2459.0
6:56.0, ,88-104,Offensive foul by K. Porziņģis (drawn by D. Lillard),,4,104,88,16,2464.0
6:56.0, ,88-104,Turnover by K. Porziņģis (offensive foul),,4,104,88,16,2464.0
6:56.0, ,88-104,Boston full timeout,,4,104,88,16,2464.0
6:56.0, ,88-104,J. Brown enters the game for K. Porziņģis,,4,104,88,16,2464.0
6:44.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),88-104, ,,4,104,88,16,2476.0
6:44.0,G. Antetokounmpo makes free throw 1 of 2,89-104, ,,4,104,89,15,2476.0
6:44.0,K. Middleton enters the game for B. Portis,89-104, ,,4,104,89,15,2476.0
6:44.0,G. Antetokounmpo makes free throw 2 of 2,90-104, ,,4,104,90,14,2476.0
6:27.0, ,90-104,J. Tatum misses 2-pt layup from 6 ft,,4,104,90,14,2493.0
6:25.0,Defensive rebound by G. Antetokounmpo,90-104, ,,4,104,90,14,2495.0
6:19.0,K. Middleton misses 2-pt layup from 7 ft,90-104, ,,4,104,90,14,2501.0
6:16.0,Offensive rebound by B. Lopez,90-104, ,,4,104,90,14,2504.0
6:16.0,Shooting foul by J. Tatum (drawn by B. Lopez),90-104, ,,4,104,90,14,2504.0
6:16.0,B. Lopez misses free throw 1 of 2,90-104, ,,4,104,90,14,2504.0
6:16.0,Offensive rebound by Team,90-104, ,,4,104,90,14,2504.0
6:16.0,B. Lopez makes free throw 2 of 2,91-104, ,,4,104,91,13,2504.0
6:02.0, ,91-104,J. Brown misses 2-pt layup from 2 ft (block by B. Lopez),,4,104,91,13,2518.0
5:58.0, ,91-104,Offensive rebound by A. Horford,,4,104,91,13,2522.0
5:58.0, ,91-106,A. Horford makes 2-pt dunk at rim,,4,106,91,15,2522.0
5:51.0,M. Beasley misses 3-pt jump shot from 28 ft,91-106, ,,4,106,91,15,2529.0
5:48.0, ,91-106,Defensive rebound by J. Tatum,,4,106,91,15,2532.0
5:44.0, ,91-108,J. Brown makes 2-pt layup from 1 ft (assist by A. Horford),,4,108,91,17,2536.0
5:34.0,B. Lopez makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),93-108, ,,4,108,93,15,2546.0
5:07.0, ,93-108,J. Brown misses 3-pt jump shot from 28 ft,,4,108,93,15,2573.0
5:05.0,Defensive rebound by M. Beasley,93-108, ,,4,108,93,15,2575.0
4:58.0,B. Lopez misses 2-pt layup from 4 ft (block by A. Horford),93-108, ,,4,108,93,15,2582.0
4:57.0, ,93-108,Defensive rebound by J. Holiday,,4,108,93,15,2583.0
4:57.0, ,93-108,Personal foul by B. Lopez (drawn by J. Holiday),,4,108,93,15,2583.0
4:57.0, ,93-109,J. Tatum makes free throw 1 of 1,,4,109,93,16,2583.0
4:47.0, ,93-109,J. Holiday misses 2-pt layup from 5 ft,,4,109,93,16,2593.0
4:46.0,Defensive rebound by D. Lillard,93-109, ,,4,109,93,16,2594.0
4:41.0,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by K. Middleton),95-109, ,,4,109,95,14,2599.0
4:19.0, ,95-109,J. Tatum misses 3-pt jump shot from 28 ft,,4,109,95,14,2621.0
4:15.0,Defensive rebound by M. Beasley,95-109, ,,4,109,95,14,2625.0
4:11.0,K. Middleton misses 3-pt jump shot from 24 ft,95-109, ,,4,109,95,14,2629.0
4:08.0,Offensive rebound by B. Lopez,95-109, ,,4,109,95,14,2632.0
4:05.0,B. Lopez makes 2-pt layup from 3 ft,97-109, ,,4,109,97,12,2635.0
3:41.0, ,97-109,J. Brown misses 2-pt jump shot from 8 ft,,4,109,97,12,2659.0
3:39.0,Defensive rebound by D. Lillard,97-109, ,,4,109,97,12,2661.0
3:31.0,D. Lillard makes 2-pt layup from 3 ft,99-109, ,,4,109,99,10,2669.0
3:31.0, ,99-109,Boston full timeout,,4,109,99,10,2669.0
3:31.0, ,99-109,K. Porziņģis enters the game for J. Holiday,,4,109,99,10,2669.0
3:12.0, ,99-112,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by D. White),,4,112,99,13,2688.0
2:55.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by K. Middleton),102-112, ,,4,112,102,10,2705.0
2:34.0, ,102-112,J. Tatum misses 3-pt jump shot from 27 ft,,4,112,102,10,2726.0
2:32.0,Defensive rebound by G. Antetokounmpo,102-112, ,,4,112,102,10,2728.0
2:26.0,B. Lopez misses 2-pt layup from 3 ft,102-112, ,,4,112,102,10,2734.0
2:24.0, ,102-112,Defensive rebound by K. Porziņģis,,4,112,102,10,2736.0
2:18.0, ,102-112,J. Brown misses 2-pt layup from 8 ft,,4,112,102,10,2742.0
2:17.0,Defensive rebound by B. Lopez,102-112, ,,4,112,102,10,2743.0
2:10.0,G. Antetokounmpo misses 2-pt layup from 5 ft,102-112, ,,4,112,102,10,2750.0
2:08.0, ,102-112,Defensive rebound by J. Tatum,,4,112,102,10,2752.0
1:55.0, ,102-112,Turnover by D. White (bad pass; steal by D. Lillard),,4,112,102,10,2765.0
1:54.0, ,102-112,Technical foul by K. Porziņģis,,4,112,102,10,2766.0
1:54.0,D. Lillard makes technical free throw,103-112, ,,4,112,103,9,2766.0
1:54.0, ,103-112,J. Holiday enters the game for K. Porziņģis,,4,112,103,9,2766.0
1:45.0,D. Lillard makes 2-pt layup from 7 ft,105-112, ,,4,112,105,7,2775.0
1:30.0, ,105-114,J. Tatum makes 2-pt dunk from 1 ft,,4,114,105,9,2790.0
1:20.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),108-114, ,,4,114,108,6,2800.0
1:13.0, ,108-114,Personal foul by G. Antetokounmpo (drawn by J. Holiday),,4,114,108,6,2807.0
0:55.0, ,108-114,J. Holiday misses 3-pt jump shot from 26 ft,,4,114,108,6,2825.0
0:53.0,Defensive rebound by Team,108-114, ,,4,114,108,6,2827.0
0:44.0,D. Lillard makes 3-pt jump shot from 27 ft,111-114, ,,4,114,111,3,2836.0
0:21.0, ,111-114,Shooting foul by K. Middleton (drawn by J. Tatum),,4,114,111,3,2859.0
0:21.0, ,111-115,J. Tatum makes free throw 1 of 2,,4,115,111,4,2859.0
0:21.0, ,111-115,J. Tatum misses free throw 2 of 2,,4,115,111,4,2859.0
0:20.0,Defensive rebound by G. Antetokounmpo,111-115, ,,4,115,111,4,2860.0
0:20.0,Milwaukee full timeout,111-115, ,,4,115,111,4,2860.0
0:18.0,Personal take foul by D. White (drawn by D. Lillard),111-115, ,,4,115,111,4,2862.0
0:13.0,D. Lillard misses 2-pt dunk from 3 ft,111-115, ,,4,115,111,4,2867.0
0:11.0, ,111-115,Defensive rebound by J. Tatum,,4,115,111,4,2869.0
0:11.0, ,111-115,Personal take foul by B. Lopez (drawn by J. Tatum),,4,115,111,4,2869.0
0:11.0, ,111-116,J. Tatum makes free throw 1 of 2,,4,116,111,5,2869.0
0:11.0, ,111-117,J. Tatum makes free throw 2 of 2,,4,117,111,6,2869.0
0:11.0,Milwaukee full timeout,111-117, ,,4,117,111,6,2869.0
0:10.0,D. Lillard misses 3-pt jump shot from 24 ft,111-117, ,,4,117,111,6,2870.0
0:07.0,Offensive rebound by B. Lopez,111-117, ,,4,117,111,6,2873.0
0:07.0,B. Lopez makes 2-pt layup from 2 ft,113-117, ,,4,117,113,4,2873.0
0:03.0, ,113-117,Personal take foul by G. Antetokounmpo (drawn by J. Holiday),,4,117,113,4,2877.0
0:03.0, ,113-118,J. Holiday makes free throw 1 of 2,,4,118,113,5,2877.0
0:03.0, ,113-119,J. Holiday makes free throw 2 of 2,,4,119,113,6,2877.0
0:00.0,M. Beasley makes 3-pt jump shot from 27 ft,116-119, ,,4,119,116,3,2880.0
0:00.0,Instant Replay (Request: Ruling Stands),116-119, ,,4,119,116,3,2880.0
0:00.0,End of 4th quarter,116-119,,,4,119,116,3,2880.0
