Time,Orlando,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:46.0,P. Banchero makes 2-pt layup from 3 ft,11-4, ,,1,4,11,-7,254.0
7:32.0, ,11-6,L. Stevens makes 2-pt dunk from 1 ft (assist by J. Holiday),,1,6,11,-5,268.0
7:22.0,Personal foul by J. Holiday (drawn by F. Wagner),11-6, ,,1,6,11,-5,278.0
7:09.0,G. Bitadze makes 2-pt layup from 3 ft (assist by A. Black),13-6, ,,1,6,13,-7,291.0
7:02.0, ,13-8,J. Brown makes 2-pt dunk from 3 ft (assist by D. White),,1,8,13,-5,298.0
6:54.0,F. Wagner misses 2-pt layup from 3 ft (block by J. Brown),13-8, ,,1,8,13,-5,306.0
6:54.0, ,13-8,Defensive rebound by L. Stevens,,1,8,13,-5,306.0
6:48.0, ,13-8,J. Holiday misses 3-pt jump shot from 26 ft,,1,8,13,-5,312.0
6:45.0,Defensive rebound by A. Black,13-8, ,,1,8,13,-5,315.0
6:38.0,Turnover by P. Banchero (lost ball; steal by D. White),13-8, ,,1,8,13,-5,322.0
6:35.0, ,13-8,Shooting foul by A. Black (drawn by J. Brown),,1,8,13,-5,325.0
6:35.0, ,13-8,Boston full timeout,,1,8,13,-5,325.0
6:35.0, ,13-8,S. Hauser enters the game for J. Tatum,,1,8,13,-5,325.0
6:35.0, ,13-9,J. Brown makes free throw 1 of 2,,1,9,13,-4,325.0
6:35.0, ,13-9,J. Brown misses free throw 2 of 2,,1,9,13,-4,325.0
6:29.0, ,13-9,Offensive rebound by J. Holiday,,1,9,13,-4,331.0
6:27.0, ,13-9,S. Hauser misses 3-pt jump shot from 23 ft,,1,9,13,-4,333.0
6:24.0,Defensive rebound by P. Banchero,13-9, ,,1,9,13,-4,336.0
6:21.0,J. Suggs makes 2-pt layup from 3 ft (assist by P. Banchero),15-9, ,,1,9,15,-6,339.0
6:11.0, ,15-9,D. White misses 2-pt layup from 7 ft (block by P. Banchero),,1,9,15,-6,349.0
6:09.0,Defensive rebound by J. Suggs,15-9, ,,1,9,15,-6,351.0
6:09.0,Offensive foul by J. Suggs (drawn by J. Holiday),15-9, ,,1,9,15,-6,351.0
6:09.0,Turnover by J. Suggs (offensive foul),15-9, ,,1,9,15,-6,351.0
6:09.0,J. Ingles enters the game for F. Wagner,15-9, ,,1,9,15,-6,351.0
6:09.0, ,15-9,Boston full timeout,,1,9,15,-6,351.0
6:09.0,F. Wagner enters the game for J. Ingles,15-9, ,,1,9,15,-6,351.0
6:09.0, ,15-9,Instant Replay (Challenge: Ruling Stands),,1,9,15,-6,351.0
5:47.0, ,15-9,J. Brown misses 2-pt jump shot from 15 ft,,1,9,15,-6,373.0
5:46.0,Defensive rebound by Team,15-9, ,,1,9,15,-6,374.0
5:46.0, ,15-9,Loose ball foul by L. Stevens (drawn by G. Bitadze),,1,9,15,-6,374.0
5:46.0, ,15-9,P. Pritchard enters the game for J. Holiday,,1,9,15,-6,374.0
5:46.0, ,15-9,N. Queta enters the game for L. Stevens,,1,9,15,-6,374.0
5:37.0,Turnover by P. Banchero (bad pass),15-9, ,,1,9,15,-6,383.0
5:27.0, ,15-9,D. White misses 2-pt jump shot from 10 ft,,1,9,15,-6,393.0
5:23.0,Defensive rebound by J. Ingles,15-9, ,,1,9,15,-6,397.0
5:15.0,P. Banchero misses 2-pt jump shot from 14 ft,15-9, ,,1,9,15,-6,405.0
5:13.0, ,15-9,Defensive rebound by S. Hauser,,1,9,15,-6,407.0
5:05.0, ,15-12,P. Pritchard makes 3-pt jump shot from 23 ft (assist by J. Brown),,1,12,15,-3,415.0
4:49.0,A. Black makes 2-pt dunk from 3 ft (assist by P. Banchero),17-12, ,,1,12,17,-5,431.0
4:32.0, ,17-15,P. Pritchard makes 3-pt jump shot from 24 ft (assist by J. Brown),,1,15,17,-2,448.0
4:14.0,P. Banchero misses 2-pt jump shot from 18 ft,17-15, ,,1,15,17,-2,466.0
4:12.0, ,17-15,Defensive rebound by D. White,,1,15,17,-2,468.0
4:07.0, ,17-15,P. Pritchard misses 2-pt layup from 4 ft (block by J. Suggs),,1,15,17,-2,473.0
4:06.0, ,17-15,Offensive rebound by Team,,1,15,17,-2,474.0
4:06.0,Orlando full timeout,17-15, ,,1,15,17,-2,474.0
4:06.0,C. Anthony enters the game for A. Black,17-15, ,,1,15,17,-2,474.0
4:06.0,G. Harris enters the game for J. Suggs,17-15, ,,1,15,17,-2,474.0
3:58.0, ,17-17,J. Brown makes 2-pt jump shot from 14 ft,Tie,1,17,17,0,482.0
3:58.0, ,17-17,Shooting foul by C. Anthony (drawn by J. Brown),,1,17,17,0,482.0
3:58.0, ,17-18,J. Brown makes free throw 1 of 1,Lead change,1,18,17,1,482.0
3:55.0,Personal foul by P. Pritchard (drawn by C. Anthony),17-18, ,,1,18,17,1,485.0
3:55.0, ,17-18,J. Tatum enters the game for D. White,,1,18,17,1,485.0
3:40.0,C. Anthony makes 2-pt layup from 7 ft,19-18, ,Lead change,1,18,19,-1,500.0
3:26.0, ,19-20,J. Tatum makes 2-pt layup from 3 ft (assist by P. Pritchard),Lead change,1,20,19,1,514.0
3:07.0,P. Banchero makes 2-pt layup from 3 ft (assist by J. Ingles),21-20, ,Lead change,1,20,21,-1,533.0
2:58.0, ,21-22,J. Brown makes 2-pt hook shot from 8 ft,Lead change,1,22,21,1,542.0
2:46.0,Turnover by G. Bitadze (lost ball; steal by N. Queta),21-22, ,,1,22,21,1,554.0
2:39.0, ,21-24,J. Brown makes 2-pt layup from 3 ft (assist by P. Pritchard),,1,24,21,3,561.0
2:20.0,G. Bitadze makes 2-pt layup from 5 ft (assist by J. Ingles),23-24, ,,1,24,23,1,580.0
2:03.0, ,23-24,P. Pritchard misses 3-pt jump shot from 27 ft,,1,24,23,1,597.0
2:00.0,Defensive rebound by P. Banchero,23-24, ,,1,24,23,1,600.0
1:46.0,C. Anthony misses 3-pt jump shot from 29 ft,23-24, ,,1,24,23,1,614.0
1:40.0, ,23-24,Defensive rebound by S. Hauser,,1,24,23,1,620.0
1:26.0, ,23-24,J. Brown misses 3-pt jump shot from 24 ft,,1,24,23,1,634.0
1:24.0,Defensive rebound by P. Banchero,23-24, ,,1,24,23,1,636.0
1:15.0,Shooting foul by N. Queta (drawn by P. Banchero),23-24, ,,1,24,23,1,645.0
