Time,New York,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:09.0, ,116-92,Defensive rebound by P. Pritchard,,4,92,116,-24,2631.0
3:59.0, ,116-94,P. Pritchard makes 2-pt layup from 5 ft,,4,94,116,-22,2641.0
3:32.0,P. Achiuwa misses 2-pt layup from 4 ft (block by L. Kornet),116-94, ,,4,94,116,-22,2668.0
3:30.0,Offensive rebound by P. Achiuwa,116-94, ,,4,94,116,-22,2670.0
3:27.0,Turnover by P. Achiuwa (bad pass; steal by J. Springer),116-94, ,,4,94,116,-22,2673.0
3:23.0, ,116-94,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,4,94,116,-22,2677.0
3:19.0, ,116-94,Offensive rebound by S. Mykhailiuk,,4,94,116,-22,2681.0
3:16.0, ,116-97,P. Pritchard makes 3-pt jump shot from 29 ft (assist by S. Mykhailiuk),,4,97,116,-19,2684.0
2:50.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,116-97, ,,4,97,116,-19,2710.0
2:48.0, ,116-97,Defensive rebound by S. Mykhailiuk,,4,97,116,-19,2712.0
2:32.0, ,116-100,S. Mykhailiuk makes 3-pt jump shot from 27 ft,,4,100,116,-16,2728.0
2:05.0,I. Hartenstein misses 2-pt layup from 1 ft (block by S. Hauser),116-100, ,,4,100,116,-16,2755.0
2:02.0, ,116-100,Defensive rebound by J. Springer,,4,100,116,-16,2758.0
1:47.0, ,116-100,L. Kornet misses 2-pt layup from 5 ft,,4,100,116,-16,2773.0
1:45.0, ,116-100,Offensive rebound by L. Kornet,,4,100,116,-16,2775.0
1:40.0, ,116-100,Turnover by L. Kornet (bad pass; steal by M. McBride),,4,100,116,-16,2780.0
1:17.0,I. Hartenstein misses 2-pt hook shot from 15 ft,116-100, ,,4,100,116,-16,2803.0
1:16.0, ,116-100,Defensive rebound by S. Hauser,,4,100,116,-16,2804.0
1:09.0, ,116-100,Shooting foul by I. Hartenstein (drawn by S. Hauser),,4,100,116,-16,2811.0
1:09.0, ,116-100,Boston full timeout,,4,100,116,-16,2811.0
1:09.0, ,116-101,S. Hauser makes free throw 1 of 2,,4,101,116,-15,2811.0
1:09.0, ,116-102,S. Hauser makes free throw 2 of 2,,4,102,116,-14,2811.0
0:55.0,Offensive foul by I. Hartenstein (drawn by S. Hauser),116-102, ,,4,102,116,-14,2825.0
0:55.0,Turnover by I. Hartenstein (offensive foul),116-102, ,,4,102,116,-14,2825.0
0:50.0, ,116-104,L. Kornet makes 2-pt dunk from 2 ft (assist by P. Pritchard),,4,104,116,-12,2830.0
0:50.0,Turnover by  (5 sec),116-104, ,,4,104,116,-12,2830.0
0:49.0, ,116-107,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by P. Pritchard),,4,107,116,-9,2831.0
0:35.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. McBride),118-107, ,,4,107,118,-11,2845.0
0:31.0, ,118-109,P. Pritchard makes 2-pt jump shot from 23 ft,,4,109,118,-9,2849.0
0:06.0,Turnover by Team (shot clock),118-109, ,,4,109,118,-9,2874.0
0:03.0, ,118-109,P. Pritchard misses 3-pt jump shot from 31 ft,,4,109,118,-9,2877.0
0:00.0,Defensive rebound by Team,118-109, ,,4,109,118,-9,2880.0
0:00.0,End of 4th quarter,118-109,,,4,109,118,-9,2880.0
