Time,Boston,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:11.0, ,82-90,T. Maxey makes 2-pt jump shot from 7 ft,,4,82,90,-8,2389.0
7:57.0,D. White makes 2-pt layup from 1 ft (assist by K. Porziņģis),84-90, ,,4,84,90,-6,2403.0
7:39.0, ,84-92,T. Maxey makes 2-pt jump shot from 5 ft,,4,84,92,-8,2421.0
7:39.0,J. Tatum enters the game for S. Hauser,84-92, ,,4,84,92,-8,2421.0
7:39.0, ,84-92,R. Covington enters the game for N. Batum,,4,84,92,-8,2421.0
7:24.0,Jump ball: D. Melton vs. J. Holiday (T. Harris gains possession),84-92,,,4,84,92,-8,2436.0
7:24.0,Turnover by J. Holiday (lost ball; steal by D. Melton),84-92, ,,4,84,92,-8,2436.0
7:11.0, ,84-94,T. Harris makes 2-pt jump shot from 11 ft (assist by T. Maxey),,4,84,94,-10,2449.0
6:59.0,J. Holiday misses 2-pt layup from 3 ft,84-94, ,,4,84,94,-10,2461.0
6:55.0, ,84-94,Defensive rebound by T. Maxey,,4,84,94,-10,2465.0
6:42.0, ,84-94,Turnover by T. Harris (lost ball; steal by J. Tatum),,4,84,94,-10,2478.0
6:37.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),87-94, ,,4,87,94,-7,2483.0
6:25.0, ,87-94,Philadelphia full timeout,,4,87,94,-7,2495.0
6:25.0,J. Brown enters the game for K. Porziņģis,87-94, ,,4,87,94,-7,2495.0
6:25.0,A. Horford enters the game for P. Pritchard,87-94, ,,4,87,94,-7,2495.0
6:25.0, ,87-94,J. Embiid enters the game for P. Reed,,4,87,94,-7,2495.0
6:13.0, ,87-97,T. Maxey makes 3-pt jump shot from 26 ft (assist by J. Embiid),,4,87,97,-10,2507.0
5:52.0,J. Brown misses 3-pt jump shot from 26 ft,87-97, ,,4,87,97,-10,2528.0
5:48.0, ,87-97,Defensive rebound by T. Harris,,4,87,97,-10,2532.0
5:25.0, ,87-97,J. Embiid misses 3-pt jump shot from 27 ft,,4,87,97,-10,2555.0
5:25.0, ,87-97,Offensive rebound by Team,,4,87,97,-10,2555.0
5:25.0, ,87-97,Turnover by Team (shot clock),,4,87,97,-10,2555.0
5:14.0,D. White misses 3-pt jump shot from 27 ft,87-97, ,,4,87,97,-10,2566.0
5:11.0, ,87-97,Defensive rebound by D. Melton,,4,87,97,-10,2569.0
4:53.0, ,87-97,T. Maxey misses 2-pt jump shot from 13 ft,,4,87,97,-10,2587.0
4:51.0,Defensive rebound by J. Tatum,87-97, ,,4,87,97,-10,2589.0
4:32.0,J. Holiday misses 2-pt layup from 1 ft,87-97, ,,4,87,97,-10,2608.0
4:30.0, ,87-97,Defensive rebound by J. Embiid,,4,87,97,-10,2610.0
4:26.0, ,87-97,Shooting foul by D. White (drawn by T. Harris),,4,87,97,-10,2614.0
4:26.0, ,87-98,T. Harris makes free throw 1 of 2,,4,87,98,-11,2614.0
4:26.0, ,87-99,T. Harris makes free throw 2 of 2,,4,87,99,-12,2614.0
4:08.0,D. White misses 3-pt jump shot from 25 ft,87-99, ,,4,87,99,-12,2632.0
4:03.0, ,87-99,Defensive rebound by J. Embiid,,4,87,99,-12,2637.0
3:45.0, ,87-102,T. Harris makes 3-pt jump shot from 25 ft (assist by T. Maxey),,4,87,102,-15,2655.0
3:44.0,Boston full timeout,87-102, ,,4,87,102,-15,2656.0
3:44.0,K. Porziņģis enters the game for A. Horford,87-102, ,,4,87,102,-15,2656.0
3:32.0,Personal foul by R. Covington (drawn by J. Brown),87-102, ,,4,87,102,-15,2668.0
3:18.0,Turnover by Team (shot clock),87-102, ,,4,87,102,-15,2682.0
2:57.0, ,87-102,J. Embiid misses 2-pt jump shot from 8 ft,,4,87,102,-15,2703.0
2:55.0,Defensive rebound by J. Holiday,87-102, ,,4,87,102,-15,2705.0
2:51.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Holiday),90-102, ,,4,90,102,-12,2709.0
2:28.0, ,90-102,R. Covington misses 2-pt layup from 3 ft,,4,90,102,-12,2732.0
2:23.0, ,90-102,Offensive rebound by R. Covington,,4,90,102,-12,2737.0
2:23.0, ,90-104,R. Covington makes 2-pt layup at rim,,4,90,104,-14,2737.0
2:11.0,K. Porziņģis misses 3-pt jump shot from 26 ft,90-104, ,,4,90,104,-14,2749.0
2:09.0, ,90-104,Defensive rebound by J. Embiid,,4,90,104,-14,2751.0
2:06.0, ,90-104,Turnover by J. Embiid (lost ball; steal by D. White),,4,90,104,-14,2754.0
2:04.0,D. White misses 2-pt layup from 5 ft (block by T. Maxey),90-104, ,,4,90,104,-14,2756.0
2:04.0,Offensive rebound by Team,90-104, ,,4,90,104,-14,2756.0
1:58.0,J. Brown makes 3-pt jump shot from 26 ft,93-104, ,,4,93,104,-11,2762.0
1:46.0, ,93-104,Turnover by J. Embiid (bad pass),,4,93,104,-11,2774.0
1:46.0, ,93-104,N. Batum enters the game for R. Covington,,4,93,104,-11,2774.0
1:35.0,K. Porziņģis makes 2-pt jump shot from 9 ft (assist by J. Tatum),95-104, ,,4,95,104,-9,2785.0
1:35.0,Shooting foul by T. Maxey (drawn by K. Porziņģis),95-104, ,,4,95,104,-9,2785.0
1:35.0,K. Porziņģis makes free throw 1 of 1,96-104, ,,4,96,104,-8,2785.0
1:27.0, ,96-104,Personal foul by K. Porziņģis (drawn by T. Maxey),,4,96,104,-8,2793.0
1:15.0, ,96-104,D. Melton misses 3-pt jump shot from 27 ft,,4,96,104,-8,2805.0
1:14.0,Defensive rebound by Team,96-104, ,,4,96,104,-8,2806.0
1:09.0,Personal foul by T. Maxey (drawn by D. White),96-104, ,,4,96,104,-8,2811.0
1:09.0,D. White makes free throw 1 of 2,97-104, ,,4,97,104,-7,2811.0
1:09.0,D. White makes free throw 2 of 2,98-104, ,,4,98,104,-6,2811.0
1:03.0, ,98-104,Turnover by D. Melton (lost ball; steal by J. Tatum),,4,98,104,-6,2817.0
1:01.0,J. Tatum makes 2-pt layup from 1 ft,100-104, ,,4,100,104,-4,2819.0
1:01.0, ,100-104,Philadelphia full timeout,,4,100,104,-4,2819.0
0:39.0, ,100-106,J. Embiid makes 2-pt jump shot from 19 ft,,4,100,106,-6,2841.0
0:38.0,Boston full timeout,100-106, ,,4,100,106,-6,2842.0
0:38.0, ,100-106,P. Beverley enters the game for D. Melton,,4,100,106,-6,2842.0
0:33.0,J. Brown makes 3-pt jump shot from 26 ft,103-106, ,,4,103,106,-3,2847.0
0:11.0, ,103-106,T. Maxey misses 2-pt jump shot from 18 ft (block by J. Brown),,4,103,106,-3,2869.0
0:10.0, ,103-106,Offensive rebound by T. Harris,,4,103,106,-3,2870.0
0:08.0, ,103-106,T. Maxey misses 3-pt jump shot from 26 ft,,4,103,106,-3,2872.0
0:08.0, ,103-106,Offensive rebound by Team,,4,103,106,-3,2872.0
0:08.0, ,103-106,Turnover by Team (shot clock),,4,103,106,-3,2872.0
0:08.0,Boston full timeout,103-106, ,,4,103,106,-3,2872.0
0:06.0,K. Porziņģis misses 3-pt jump shot from 25 ft,103-106, ,,4,103,106,-3,2874.0
0:03.0, ,103-106,Defensive rebound by J. Embiid,,4,103,106,-3,2877.0
0:00.0,End of 4th quarter,103-106,,,4,103,106,-3,2880.0
