Time,Boston,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:59.0, ,6-3,Turnover by J. Harden (bad pass; steal by J. Brown),,1,6,3,3,121.0
9:51.0,J. Brown misses 3-pt jump shot from 29 ft,6-3, ,,1,6,3,3,129.0
9:49.0, ,6-3,Defensive rebound by I. Zubac,,1,6,3,3,131.0
9:44.0, ,6-5,J. Harden makes 2-pt layup from 2 ft,,1,6,5,1,136.0
9:31.0,A. Horford misses 2-pt hook shot from 5 ft,6-5, ,,1,6,5,1,149.0
9:28.0,Offensive rebound by J. Brown,6-5, ,,1,6,5,1,152.0
9:26.0,D. White misses 3-pt jump shot from 25 ft,6-5, ,,1,6,5,1,154.0
9:25.0, ,6-5,Defensive rebound by A. Coffey,,1,6,5,1,155.0
9:25.0, ,6-5,Turnover by A. Coffey (out of bounds lost ball),,1,6,5,1,155.0
9:17.0,D. White misses 3-pt jump shot from 28 ft,6-5, ,,1,6,5,1,163.0
9:12.0,Offensive rebound by J. Holiday,6-5, ,,1,6,5,1,168.0
9:12.0,J. Holiday misses 2-pt layup from 5 ft (block by P. George),6-5, ,,1,6,5,1,168.0
9:12.0, ,6-5,Defensive rebound by A. Coffey,,1,6,5,1,168.0
9:04.0,Violation by Team (kicked ball),6-5, ,,1,6,5,1,176.0
8:49.0, ,6-5,Turnover by Team (shot clock),,1,6,5,1,191.0
8:38.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),9-5, ,,1,9,5,4,202.0
8:24.0, ,9-8,P. George makes 3-pt jump shot from 27 ft (assist by J. Harden),,1,9,8,1,216.0
8:10.0,J. Holiday misses 3-pt jump shot from 26 ft,9-8, ,,1,9,8,1,230.0
8:08.0, ,9-8,Defensive rebound by T. Mann,,1,9,8,1,232.0
7:54.0, ,9-8,Shooting foul by A. Horford (drawn by I. Zubac),,1,9,8,1,246.0
7:54.0, ,9-8,Instant Replay,,1,9,8,1,246.0
7:54.0, ,9-9,I. Zubac makes free throw 1 of 2,Tie,1,9,9,0,246.0
7:54.0, ,9-10,I. Zubac makes free throw 2 of 2,Lead change,1,9,10,-1,246.0
7:37.0,J. Holiday makes 2-pt layup from 3 ft (assist by D. White),11-10, ,Lead change,1,11,10,1,263.0
7:20.0, ,11-12,P. George makes 2-pt jump shot from 15 ft,Lead change,1,11,12,-1,280.0
7:05.0,J. Brown misses 2-pt layup from 5 ft,11-12, ,,1,11,12,-1,295.0
7:03.0, ,11-12,Defensive rebound by T. Mann,,1,11,12,-1,297.0
6:57.0, ,11-12,I. Zubac misses 2-pt dunk from 3 ft,,1,11,12,-1,303.0
6:54.0,Defensive rebound by D. White,11-12, ,,1,11,12,-1,306.0
6:46.0,J. Brown misses 3-pt jump shot from 27 ft,11-12, ,,1,11,12,-1,314.0
6:45.0, ,11-12,Defensive rebound by I. Zubac,,1,11,12,-1,315.0
6:40.0, ,11-12,T. Mann misses 3-pt jump shot from 23 ft,,1,11,12,-1,320.0
6:36.0,Defensive rebound by J. Tatum,11-12, ,,1,11,12,-1,324.0
6:32.0,D. White makes 3-pt jump shot from 24 ft (assist by J. Brown),14-12, ,Lead change,1,14,12,2,328.0
6:31.0, ,14-12,LA Clippers full timeout,,1,14,12,2,329.0
6:31.0,O. Brissett enters the game for J. Brown,14-12, ,,1,14,12,2,329.0
6:31.0,S. Hauser enters the game for J. Holiday,14-12, ,,1,14,12,2,329.0
6:31.0,N. Queta enters the game for A. Horford,14-12, ,,1,14,12,2,329.0
6:20.0, ,14-14,P. George makes 2-pt layup from 5 ft (assist by J. Harden),Tie,1,14,14,0,340.0
5:56.0,D. White misses 3-pt jump shot from 30 ft,14-14, ,,1,14,14,0,364.0
5:54.0,Offensive rebound by Team,14-14, ,,1,14,14,0,366.0
5:54.0, ,14-14,N. Powell enters the game for A. Coffey,,1,14,14,0,366.0
5:54.0, ,14-14,R. Westbrook enters the game for T. Mann,,1,14,14,0,366.0
5:47.0,D. White makes 2-pt jump shot from 10 ft,16-14, ,,1,16,14,2,373.0
5:32.0, ,16-14,Turnover by R. Westbrook (step out of bounds),,1,16,14,2,388.0
5:18.0,J. Tatum misses 3-pt jump shot from 29 ft,16-14, ,,1,16,14,2,402.0
5:17.0, ,16-14,Defensive rebound by Team,,1,16,14,2,403.0
5:06.0, ,16-14,J. Harden misses 2-pt jump shot from 9 ft,,1,16,14,2,414.0
5:04.0,Defensive rebound by O. Brissett,16-14, ,,1,16,14,2,416.0
5:01.0,Offensive foul by N. Queta (drawn by J. Harden),16-14, ,,1,16,14,2,419.0
5:01.0,Turnover by N. Queta (offensive foul),16-14, ,,1,16,14,2,419.0
4:51.0, ,16-14,Turnover by P. George (traveling),,1,16,14,2,429.0
4:40.0,Turnover by D. White (bad pass; steal by J. Harden),16-14, ,,1,16,14,2,440.0
4:32.0, ,16-14,I. Zubac misses 2-pt layup from 4 ft (block by D. White),,1,16,14,2,448.0
4:31.0,Defensive rebound by D. White,16-14, ,,1,16,14,2,449.0
4:31.0,Turnover by D. White (bad pass),16-14, ,,1,16,14,2,449.0
4:15.0, ,16-14,N. Powell misses 2-pt layup from 5 ft,,1,16,14,2,465.0
4:13.0,Defensive rebound by N. Queta,16-14, ,,1,16,14,2,467.0
4:00.0,S. Hauser misses 3-pt jump shot from 25 ft,16-14, ,,1,16,14,2,480.0
3:58.0,Offensive rebound by Team,16-14, ,,1,16,14,2,482.0
3:58.0, ,16-14,Loose ball foul by N. Powell (drawn by O. Brissett),,1,16,14,2,482.0
3:52.0,D. White misses 3-pt jump shot from 29 ft,16-14, ,,1,16,14,2,488.0
3:49.0,Offensive rebound by N. Queta,16-14, ,,1,16,14,2,491.0
3:41.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by S. Hauser),19-14, ,,1,19,14,5,499.0
3:20.0, ,19-14,P. George misses 3-pt jump shot from 28 ft (block by D. White),,1,19,14,5,520.0
3:19.0,Defensive rebound by D. White,19-14, ,,1,19,14,5,521.0
3:19.0,Personal foul by P. George (drawn by D. White),19-14, ,,1,19,14,5,521.0
3:19.0, ,19-14,K. Brown enters the game for J. Harden,,1,19,14,5,521.0
3:19.0, ,19-14,D. Theis enters the game for I. Zubac,,1,19,14,5,521.0
3:11.0, ,19-14,Violation by Team (kicked ball),,1,19,14,5,529.0
3:03.0,Personal foul by N. Powell (drawn by J. Tatum),19-14, ,,1,19,14,5,537.0
3:03.0,P. Pritchard enters the game for O. Brissett,19-14, ,,1,19,14,5,537.0
2:56.0,P. Pritchard misses 3-pt jump shot from 23 ft,19-14, ,,1,19,14,5,544.0
2:54.0,Offensive rebound by N. Queta,19-14, ,,1,19,14,5,546.0
2:51.0,N. Queta misses 2-pt hook shot from 6 ft,19-14, ,,1,19,14,5,549.0
2:51.0,Offensive rebound by P. Pritchard,19-14, ,,1,19,14,5,549.0
2:39.0,J. Tatum makes 2-pt layup from 5 ft (assist by S. Hauser),21-14, ,,1,21,14,7,561.0
2:26.0, ,21-17,K. Brown makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,1,21,17,4,574.0
2:24.0,Boston full timeout,21-17, ,,1,21,17,4,576.0
2:24.0,J. Holiday enters the game for D. White,21-17, ,,1,21,17,4,576.0
2:09.0,J. Tatum misses 3-pt jump shot from 27 ft,21-17, ,,1,21,17,4,591.0
2:06.0, ,21-17,Defensive rebound by D. Theis,,1,21,17,4,594.0
1:54.0, ,21-19,P. George makes 2-pt jump shot from 20 ft,,1,21,19,2,606.0
1:36.0,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Holiday),23-19, ,,1,23,19,4,624.0
1:18.0, ,23-19,Shooting foul by N. Queta (drawn by D. Theis),,1,23,19,4,642.0
1:18.0, ,23-20,D. Theis makes free throw 1 of 2,,1,23,20,3,642.0
1:18.0, ,23-21,D. Theis makes free throw 2 of 2,,1,23,21,2,642.0
1:08.0,Turnover by J. Holiday (traveling),23-21, ,,1,23,21,2,652.0
0:56.0, ,23-21,R. Westbrook misses 2-pt jump shot from 11 ft,,1,23,21,2,664.0
0:54.0,Defensive rebound by N. Queta,23-21, ,,1,23,21,2,666.0
0:47.0,J. Holiday makes 2-pt jump shot from 9 ft,25-21, ,,1,25,21,4,673.0
0:31.0, ,25-21,R. Westbrook misses 3-pt jump shot from 25 ft,,1,25,21,4,689.0
0:28.0,Defensive rebound by J. Tatum,25-21, ,,1,25,21,4,692.0
0:09.0,J. Tatum makes 3-pt jump shot from 29 ft,28-21, ,,1,28,21,7,711.0
0:01.0, ,28-21,N. Powell misses 2-pt jump shot from 19 ft,,1,28,21,7,719.0
0:00.0, ,28-21,Offensive rebound by Team,,1,28,21,7,720.0
0:00.0,End of 1st quarter,28-21,,,1,28,21,7,720.0
12:00.0,Start of 2nd quarter,28-21,,,2,28,21,7,720.0
11:46.0, ,28-23,N. Powell makes 2-pt layup from 4 ft (assist by K. Brown),,2,28,23,5,734.0
11:30.0,J. Holiday misses 3-pt jump shot from 26 ft,28-23, ,,2,28,23,5,750.0
11:28.0, ,28-23,Defensive rebound by R. Westbrook,,2,28,23,5,752.0
11:21.0, ,28-23,Offensive foul by J. Harden (drawn by J. Holiday),,2,28,23,5,759.0
11:21.0, ,28-23,Turnover by J. Harden (offensive foul),,2,28,23,5,759.0
11:09.0,J. Brown makes 2-pt jump shot from 11 ft (assist by A. Horford),30-23, ,,2,30,23,7,771.0
10:52.0, ,30-23,R. Westbrook misses 2-pt dunk from 2 ft (block by A. Horford),,2,30,23,7,788.0
10:49.0,Defensive rebound by A. Horford,30-23, ,,2,30,23,7,791.0
10:33.0,Turnover by J. Brown (lost ball; steal by D. Theis),30-23, ,,2,30,23,7,807.0
10:23.0, ,30-23,N. Powell misses 2-pt layup from 5 ft,,2,30,23,7,817.0
10:21.0,Defensive rebound by A. Horford,30-23, ,,2,30,23,7,819.0
10:18.0,Shooting foul by J. Harden (drawn by J. Brown),30-23, ,,2,30,23,7,822.0
10:18.0,J. Brown makes free throw 1 of 2,31-23, ,,2,31,23,8,822.0
10:18.0,J. Brown makes free throw 2 of 2,32-23, ,,2,32,23,9,822.0
9:58.0, ,32-25,D. Theis makes 2-pt dunk at rim (assist by J. Harden),,2,32,25,7,842.0
9:48.0,J. Brown misses 2-pt jump shot from 11 ft,32-25, ,,2,32,25,7,852.0
9:44.0,Offensive rebound by J. Holiday,32-25, ,,2,32,25,7,856.0
9:41.0,O. Brissett makes 3-pt jump shot from 23 ft (assist by A. Horford),35-25, ,,2,35,25,10,859.0
9:25.0, ,35-25,R. Westbrook misses 2-pt jump shot from 14 ft,,2,35,25,10,875.0
9:23.0,Defensive rebound by J. Holiday,35-25, ,,2,35,25,10,877.0
9:19.0,P. Pritchard misses 3-pt jump shot from 26 ft,35-25, ,,2,35,25,10,881.0
9:15.0,Offensive rebound by J. Brown,35-25, ,,2,35,25,10,885.0
9:08.0,P. Pritchard misses 2-pt layup from 3 ft,35-25, ,,2,35,25,10,892.0
9:05.0, ,35-25,Defensive rebound by K. Brown,,2,35,25,10,895.0
9:01.0, ,35-28,J. Harden makes 3-pt jump shot from 26 ft,,2,35,28,7,899.0
8:47.0,J. Holiday makes 3-pt jump shot from 26 ft,38-28, ,,2,38,28,10,913.0
8:22.0, ,38-31,J. Harden makes 3-pt jump shot from 25 ft,,2,38,31,7,938.0
8:10.0,Personal foul by R. Westbrook (drawn by J. Brown),38-31, ,,2,38,31,7,950.0
8:10.0, ,38-31,T. Mann enters the game for R. Westbrook,,2,38,31,7,950.0
8:01.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Holiday),41-31, ,,2,41,31,10,959.0
7:40.0, ,41-34,K. Brown makes 3-pt jump shot from 27 ft (assist by J. Harden),,2,41,34,7,980.0
7:34.0,Personal foul by K. Brown (drawn by J. Brown),41-34, ,,2,41,34,7,986.0
7:26.0,O. Brissett makes 3-pt jump shot from 24 ft (assist by J. Holiday),44-34, ,,2,44,34,10,994.0
7:21.0, ,44-34,Personal foul by J. Holiday (drawn by J. Harden),,2,44,34,10,999.0
7:21.0,S. Hauser enters the game for O. Brissett,44-34, ,,2,44,34,10,999.0
7:21.0,N. Queta enters the game for A. Horford,44-34, ,,2,44,34,10,999.0
7:21.0, ,44-34,I. Zubac enters the game for D. Theis,,2,44,34,10,999.0
7:03.0, ,44-34,T. Mann misses 3-pt jump shot from 27 ft,,2,44,34,10,1017.0
6:59.0,Defensive rebound by P. Pritchard,44-34, ,,2,44,34,10,1021.0
6:53.0,S. Hauser makes 3-pt jump shot from 28 ft (assist by J. Brown),47-34, ,,2,47,34,13,1027.0
6:51.0, ,47-34,LA Clippers full timeout,,2,47,34,13,1029.0
6:51.0, ,47-34,P. George enters the game for N. Powell,,2,47,34,13,1029.0
6:35.0, ,47-36,I. Zubac makes 2-pt hook shot from 5 ft (assist by J. Harden),,2,47,36,11,1045.0
6:21.0,N. Queta misses 2-pt hook shot from 4 ft,47-36, ,,2,47,36,11,1059.0
6:20.0,Offensive rebound by N. Queta,47-36, ,,2,47,36,11,1060.0
6:20.0,Shooting foul by I. Zubac (drawn by N. Queta),47-36, ,,2,47,36,11,1060.0
6:20.0,N. Queta makes free throw 1 of 2,48-36, ,,2,48,36,12,1060.0
6:20.0,J. Tatum enters the game for P. Pritchard,48-36, ,,2,48,36,12,1060.0
6:20.0,N. Queta makes free throw 2 of 2,49-36, ,,2,49,36,13,1060.0
6:11.0, ,49-38,P. George makes 2-pt jump shot from 15 ft (assist by T. Mann),,2,49,38,11,1069.0
6:01.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Holiday),52-38, ,,2,52,38,14,1079.0
5:32.0, ,52-38,T. Mann misses 2-pt jump shot from 4 ft,,2,52,38,14,1108.0
5:30.0, ,52-38,Offensive rebound by I. Zubac,,2,52,38,14,1110.0
5:23.0, ,52-40,I. Zubac makes 2-pt layup from 2 ft (assist by K. Brown),,2,52,40,12,1117.0
