Time,Memphis,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:41.0,Shooting foul by L. Stevens (drawn by D. Roddy),85-112, ,,4,112,85,27,2479.0
6:41.0,D. Roddy misses free throw 1 of 1,85-112, ,,4,112,85,27,2479.0
6:41.0, ,85-112,Defensive rebound by N. Queta,,4,112,85,27,2479.0
6:22.0, ,85-114,N. Queta makes 2-pt hook shot from 2 ft (assist by S. Mykhailiuk),,4,114,85,29,2498.0
6:10.0,G. Jackson misses 2-pt jump shot from 6 ft,85-114, ,,4,114,85,29,2510.0
6:08.0, ,85-114,Defensive rebound by L. Stevens,,4,114,85,29,2512.0
6:01.0, ,85-114,L. Stevens misses 2-pt jump shot from 4 ft,,4,114,85,29,2519.0
6:00.0, ,85-114,Offensive rebound by N. Queta,,4,114,85,29,2520.0
5:59.0, ,85-116,N. Queta makes 2-pt dunk from 2 ft,,4,116,85,31,2521.0
5:43.0,Turnover by D. Roddy (lost ball; steal by J. Walsh),85-116, ,,4,116,85,31,2537.0
5:37.0, ,85-116,S. Mykhailiuk misses 3-pt jump shot from 28 ft,,4,116,85,31,2543.0
5:36.0,Defensive rebound by D. Roddy,85-116, ,,4,116,85,31,2544.0
5:21.0,G. Jackson misses 2-pt jump shot from 7 ft,85-116, ,,4,116,85,31,2559.0
5:19.0, ,85-116,Defensive rebound by N. Queta,,4,116,85,31,2561.0
5:05.0, ,85-116,S. Mykhailiuk misses 3-pt jump shot from 24 ft,,4,116,85,31,2575.0
5:03.0, ,85-116,Offensive rebound by L. Stevens,,4,116,85,31,2577.0
5:01.0, ,85-116,D. Banton misses 3-pt jump shot from 26 ft,,4,116,85,31,2579.0
4:59.0, ,85-116,Offensive rebound by N. Queta,,4,116,85,31,2581.0
4:51.0, ,85-118,N. Queta makes 2-pt dunk from 1 ft (assist by S. Mykhailiuk),,4,118,85,33,2589.0
4:50.0,Memphis full timeout,85-118, ,,4,118,85,33,2590.0
4:50.0,T. Jemison enters the game for J. Gilyard,85-118, ,,4,118,85,33,2590.0
4:50.0,S. Pippen  enters the game for G. Jackson,85-118, ,,4,118,85,33,2590.0
4:41.0,Personal foul by J. Walsh (drawn by D. Roddy),85-118, ,,4,118,85,33,2599.0
4:32.0,M. Hurt misses 3-pt jump shot from 24 ft,85-118, ,,4,118,85,33,2608.0
4:30.0,Offensive rebound by T. Jemison,85-118, ,,4,118,85,33,2610.0
4:27.0,M. Hurt misses 3-pt jump shot from 24 ft,85-118, ,,4,118,85,33,2613.0
4:26.0,Offensive rebound by S. Pippen ,85-118, ,,4,118,85,33,2614.0
4:21.0,D. Roddy misses 3-pt jump shot from 27 ft,85-118, ,,4,118,85,33,2619.0
4:19.0, ,85-118,Defensive rebound by D. Banton,,4,118,85,33,2621.0
4:11.0, ,85-121,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by D. Banton),,4,121,85,36,2629.0
3:54.0,D. Roddy misses 2-pt layup from 4 ft,85-121, ,,4,121,85,36,2646.0
3:52.0, ,85-121,Defensive rebound by N. Queta,,4,121,85,36,2648.0
3:39.0, ,85-121,D. Banton misses 2-pt layup from 6 ft (block by T. Jemison),,4,121,85,36,2661.0
3:38.0,Defensive rebound by Team,85-121, ,,4,121,85,36,2662.0
3:38.0,J. Gilyard enters the game for D. Roddy,85-121, ,,4,121,85,36,2662.0
3:21.0,M. Hurt makes 2-pt layup from 5 ft (assist by J. Gilyard),87-121, ,,4,121,87,34,2679.0
3:02.0, ,87-121,D. Banton misses 3-pt jump shot from 28 ft,,4,121,87,34,2698.0
3:00.0, ,87-121,Offensive rebound by J. Walsh,,4,121,87,34,2700.0
2:53.0, ,87-124,L. Stevens makes 3-pt jump shot from 24 ft (assist by J. Walsh),,4,124,87,37,2707.0
2:40.0,M. Hurt misses 3-pt jump shot from 26 ft,87-124, ,,4,124,87,37,2720.0
2:37.0, ,87-124,Defensive rebound by N. Queta,,4,124,87,37,2723.0
2:26.0, ,87-124,L. Stevens misses 2-pt jump shot from 8 ft,,4,124,87,37,2734.0
2:23.0,Defensive rebound by M. Hurt,87-124, ,,4,124,87,37,2737.0
2:11.0,Turnover by T. Evbuomwan (bad pass; steal by N. Queta),87-124, ,,4,124,87,37,2749.0
2:04.0, ,87-124,D. Banton misses 2-pt layup from 2 ft,,4,124,87,37,2756.0
2:02.0, ,87-124,Offensive rebound by N. Queta,,4,124,87,37,2758.0
2:02.0, ,87-126,N. Queta makes 2-pt layup at rim,,4,126,87,39,2758.0
1:48.0,S. Pippen  makes 2-pt jump shot from 15 ft,89-126, ,,4,126,89,37,2772.0
1:38.0, ,89-126,S. Mykhailiuk misses 3-pt jump shot from 27 ft,,4,126,89,37,2782.0
1:37.0,Defensive rebound by S. Pippen ,89-126, ,,4,126,89,37,2783.0
1:29.0,J. Gilyard misses 3-pt jump shot from 28 ft,89-126, ,,4,126,89,37,2791.0
1:27.0,Offensive rebound by T. Evbuomwan,89-126, ,,4,126,89,37,2793.0
1:18.0,S. Pippen  misses 2-pt jump shot from 14 ft,89-126, ,,4,126,89,37,2802.0
1:16.0, ,89-126,Defensive rebound by S. Mykhailiuk,,4,126,89,37,2804.0
0:59.0, ,89-129,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by D. Banton),,4,129,89,40,2821.0
0:44.0,Personal foul by J. Walsh (drawn by S. Pippen ),89-129, ,,4,129,89,40,2836.0
0:44.0,S. Pippen  makes free throw 1 of 2,90-129, ,,4,129,90,39,2836.0
0:44.0,S. Pippen  makes free throw 2 of 2,91-129, ,,4,129,91,38,2836.0
0:35.0, ,91-131,L. Stevens makes 2-pt layup from 2 ft (assist by S. Mykhailiuk),,4,131,91,40,2845.0
0:27.0,T. Jemison misses 2-pt jump shot from 10 ft,91-131, ,,4,131,91,40,2853.0
0:23.0, ,91-131,Defensive rebound by S. Mykhailiuk,,4,131,91,40,2857.0
0:00.0, ,91-131,Turnover by Team (shot clock),,4,131,91,40,2880.0
0:00.0,End of 4th quarter,91-131,,,4,131,91,40,2880.0
