Time,Orlando,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: G. Bitadze vs. K. Porziņģis (J. Suggs gains possession),0-0,,,1,0,0,0,0.0
11:34.0,F. Wagner misses 2-pt jump shot from 14 ft,0-0, ,,1,0,0,0,26.0
11:32.0, ,0-0,Defensive rebound by K. Porziņģis,,1,0,0,0,28.0
11:24.0, ,0-0,K. Porziņģis misses 3-pt jump shot from 26 ft,,1,0,0,0,36.0
11:23.0,Defensive rebound by P. Banchero,0-0, ,,1,0,0,0,37.0
11:08.0,A. Black misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,52.0
11:05.0, ,0-0,Defensive rebound by J. Tatum,,1,0,0,0,55.0
10:57.0, ,0-0,D. White misses 2-pt layup from 3 ft (block by G. Bitadze),,1,0,0,0,63.0
10:55.0,Defensive rebound by P. Banchero,0-0, ,,1,0,0,0,65.0
10:52.0,P. Banchero makes 2-pt layup from 5 ft,2-0, ,,1,0,2,-2,68.0
10:34.0, ,2-0,Turnover by K. Porziņģis (traveling),,1,0,2,-2,86.0
10:10.0,Turnover by Team (shot clock),2-0, ,,1,0,2,-2,110.0
9:58.0, ,2-0,Turnover by J. Holiday (bad pass; steal by P. Banchero),,1,0,2,-2,122.0
9:53.0,J. Suggs makes 2-pt dunk from 2 ft (assist by F. Wagner),4-0, ,,1,0,4,-4,127.0
9:43.0, ,4-0,Personal foul by G. Bitadze (drawn by K. Porziņģis),,1,0,4,-4,137.0
9:38.0, ,4-0,K. Porziņģis misses 2-pt layup from 7 ft,,1,0,4,-4,142.0
9:34.0, ,4-0,Offensive rebound by J. Holiday,,1,0,4,-4,146.0
9:34.0, ,4-2,J. Holiday makes 2-pt layup at rim,,1,2,4,-2,146.0
9:13.0,J. Suggs misses 3-pt jump shot from 23 ft,4-2, ,,1,2,4,-2,167.0
9:11.0, ,4-2,Defensive rebound by J. Holiday,,1,2,4,-2,169.0
9:07.0, ,4-2,J. Tatum misses 2-pt layup from 2 ft,,1,2,4,-2,173.0
9:05.0,Defensive rebound by J. Suggs,4-2, ,,1,2,4,-2,175.0
8:53.0,P. Banchero makes 2-pt jump shot from 15 ft,6-2, ,,1,2,6,-4,187.0
8:41.0, ,6-2,K. Porziņģis misses 2-pt jump shot from 17 ft,,1,2,6,-4,199.0
8:39.0,Defensive rebound by F. Wagner,6-2, ,,1,2,6,-4,201.0
8:27.0,P. Banchero misses 2-pt jump shot from 21 ft,6-2, ,,1,2,6,-4,213.0
8:24.0, ,6-2,Defensive rebound by K. Porziņģis,,1,2,6,-4,216.0
8:21.0, ,6-2,J. Tatum misses 2-pt layup from 7 ft,,1,2,6,-4,219.0
8:20.0, ,6-2,Offensive rebound by J. Tatum,,1,2,6,-4,220.0
8:20.0, ,6-2,J. Tatum misses 2-pt layup at rim,,1,2,6,-4,220.0
8:18.0, ,6-2,Offensive rebound by J. Tatum,,1,2,6,-4,222.0
8:17.0, ,6-4,J. Tatum makes 2-pt layup at rim,,1,4,6,-2,223.0
8:17.0, ,6-4,Violation by Team (delay of game),,1,4,6,-2,223.0
7:56.0,A. Black makes 3-pt jump shot from 24 ft (assist by F. Wagner),9-4, ,,1,4,9,-5,244.0
7:43.0, ,9-4,J. Brown misses 2-pt jump shot from 14 ft,,1,4,9,-5,257.0
7:41.0,Defensive rebound by G. Bitadze,9-4, ,,1,4,9,-5,259.0
7:35.0,J. Suggs misses 2-pt layup from 11 ft,9-4, ,,1,4,9,-5,265.0
7:33.0, ,9-4,Defensive rebound by K. Porziņģis,,1,4,9,-5,267.0
7:28.0, ,9-4,J. Brown misses 2-pt layup from 4 ft,,1,4,9,-5,272.0
7:28.0,Defensive rebound by Team,9-4, ,,1,4,9,-5,272.0
7:12.0,F. Wagner makes 2-pt layup from 7 ft,11-4, ,,1,4,11,-7,288.0
6:52.0, ,11-6,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),,1,6,11,-5,308.0
6:40.0,P. Banchero makes 2-pt jump shot from 16 ft (assist by A. Black),13-6, ,,1,6,13,-7,320.0
6:31.0, ,13-6,D. White misses 3-pt jump shot from 27 ft,,1,6,13,-7,329.0
6:31.0,Defensive rebound by P. Banchero,13-6, ,,1,6,13,-7,329.0
6:14.0,Personal foul by J. Tatum (drawn by F. Wagner),13-6, ,,1,6,13,-7,346.0
6:14.0, ,13-6,Boston full timeout,,1,6,13,-7,346.0
6:14.0,C. Houstan enters the game for F. Wagner,13-6, ,,1,6,13,-7,346.0
6:14.0, ,13-6,A. Horford enters the game for J. Tatum,,1,6,13,-7,346.0
6:03.0,J. Suggs misses 3-pt jump shot from 27 ft,13-6, ,,1,6,13,-7,357.0
5:59.0, ,13-6,Defensive rebound by K. Porziņģis,,1,6,13,-7,361.0
5:54.0, ,13-6,A. Horford misses 2-pt layup from 2 ft (block by G. Bitadze),,1,6,13,-7,366.0
5:53.0,Defensive rebound by P. Banchero,13-6, ,,1,6,13,-7,367.0
5:48.0,C. Houstan makes 3-pt jump shot from 27 ft (assist by P. Banchero),16-6, ,,1,6,16,-10,372.0
5:37.0, ,16-6,Personal foul by A. Black (drawn by J. Holiday),,1,6,16,-10,383.0
5:30.0, ,16-9,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by D. White),,1,9,16,-7,390.0
5:11.0,P. Banchero misses 3-pt jump shot from 29 ft,16-9, ,,1,9,16,-7,409.0
5:08.0,Offensive rebound by C. Houstan,16-9, ,,1,9,16,-7,412.0
4:57.0,G. Bitadze misses 2-pt layup from 7 ft (block by D. White),16-9, ,,1,9,16,-7,423.0
4:55.0, ,16-9,Defensive rebound by J. Brown,,1,9,16,-7,425.0
4:53.0, ,16-11,J. Holiday makes 2-pt layup from 1 ft (assist by J. Brown),,1,11,16,-5,427.0
4:36.0,Turnover by J. Suggs (bad pass; steal by K. Porziņģis),16-11, ,,1,11,16,-5,444.0
4:36.0, ,16-11,Personal foul by J. Suggs (drawn by K. Porziņģis),,1,11,16,-5,444.0
4:36.0,G. Harris enters the game for A. Black,16-11, ,,1,11,16,-5,444.0
4:36.0, ,16-11,S. Hauser enters the game for J. Holiday,,1,11,16,-5,444.0
4:25.0, ,16-11,K. Porziņģis misses 3-pt jump shot from 25 ft,,1,11,16,-5,455.0
4:21.0, ,16-11,Offensive rebound by A. Horford,,1,11,16,-5,459.0
4:20.0, ,16-13,A. Horford makes 2-pt layup from 2 ft,,1,13,16,-3,460.0
4:08.0,P. Banchero makes 3-pt jump shot from 27 ft,19-13, ,,1,13,19,-6,472.0
4:00.0, ,19-13,Personal foul by J. Suggs (drawn by J. Brown),,1,13,19,-6,480.0
4:00.0,C. Anthony enters the game for J. Suggs,19-13, ,,1,13,19,-6,480.0
3:54.0, ,19-15,D. White makes 2-pt layup from 3 ft,,1,15,19,-4,486.0
3:54.0, ,19-15,Shooting foul by C. Houstan (drawn by D. White),,1,15,19,-4,486.0
3:54.0, ,19-16,D. White makes free throw 1 of 1,,1,16,19,-3,486.0
