Time,New York,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Robinson vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-3,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Brown),,1,3,0,3,18.0
11:21.0,J. Brunson makes 2-pt jump shot from 14 ft,2-3, ,,1,3,2,1,39.0
11:13.0, ,2-3,J. Brown misses 3-pt jump shot from 26 ft,,1,3,2,1,47.0
11:11.0,Defensive rebound by Team,2-3, ,,1,3,2,1,49.0
10:56.0,Personal foul by J. Tatum (drawn by J. Hart),2-3, ,,1,3,2,1,64.0
10:48.0,J. Brunson makes 2-pt jump shot from 23 ft,4-3, ,Lead change,1,3,4,-1,72.0
10:26.0, ,4-3,J. Holiday misses 3-pt jump shot from 25 ft,,1,3,4,-1,94.0
10:22.0, ,4-3,Offensive rebound by J. Holiday,,1,3,4,-1,98.0
10:21.0, ,4-5,J. Tatum makes 2-pt layup from 1 ft (assist by J. Holiday),Lead change,1,5,4,1,99.0
10:03.0,J. Brunson misses 2-pt jump shot from 17 ft,4-5, ,,1,5,4,1,117.0
9:59.0,Offensive rebound by M. Robinson,4-5, ,,1,5,4,1,121.0
9:59.0,M. Robinson makes 2-pt dunk at rim,6-5, ,Lead change,1,5,6,-1,121.0
9:47.0, ,6-8,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Tatum),Lead change,1,8,6,2,133.0
9:31.0,J. Randle makes 3-pt jump shot from 27 ft,9-8, ,Lead change,1,8,9,-1,149.0
9:18.0, ,9-10,K. Porziņģis makes 2-pt dunk at rim (assist by J. Brown),Lead change,1,10,9,1,162.0
8:52.0,J. Randle misses 2-pt jump shot from 15 ft,9-10, ,,1,10,9,1,188.0
8:49.0, ,9-10,Defensive rebound by J. Holiday,,1,10,9,1,191.0
8:44.0, ,9-10,D. White misses 2-pt layup from 2 ft,,1,10,9,1,196.0
8:43.0,Defensive rebound by M. Robinson,9-10, ,,1,10,9,1,197.0
8:40.0,Q. Grimes misses 3-pt jump shot from 26 ft,9-10, ,,1,10,9,1,200.0
8:39.0, ,9-10,Defensive rebound by J. Brown,,1,10,9,1,201.0
8:17.0, ,9-12,J. Tatum makes 2-pt jump shot from 14 ft,,1,12,9,3,223.0
8:01.0,J. Randle makes 2-pt jump shot from 16 ft,11-12, ,,1,12,11,1,239.0
7:51.0, ,11-12,J. Brown misses 2-pt jump shot from 16 ft,,1,12,11,1,249.0
7:48.0,Defensive rebound by J. Randle,11-12, ,,1,12,11,1,252.0
7:27.0,J. Randle misses 3-pt jump shot from 26 ft,11-12, ,,1,12,11,1,273.0
7:26.0,Offensive rebound by Team,11-12, ,,1,12,11,1,274.0
7:26.0,Turnover by Team (shot clock),11-12, ,,1,12,11,1,274.0
7:12.0, ,11-14,J. Tatum makes 2-pt dunk at rim (assist by K. Porziņģis),,1,14,11,3,288.0
6:56.0,J. Hart makes 2-pt jump shot from 23 ft (assist by J. Brunson),13-14, ,,1,14,13,1,304.0
6:43.0, ,13-14,D. White misses 2-pt jump shot from 4 ft,,1,14,13,1,317.0
6:40.0,Defensive rebound by J. Brunson,13-14, ,,1,14,13,1,320.0
6:35.0,J. Brunson makes 2-pt jump shot from 17 ft,15-14, ,Lead change,1,14,15,-1,325.0
6:21.0, ,15-14,Personal foul by J. Randle (drawn by K. Porziņģis),,1,14,15,-1,339.0
6:21.0, ,15-14,Boston full timeout,,1,14,15,-1,339.0
6:21.0, ,15-14,A. Horford enters the game for J. Tatum,,1,14,15,-1,339.0
6:10.0, ,15-14,K. Porziņģis misses 3-pt jump shot from 27 ft,,1,14,15,-1,350.0
6:07.0,Defensive rebound by J. Randle,15-14, ,,1,14,15,-1,353.0
6:01.0,Shooting foul by A. Horford (drawn by J. Randle),15-14, ,,1,14,15,-1,359.0
6:01.0,J. Randle misses free throw 1 of 2,15-14, ,,1,14,15,-1,359.0
6:01.0,Offensive rebound by Team,15-14, ,,1,14,15,-1,359.0
6:01.0,J. Randle makes free throw 2 of 2,16-14, ,,1,14,16,-2,359.0
