Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: P. Reed vs. A. Horford (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:54.0,Turnover by P. Beverley (bad pass; steal by J. Brown),0-0, ,,1,0,0,0,6.0
11:51.0, ,0-2,J. Brown makes 2-pt dunk from 1 ft,,1,2,0,2,9.0
11:28.0,T. Harris makes 2-pt jump shot from 10 ft,2-2, ,Tie,1,2,2,0,32.0
11:14.0, ,2-2,Turnover by J. Brown (lost ball; steal by P. Beverley),,1,2,2,0,46.0
11:05.0,D. Melton makes 2-pt layup from 3 ft,4-2, ,Lead change,1,2,4,-2,55.0
10:57.0, ,4-5,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Holiday),Lead change,1,5,4,1,63.0
10:39.0,P. Beverley makes 2-pt jump shot from 9 ft,6-5, ,Lead change,1,5,6,-1,81.0
10:28.0, ,6-5,Turnover by J. Holiday (bad pass; steal by T. Harris),,1,5,6,-1,92.0
10:23.0,T. Harris makes 2-pt layup from 3 ft,8-5, ,,1,5,8,-3,97.0
10:07.0, ,8-8,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Tatum),Tie,1,8,8,0,113.0
9:56.0,D. Melton misses 3-pt jump shot from 27 ft,8-8, ,,1,8,8,0,124.0
9:55.0, ,8-8,Defensive rebound by J. Tatum,,1,8,8,0,125.0
9:46.0, ,8-11,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),Lead change,1,11,8,3,134.0
9:33.0,P. Reed makes 3-pt jump shot from 28 ft (assist by P. Beverley),11-11, ,Tie,1,11,11,0,147.0
9:20.0, ,11-11,J. Brown misses 2-pt layup from 4 ft (block by M. Morris),,1,11,11,0,160.0
9:19.0,Defensive rebound by P. Reed,11-11, ,,1,11,11,0,161.0
9:12.0,M. Morris misses 2-pt layup from 4 ft,11-11, ,,1,11,11,0,168.0
9:11.0, ,11-11,Defensive rebound by A. Horford,,1,11,11,0,169.0
9:06.0, ,11-11,J. Tatum misses 3-pt jump shot from 28 ft,,1,11,11,0,174.0
9:05.0, ,11-11,Offensive rebound by A. Horford,,1,11,11,0,175.0
8:57.0, ,11-13,J. Tatum makes 2-pt layup from 2 ft,,1,13,11,2,183.0
8:40.0,P. Reed makes 2-pt layup from 4 ft,13-13, ,Tie,1,13,13,0,200.0
8:40.0,Shooting foul by A. Horford (drawn by P. Reed),13-13, ,,1,13,13,0,200.0
8:40.0,P. Reed makes free throw 1 of 1,14-13, ,Lead change,1,13,14,-1,200.0
8:29.0, ,14-16,J. Holiday makes 3-pt jump shot from 27 ft (assist by J. Tatum),Lead change,1,16,14,2,211.0
8:10.0,D. Melton misses 3-pt jump shot from 24 ft,14-16, ,,1,16,14,2,230.0
8:08.0,Offensive rebound by T. Harris,14-16, ,,1,16,14,2,232.0
8:06.0,T. Harris makes 2-pt layup from 3 ft,16-16, ,Tie,1,16,16,0,234.0
7:51.0, ,16-18,J. Tatum makes 2-pt layup from 2 ft,,1,18,16,2,249.0
7:31.0,P. Beverley makes 2-pt layup from 3 ft,18-18, ,Tie,1,18,18,0,269.0
7:31.0, ,18-18,Boston full timeout,,1,18,18,0,269.0
7:31.0,F. Korkmaz enters the game for P. Beverley,18-18, ,,1,18,18,0,269.0
7:20.0, ,18-18,A. Horford misses 3-pt jump shot from 24 ft,,1,18,18,0,280.0
7:19.0,Defensive rebound by P. Reed,18-18, ,,1,18,18,0,281.0
7:06.0,T. Harris misses 2-pt jump shot from 19 ft,18-18, ,,1,18,18,0,294.0
7:05.0, ,18-18,Defensive rebound by J. Tatum,,1,18,18,0,295.0
7:01.0, ,18-18,Shooting foul by P. Reed (drawn by J. Tatum),,1,18,18,0,299.0
7:01.0, ,18-19,J. Tatum makes free throw 1 of 2,,1,19,18,1,299.0
7:01.0, ,18-19,J. Tatum misses free throw 2 of 2,,1,19,18,1,299.0
7:01.0,Defensive rebound by M. Morris,18-19, ,,1,19,18,1,299.0
6:49.0,Turnover by D. Melton (bad pass; steal by J. Brown),18-19, ,,1,19,18,1,311.0
6:45.0, ,18-21,J. Brown makes 2-pt layup from 2 ft,,1,21,18,3,315.0
6:38.0,T. Harris misses 2-pt layup from 7 ft (block by A. Horford),18-21, ,,1,21,18,3,322.0
6:37.0, ,18-21,Defensive rebound by J. Tatum,,1,21,18,3,323.0
6:29.0, ,18-21,Shooting foul by P. Reed (drawn by J. Tatum),,1,21,18,3,331.0
