Time,Boston,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Horford vs. M. Turner (O. Toppin gains possession),0-0,,,1,0,0,0,0.0
11:35.0, ,0-0,B. Brown misses 2-pt jump shot from 9 ft,,1,0,0,0,25.0
11:32.0,Defensive rebound by J. Brown,0-0, ,,1,0,0,0,28.0
11:20.0,J. Holiday misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,40.0
11:19.0, ,0-0,Defensive rebound by B. Brown,,1,0,0,0,41.0
11:14.0, ,0-0,Shooting foul by J. Brown (drawn by B. Brown),,1,0,0,0,46.0
11:14.0, ,0-1,B. Brown makes free throw 1 of 2,,1,0,1,-1,46.0
11:14.0, ,0-2,B. Brown makes free throw 2 of 2,,1,0,2,-2,46.0
10:54.0,J. Tatum makes 2-pt dunk from 2 ft (assist by D. White),2-2, ,Tie,1,2,2,0,66.0
10:31.0, ,2-4,M. Turner makes 2-pt jump shot from 6 ft (assist by B. Brown),,1,2,4,-2,89.0
10:20.0,J. Brown makes 2-pt jump shot from 14 ft (assist by J. Tatum),4-4, ,Tie,1,4,4,0,100.0
10:07.0, ,4-7,M. Turner makes 3-pt jump shot from 26 ft (assist by T. Haliburton),,1,4,7,-3,113.0
9:52.0,D. White misses 3-pt jump shot from 26 ft,4-7, ,,1,4,7,-3,128.0
9:49.0, ,4-7,Defensive rebound by O. Toppin,,1,4,7,-3,131.0
9:41.0, ,4-7,O. Toppin misses 2-pt layup from 4 ft (block by J. Holiday),,1,4,7,-3,139.0
9:38.0,Defensive rebound by J. Tatum,4-7, ,,1,4,7,-3,142.0
9:36.0,Shooting foul by B. Hield (drawn by J. Tatum),4-7, ,,1,4,7,-3,144.0
9:36.0,J. Tatum misses free throw 1 of 2,4-7, ,,1,4,7,-3,144.0
9:36.0,Offensive rebound by Team,4-7, ,,1,4,7,-3,144.0
9:36.0,J. Tatum makes free throw 2 of 2,5-7, ,,1,5,7,-2,144.0
9:27.0, ,5-7,M. Turner misses 3-pt jump shot from 24 ft,,1,5,7,-2,153.0
9:23.0,Defensive rebound by J. Brown,5-7, ,,1,5,7,-2,157.0
9:17.0,J. Holiday misses 3-pt jump shot from 25 ft,5-7, ,,1,5,7,-2,163.0
9:16.0, ,5-7,Defensive rebound by O. Toppin,,1,5,7,-2,164.0
9:09.0, ,5-10,B. Brown makes 3-pt jump shot from 25 ft (assist by O. Toppin),,1,5,10,-5,171.0
8:45.0,J. Tatum misses 2-pt jump shot from 6 ft,5-10, ,,1,5,10,-5,195.0
8:42.0, ,5-10,Defensive rebound by T. Haliburton,,1,5,10,-5,198.0
8:39.0, ,5-10,B. Hield misses 3-pt jump shot from 25 ft,,1,5,10,-5,201.0
8:36.0,Defensive rebound by A. Horford,5-10, ,,1,5,10,-5,204.0
8:30.0,Turnover by J. Holiday (bad pass),5-10, ,,1,5,10,-5,210.0
8:20.0, ,5-10,T. Haliburton misses 3-pt jump shot from 24 ft,,1,5,10,-5,220.0
8:16.0,Defensive rebound by D. White,5-10, ,,1,5,10,-5,224.0
8:11.0,J. Brown makes 2-pt dunk from 1 ft,7-10, ,,1,7,10,-3,229.0
7:53.0, ,7-10,M. Turner misses 3-pt jump shot from 26 ft,,1,7,10,-3,247.0
7:49.0,Defensive rebound by J. Tatum,7-10, ,,1,7,10,-3,251.0
7:45.0,J. Brown misses 3-pt jump shot from 26 ft,7-10, ,,1,7,10,-3,255.0
7:42.0, ,7-10,Defensive rebound by M. Turner,,1,7,10,-3,258.0
7:32.0, ,7-12,T. Haliburton makes 2-pt jump shot from 11 ft,,1,7,12,-5,268.0
7:13.0,J. Tatum misses 2-pt jump shot from 7 ft,7-12, ,,1,7,12,-5,287.0
7:12.0,Offensive rebound by J. Tatum,7-12, ,,1,7,12,-5,288.0
7:12.0,J. Tatum misses 2-pt layup at rim,7-12, ,,1,7,12,-5,288.0
7:12.0,Offensive rebound by Team,7-12, ,,1,7,12,-5,288.0
7:12.0, ,7-12,Loose ball foul by B. Brown (drawn by J. Tatum),,1,7,12,-5,288.0
7:07.0,J. Brown makes 2-pt jump shot from 10 ft,9-12, ,,1,9,12,-3,293.0
6:49.0, ,9-14,M. Turner makes 2-pt layup from 4 ft (assist by B. Brown),,1,9,14,-5,311.0
6:49.0, ,9-14,Shooting foul by A. Horford (drawn by M. Turner),,1,9,14,-5,311.0
6:49.0, ,9-14,Indiana full timeout,,1,9,14,-5,311.0
6:49.0,D. Banton enters the game for J. Holiday,9-14, ,,1,9,14,-5,311.0
6:49.0,S. Hauser enters the game for J. Tatum,9-14, ,,1,9,14,-5,311.0
6:49.0, ,9-14,B. Mathurin enters the game for T. Haliburton,,1,9,14,-5,311.0
6:49.0, ,9-14,T. McConnell enters the game for B. Hield,,1,9,14,-5,311.0
6:49.0, ,9-14,A. Nesmith enters the game for O. Toppin,,1,9,14,-5,311.0
6:49.0, ,9-15,M. Turner makes free throw 1 of 1,,1,9,15,-6,311.0
6:29.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by A. Horford),12-15, ,,1,12,15,-3,331.0
6:09.0, ,12-17,B. Brown makes 2-pt jump shot from 22 ft,,1,12,17,-5,351.0
5:59.0,Offensive foul by J. Brown (drawn by T. McConnell),12-17, ,,1,12,17,-5,361.0
5:59.0,Turnover by J. Brown (offensive foul),12-17, ,,1,12,17,-5,361.0
5:59.0, ,12-17,O. Toppin enters the game for M. Turner,,1,12,17,-5,361.0
5:45.0, ,12-17,B. Mathurin misses 2-pt layup from 4 ft,,1,12,17,-5,375.0
5:42.0,Defensive rebound by D. Banton,12-17, ,,1,12,17,-5,378.0
5:37.0,D. Banton misses 2-pt layup from 5 ft,12-17, ,,1,12,17,-5,383.0
5:34.0, ,12-17,Defensive rebound by T. McConnell,,1,12,17,-5,386.0
5:27.0, ,12-17,B. Brown misses 3-pt jump shot from 24 ft,,1,12,17,-5,393.0
5:22.0,Defensive rebound by D. Banton,12-17, ,,1,12,17,-5,398.0
5:17.0,Turnover by D. Banton (bad pass; steal by B. Brown),12-17, ,,1,12,17,-5,403.0
5:10.0, ,12-17,Turnover by B. Brown (lost ball; steal by D. White),,1,12,17,-5,410.0
5:06.0,J. Brown makes 2-pt layup from 4 ft,14-17, ,,1,14,17,-3,414.0
4:57.0, ,14-17,T. McConnell misses 2-pt jump shot from 4 ft,,1,14,17,-3,423.0
4:56.0,Defensive rebound by J. Brown,14-17, ,,1,14,17,-3,424.0
4:48.0,J. Brown misses 2-pt jump shot from 8 ft,14-17, ,,1,14,17,-3,432.0
4:44.0,Offensive rebound by S. Hauser,14-17, ,,1,14,17,-3,436.0
4:37.0,D. White makes 2-pt jump shot from 12 ft,16-17, ,,1,16,17,-1,443.0
4:16.0, ,16-19,O. Toppin makes 2-pt layup from 6 ft (assist by T. McConnell),,1,16,19,-3,464.0
3:52.0,D. White misses 3-pt jump shot from 23 ft,16-19, ,,1,16,19,-3,488.0
3:48.0, ,16-19,Defensive rebound by T. McConnell,,1,16,19,-3,492.0
3:36.0, ,16-19,B. Mathurin misses 2-pt layup from 4 ft,,1,16,19,-3,504.0
3:33.0,Defensive rebound by A. Horford,16-19, ,,1,16,19,-3,507.0
3:32.0,Turnover by A. Horford (bad pass; steal by B. Brown),16-19, ,,1,16,19,-3,508.0
3:22.0, ,16-19,B. Mathurin misses 2-pt jump shot from 17 ft,,1,16,19,-3,518.0
3:18.0,Defensive rebound by A. Horford,16-19, ,,1,16,19,-3,522.0
3:05.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by D. White),19-19, ,Tie,1,19,19,0,535.0
2:43.0, ,19-19,B. Brown misses 2-pt jump shot from 11 ft,,1,19,19,0,557.0
2:40.0,Defensive rebound by A. Horford,19-19, ,,1,19,19,0,560.0
2:35.0,J. Brown makes 2-pt layup from 2 ft,21-19, ,Lead change,1,21,19,2,565.0
2:34.0, ,21-19,Indiana full timeout,,1,21,19,2,566.0
2:34.0, ,21-19,Instant Replay,,1,21,19,2,566.0
2:34.0,J. Holiday enters the game for D. Banton,21-19, ,,1,21,19,2,566.0
2:34.0,L. Kornet enters the game for J. Brown,21-19, ,,1,21,19,2,566.0
2:34.0,P. Pritchard enters the game for A. Horford,21-19, ,,1,21,19,2,566.0
2:34.0,J. Tatum enters the game for D. White,21-19, ,,1,21,19,2,566.0
2:34.0, ,21-19,T. Haliburton enters the game for B. Brown,,1,21,19,2,566.0
2:34.0, ,21-19,M. Turner enters the game for O. Toppin,,1,21,19,2,566.0
2:14.0, ,21-22,B. Mathurin makes 3-pt jump shot from 23 ft,Lead change,1,21,22,-1,586.0
1:53.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by L. Kornet),24-22, ,Lead change,1,24,22,2,607.0
1:37.0, ,24-22,T. McConnell misses 2-pt jump shot from 17 ft,,1,24,22,2,623.0
1:35.0,Defensive rebound by J. Tatum,24-22, ,,1,24,22,2,625.0
1:26.0,S. Hauser misses 3-pt jump shot from 23 ft,24-22, ,,1,24,22,2,634.0
1:23.0, ,24-22,Defensive rebound by M. Turner,,1,24,22,2,637.0
1:18.0, ,24-22,Personal foul by S. Hauser (drawn by M. Turner),,1,24,22,2,642.0
1:18.0, ,24-22,B. Hield enters the game for T. McConnell,,1,24,22,2,642.0
1:11.0, ,24-22,M. Turner misses 2-pt hook shot from 9 ft,,1,24,22,2,649.0
1:07.0, ,24-22,Offensive rebound by B. Mathurin,,1,24,22,2,653.0
1:05.0, ,24-22,M. Turner misses 3-pt jump shot from 26 ft,,1,24,22,2,655.0
1:00.0,Defensive rebound by J. Tatum,24-22, ,,1,24,22,2,660.0
0:51.0,L. Kornet misses 2-pt layup from 4 ft,24-22, ,,1,24,22,2,669.0
0:49.0,Offensive rebound by L. Kornet,24-22, ,,1,24,22,2,671.0
0:49.0,L. Kornet misses 2-pt layup from 1 ft (block by M. Turner),24-22, ,,1,24,22,2,671.0
0:49.0, ,24-22,Defensive rebound by T. Haliburton,,1,24,22,2,671.0
0:42.0, ,24-22,A. Nesmith misses 3-pt jump shot from 27 ft,,1,24,22,2,678.0
0:39.0,Defensive rebound by J. Tatum,24-22, ,,1,24,22,2,681.0
0:34.0,P. Pritchard misses 3-pt jump shot from 30 ft,24-22, ,,1,24,22,2,686.0
0:30.0,Offensive rebound by J. Holiday,24-22, ,,1,24,22,2,690.0
0:18.0,J. Holiday misses 3-pt jump shot from 26 ft,24-22, ,,1,24,22,2,702.0
0:17.0,Offensive rebound by Team,24-22, ,,1,24,22,2,703.0
0:17.0,Turnover by Team (shot clock),24-22, ,,1,24,22,2,703.0
0:01.0, ,24-22,B. Mathurin misses 2-pt layup from 2 ft,,1,24,22,2,719.0
0:01.0,Defensive rebound by J. Holiday,24-22, ,,1,24,22,2,719.0
