Time,Boston,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:53.0,Defensive rebound by S. Hauser,105-98, ,,4,105,98,7,2407.0
7:53.0,Personal foul by C. White (drawn by S. Hauser),105-98, ,,4,105,98,7,2407.0
7:53.0, ,105-98,A. Caruso enters the game for D. Terry,,4,105,98,7,2407.0
7:37.0,D. White misses 3-pt jump shot from 25 ft,105-98, ,,4,105,98,7,2423.0
7:34.0, ,105-98,Defensive rebound by A. Drummond,,4,105,98,7,2426.0
7:20.0, ,105-100,D. DeRozan makes 2-pt jump shot from 15 ft,,4,105,100,5,2440.0
7:02.0,L. Kornet makes 2-pt dunk from 1 ft (assist by D. White),107-100, ,,4,107,100,7,2458.0
6:47.0, ,107-100,C. White misses 2-pt jump shot from 5 ft,,4,107,100,7,2473.0
6:45.0,Defensive rebound by L. Kornet,107-100, ,,4,107,100,7,2475.0
6:41.0,P. Pritchard misses 3-pt jump shot from 26 ft,107-100, ,,4,107,100,7,2479.0
6:37.0, ,107-100,Defensive rebound by D. DeRozan,,4,107,100,7,2483.0
6:30.0, ,107-100,Shooting foul by L. Kornet (drawn by D. DeRozan),,4,107,100,7,2490.0
6:30.0, ,107-100,Chicago full timeout,,4,107,100,7,2490.0
6:30.0,J. Tatum enters the game for O. Brissett,107-100, ,,4,107,100,7,2490.0
6:30.0, ,107-100,N. Vučević enters the game for A. Drummond,,4,107,100,7,2490.0
6:30.0, ,107-101,D. DeRozan makes free throw 1 of 2,,4,107,101,6,2490.0
6:30.0, ,107-102,D. DeRozan makes free throw 2 of 2,,4,107,102,5,2490.0
6:08.0,Turnover by J. Tatum (back court),107-102, ,,4,107,102,5,2512.0
6:08.0,A. Horford enters the game for S. Hauser,107-102, ,,4,107,102,5,2512.0
5:51.0, ,107-102,C. White misses 3-pt jump shot from 26 ft,,4,107,102,5,2529.0
5:49.0,Defensive rebound by L. Kornet,107-102, ,,4,107,102,5,2531.0
5:33.0,D. White makes 3-pt jump shot from 25 ft (assist by J. Tatum),110-102, ,,4,110,102,8,2547.0
5:21.0, ,110-104,A. Dosunmu makes 2-pt layup from 1 ft,,4,110,104,6,2559.0
4:59.0,J. Tatum misses 3-pt jump shot from 24 ft,110-104, ,,4,110,104,6,2581.0
4:59.0,Offensive rebound by Team,110-104, ,,4,110,104,6,2581.0
4:59.0, ,110-104,Loose ball foul by N. Vučević (drawn by L. Kornet),,4,110,104,6,2581.0
4:54.0,D. White makes 3-pt jump shot from 27 ft,113-104, ,,4,113,104,9,2586.0
4:35.0, ,113-107,A. Caruso makes 3-pt jump shot from 23 ft (assist by N. Vučević),,4,113,107,6,2605.0
4:20.0,D. White misses 3-pt jump shot from 25 ft,113-107, ,,4,113,107,6,2620.0
4:14.0, ,113-107,Defensive rebound by D. DeRozan,,4,113,107,6,2626.0
4:01.0, ,113-107,A. Dosunmu misses 3-pt jump shot from 24 ft,,4,113,107,6,2639.0
3:59.0,Defensive rebound by P. Pritchard,113-107, ,,4,113,107,6,2641.0
3:43.0,L. Kornet misses 2-pt layup at rim,113-107, ,,4,113,107,6,2657.0
3:39.0,Offensive rebound by L. Kornet,113-107, ,,4,113,107,6,2661.0
3:39.0,L. Kornet makes 2-pt layup at rim,115-107, ,,4,115,107,8,2661.0
3:28.0, ,115-107,A. Dosunmu misses 2-pt hook shot from 2 ft,,4,115,107,8,2672.0
3:26.0,Defensive rebound by A. Horford,115-107, ,,4,115,107,8,2674.0
3:04.0,J. Tatum makes 2-pt layup from 2 ft,117-107, ,,4,117,107,10,2696.0
2:48.0, ,117-109,D. DeRozan makes 2-pt layup from 1 ft (assist by A. Caruso),,4,117,109,8,2712.0
2:15.0,Shooting foul by N. Vučević (drawn by J. Tatum),117-109, ,,4,117,109,8,2745.0
2:15.0,Boston full timeout,117-109, ,,4,117,109,8,2745.0
2:15.0,S. Hauser enters the game for L. Kornet,117-109, ,,4,117,109,8,2745.0
2:15.0,J. Tatum makes free throw 1 of 2,118-109, ,,4,118,109,9,2745.0
2:15.0,J. Tatum makes free throw 2 of 2,119-109, ,,4,119,109,10,2745.0
2:04.0, ,119-109,Turnover by C. White (lost ball; steal by J. Tatum),,4,119,109,10,2756.0
2:04.0,Personal foul by C. White (drawn by J. Tatum),119-109, ,,4,119,109,10,2756.0
2:04.0,J. Tatum makes free throw 1 of 2,120-109, ,,4,120,109,11,2756.0
2:04.0,J. Tatum makes free throw 2 of 2,121-109, ,,4,121,109,12,2756.0
1:50.0, ,121-111,N. Vučević makes 2-pt hook shot from 7 ft,,4,121,111,10,2770.0
1:29.0,S. Hauser makes 3-pt jump shot from 24 ft (assist by J. Tatum),124-111, ,,4,124,111,13,2791.0
1:19.0, ,124-113,C. White makes 2-pt layup from 2 ft (assist by N. Vučević),,4,124,113,11,2801.0
0:58.0,Turnover by J. Tatum (bad pass),124-113, ,,4,124,113,11,2822.0
0:54.0, ,124-113,Turnover by D. DeRozan (out of bounds lost ball),,4,124,113,11,2826.0
0:54.0,Boston full timeout,124-113, ,,4,124,113,11,2826.0
0:54.0,Instant Replay (Challenge: Ruling Stands),124-113, ,,4,124,113,11,2826.0
0:46.0,Boston full timeout,124-113, ,,4,124,113,11,2834.0
0:46.0, ,124-113,O. Bitim enters the game for A. Caruso,,4,124,113,11,2834.0
0:46.0, ,124-113,T. Craig enters the game for D. DeRozan,,4,124,113,11,2834.0
0:46.0, ,124-113,T. Taylor enters the game for N. Vučević,,4,124,113,11,2834.0
0:46.0, ,124-113,D. Terry enters the game for C. White,,4,124,113,11,2834.0
0:28.0,J. Tatum misses 3-pt jump shot from 29 ft,124-113, ,,4,124,113,11,2852.0
0:26.0, ,124-113,Defensive rebound by D. Terry,,4,124,113,11,2854.0
0:15.0, ,124-113,D. Terry misses 2-pt jump shot from 6 ft,,4,124,113,11,2865.0
0:13.0,Defensive rebound by P. Pritchard,124-113, ,,4,124,113,11,2867.0
0:00.0,End of 4th quarter,124-113,,,4,124,113,11,2880.0
