Time,Oklahoma City,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:13.0,C. Wallace makes free throw 1 of 2,65-74, ,,3,74,65,9,1787.0
6:13.0,C. Wallace makes free throw 2 of 2,66-74, ,,3,74,66,8,1787.0
5:56.0, ,66-74,J. Tatum misses 2-pt jump shot from 19 ft,,3,74,66,8,1804.0
5:54.0,Defensive rebound by C. Holmgren,66-74, ,,3,74,66,8,1806.0
5:42.0,L. Dort makes 2-pt layup from 2 ft (assist by C. Wallace),68-74, ,,3,74,68,6,1818.0
5:22.0, ,68-77,A. Horford makes 3-pt jump shot from 28 ft (assist by P. Pritchard),,3,77,68,9,1838.0
5:10.0,Personal foul by J. Tatum (drawn by L. Dort),68-77, ,,3,77,68,9,1850.0
5:10.0,L. Dort makes free throw 1 of 2,69-77, ,,3,77,69,8,1850.0
5:10.0,J. Williams enters the game for C. Holmgren,69-77, ,,3,77,69,8,1850.0
5:10.0,L. Dort makes free throw 2 of 2,70-77, ,,3,77,70,7,1850.0
4:55.0, ,70-77,J. Holiday misses 3-pt jump shot from 26 ft,,3,77,70,7,1865.0
4:53.0,Defensive rebound by J. Williams,70-77, ,,3,77,70,7,1867.0
4:41.0,Personal foul by A. Horford (drawn by I. Joe),70-77, ,,3,77,70,7,1879.0
4:41.0,I. Joe makes free throw 1 of 2,71-77, ,,3,77,71,6,1879.0
4:41.0,I. Joe makes free throw 2 of 2,72-77, ,,3,77,72,5,1879.0
4:29.0, ,72-77,Shooting foul by L. Dort (drawn by J. Tatum),,3,77,72,5,1891.0
4:29.0, ,72-78,J. Tatum makes free throw 1 of 2,,3,78,72,6,1891.0
4:29.0, ,72-79,J. Tatum makes free throw 2 of 2,,3,79,72,7,1891.0
4:13.0,Turnover by C. Wallace (bad pass; steal by P. Pritchard),72-79, ,,3,79,72,7,1907.0
4:10.0, ,72-82,S. Hauser makes 3-pt jump shot from 24 ft (assist by J. Tatum),,3,82,72,10,1910.0
4:08.0,Oklahoma City full timeout,72-82, ,,3,82,72,10,1912.0
4:08.0,A. Wiggins enters the game for L. Dort,72-82, ,,3,82,72,10,1912.0
4:08.0,K. Williams enters the game for C. Wallace,72-82, ,,3,82,72,10,1912.0
4:08.0, ,72-82,J. Brown enters the game for J. Holiday,,3,82,72,10,1912.0
4:00.0,K. Williams makes 3-pt jump shot from 23 ft (assist by A. Wiggins),75-82, ,,3,82,75,7,1920.0
3:43.0, ,75-82,Shooting foul by A. Wiggins (drawn by J. Tatum),,3,82,75,7,1937.0
3:43.0, ,75-83,J. Tatum makes free throw 1 of 2,,3,83,75,8,1937.0
3:43.0,C. Holmgren enters the game for J. Williams,75-83, ,,3,83,75,8,1937.0
3:43.0, ,75-83,K. Porziņģis enters the game for A. Horford,,3,83,75,8,1937.0
3:43.0, ,75-84,J. Tatum makes free throw 2 of 2,,3,84,75,9,1937.0
3:35.0,Shooting foul by S. Hauser (drawn by I. Joe),75-84, ,,3,84,75,9,1945.0
3:35.0,I. Joe makes free throw 1 of 2,76-84, ,,3,84,76,8,1945.0
3:35.0,L. Dort enters the game for J. Giddey,76-84, ,,3,84,76,8,1945.0
3:35.0,I. Joe misses free throw 2 of 2,76-84, ,,3,84,76,8,1945.0
3:33.0,Offensive rebound by Team,76-84, ,,3,84,76,8,1947.0
3:33.0,Turnover by K. Williams (bad pass; steal by P. Pritchard),76-84, ,,3,84,76,8,1947.0
3:26.0, ,76-84,S. Hauser misses 2-pt jump shot from 21 ft,,3,84,76,8,1954.0
3:23.0, ,76-84,Offensive rebound by J. Tatum,,3,84,76,8,1957.0
3:15.0, ,76-87,J. Tatum makes 3-pt jump shot from 23 ft,,3,87,76,11,1965.0
2:56.0,A. Wiggins misses 2-pt layup from 4 ft,76-87, ,,3,87,76,11,1984.0
2:53.0, ,76-87,Defensive rebound by K. Porziņģis,,3,87,76,11,1987.0
2:38.0, ,76-89,K. Porziņģis makes 2-pt layup from 4 ft,,3,89,76,13,2002.0
2:25.0,Shooting foul by J. Brown (drawn by L. Dort),76-89, ,,3,89,76,13,2015.0
2:25.0,L. Dort makes free throw 1 of 2,77-89, ,,3,89,77,12,2015.0
2:25.0,G. Hayward enters the game for A. Wiggins,77-89, ,,3,89,77,12,2015.0
2:25.0,L. Dort makes free throw 2 of 2,78-89, ,,3,89,78,11,2015.0
2:10.0, ,78-89,P. Pritchard misses 3-pt jump shot from 28 ft,,3,89,78,11,2030.0
2:08.0,Defensive rebound by C. Holmgren,78-89, ,,3,89,78,11,2032.0
1:58.0,I. Joe makes 3-pt jump shot from 29 ft (assist by C. Holmgren),81-89, ,,3,89,81,8,2042.0
1:36.0, ,81-91,K. Porziņģis makes 2-pt jump shot from 11 ft,,3,91,81,10,2064.0
1:18.0,K. Williams makes 2-pt layup from 2 ft (assist by G. Hayward),83-91, ,,3,91,83,8,2082.0
1:01.0, ,83-91,Turnover by J. Brown (out of bounds lost ball),,3,91,83,8,2099.0
0:50.0,G. Hayward misses 2-pt jump shot from 6 ft,83-91, ,,3,91,83,8,2110.0
0:49.0, ,83-91,Defensive rebound by S. Hauser,,3,91,83,8,2111.0
0:29.0, ,83-91,S. Hauser misses 3-pt jump shot from 26 ft,,3,91,83,8,2131.0
0:27.0,Defensive rebound by I. Joe,83-91, ,,3,91,83,8,2133.0
0:18.0,Turnover by C. Holmgren (traveling),83-91, ,,3,91,83,8,2142.0
0:18.0,C. Wallace enters the game for I. Joe,83-91, ,,3,91,83,8,2142.0
0:06.0, ,83-91,Personal foul by L. Dort (drawn by J. Tatum),,3,91,83,8,2154.0
0:06.0,Oklahoma City full timeout,83-91, ,,3,91,83,8,2154.0
0:06.0,Instant Replay (Challenge: Stands),83-91, ,,3,91,83,8,2154.0
0:06.0,J. Giddey enters the game for C. Wallace,83-91, ,,3,91,83,8,2154.0
0:06.0,I. Joe enters the game for K. Williams,83-91, ,,3,91,83,8,2154.0
0:06.0, ,83-91,J. Holiday enters the game for K. Porziņģis,,3,91,83,8,2154.0
0:06.0, ,83-92,J. Tatum makes free throw 1 of 2,,3,92,83,9,2154.0
0:06.0, ,83-93,J. Tatum makes free throw 2 of 2,,3,93,83,10,2154.0
0:01.0,J. Giddey misses 2-pt jump shot from 13 ft,83-93, ,,3,93,83,10,2159.0
0:00.0,Offensive rebound by Team,83-93, ,,3,93,83,10,2160.0
0:00.0,End of 3rd quarter,83-93,,,3,93,83,10,2160.0
12:00.0,Start of 4th quarter,83-93,,,4,93,83,10,2160.0
11:43.0, ,83-96,J. Brown makes 3-pt jump shot from 29 ft (assist by J. Holiday),,4,96,83,13,2177.0
11:17.0,C. Wallace makes 2-pt jump shot from 20 ft,85-96, ,,4,96,85,11,2203.0
11:09.0, ,85-96,Personal foul by C. Holmgren (drawn by K. Porziņģis),,4,96,85,11,2211.0
11:09.0,A. Wiggins enters the game for I. Joe,85-96, ,,4,96,85,11,2211.0
11:06.0, ,85-96,D. White misses 2-pt jump shot from 7 ft,,4,96,85,11,2214.0
11:04.0, ,85-96,Offensive rebound by Team,,4,96,85,11,2216.0
10:58.0, ,85-98,K. Porziņģis makes 2-pt jump shot from 6 ft (assist by D. White),,4,98,85,13,2222.0
10:43.0,C. Wallace makes 2-pt jump shot from 13 ft,87-98, ,,4,98,87,11,2237.0
10:24.0, ,87-100,J. Brown makes 2-pt jump shot from 14 ft,,4,100,87,13,2256.0
10:07.0,Turnover by C. Wallace (bad pass; steal by J. Brown),87-100, ,,4,100,87,13,2273.0
10:04.0, ,87-102,J. Brown makes 2-pt dunk from 2 ft,,4,102,87,15,2276.0
9:36.0,Turnover by C. Wallace (out of bounds lost ball),87-102, ,,4,102,87,15,2304.0
9:12.0, ,87-105,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Brown),,4,105,87,18,2328.0
9:12.0,Oklahoma City full timeout,87-105, ,,4,105,87,18,2328.0
9:12.0,J. Giddey enters the game for G. Hayward,87-105, ,,4,105,87,18,2328.0
9:12.0,J. Williams enters the game for C. Holmgren,87-105, ,,4,105,87,18,2328.0
8:56.0,A. Wiggins makes 2-pt layup from 3 ft (assist by J. Williams),89-105, ,,4,105,89,16,2344.0
8:56.0,Shooting foul by D. White (drawn by A. Wiggins),89-105, ,,4,105,89,16,2344.0
8:56.0,A. Wiggins makes free throw 1 of 1,90-105, ,,4,105,90,15,2344.0
8:38.0, ,90-108,D. White makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),,4,108,90,18,2362.0
8:28.0,C. Wallace misses 2-pt layup from 4 ft,90-108, ,,4,108,90,18,2372.0
8:27.0, ,90-108,Defensive rebound by J. Brown,,4,108,90,18,2373.0
8:21.0, ,90-111,J. Brown makes 3-pt jump shot from 27 ft,,4,111,90,21,2379.0
7:57.0,K. Williams misses 2-pt dunk from 3 ft (block by K. Porziņģis),90-111, ,,4,111,90,21,2403.0
7:56.0, ,90-111,Defensive rebound by A. Horford,,4,111,90,21,2404.0
7:54.0, ,90-111,Turnover by A. Horford (lost ball; steal by C. Wallace),,4,111,90,21,2406.0
7:50.0,J. Giddey misses 3-pt jump shot from 28 ft,90-111, ,,4,111,90,21,2410.0
7:48.0, ,90-111,Defensive rebound by K. Porziņģis,,4,111,90,21,2412.0
7:34.0, ,90-111,A. Horford misses 3-pt jump shot from 24 ft,,4,111,90,21,2426.0
7:33.0,Defensive rebound by J. Giddey,90-111, ,,4,111,90,21,2427.0
7:13.0,Turnover by J. Giddey (lost ball; steal by D. White),90-111, ,,4,111,90,21,2447.0
7:07.0, ,90-113,K. Porziņģis makes 2-pt dunk from 3 ft (assist by D. White),,4,113,90,23,2453.0
6:52.0,Personal foul by J. Brown (drawn by A. Wiggins),90-113, ,,4,113,90,23,2468.0
6:44.0,Turnover by C. Wallace (traveling),90-113, ,,4,113,90,23,2476.0
6:32.0, ,90-116,D. White makes 3-pt jump shot from 24 ft (assist by A. Horford),,4,116,90,26,2488.0
6:16.0,A. Wiggins misses 2-pt layup from 3 ft,90-116, ,,4,116,90,26,2504.0
6:15.0, ,90-116,Defensive rebound by J. Brown,,4,116,90,26,2505.0
6:06.0, ,90-118,J. Holiday makes 2-pt layup from 4 ft (assist by J. Brown),,4,118,90,28,2514.0
6:06.0,Oklahoma City full timeout,90-118, ,,4,118,90,28,2514.0
6:06.0,G. Hayward enters the game for J. Giddey,90-118, ,,4,118,90,28,2514.0
6:06.0,M. Muscala enters the game for C. Wallace,90-118, ,,4,118,90,28,2514.0
6:06.0,L. Waters enters the game for J. Williams,90-118, ,,4,118,90,28,2514.0
6:06.0, ,90-118,P. Pritchard enters the game for A. Horford,,4,118,90,28,2514.0
5:49.0,L. Waters makes 2-pt jump shot from 22 ft (assist by A. Wiggins),92-118, ,,4,118,92,26,2531.0
5:28.0, ,92-118,Turnover by J. Holiday (bad pass; steal by K. Williams),,4,118,92,26,2552.0
5:25.0,K. Williams makes 2-pt layup from 1 ft,94-118, ,,4,118,94,24,2555.0
5:11.0, ,94-118,P. Pritchard misses 3-pt jump shot from 24 ft,,4,118,94,24,2569.0
5:08.0,Defensive rebound by M. Muscala,94-118, ,,4,118,94,24,2572.0
4:59.0,A. Wiggins misses 2-pt dunk from 4 ft (block by K. Porziņģis),94-118, ,,4,118,94,24,2581.0
4:58.0, ,94-118,Defensive rebound by K. Porziņģis,,4,118,94,24,2582.0
4:53.0, ,94-121,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Holiday),,4,121,94,27,2587.0
4:37.0,K. Williams misses 3-pt jump shot from 27 ft,94-121, ,,4,121,94,27,2603.0
4:35.0, ,94-121,Defensive rebound by J. Brown,,4,121,94,27,2605.0
4:27.0, ,94-121,J. Brown misses 3-pt jump shot from 28 ft,,4,121,94,27,2613.0
4:26.0,Defensive rebound by L. Waters,94-121, ,,4,121,94,27,2614.0
4:07.0,M. Muscala makes 2-pt layup from 1 ft (assist by L. Waters),96-121, ,,4,121,96,25,2633.0
3:35.0, ,96-121,Shooting foul by K. Williams (drawn by J. Brown),,4,121,96,25,2665.0
3:35.0, ,96-121,Instant Replay,,4,121,96,25,2665.0
3:35.0, ,96-121,J. Brown misses free throw 1 of 3,,4,121,96,25,2665.0
3:35.0, ,96-121,Offensive rebound by Team,,4,121,96,25,2665.0
3:35.0, ,96-122,J. Brown makes free throw 2 of 3,,4,122,96,26,2665.0
3:35.0,B. Biyombo enters the game for K. Williams,96-122, ,,4,122,96,26,2665.0
3:35.0, ,96-122,S. Hauser enters the game for J. Holiday,,4,122,96,26,2665.0
3:35.0, ,96-122,L. Kornet enters the game for K. Porziņģis,,4,122,96,26,2665.0
3:35.0, ,96-122,S. Mykhailiuk enters the game for D. White,,4,122,96,26,2665.0
3:35.0, ,96-123,J. Brown makes free throw 3 of 3,,4,123,96,27,2665.0
3:29.0,Personal take foul by J. Brown (drawn by G. Hayward),96-123, ,,4,123,96,27,2671.0
3:29.0, ,96-123,O. Brissett enters the game for J. Brown,,4,123,96,27,2671.0
3:22.0,G. Hayward misses 2-pt jump shot from 8 ft,96-123, ,,4,123,96,27,2678.0
3:21.0, ,96-123,Defensive rebound by P. Pritchard,,4,123,96,27,2679.0
3:01.0, ,96-125,S. Hauser makes 2-pt jump shot from 10 ft (assist by S. Mykhailiuk),,4,125,96,29,2699.0
2:51.0,L. Waters misses 3-pt jump shot from 27 ft,96-125, ,,4,125,96,29,2709.0
2:50.0, ,96-125,Defensive rebound by P. Pritchard,,4,125,96,29,2710.0
2:30.0, ,96-127,S. Hauser makes 2-pt jump shot from 14 ft (assist by S. Mykhailiuk),,4,127,96,31,2730.0
2:17.0,A. Wiggins misses 2-pt jump shot from 4 ft,96-127, ,,4,127,96,31,2743.0
2:16.0, ,96-127,Defensive rebound by L. Kornet,,4,127,96,31,2744.0
2:11.0, ,96-127,P. Pritchard misses 2-pt layup from 5 ft (block by M. Muscala),,4,127,96,31,2749.0
2:11.0, ,96-127,Offensive rebound by Team,,4,127,96,31,2749.0
2:00.0, ,96-129,L. Kornet makes 2-pt layup from 2 ft (assist by P. Pritchard),,4,129,96,33,2760.0
1:50.0,B. Biyombo makes 2-pt hook shot from 7 ft (assist by A. Wiggins),98-129, ,,4,129,98,31,2770.0
1:36.0, ,98-131,P. Pritchard makes 2-pt jump shot from 15 ft,,4,131,98,33,2784.0
1:24.0,Turnover by A. Wiggins (lost ball; steal by L. Kornet),98-131, ,,4,131,98,33,2796.0
1:20.0, ,98-131,Shooting foul by L. Waters (drawn by O. Brissett),,4,131,98,33,2800.0
1:20.0, ,98-132,O. Brissett makes free throw 1 of 2,,4,132,98,34,2800.0
1:20.0, ,98-133,O. Brissett makes free throw 2 of 2,,4,133,98,35,2800.0
1:01.0,L. Waters makes 2-pt jump shot from 7 ft,100-133, ,,4,133,100,33,2819.0
0:50.0, ,100-135,P. Pritchard makes 2-pt layup from 3 ft,,4,135,100,35,2830.0
0:31.0,G. Hayward misses 3-pt jump shot from 23 ft,100-135, ,,4,135,100,35,2849.0
0:30.0, ,100-135,Defensive rebound by O. Brissett,,4,135,100,35,2850.0
0:06.0, ,100-135,Turnover by Team (shot clock),,4,135,100,35,2874.0
0:00.0,End of 4th quarter,100-135,,,4,135,100,35,2880.0
