Time,Oklahoma City,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:26.0, ,21-24,Defensive rebound by J. Tatum,,1,24,21,3,634.0
1:16.0, ,21-26,A. Horford makes 2-pt layup from 3 ft (assist by P. Pritchard),,1,26,21,5,644.0
1:02.0,K. Williams misses 2-pt layup from 5 ft,21-26, ,,1,26,21,5,658.0
0:59.0, ,21-26,Defensive rebound by J. Tatum,,1,26,21,5,661.0
0:52.0, ,21-26,J. Holiday misses 3-pt jump shot from 26 ft,,1,26,21,5,668.0
0:51.0, ,21-26,Offensive rebound by P. Pritchard,,1,26,21,5,669.0
0:46.0, ,21-26,P. Pritchard misses 2-pt jump shot from 5 ft (block by L. Dort),,1,26,21,5,674.0
0:45.0, ,21-26,Offensive rebound by A. Horford,,1,26,21,5,675.0
0:44.0, ,21-28,A. Horford makes 2-pt layup from 5 ft,,1,28,21,7,676.0
0:33.0,I. Joe misses 3-pt jump shot from 27 ft,21-28, ,,1,28,21,7,687.0
0:31.0, ,21-28,Defensive rebound by J. Tatum,,1,28,21,7,689.0
0:27.0, ,21-30,J. Holiday makes 2-pt layup from 1 ft (assist by P. Pritchard),,1,30,21,9,693.0
0:17.0,Shooting foul by J. Holiday (drawn by L. Dort),21-30, ,,1,30,21,9,703.0
0:17.0,L. Dort makes free throw 1 of 2,22-30, ,,1,30,22,8,703.0
0:17.0,A. Wiggins enters the game for I. Joe,22-30, ,,1,30,22,8,703.0
0:17.0,L. Dort makes free throw 2 of 2,23-30, ,,1,30,23,7,703.0
0:01.0, ,23-30,S. Hauser misses 3-pt jump shot from 25 ft,,1,30,23,7,719.0
0:00.0, ,23-30,Offensive rebound by Team,,1,30,23,7,720.0
0:00.0,End of 1st quarter,23-30,,,1,30,23,7,720.0
12:00.0,Start of 2nd quarter,23-30,,,2,30,23,7,720.0
11:51.0,G. Hayward misses 2-pt jump shot from 20 ft,23-30, ,,2,30,23,7,729.0
11:48.0, ,23-30,Defensive rebound by K. Porziņģis,,2,30,23,7,732.0
11:32.0, ,23-30,Shooting foul by A. Wiggins (drawn by J. Tatum),,2,30,23,7,748.0
11:32.0, ,23-31,J. Tatum makes free throw 1 of 2,,2,31,23,8,748.0
11:32.0, ,23-32,J. Tatum makes free throw 2 of 2,,2,32,23,9,748.0
11:24.0,Turnover by A. Wiggins (bad pass; steal by K. Porziņģis),23-32, ,,2,32,23,9,756.0
11:14.0, ,23-32,A. Horford misses 2-pt layup from 4 ft (block by A. Wiggins),,2,32,23,9,766.0
11:12.0,Defensive rebound by L. Dort,23-32, ,,2,32,23,9,768.0
11:01.0,Turnover by L. Dort (bad pass; steal by J. Tatum),23-32, ,,2,32,23,9,779.0
10:55.0, ,23-32,Turnover by J. Holiday (lost ball; steal by G. Hayward),,2,32,23,9,785.0
10:50.0,C. Holmgren makes 2-pt layup from 3 ft (assist by G. Hayward),25-32, ,,2,32,25,7,790.0
10:32.0, ,25-32,P. Pritchard misses 3-pt jump shot from 23 ft,,2,32,25,7,808.0
10:31.0,Defensive rebound by G. Hayward,25-32, ,,2,32,25,7,809.0
10:19.0,L. Dort misses 3-pt jump shot from 23 ft,25-32, ,,2,32,25,7,821.0
10:18.0, ,25-32,Defensive rebound by J. Holiday,,2,32,25,7,822.0
10:12.0, ,25-34,J. Holiday makes 2-pt layup from 1 ft,,2,34,25,9,828.0
9:52.0,A. Wiggins misses 2-pt layup from 6 ft (block by K. Porziņģis),25-34, ,,2,34,25,9,848.0
9:51.0,Offensive rebound by Team,25-34, ,,2,34,25,9,849.0
9:51.0,Oklahoma City full timeout,25-34, ,,2,34,25,9,849.0
9:47.0,A. Wiggins misses 2-pt layup from 3 ft (block by K. Porziņģis),25-34, ,,2,34,25,9,853.0
9:44.0, ,25-34,Defensive rebound by K. Porziņģis,,2,34,25,9,856.0
9:36.0, ,25-34,J. Tatum misses 2-pt jump shot from 9 ft,,2,34,25,9,864.0
9:35.0,Defensive rebound by L. Dort,25-34, ,,2,34,25,9,865.0
9:25.0,L. Dort misses 2-pt layup from 4 ft,25-34, ,,2,34,25,9,875.0
9:24.0, ,25-34,Defensive rebound by J. Holiday,,2,34,25,9,876.0
9:18.0, ,25-34,A. Horford misses 3-pt jump shot from 23 ft,,2,34,25,9,882.0
9:17.0, ,25-34,Offensive rebound by K. Porziņģis,,2,34,25,9,883.0
9:17.0, ,25-36,K. Porziņģis makes 2-pt dunk from 2 ft,,2,36,25,11,883.0
8:57.0,C. Holmgren misses 2-pt jump shot from 5 ft,25-36, ,,2,36,25,11,903.0
8:56.0, ,25-36,Defensive rebound by J. Holiday,,2,36,25,11,904.0
8:51.0, ,25-36,P. Pritchard misses 2-pt layup from 2 ft,,2,36,25,11,909.0
8:50.0,Defensive rebound by G. Hayward,25-36, ,,2,36,25,11,910.0
8:40.0,C. Holmgren misses 2-pt layup from 4 ft,25-36, ,,2,36,25,11,920.0
8:39.0, ,25-36,Defensive rebound by K. Porziņģis,,2,36,25,11,921.0
8:23.0, ,25-38,K. Porziņģis makes 2-pt jump shot from 10 ft (assist by J. Holiday),,2,38,25,13,937.0
8:12.0,A. Wiggins misses 2-pt jump shot from 22 ft,25-38, ,,2,38,25,13,948.0
8:10.0,Offensive rebound by L. Dort,25-38, ,,2,38,25,13,950.0
8:08.0,L. Dort makes 2-pt layup from 3 ft,27-38, ,,2,38,27,11,952.0
7:56.0, ,27-38,K. Porziņģis misses 2-pt layup from 3 ft,,2,38,27,11,964.0
7:55.0, ,27-38,Offensive rebound by K. Porziņģis,,2,38,27,11,965.0
7:54.0, ,27-41,P. Pritchard makes 3-pt jump shot from 23 ft (assist by K. Porziņģis),,2,41,27,14,966.0
7:53.0,Oklahoma City full timeout,27-41, ,,2,41,27,14,967.0
7:53.0,J. Giddey enters the game for L. Dort,27-41, ,,2,41,27,14,967.0
7:53.0,I. Joe enters the game for G. Hayward,27-41, ,,2,41,27,14,967.0
7:53.0,C. Wallace enters the game for L. Waters,27-41, ,,2,41,27,14,967.0
7:53.0,K. Williams enters the game for A. Wiggins,27-41, ,,2,41,27,14,967.0
7:53.0, ,27-41,J. Brown enters the game for J. Holiday,,2,41,27,14,967.0
7:53.0, ,27-41,S. Hauser enters the game for A. Horford,,2,41,27,14,967.0
7:53.0, ,27-41,D. White enters the game for J. Tatum,,2,41,27,14,967.0
7:40.0,C. Wallace makes 2-pt jump shot from 12 ft (assist by C. Holmgren),29-41, ,,2,41,29,12,980.0
7:10.0, ,29-43,J. Brown makes 2-pt layup from 2 ft (assist by K. Porziņģis),,2,43,29,14,1010.0
7:01.0,C. Holmgren misses 3-pt jump shot from 26 ft,29-43, ,,2,43,29,14,1019.0
6:59.0, ,29-43,Defensive rebound by P. Pritchard,,2,43,29,14,1021.0
6:48.0, ,29-43,K. Porziņģis misses 2-pt jump shot from 16 ft,,2,43,29,14,1032.0
6:45.0,Defensive rebound by J. Giddey,29-43, ,,2,43,29,14,1035.0
6:34.0,C. Wallace misses 3-pt jump shot from 27 ft,29-43, ,,2,43,29,14,1046.0
6:32.0, ,29-43,Defensive rebound by K. Porziņģis,,2,43,29,14,1048.0
6:16.0, ,29-45,K. Porziņģis makes 2-pt jump shot from 4 ft (assist by P. Pritchard),,2,45,29,16,1064.0
5:53.0,I. Joe makes 3-pt jump shot from 26 ft,32-45, ,,2,45,32,13,1087.0
5:34.0, ,32-45,S. Hauser misses 3-pt jump shot from 23 ft,,2,45,32,13,1106.0
5:31.0,Defensive rebound by K. Williams,32-45, ,,2,45,32,13,1109.0
5:20.0,J. Giddey makes 2-pt layup from 3 ft (assist by C. Wallace),34-45, ,,2,45,34,11,1120.0
5:02.0, ,34-47,P. Pritchard makes 2-pt layup from 2 ft (assist by K. Porziņģis),,2,47,34,13,1138.0
4:46.0,C. Holmgren misses 2-pt dunk from 6 ft (block by K. Porziņģis),34-47, ,,2,47,34,13,1154.0
4:43.0, ,34-47,Defensive rebound by S. Hauser,,2,47,34,13,1157.0
4:33.0, ,34-50,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Brown),,2,50,34,16,1167.0
4:12.0,J. Giddey makes 2-pt jump shot from 9 ft,36-50, ,,2,50,36,14,1188.0
4:12.0,L. Dort enters the game for C. Holmgren,36-50, ,,2,50,36,14,1188.0
4:12.0,J. Williams enters the game for C. Wallace,36-50, ,,2,50,36,14,1188.0
4:12.0, ,36-50,A. Horford enters the game for K. Porziņģis,,2,50,36,14,1188.0
4:12.0, ,36-50,J. Tatum enters the game for P. Pritchard,,2,50,36,14,1188.0
3:56.0, ,36-52,J. Brown makes 2-pt jump shot from 6 ft (assist by J. Tatum),,2,52,36,16,1204.0
3:41.0,J. Williams makes 2-pt jump shot from 13 ft (assist by J. Giddey),38-52, ,,2,52,38,14,1219.0
3:17.0, ,38-52,J. Brown misses 2-pt layup from 1 ft (block by I. Joe),,2,52,38,14,1243.0
3:16.0, ,38-52,Offensive rebound by J. Brown,,2,52,38,14,1244.0
3:15.0, ,38-54,J. Brown makes 2-pt layup at rim,,2,54,38,16,1245.0
2:59.0,I. Joe makes 2-pt layup from 4 ft (assist by J. Williams),40-54, ,,2,54,40,14,1261.0
2:45.0, ,40-54,J. Brown misses 3-pt jump shot from 27 ft,,2,54,40,14,1275.0
2:43.0,Defensive rebound by I. Joe,40-54, ,,2,54,40,14,1277.0
