Time,Indiana,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. K. Porziņģis (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-2,J. Holiday makes 2-pt layup from 4 ft,,1,2,0,2,17.0
11:33.0,A. Nembhard makes 2-pt jump shot from 16 ft,2-2, ,Tie,1,2,2,0,27.0
11:23.0, ,2-4,D. White makes 2-pt jump shot from 11 ft,,1,4,2,2,37.0
11:00.0,M. Turner makes 2-pt layup from 6 ft (assist by B. Brown),4-4, ,Tie,1,4,4,0,60.0
10:50.0, ,4-4,Turnover by K. Porziņģis (bad pass; steal by O. Toppin),,1,4,4,0,70.0
10:46.0,B. Mathurin makes 2-pt layup from 3 ft (assist by O. Toppin),6-4, ,Lead change,1,4,6,-2,74.0
10:34.0, ,6-4,Shooting foul by B. Brown (drawn by J. Tatum),,1,4,6,-2,86.0
10:34.0, ,6-4,J. Tatum misses free throw 1 of 2,,1,4,6,-2,86.0
10:34.0, ,6-4,Offensive rebound by Team,,1,4,6,-2,86.0
10:34.0, ,6-5,J. Tatum makes free throw 2 of 2,,1,5,6,-1,86.0
10:24.0,Turnover by A. Nembhard (step out of bounds),6-5, ,,1,5,6,-1,96.0
10:12.0, ,6-8,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),Lead change,1,8,6,2,108.0
10:00.0,A. Nembhard misses 2-pt jump shot from 16 ft,6-8, ,,1,8,6,2,120.0
9:57.0, ,6-8,Defensive rebound by J. Tatum,,1,8,6,2,123.0
9:47.0, ,6-11,J. Tatum makes 3-pt jump shot from 25 ft (assist by D. White),,1,11,6,5,133.0
9:35.0,M. Turner misses 3-pt jump shot from 26 ft,6-11, ,,1,11,6,5,145.0
9:31.0, ,6-11,Defensive rebound by J. Tatum,,1,11,6,5,149.0
9:25.0, ,6-14,J. Holiday makes 3-pt jump shot from 26 ft,,1,14,6,8,155.0
9:24.0,Indiana full timeout,6-14, ,,1,14,6,8,156.0
9:09.0,B. Brown misses 3-pt jump shot from 27 ft,6-14, ,,1,14,6,8,171.0
9:05.0, ,6-14,Defensive rebound by J. Tatum,,1,14,6,8,175.0
8:58.0, ,6-14,K. Porziņģis misses 3-pt jump shot from 27 ft,,1,14,6,8,182.0
8:53.0, ,6-14,Offensive rebound by D. White,,1,14,6,8,187.0
8:50.0, ,6-16,K. Porziņģis makes 2-pt dunk at rim (assist by J. Brown),,1,16,6,10,190.0
8:33.0,Personal foul by D. White (drawn by B. Mathurin),6-16, ,,1,16,6,10,207.0
8:27.0,A. Nembhard misses 3-pt jump shot from 27 ft,6-16, ,,1,16,6,10,213.0
8:23.0, ,6-16,Defensive rebound by J. Brown,,1,16,6,10,217.0
8:14.0, ,6-18,J. Brown makes 2-pt dunk from 1 ft (assist by K. Porziņģis),,1,18,6,12,226.0
8:01.0,B. Mathurin makes 2-pt layup from 8 ft (assist by A. Nembhard),8-18, ,,1,18,8,10,239.0
7:49.0, ,8-18,D. White misses 3-pt jump shot from 26 ft,,1,18,8,10,251.0
7:47.0,Defensive rebound by B. Mathurin,8-18, ,,1,18,8,10,253.0
7:38.0,B. Mathurin misses 3-pt jump shot from 27 ft,8-18, ,,1,18,8,10,262.0
7:35.0, ,8-18,Defensive rebound by J. Tatum,,1,18,8,10,265.0
7:26.0, ,8-20,J. Brown makes 2-pt jump shot from 12 ft (assist by J. Tatum),,1,20,8,12,274.0
7:16.0,B. Brown misses 2-pt layup from 5 ft (block by J. Holiday),8-20, ,,1,20,8,12,284.0
7:16.0,Offensive rebound by Team,8-20, ,,1,20,8,12,284.0
7:16.0,B. Hield enters the game for B. Mathurin,8-20, ,,1,20,8,12,284.0
7:16.0,A. Nesmith enters the game for O. Toppin,8-20, ,,1,20,8,12,284.0
7:11.0,M. Turner makes 2-pt hook shot from 11 ft,10-20, ,,1,20,10,10,289.0
7:01.0, ,10-23,J. Holiday makes 3-pt jump shot from 27 ft,,1,23,10,13,299.0
6:49.0,A. Nembhard misses 2-pt layup from 8 ft,10-23, ,,1,23,10,13,311.0
6:48.0,Offensive rebound by M. Turner,10-23, ,,1,23,10,13,312.0
6:48.0,M. Turner makes 2-pt layup at rim,12-23, ,,1,23,12,11,312.0
6:48.0, ,12-23,S. Hauser enters the game for J. Tatum,,1,23,12,11,312.0
6:48.0, ,12-23,A. Horford enters the game for D. White,,1,23,12,11,312.0
6:27.0, ,12-23,Turnover by A. Horford (lost ball; steal by B. Brown),,1,23,12,11,333.0
6:18.0,B. Brown makes 2-pt jump shot from 22 ft (assist by M. Turner),14-23, ,,1,23,14,9,342.0
5:54.0, ,14-23,A. Horford misses 2-pt jump shot from 20 ft,,1,23,14,9,366.0
5:52.0,Defensive rebound by B. Brown,14-23, ,,1,23,14,9,368.0
5:47.0,A. Nesmith makes 2-pt layup from 2 ft,16-23, ,,1,23,16,7,373.0
5:47.0,Shooting foul by J. Brown (drawn by A. Nesmith),16-23, ,,1,23,16,7,373.0
5:47.0,A. Nesmith misses free throw 1 of 1,16-23, ,,1,23,16,7,373.0
5:47.0, ,16-23,Defensive rebound by J. Brown,,1,23,16,7,373.0
5:31.0, ,16-26,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),,1,26,16,10,389.0
5:16.0,M. Turner misses 2-pt layup from 4 ft,16-26, ,,1,26,16,10,404.0
5:15.0,Offensive rebound by A. Nesmith,16-26, ,,1,26,16,10,405.0
5:15.0,A. Nesmith makes 2-pt layup at rim,18-26, ,,1,26,18,8,405.0
5:05.0, ,18-26,Turnover by J. Holiday (bad pass; steal by B. Hield),,1,26,18,8,415.0
4:50.0,A. Nembhard makes 2-pt jump shot from 18 ft,20-26, ,,1,26,20,6,430.0
4:49.0, ,20-26,Boston full timeout,,1,26,20,6,431.0
4:30.0, ,20-28,J. Brown makes 2-pt jump shot from 15 ft,,1,28,20,8,450.0
4:05.0,M. Turner misses 2-pt jump shot from 11 ft,20-28, ,,1,28,20,8,475.0
4:02.0, ,20-28,Defensive rebound by A. Horford,,1,28,20,8,478.0
3:53.0, ,20-28,J. Brown misses 2-pt layup from 9 ft,,1,28,20,8,487.0
3:51.0,Defensive rebound by M. Turner,20-28, ,,1,28,20,8,489.0
