Time,Atlanta,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Okongwu vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,K. Porziņģis misses 2-pt jump shot from 9 ft,,1,0,0,0,22.0
11:36.0,Defensive rebound by O. Okongwu,0-0, ,,1,0,0,0,24.0
11:23.0,J. Johnson misses 3-pt jump shot from 28 ft,0-0, ,,1,0,0,0,37.0
11:21.0, ,0-0,Defensive rebound by J. Tatum,,1,0,0,0,39.0
11:14.0, ,0-2,K. Porziņģis makes 2-pt jump shot from 12 ft (assist by J. Tatum),,1,2,0,2,46.0
10:54.0,S. Bey makes 3-pt jump shot from 27 ft (assist by J. Johnson),3-2, ,Lead change,1,2,3,-1,66.0
10:42.0, ,3-5,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum),Lead change,1,5,3,2,78.0
10:23.0,B. Bogdanović misses 3-pt jump shot from 25 ft,3-5, ,,1,5,3,2,97.0
10:21.0, ,3-5,Defensive rebound by A. Horford,,1,5,3,2,99.0
10:07.0, ,3-5,J. Brown misses 2-pt jump shot from 8 ft,,1,5,3,2,113.0
10:05.0,Defensive rebound by J. Johnson,3-5, ,,1,5,3,2,115.0
9:57.0,J. Johnson misses 2-pt layup from 6 ft,3-5, ,,1,5,3,2,123.0
9:56.0, ,3-5,Defensive rebound by J. Tatum,,1,5,3,2,124.0
9:48.0, ,3-5,D. White misses 2-pt jump shot from 5 ft,,1,5,3,2,132.0
9:47.0,Defensive rebound by J. Johnson,3-5, ,,1,5,3,2,133.0
9:30.0,T. Young misses 3-pt jump shot from 27 ft,3-5, ,,1,5,3,2,150.0
9:29.0, ,3-5,Defensive rebound by J. Tatum,,1,5,3,2,151.0
9:22.0, ,3-7,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Brown),,1,7,3,4,158.0
9:02.0,T. Young misses 2-pt layup from 4 ft,3-7, ,,1,7,3,4,178.0
9:01.0, ,3-7,Defensive rebound by K. Porziņģis,,1,7,3,4,179.0
8:53.0, ,3-9,J. Brown makes 2-pt layup from 2 ft (assist by D. White),,1,9,3,6,187.0
8:40.0,S. Bey makes 2-pt dunk from 2 ft (assist by T. Young),5-9, ,,1,9,5,4,200.0
8:17.0, ,5-9,J. Brown misses 3-pt jump shot from 24 ft,,1,9,5,4,223.0
8:16.0,Defensive rebound by O. Okongwu,5-9, ,,1,9,5,4,224.0
8:06.0,T. Young makes 2-pt jump shot from 7 ft,7-9, ,,1,9,7,2,234.0
8:06.0,Shooting foul by J. Brown (drawn by T. Young),7-9, ,,1,9,7,2,234.0
8:06.0,T. Young makes free throw 1 of 1,8-9, ,,1,9,8,1,234.0
7:51.0, ,8-11,D. White makes 2-pt layup from 4 ft (assist by A. Horford),,1,11,8,3,249.0
7:29.0,J. Johnson makes 2-pt jump shot from 12 ft,10-11, ,,1,11,10,1,271.0
7:16.0, ,10-11,D. White misses 3-pt jump shot from 23 ft,,1,11,10,1,284.0
7:15.0,Defensive rebound by O. Okongwu,10-11, ,,1,11,10,1,285.0
7:04.0,S. Bey makes 2-pt jump shot from 9 ft,12-11, ,Lead change,1,11,12,-1,296.0
7:03.0, ,12-11,Boston full timeout,,1,11,12,-1,297.0
7:03.0,D. Hunter enters the game for J. Johnson,12-11, ,,1,11,12,-1,297.0
7:03.0,P. Mills enters the game for T. Young,12-11, ,,1,11,12,-1,297.0
6:49.0, ,12-11,J. Tatum misses 3-pt jump shot from 26 ft,,1,11,12,-1,311.0
6:48.0,Defensive rebound by P. Mills,12-11, ,,1,11,12,-1,312.0
6:40.0,B. Bogdanović misses 3-pt jump shot from 27 ft,12-11, ,,1,11,12,-1,320.0
6:38.0,Offensive rebound by O. Okongwu,12-11, ,,1,11,12,-1,322.0
6:37.0,Turnover by O. Okongwu (bad pass),12-11, ,,1,11,12,-1,323.0
6:26.0, ,12-11,J. Tatum misses 3-pt jump shot from 24 ft,,1,11,12,-1,334.0
6:23.0,Defensive rebound by B. Bogdanović,12-11, ,,1,11,12,-1,337.0
6:15.0,O. Okongwu makes 2-pt layup from 6 ft (assist by B. Bogdanović),14-11, ,,1,11,14,-3,345.0
6:06.0, ,14-13,J. Brown makes 2-pt jump shot from 11 ft,,1,13,14,-1,354.0
5:50.0,B. Bogdanović makes 2-pt jump shot from 18 ft,16-13, ,,1,13,16,-3,370.0
5:39.0, ,16-15,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Brown),,1,15,16,-1,381.0
5:39.0, ,16-15,Shooting foul by B. Bogdanović (drawn by K. Porziņģis),,1,15,16,-1,381.0
5:39.0, ,16-15,S. Hauser enters the game for A. Horford,,1,15,16,-1,381.0
5:39.0, ,16-15,L. Kornet enters the game for J. Tatum,,1,15,16,-1,381.0
5:39.0, ,16-16,K. Porziņģis makes free throw 1 of 1,Tie,1,16,16,0,381.0
5:20.0,O. Okongwu misses 3-pt jump shot from 23 ft,16-16, ,,1,16,16,0,400.0
5:19.0, ,16-16,Defensive rebound by K. Porziņģis,,1,16,16,0,401.0
5:10.0, ,16-16,D. White misses 3-pt jump shot from 26 ft,,1,16,16,0,410.0
