Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. K. Porziņģis (D. Garland gains possession),0-0,,,1,0,0,0,0.0
11:43.0,M. Strus makes 3-pt jump shot from 29 ft (assist by J. Allen),3-0, ,,1,0,3,-3,17.0
11:33.0, ,3-2,J. Brown makes 2-pt layup from 5 ft,,1,2,3,-1,27.0
11:23.0,M. Strus misses 3-pt jump shot from 27 ft,3-2, ,,1,2,3,-1,37.0
11:21.0, ,3-2,Defensive rebound by Team,,1,2,3,-1,39.0
11:12.0, ,3-2,Turnover by K. Porziņģis (bad pass; steal by D. Mitchell),,1,2,3,-1,48.0
11:08.0,D. Mitchell makes 2-pt dunk from 1 ft,5-2, ,,1,2,5,-3,52.0
10:47.0, ,5-2,K. Porziņģis misses 2-pt jump shot from 13 ft,,1,2,5,-3,73.0
10:45.0,Defensive rebound by D. Garland,5-2, ,,1,2,5,-3,75.0
10:34.0,D. Mitchell misses 3-pt jump shot from 26 ft,5-2, ,,1,2,5,-3,86.0
10:32.0, ,5-2,Defensive rebound by J. Tatum,,1,2,5,-3,88.0
10:20.0, ,5-2,J. Tatum misses 3-pt jump shot from 25 ft,,1,2,5,-3,100.0
10:19.0,Defensive rebound by D. Wade,5-2, ,,1,2,5,-3,101.0
10:12.0,D. Garland makes 2-pt jump shot from 12 ft,7-2, ,,1,2,7,-5,108.0
10:00.0, ,7-4,J. Brown makes 2-pt layup from 2 ft,,1,4,7,-3,120.0
9:53.0,M. Strus misses 2-pt layup from 4 ft (block by K. Porziņģis),7-4, ,,1,4,7,-3,127.0
9:52.0,Offensive rebound by Team,7-4, ,,1,4,7,-3,128.0
9:50.0,D. Garland makes 2-pt layup from 3 ft (assist by D. Mitchell),9-4, ,,1,4,9,-5,130.0
9:40.0, ,9-4,Personal foul by D. Mitchell (drawn by K. Porziņģis),,1,4,9,-5,140.0
9:37.0, ,9-4,D. White misses 3-pt jump shot from 24 ft,,1,4,9,-5,143.0
9:35.0,Defensive rebound by M. Strus,9-4, ,,1,4,9,-5,145.0
9:28.0,J. Allen misses 2-pt layup from 4 ft (block by J. Brown),9-4, ,,1,4,9,-5,152.0
9:27.0,Offensive rebound by Team,9-4, ,,1,4,9,-5,153.0
9:23.0,M. Strus makes 2-pt layup from 3 ft (assist by J. Allen),11-4, ,,1,4,11,-7,157.0
9:22.0, ,11-4,Boston full timeout,,1,4,11,-7,158.0
9:14.0, ,11-4,Turnover by K. Porziņģis (bad pass),,1,4,11,-7,166.0
9:03.0,J. Allen misses 2-pt layup from 4 ft (block by D. White),11-4, ,,1,4,11,-7,177.0
9:02.0, ,11-4,Defensive rebound by D. White,,1,4,11,-7,178.0
8:59.0, ,11-4,D. White misses 2-pt layup from 5 ft,,1,4,11,-7,181.0
8:58.0,Defensive rebound by J. Allen,11-4, ,,1,4,11,-7,182.0
8:51.0,D. Wade makes 3-pt jump shot from 24 ft (assist by D. Mitchell),14-4, ,,1,4,14,-10,189.0
8:41.0, ,14-4,J. Tatum misses 2-pt jump shot from 16 ft,,1,4,14,-10,199.0
8:39.0,Defensive rebound by D. Wade,14-4, ,,1,4,14,-10,201.0
8:28.0,D. Garland misses 2-pt layup from 4 ft,14-4, ,,1,4,14,-10,212.0
