Time,Boston,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Horford vs. J. Embiid (R. Covington gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-3,D. Melton makes 3-pt jump shot from 24 ft (assist by T. Maxey),,1,0,3,-3,19.0
11:23.0,S. Hauser misses 3-pt jump shot from 27 ft,0-3, ,,1,0,3,-3,37.0
11:19.0, ,0-3,Defensive rebound by T. Maxey,,1,0,3,-3,41.0
11:08.0, ,0-3,T. Maxey misses 2-pt jump shot from 7 ft,,1,0,3,-3,52.0
11:06.0,Defensive rebound by D. White,0-3, ,,1,0,3,-3,54.0
10:53.0,J. Holiday misses 3-pt jump shot from 28 ft,0-3, ,,1,0,3,-3,67.0
10:48.0, ,0-3,Defensive rebound by T. Maxey,,1,0,3,-3,72.0
10:41.0, ,0-3,T. Harris misses 2-pt layup from 3 ft,,1,0,3,-3,79.0
10:39.0,Defensive rebound by A. Horford,0-3, ,,1,0,3,-3,81.0
10:35.0,Shooting foul by R. Covington (drawn by J. Tatum),0-3, ,,1,0,3,-3,85.0
10:35.0,J. Tatum makes free throw 1 of 2,1-3, ,,1,1,3,-2,85.0
10:35.0,J. Tatum makes free throw 2 of 2,2-3, ,,1,2,3,-1,85.0
10:13.0, ,2-3,J. Embiid misses 2-pt jump shot from 13 ft (block by A. Horford),,1,2,3,-1,107.0
10:10.0,Defensive rebound by A. Horford,2-3, ,,1,2,3,-1,110.0
9:53.0,J. Holiday makes 2-pt layup from 3 ft,4-3, ,Lead change,1,4,3,1,127.0
9:42.0, ,4-6,T. Harris makes 3-pt jump shot from 23 ft (assist by T. Maxey),Lead change,1,4,6,-2,138.0
9:30.0,J. Tatum makes 2-pt layup from 2 ft,6-6, ,Tie,1,6,6,0,150.0
9:30.0, ,6-6,Violation by Team (def goaltending),,1,6,6,0,150.0
9:17.0, ,6-8,T. Harris makes 2-pt dunk at rim (assist by J. Embiid),,1,6,8,-2,163.0
8:53.0,A. Horford makes 2-pt jump shot from 16 ft,8-8, ,Tie,1,8,8,0,187.0
8:39.0, ,8-8,T. Maxey misses 2-pt layup from 3 ft,,1,8,8,0,201.0
8:35.0, ,8-8,Offensive rebound by R. Covington,,1,8,8,0,205.0
8:35.0, ,8-10,R. Covington makes 2-pt dunk at rim,,1,8,10,-2,205.0
8:31.0,J. Holiday makes 2-pt layup from 3 ft,10-10, ,Tie,1,10,10,0,209.0
8:31.0,Shooting foul by J. Embiid (drawn by J. Holiday),10-10, ,,1,10,10,0,209.0
8:31.0,J. Holiday misses free throw 1 of 1,10-10, ,,1,10,10,0,209.0
8:28.0,Offensive rebound by J. Holiday,10-10, ,,1,10,10,0,212.0
8:21.0,J. Holiday misses 2-pt layup from 1 ft,10-10, ,,1,10,10,0,219.0
8:19.0, ,10-10,Defensive rebound by J. Embiid,,1,10,10,0,221.0
8:10.0, ,10-10,D. Melton misses 2-pt layup from 2 ft,,1,10,10,0,230.0
8:07.0, ,10-10,Offensive rebound by R. Covington,,1,10,10,0,233.0
8:07.0, ,10-12,R. Covington makes 2-pt dunk at rim,,1,10,12,-2,233.0
7:54.0,J. Tatum misses 3-pt jump shot from 28 ft,10-12, ,,1,10,12,-2,246.0
7:52.0, ,10-12,Defensive rebound by T. Harris,,1,10,12,-2,248.0
7:39.0, ,10-12,R. Covington misses 3-pt jump shot from 26 ft,,1,10,12,-2,261.0
7:36.0,Defensive rebound by J. Tatum,10-12, ,,1,10,12,-2,264.0
7:20.0,A. Horford misses 3-pt jump shot from 26 ft,10-12, ,,1,10,12,-2,280.0
7:17.0, ,10-12,Defensive rebound by D. Melton,,1,10,12,-2,283.0
7:08.0, ,10-14,J. Embiid makes 2-pt layup from 1 ft (assist by D. Melton),,1,10,14,-4,292.0
6:55.0,J. Tatum makes 3-pt jump shot from 27 ft,13-14, ,,1,13,14,-1,305.0
6:40.0, ,13-14,T. Maxey misses 3-pt jump shot from 26 ft,,1,13,14,-1,320.0
6:37.0,Defensive rebound by J. Holiday,13-14, ,,1,13,14,-1,323.0
6:23.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by A. Horford),16-14, ,Lead change,1,16,14,2,337.0
