Time,Boston,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:41.0, ,11-12,J. McDaniels makes 2-pt jump shot from 14 ft (assist by A. Edwards),Lead change,1,11,12,-1,259.0
7:30.0,Shooting foul by K. Towns (drawn by J. Holiday),11-12, ,,1,11,12,-1,270.0
7:30.0,J. Holiday misses free throw 1 of 2,11-12, ,,1,11,12,-1,270.0
7:30.0,Offensive rebound by Team,11-12, ,,1,11,12,-1,270.0
7:30.0,J. Holiday makes free throw 2 of 2,12-12, ,Tie,1,12,12,0,270.0
7:20.0, ,12-12,J. McDaniels misses 3-pt jump shot from 25 ft,,1,12,12,0,280.0
7:18.0,Defensive rebound by L. Stevens,12-12, ,,1,12,12,0,282.0
7:09.0,Turnover by J. Tatum (bad pass; steal by J. McDaniels),12-12, ,,1,12,12,0,291.0
6:58.0, ,12-12,Turnover by A. Edwards (lost ball; steal by J. Brown),,1,12,12,0,302.0
6:54.0,J. Brown makes 2-pt layup from 2 ft,14-12, ,Lead change,1,14,12,2,306.0
6:37.0, ,14-12,J. McDaniels misses 3-pt jump shot from 25 ft,,1,14,12,2,323.0
6:33.0,Defensive rebound by J. Brown,14-12, ,,1,14,12,2,327.0
6:25.0,J. Brown makes 3-pt jump shot from 25 ft,17-12, ,,1,17,12,5,335.0
6:11.0, ,17-12,Turnover by K. Towns (bad pass; steal by J. Tatum),,1,17,12,5,349.0
6:09.0,Personal foul by J. McDaniels (drawn by J. Tatum),17-12, ,,1,17,12,5,351.0
6:09.0, ,17-12,Minnesota full timeout,,1,17,12,5,351.0
6:09.0,S. Hauser enters the game for J. Tatum,17-12, ,,1,17,12,5,351.0
5:53.0,L. Stevens misses 2-pt layup from 3 ft,17-12, ,,1,17,12,5,367.0
5:51.0, ,17-12,Defensive rebound by K. Towns,,1,17,12,5,369.0
5:43.0, ,17-12,K. Towns misses 2-pt layup from 3 ft,,1,17,12,5,377.0
5:41.0, ,17-12,Offensive rebound by Team,,1,17,12,5,379.0
5:41.0,Loose ball foul by J. Brown (drawn by R. Gobert),17-12, ,,1,17,12,5,379.0
5:41.0, ,17-12,N. Alexander-Walker enters the game for M. Conley,,1,17,12,5,379.0
5:29.0, ,17-12,Offensive foul by K. Towns (drawn by J. Holiday),,1,17,12,5,391.0
5:29.0, ,17-12,Turnover by K. Towns (offensive foul),,1,17,12,5,391.0
5:29.0, ,17-12,N. Reid enters the game for K. Towns,,1,17,12,5,391.0
5:10.0,K. Porziņģis misses 3-pt jump shot from 27 ft,17-12, ,,1,17,12,5,410.0
5:08.0, ,17-12,Defensive rebound by N. Alexander-Walker,,1,17,12,5,412.0
4:50.0, ,17-12,Shooting foul by J. Holiday (drawn by R. Gobert),,1,17,12,5,430.0
4:50.0, ,17-13,R. Gobert makes free throw 1 of 2,,1,17,13,4,430.0
4:50.0, ,17-13,K. Anderson enters the game for J. McDaniels,,1,17,13,4,430.0
4:50.0, ,17-13,R. Gobert misses free throw 2 of 2,,1,17,13,4,430.0
4:49.0,Defensive rebound by J. Brown,17-13, ,,1,17,13,4,431.0
4:32.0,J. Brown misses 3-pt jump shot from 27 ft,17-13, ,,1,17,13,4,448.0
4:29.0,Offensive rebound by K. Porziņģis,17-13, ,,1,17,13,4,451.0
4:25.0,Offensive foul by J. Brown (drawn by N. Reid),17-13, ,,1,17,13,4,455.0
4:25.0,Turnover by J. Brown (offensive foul),17-13, ,,1,17,13,4,455.0
4:14.0, ,17-15,R. Gobert makes 2-pt dunk from 1 ft (assist by K. Anderson),,1,17,15,2,466.0
4:04.0,K. Porziņģis misses 2-pt layup from 2 ft,17-15, ,,1,17,15,2,476.0
4:01.0, ,17-15,Defensive rebound by A. Edwards,,1,17,15,2,479.0
3:52.0, ,17-18,N. Reid makes 3-pt jump shot from 24 ft (assist by N. Alexander-Walker),Lead change,1,17,18,-1,488.0
3:51.0,Boston full timeout,17-18, ,,1,17,18,-1,489.0
3:51.0,S. Mykhailiuk enters the game for J. Brown,17-18, ,,1,17,18,-1,489.0
3:51.0,P. Pritchard enters the game for J. Holiday,17-18, ,,1,17,18,-1,489.0
3:51.0,J. Tatum enters the game for L. Stevens,17-18, ,,1,17,18,-1,489.0
3:33.0,K. Porziņģis misses 2-pt jump shot from 17 ft,17-18, ,,1,17,18,-1,507.0
3:30.0, ,17-18,Defensive rebound by N. Reid,,1,17,18,-1,510.0
3:23.0, ,17-20,A. Edwards makes 2-pt jump shot from 8 ft (assist by N. Reid),,1,17,20,-3,517.0
3:23.0, ,17-20,Shooting foul by S. Hauser (drawn by A. Edwards),,1,17,20,-3,517.0
3:23.0, ,17-21,A. Edwards makes free throw 1 of 1,,1,17,21,-4,517.0
3:06.0,J. Tatum misses 3-pt jump shot from 24 ft,17-21, ,,1,17,21,-4,534.0
3:03.0,Offensive rebound by P. Pritchard,17-21, ,,1,17,21,-4,537.0
3:00.0,Personal foul by K. Anderson (drawn by K. Porziņģis),17-21, ,,1,17,21,-4,540.0
3:00.0, ,17-21,J. McDaniels enters the game for R. Gobert,,1,17,21,-4,540.0
2:54.0,J. Tatum makes 2-pt jump shot from 16 ft (assist by K. Porziņģis),19-21, ,,1,19,21,-2,546.0
2:44.0, ,19-23,N. Reid makes 2-pt dunk at rim,,1,19,23,-4,556.0
2:17.0,K. Porziņģis makes 2-pt jump shot from 11 ft,21-23, ,,1,21,23,-2,583.0
2:07.0, ,21-23,Turnover by N. Reid (traveling),,1,21,23,-2,593.0
1:53.0,Turnover by K. Porziņģis (traveling),21-23, ,,1,21,23,-2,607.0
1:41.0, ,21-23,N. Alexander-Walker misses 2-pt layup at rim,,1,21,23,-2,619.0
1:38.0,Defensive rebound by P. Pritchard,21-23, ,,1,21,23,-2,622.0
1:36.0,Personal foul by K. Anderson (drawn by S. Hauser),21-23, ,,1,21,23,-2,624.0
1:36.0,S. Hauser makes free throw 1 of 2,22-23, ,,1,22,23,-1,624.0
1:36.0,L. Kornet enters the game for K. Porziņģis,22-23, ,,1,22,23,-1,624.0
1:36.0,S. Hauser makes free throw 2 of 2,23-23, ,Tie,1,23,23,0,624.0
1:29.0, ,23-23,Shooting foul by P. Pritchard (drawn by K. Anderson),,1,23,23,0,631.0
1:29.0, ,23-24,K. Anderson makes free throw 1 of 2,,1,23,24,-1,631.0
1:29.0, ,23-24,K. Anderson misses free throw 2 of 2,,1,23,24,-1,631.0
1:27.0,Defensive rebound by J. Tatum,23-24, ,,1,23,24,-1,633.0
1:14.0,J. Tatum makes 2-pt layup from 3 ft,25-24, ,Lead change,1,25,24,1,646.0
1:00.0, ,25-24,Turnover by N. Alexander-Walker (lost ball; steal by J. Tatum),,1,25,24,1,660.0
0:58.0,Shooting foul by A. Edwards (drawn by J. Tatum),25-24, ,,1,25,24,1,662.0
0:58.0,J. Tatum misses free throw 1 of 2,25-24, ,,1,25,24,1,662.0
0:58.0,Offensive rebound by Team,25-24, ,,1,25,24,1,662.0
0:58.0,J. Tatum makes free throw 2 of 2,26-24, ,,1,26,24,2,662.0
0:38.0, ,26-24,Shooting foul by L. Kornet (drawn by N. Reid),,1,26,24,2,682.0
0:38.0, ,26-25,N. Reid makes free throw 1 of 2,,1,26,25,1,682.0
0:38.0, ,26-26,N. Reid makes free throw 2 of 2,Tie,1,26,26,0,682.0
0:29.0,L. Kornet misses 2-pt layup from 3 ft,26-26, ,,1,26,26,0,691.0
0:24.0,Offensive rebound by S. Hauser,26-26, ,,1,26,26,0,696.0
0:24.0,Turnover by S. Hauser (bad pass; steal by N. Reid),26-26, ,,1,26,26,0,696.0
0:16.0, ,26-29,N. Reid makes 3-pt jump shot from 24 ft (assist by N. Alexander-Walker),Lead change,1,26,29,-3,704.0
0:04.0,J. Tatum misses 3-pt jump shot from 26 ft,26-29, ,,1,26,29,-3,716.0
0:03.0, ,26-29,Defensive rebound by A. Edwards,,1,26,29,-3,717.0
0:00.0,End of 1st quarter,26-29,,,1,26,29,-3,720.0
12:00.0,Start of 2nd quarter,26-29,,,2,26,29,-3,720.0
11:44.0,A. Horford misses 3-pt jump shot from 25 ft,26-29, ,,2,26,29,-3,736.0
11:43.0,Offensive rebound by Team,26-29, ,,2,26,29,-3,737.0
11:43.0, ,26-29,Loose ball foul by K. Towns (drawn by L. Kornet),,2,26,29,-3,737.0
11:43.0, ,26-29,K. Anderson enters the game for K. Towns,,2,26,29,-3,737.0
11:32.0,J. Tatum misses 2-pt layup from 6 ft (block by N. Reid),26-29, ,,2,26,29,-3,748.0
11:32.0,Offensive rebound by Team,26-29, ,,2,26,29,-3,748.0
11:30.0,L. Kornet makes 2-pt dunk from 2 ft (assist by J. Tatum),28-29, ,,2,28,29,-1,750.0
11:06.0, ,28-29,K. Anderson misses 2-pt jump shot from 12 ft,,2,28,29,-1,774.0
11:05.0,Defensive rebound by P. Pritchard,28-29, ,,2,28,29,-1,775.0
10:43.0,A. Horford misses 2-pt layup from 5 ft,28-29, ,,2,28,29,-1,797.0
10:42.0,Offensive rebound by Team,28-29, ,,2,28,29,-1,798.0
10:42.0,Turnover by Team (shot clock),28-29, ,,2,28,29,-1,798.0
10:30.0, ,28-29,K. Anderson misses 2-pt jump shot from 10 ft,,2,28,29,-1,810.0
10:28.0,Defensive rebound by S. Hauser,28-29, ,,2,28,29,-1,812.0
10:23.0,J. Tatum makes 2-pt dunk from 1 ft,30-29, ,Lead change,2,30,29,1,817.0
10:05.0, ,30-29,Turnover by K. Anderson (traveling),,2,30,29,1,835.0
9:58.0,J. Tatum makes 2-pt layup from 1 ft,32-29, ,,2,32,29,3,842.0
9:47.0, ,32-29,J. McDaniels misses 3-pt jump shot from 25 ft,,2,32,29,3,853.0
9:44.0,Defensive rebound by P. Pritchard,32-29, ,,2,32,29,3,856.0
9:30.0,S. Hauser misses 3-pt jump shot from 25 ft,32-29, ,,2,32,29,3,870.0
9:27.0, ,32-29,Defensive rebound by K. Anderson,,2,32,29,3,873.0
9:22.0, ,32-29,Turnover by N. Reid (lost ball; steal by J. Tatum),,2,32,29,3,878.0
9:19.0,J. Tatum makes 2-pt dunk from 1 ft,34-29, ,,2,34,29,5,881.0
9:19.0, ,34-29,Minnesota full timeout,,2,34,29,5,881.0
9:19.0,J. Holiday enters the game for P. Pritchard,34-29, ,,2,34,29,5,881.0
9:19.0, ,34-29,R. Gobert enters the game for S. Milton,,2,34,29,5,881.0
9:07.0, ,34-32,M. Conley makes 3-pt jump shot from 24 ft (assist by K. Anderson),,2,34,32,2,893.0
8:47.0,Shooting foul by R. Gobert (drawn by L. Kornet),34-32, ,,2,34,32,2,913.0
8:47.0,L. Kornet makes free throw 1 of 2,35-32, ,,2,35,32,3,913.0
8:47.0,L. Kornet makes free throw 2 of 2,36-32, ,,2,36,32,4,913.0
8:38.0, ,36-32,M. Conley misses 3-pt jump shot from 25 ft,,2,36,32,4,922.0
8:36.0,Defensive rebound by S. Hauser,36-32, ,,2,36,32,4,924.0
8:28.0,J. Tatum misses 2-pt layup from 2 ft,36-32, ,,2,36,32,4,932.0
8:26.0,Offensive rebound by A. Horford,36-32, ,,2,36,32,4,934.0
8:23.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by A. Horford),39-32, ,,2,39,32,7,937.0
8:05.0, ,39-32,Turnover by R. Gobert (bad pass; steal by A. Horford),,2,39,32,7,955.0
8:05.0,Turnover by A. Horford (traveling),39-32, ,,2,39,32,7,955.0
8:05.0,J. Brown enters the game for J. Tatum,39-32, ,,2,39,32,7,955.0
8:05.0, ,39-32,A. Edwards enters the game for J. McDaniels,,2,39,32,7,955.0
7:53.0, ,39-32,N. Reid misses 2-pt hook shot from 7 ft,,2,39,32,7,967.0
7:50.0, ,39-32,Offensive rebound by K. Anderson,,2,39,32,7,970.0
7:46.0, ,39-32,K. Anderson misses 2-pt jump shot from 6 ft,,2,39,32,7,974.0
7:42.0, ,39-32,Offensive rebound by N. Reid,,2,39,32,7,978.0
7:42.0, ,39-34,N. Reid makes 2-pt layup at rim,,2,39,34,5,978.0
7:20.0,J. Brown misses 2-pt layup from 2 ft,39-34, ,,2,39,34,5,1000.0
7:18.0, ,39-34,Defensive rebound by K. Anderson,,2,39,34,5,1002.0
7:16.0, ,39-36,A. Edwards makes 2-pt layup from 2 ft (assist by K. Anderson),,2,39,36,3,1004.0
7:16.0,Violation by Team (def goaltending),39-36, ,,2,39,36,3,1004.0
7:06.0,J. Holiday misses 2-pt jump shot from 14 ft,39-36, ,,2,39,36,3,1014.0
7:02.0, ,39-36,Defensive rebound by R. Gobert,,2,39,36,3,1018.0
6:46.0, ,39-38,A. Edwards makes 2-pt jump shot from 17 ft,,2,39,38,1,1034.0
6:46.0,K. Porziņģis enters the game for L. Kornet,39-38, ,,2,39,38,1,1034.0
6:30.0,K. Porziņģis misses 3-pt jump shot from 27 ft,39-38, ,,2,39,38,1,1050.0
6:27.0, ,39-38,Defensive rebound by R. Gobert,,2,39,38,1,1053.0
6:13.0, ,39-38,A. Edwards misses 3-pt jump shot from 25 ft,,2,39,38,1,1067.0
6:11.0,Defensive rebound by K. Porziņģis,39-38, ,,2,39,38,1,1069.0
6:03.0,J. Brown misses 2-pt layup from 5 ft (block by K. Anderson),39-38, ,,2,39,38,1,1077.0
6:03.0,Offensive rebound by Team,39-38, ,,2,39,38,1,1077.0
6:02.0,A. Horford misses 3-pt jump shot from 23 ft (block by N. Reid),39-38, ,,2,39,38,1,1078.0
6:00.0,Offensive rebound by J. Holiday,39-38, ,,2,39,38,1,1080.0
5:59.0,J. Holiday misses 2-pt layup from 2 ft,39-38, ,,2,39,38,1,1081.0
5:58.0, ,39-38,Defensive rebound by A. Edwards,,2,39,38,1,1082.0
5:52.0, ,39-40,R. Gobert makes 2-pt dunk from 1 ft (assist by K. Anderson),Lead change,2,39,40,-1,1088.0
5:52.0, ,39-40,Shooting foul by K. Porziņģis (drawn by R. Gobert),,2,39,40,-1,1088.0
5:52.0, ,39-40,R. Gobert misses free throw 1 of 1,,2,39,40,-1,1088.0
5:50.0,Defensive rebound by J. Brown,39-40, ,,2,39,40,-1,1090.0
