Time,Boston,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:07.0, ,66-66,N. Alexander-Walker enters the game for A. Edwards,,3,66,66,0,1733.0
7:07.0, ,66-66,R. Gobert misses free throw 2 of 2,,3,66,66,0,1733.0
7:05.0,Defensive rebound by J. Holiday,66-66, ,,3,66,66,0,1735.0
6:50.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Holiday),68-66, ,Lead change,3,68,66,2,1750.0
6:38.0, ,68-68,R. Gobert makes 2-pt dunk from 2 ft (assist by J. McDaniels),Tie,3,68,68,0,1762.0
6:20.0,Offensive foul by J. Holiday (drawn by N. Alexander-Walker),68-68, ,,3,68,68,0,1780.0
6:20.0,Turnover by J. Holiday (offensive foul),68-68, ,,3,68,68,0,1780.0
6:20.0, ,68-68,Minnesota full timeout,,3,68,68,0,1780.0
6:12.0, ,68-68,K. Towns misses 3-pt jump shot from 24 ft,,3,68,68,0,1788.0
6:10.0,Defensive rebound by J. Holiday,68-68, ,,3,68,68,0,1790.0
5:59.0,J. Brown misses 2-pt jump shot from 8 ft,68-68, ,,3,68,68,0,1801.0
5:57.0, ,68-68,Defensive rebound by R. Gobert,,3,68,68,0,1803.0
5:50.0, ,68-68,K. Towns misses 3-pt jump shot from 26 ft,,3,68,68,0,1810.0
5:48.0,Defensive rebound by J. Holiday,68-68, ,,3,68,68,0,1812.0
5:36.0,J. Brown makes 2-pt jump shot from 10 ft,70-68, ,,3,70,68,2,1824.0
5:20.0, ,70-68,Turnover by J. McDaniels (traveling),,3,70,68,2,1840.0
5:05.0,J. Tatum misses 3-pt jump shot from 26 ft,70-68, ,,3,70,68,2,1855.0
5:00.0, ,70-68,Defensive rebound by K. Towns,,3,70,68,2,1860.0
4:50.0, ,70-70,K. Towns makes 2-pt jump shot from 10 ft,Tie,3,70,70,0,1870.0
4:30.0,J. Holiday misses 2-pt jump shot from 9 ft,70-70, ,,3,70,70,0,1890.0
4:28.0, ,70-70,Defensive rebound by K. Towns,,3,70,70,0,1892.0
4:17.0, ,70-72,K. Towns makes 2-pt jump shot from 8 ft (assist by M. Conley),Lead change,3,70,72,-2,1903.0
4:00.0,A. Horford misses 3-pt jump shot from 23 ft,70-72, ,,3,70,72,-2,1920.0
3:57.0, ,70-72,Defensive rebound by R. Gobert,,3,70,72,-2,1923.0
3:51.0, ,70-72,Offensive foul by K. Towns (drawn by J. Holiday),,3,70,72,-2,1929.0
3:51.0, ,70-72,Turnover by K. Towns (offensive foul),,3,70,72,-2,1929.0
3:51.0,Boston full timeout,70-72, ,,3,70,72,-2,1929.0
3:51.0,Instant Replay (Challenge: Ruling Stands),70-72, ,,3,70,72,-2,1929.0
3:51.0,S. Hauser enters the game for A. Horford,70-72, ,,3,70,72,-2,1929.0
3:51.0,P. Pritchard enters the game for J. Tatum,70-72, ,,3,70,72,-2,1929.0
3:51.0, ,70-72,K. Anderson enters the game for M. Conley,,3,70,72,-2,1929.0
3:51.0, ,70-72,J. McLaughlin enters the game for J. McDaniels,,3,70,72,-2,1929.0
3:51.0, ,70-72,N. Reid enters the game for K. Towns,,3,70,72,-2,1929.0
3:32.0,J. Brown misses 2-pt layup from 4 ft,70-72, ,,3,70,72,-2,1948.0
3:30.0,Offensive rebound by P. Pritchard,70-72, ,,3,70,72,-2,1950.0
3:21.0,Shooting foul by N. Alexander-Walker (drawn by J. Brown),70-72, ,,3,70,72,-2,1959.0
3:21.0,J. Brown makes free throw 1 of 2,71-72, ,,3,71,72,-1,1959.0
3:21.0,J. Brown makes free throw 2 of 2,72-72, ,Tie,3,72,72,0,1959.0
3:08.0, ,72-75,N. Alexander-Walker makes 3-pt jump shot from 24 ft (assist by K. Anderson),,3,72,75,-3,1972.0
2:51.0,K. Porziņģis misses 2-pt hook shot from 10 ft (block by R. Gobert),72-75, ,,3,72,75,-3,1989.0
2:51.0, ,72-75,Defensive rebound by N. Reid,,3,72,75,-3,1989.0
2:51.0, ,72-75,Personal foul by K. Porziņģis (drawn by N. Reid),,3,72,75,-3,1989.0
2:51.0, ,72-75,Instant Replay (Request: Ruling Stands),,3,72,75,-3,1989.0
2:51.0, ,72-75,N. Alexander-Walker misses free throw 1 of 1,,3,72,75,-3,1989.0
2:51.0, ,72-75,Offensive rebound by Team,,3,72,75,-3,1989.0
2:51.0,L. Kornet enters the game for K. Porziņģis,72-75, ,,3,72,75,-3,1989.0
2:43.0, ,72-75,Offensive foul by R. Gobert (drawn by L. Kornet),,3,72,75,-3,1997.0
2:43.0, ,72-75,Turnover by R. Gobert (offensive foul),,3,72,75,-3,1997.0
2:33.0,S. Hauser misses 3-pt jump shot from 25 ft,72-75, ,,3,72,75,-3,2007.0
2:28.0,Offensive rebound by J. Holiday,72-75, ,,3,72,75,-3,2012.0
2:23.0,J. Holiday misses 3-pt jump shot from 25 ft,72-75, ,,3,72,75,-3,2017.0
2:20.0,Offensive rebound by L. Kornet,72-75, ,,3,72,75,-3,2020.0
2:19.0,S. Hauser misses 3-pt jump shot from 27 ft,72-75, ,,3,72,75,-3,2021.0
2:17.0, ,72-75,Defensive rebound by Team,,3,72,75,-3,2023.0
2:07.0, ,72-77,K. Anderson makes 2-pt jump shot from 7 ft,,3,72,77,-5,2033.0
1:46.0,P. Pritchard misses 2-pt jump shot from 10 ft (block by J. McLaughlin),72-77, ,,3,72,77,-5,2054.0
1:46.0,Offensive rebound by Team,72-77, ,,3,72,77,-5,2054.0
1:42.0,Shooting foul by N. Alexander-Walker (drawn by L. Kornet),72-77, ,,3,72,77,-5,2058.0
1:42.0,L. Kornet misses free throw 1 of 2,72-77, ,,3,72,77,-5,2058.0
1:42.0,Offensive rebound by Team,72-77, ,,3,72,77,-5,2058.0
1:42.0,L. Kornet makes free throw 2 of 2,73-77, ,,3,73,77,-4,2058.0
1:31.0, ,73-77,K. Anderson misses 3-pt jump shot from 26 ft,,3,73,77,-4,2069.0
1:30.0, ,73-77,Offensive rebound by Team,,3,73,77,-4,2070.0
1:30.0,Loose ball foul by S. Hauser (drawn by R. Gobert),73-77, ,,3,73,77,-4,2070.0
1:30.0, ,73-77,R. Gobert misses free throw 1 of 2,,3,73,77,-4,2070.0
1:30.0, ,73-77,J. McDaniels enters the game for N. Reid,,3,73,77,-4,2070.0
1:30.0, ,73-77,R. Gobert misses free throw 2 of 2,,3,73,77,-4,2070.0
1:28.0,Defensive rebound by J. Holiday,73-77, ,,3,73,77,-4,2072.0
1:15.0,Personal foul by K. Anderson (drawn by J. Brown),73-77, ,,3,73,77,-4,2085.0
1:15.0,J. Brown makes free throw 1 of 2,74-77, ,,3,74,77,-3,2085.0
1:15.0,J. Brown misses free throw 2 of 2,74-77, ,,3,74,77,-3,2085.0
1:13.0, ,74-77,Defensive rebound by K. Anderson,,3,74,77,-3,2087.0
0:54.0, ,74-77,Turnover by K. Anderson (bad pass; steal by L. Kornet),,3,74,77,-3,2106.0
0:38.0,J. Holiday misses 2-pt jump shot from 16 ft,74-77, ,,3,74,77,-3,2122.0
0:35.0, ,74-77,Defensive rebound by R. Gobert,,3,74,77,-3,2125.0
0:29.0, ,74-77,N. Alexander-Walker misses 3-pt jump shot from 26 ft,,3,74,77,-3,2131.0
0:25.0,Defensive rebound by Team,74-77, ,,3,74,77,-3,2135.0
0:25.0,A. Horford enters the game for L. Kornet,74-77, ,,3,74,77,-3,2135.0
0:25.0, ,74-77,N. Reid enters the game for K. Anderson,,3,74,77,-3,2135.0
0:03.0,Turnover by J. Brown (lost ball; steal by N. Alexander-Walker),74-77, ,,3,74,77,-3,2157.0
0:01.0, ,74-77,Personal foul by P. Pritchard (drawn by J. McLaughlin),,3,74,77,-3,2159.0
0:01.0, ,74-78,J. McLaughlin makes free throw 1 of 2,,3,74,78,-4,2159.0
0:01.0, ,74-79,J. McLaughlin makes free throw 2 of 2,,3,74,79,-5,2159.0
0:00.0,S. Hauser misses 3-pt jump shot from 46 ft,74-79, ,,3,74,79,-5,2160.0
0:00.0,Offensive rebound by Team,74-79, ,,3,74,79,-5,2160.0
0:00.0,End of 3rd quarter,74-79,,,3,74,79,-5,2160.0
12:00.0,Start of 4th quarter,74-79,,,4,74,79,-5,2160.0
11:38.0, ,74-81,N. Reid makes 2-pt layup from 2 ft (assist by K. Towns),,4,74,81,-7,2182.0
11:25.0,S. Hauser makes 3-pt jump shot from 24 ft (assist by P. Pritchard),77-81, ,,4,77,81,-4,2195.0
10:58.0, ,77-81,N. Reid misses 2-pt layup from 8 ft (block by S. Hauser),,4,77,81,-4,2222.0
10:55.0,Defensive rebound by Team,77-81, ,,4,77,81,-4,2225.0
10:55.0,Jump ball: S. Hauser vs. N. Reid (J. Tatum gains possession),77-81,,,4,77,81,-4,2225.0
10:49.0,Shooting foul by A. Edwards (drawn by J. Tatum),77-81, ,,4,77,81,-4,2231.0
10:49.0,J. Tatum misses free throw 1 of 2,77-81, ,,4,77,81,-4,2231.0
10:49.0,Offensive rebound by Team,77-81, ,,4,77,81,-4,2231.0
10:49.0, ,77-81,N. Alexander-Walker enters the game for A. Edwards,,4,77,81,-4,2231.0
10:49.0,J. Tatum makes free throw 2 of 2,78-81, ,,4,78,81,-3,2231.0
10:34.0, ,78-83,N. Alexander-Walker makes 2-pt jump shot from 18 ft (assist by K. Towns),,4,78,83,-5,2246.0
10:07.0,Turnover by Team (shot clock),78-83, ,,4,78,83,-5,2273.0
9:51.0, ,78-83,N. Reid misses 3-pt jump shot from 23 ft,,4,78,83,-5,2289.0
9:48.0,Defensive rebound by A. Horford,78-83, ,,4,78,83,-5,2292.0
9:41.0,Turnover by J. Tatum (lost ball; steal by N. Reid),78-83, ,,4,78,83,-5,2299.0
9:37.0, ,78-85,J. McDaniels makes 2-pt layup from 3 ft (assist by N. Reid),,4,78,85,-7,2303.0
9:23.0,P. Pritchard misses 2-pt layup from 6 ft,78-85, ,,4,78,85,-7,2317.0
9:23.0, ,78-85,Defensive rebound by K. Towns,,4,78,85,-7,2317.0
9:22.0, ,78-85,Turnover by K. Towns (bad pass),,4,78,85,-7,2318.0
9:10.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by P. Pritchard),81-85, ,,4,81,85,-4,2330.0
8:57.0, ,81-85,Turnover by K. Towns (lost ball; steal by S. Hauser),,4,81,85,-4,2343.0
8:44.0,J. Tatum makes 2-pt layup from 2 ft,83-85, ,,4,83,85,-2,2356.0
8:25.0, ,83-85,N. Alexander-Walker misses 3-pt jump shot from 23 ft,,4,83,85,-2,2375.0
8:22.0,Defensive rebound by S. Hauser,83-85, ,,4,83,85,-2,2378.0
8:13.0,J. Tatum makes 2-pt jump shot from 11 ft,85-85, ,Tie,4,85,85,0,2387.0
8:13.0, ,85-85,Minnesota full timeout,,4,85,85,0,2387.0
8:13.0, ,85-85,K. Anderson enters the game for N. Alexander-Walker,,4,85,85,0,2387.0
7:51.0, ,85-85,J. McDaniels misses 2-pt jump shot from 17 ft,,4,85,85,0,2409.0
7:47.0,Defensive rebound by J. Tatum,85-85, ,,4,85,85,0,2413.0
7:34.0,J. Tatum makes 3-pt jump shot from 25 ft,88-85, ,Lead change,4,88,85,3,2426.0
7:09.0, ,88-85,Personal foul by A. Horford (drawn by K. Towns),,4,88,85,3,2451.0
7:09.0,J. Holiday enters the game for P. Pritchard,88-85, ,,4,88,85,3,2451.0
7:09.0, ,88-85,A. Edwards enters the game for M. Conley,,4,88,85,3,2451.0
7:09.0, ,88-85,R. Gobert enters the game for N. Reid,,4,88,85,3,2451.0
7:01.0, ,88-87,J. McDaniels makes 2-pt jump shot from 14 ft (assist by K. Anderson),,4,88,87,1,2459.0
6:42.0,J. Tatum misses 3-pt jump shot from 25 ft,88-87, ,,4,88,87,1,2478.0
6:40.0, ,88-87,Defensive rebound by A. Edwards,,4,88,87,1,2480.0
6:35.0, ,88-90,A. Edwards makes 3-pt jump shot from 26 ft,Lead change,4,88,90,-2,2485.0
6:15.0,Boston full timeout,88-90, ,,4,88,90,-2,2505.0
6:15.0,J. Brown enters the game for A. Horford,88-90, ,,4,88,90,-2,2505.0
6:08.0,J. Tatum makes 2-pt jump shot from 6 ft,90-90, ,Tie,4,90,90,0,2512.0
5:50.0, ,90-90,K. Towns misses 3-pt jump shot from 28 ft,,4,90,90,0,2530.0
5:50.0, ,90-90,Offensive rebound by R. Gobert,,4,90,90,0,2530.0
5:50.0,Loose ball foul by L. Kornet (drawn by R. Gobert),90-90, ,,4,90,90,0,2530.0
5:40.0, ,90-90,A. Edwards misses 2-pt jump shot from 19 ft,,4,90,90,0,2540.0
5:38.0, ,90-90,Offensive rebound by K. Anderson,,4,90,90,0,2542.0
5:37.0, ,90-90,Shooting foul by J. Tatum (drawn by A. Edwards),,4,90,90,0,2543.0
5:37.0, ,90-91,A. Edwards makes free throw 1 of 2,,4,90,91,-1,2543.0
5:37.0,K. Porziņģis enters the game for L. Kornet,90-91, ,,4,90,91,-1,2543.0
5:37.0, ,90-92,A. Edwards makes free throw 2 of 2,,4,90,92,-2,2543.0
5:19.0,J. Tatum misses 3-pt jump shot from 25 ft,90-92, ,,4,90,92,-2,2561.0
5:14.0, ,90-92,Defensive rebound by K. Towns,,4,90,92,-2,2566.0
5:02.0, ,90-95,J. McDaniels makes 3-pt jump shot from 25 ft (assist by A. Edwards),,4,90,95,-5,2578.0
4:37.0,J. Holiday makes 2-pt hook shot from 6 ft (assist by J. Brown),92-95, ,,4,92,95,-3,2603.0
4:13.0, ,92-95,Personal foul by J. Brown (drawn by R. Gobert),,4,92,95,-3,2627.0
4:08.0, ,92-95,Shooting foul by J. Tatum (drawn by R. Gobert),,4,92,95,-3,2632.0
4:08.0, ,92-96,R. Gobert makes free throw 1 of 2,,4,92,96,-4,2632.0
4:08.0, ,92-96,N. Alexander-Walker enters the game for A. Edwards,,4,92,96,-4,2632.0
4:08.0, ,92-96,M. Conley enters the game for K. Towns,,4,92,96,-4,2632.0
4:08.0, ,92-96,R. Gobert misses free throw 2 of 2,,4,92,96,-4,2632.0
4:06.0,Defensive rebound by J. Tatum,92-96, ,,4,92,96,-4,2634.0
3:58.0,Shooting foul by N. Alexander-Walker (drawn by J. Holiday),92-96, ,,4,92,96,-4,2642.0
3:58.0,J. Holiday makes free throw 1 of 2,93-96, ,,4,93,96,-3,2642.0
3:58.0,J. Holiday makes free throw 2 of 2,94-96, ,,4,94,96,-2,2642.0
3:58.0, ,94-96,Minnesota full timeout,,4,94,96,-2,2642.0
3:58.0,A. Horford enters the game for S. Hauser,94-96, ,,4,94,96,-2,2642.0
3:58.0, ,94-96,A. Edwards enters the game for N. Alexander-Walker,,4,94,96,-2,2642.0
3:58.0, ,94-96,K. Towns enters the game for R. Gobert,,4,94,96,-2,2642.0
3:36.0, ,94-98,M. Conley makes 2-pt jump shot from 14 ft (assist by A. Edwards),,4,94,98,-4,2664.0
3:17.0,Shooting foul by J. McDaniels (drawn by J. Tatum),94-98, ,,4,94,98,-4,2683.0
3:17.0, ,94-98,Minnesota full timeout,,4,94,98,-4,2683.0
3:17.0, ,94-98,Instant Replay (Challenge: Stands),,4,94,98,-4,2683.0
3:17.0,J. Tatum makes free throw 1 of 2,95-98, ,,4,95,98,-3,2683.0
3:17.0,J. Tatum makes free throw 2 of 2,96-98, ,,4,96,98,-2,2683.0
2:56.0, ,96-98,Turnover by J. McDaniels (bad pass; steal by K. Porziņģis),,4,96,98,-2,2704.0
2:52.0,J. Brown makes 2-pt layup from 2 ft,98-98, ,Tie,4,98,98,0,2708.0
2:26.0, ,98-98,Turnover by Team (shot clock),,4,98,98,0,2734.0
2:15.0,Turnover by J. Tatum (bad pass),98-98, ,,4,98,98,0,2745.0
2:15.0, ,98-98,R. Gobert enters the game for K. Anderson,,4,98,98,0,2745.0
2:13.0, ,98-98,Personal take foul by A. Horford (drawn by R. Gobert),,4,98,98,0,2747.0
2:13.0, ,98-98,R. Gobert misses free throw 1 of 2,,4,98,98,0,2747.0
2:13.0, ,98-98,Offensive rebound by Team,,4,98,98,0,2747.0
2:13.0, ,98-98,R. Gobert misses free throw 2 of 2,,4,98,98,0,2747.0
2:11.0,Defensive rebound by J. Brown,98-98, ,,4,98,98,0,2749.0
2:00.0,J. Brown makes 3-pt jump shot from 22 ft (assist by J. Holiday),101-98, ,Lead change,4,101,98,3,2760.0
1:41.0, ,101-101,J. McDaniels makes 3-pt jump shot from 23 ft (assist by A. Edwards),Tie,4,101,101,0,2779.0
1:25.0,J. Tatum misses 2-pt jump shot from 10 ft,101-101, ,,4,101,101,0,2795.0
1:22.0, ,101-101,Defensive rebound by K. Towns,,4,101,101,0,2798.0
1:08.0,Violation by Team (kicked ball),101-101, ,,4,101,101,0,2812.0
0:57.0, ,101-101,M. Conley misses 2-pt jump shot from 13 ft,,4,101,101,0,2823.0
0:54.0,Defensive rebound by J. Brown,101-101, ,,4,101,101,0,2826.0
0:45.0,Turnover by J. Holiday (lost ball; steal by M. Conley),101-101, ,,4,101,101,0,2835.0
0:39.0, ,101-101,A. Edwards misses 3-pt jump shot from 26 ft,,4,101,101,0,2841.0
0:37.0,Defensive rebound by Team,101-101, ,,4,101,101,0,2843.0
0:37.0,Boston full timeout,101-101, ,,4,101,101,0,2843.0
0:37.0, ,101-101,K. Anderson enters the game for K. Towns,,4,101,101,0,2843.0
0:32.0,Turnover by A. Horford (out of bounds lost ball),101-101, ,,4,101,101,0,2848.0
0:32.0, ,101-101,K. Towns enters the game for K. Anderson,,4,101,101,0,2848.0
0:13.0, ,101-101,A. Edwards misses 3-pt jump shot from 25 ft,,4,101,101,0,2867.0
0:11.0,Defensive rebound by J. Brown,101-101, ,,4,101,101,0,2869.0
0:01.0,J. Brown misses 3-pt jump shot from 25 ft,101-101, ,,4,101,101,0,2879.0
0:00.0, ,101-101,Defensive rebound by M. Conley,,4,101,101,0,2880.0
0:00.0, ,101-101,Minnesota full timeout,,4,101,101,0,2880.0
0:00.0, ,101-101,Instant Replay (Request: Ruling Stands),,4,101,101,0,2880.0
0:00.0,L. Kornet enters the game for J. Holiday,101-101, ,,4,101,101,0,2880.0
0:00.0, ,101-101,K. Anderson enters the game for M. Conley,,4,101,101,0,2880.0
0:00.0, ,101-101,Turnover by K. Anderson (bad pass; steal by L. Kornet),,4,101,101,0,2880.0
0:00.0,End of 4th quarter,101-101,,,4,101,101,0,2880.0
5:00.0,Start of 1st overtime,101-101,,,5,101,101,0,2880.0
5:00.0,Jump ball: K. Porziņģis vs. R. Gobert (M. Conley gains possession),101-101,,,5,101,101,0,2880.0
4:46.0, ,101-101,Offensive foul by K. Towns (drawn by J. Holiday),,5,101,101,0,2894.0
4:46.0, ,101-101,Turnover by K. Towns (offensive foul),,5,101,101,0,2894.0
4:36.0,J. Brown misses 3-pt jump shot from 25 ft,101-101, ,,5,101,101,0,2904.0
4:31.0,Offensive rebound by J. Holiday,101-101, ,,5,101,101,0,2909.0
4:29.0,J. Holiday makes 2-pt layup from 2 ft,103-101, ,,5,103,101,2,2911.0
4:13.0, ,103-103,A. Edwards makes 2-pt jump shot from 9 ft,Tie,5,103,103,0,2927.0
3:56.0,Shooting foul by K. Towns (drawn by J. Tatum),103-103, ,,5,103,103,0,2944.0
3:56.0, ,103-103,K. Anderson enters the game for K. Towns,,5,103,103,0,2944.0
3:56.0,J. Tatum makes free throw 1 of 2,104-103, ,,5,104,103,1,2944.0
3:56.0,J. Tatum makes free throw 2 of 2,105-103, ,,5,105,103,2,2944.0
3:38.0, ,105-103,A. Edwards misses 3-pt jump shot from 25 ft,,5,105,103,2,2962.0
3:34.0,Defensive rebound by K. Porziņģis,105-103, ,,5,105,103,2,2966.0
3:11.0,Jump ball: A. Edwards vs. J. Tatum (A. Edwards gains possession),105-103,,,5,105,103,2,2989.0
3:11.0,Turnover by J. Tatum (lost ball; steal by A. Edwards),105-103, ,,5,105,103,2,2989.0
3:08.0, ,105-106,M. Conley makes 3-pt jump shot from 25 ft (assist by A. Edwards),Lead change,5,105,106,-1,2992.0
2:52.0,Offensive foul by J. Brown (drawn by M. Conley),105-106, ,,5,105,106,-1,3008.0
2:52.0,Turnover by J. Brown (offensive foul),105-106, ,,5,105,106,-1,3008.0
2:31.0, ,105-108,A. Edwards makes 2-pt jump shot from 19 ft,,5,105,108,-3,3029.0
2:14.0,J. Holiday misses 2-pt layup from 5 ft,105-108, ,,5,105,108,-3,3046.0
2:12.0, ,105-108,Defensive rebound by R. Gobert,,5,105,108,-3,3048.0
2:04.0, ,105-110,A. Edwards makes 2-pt jump shot from 22 ft,,5,105,110,-5,3056.0
1:45.0,J. Tatum misses 3-pt jump shot from 25 ft,105-110, ,,5,105,110,-5,3075.0
1:42.0, ,105-110,Defensive rebound by R. Gobert,,5,105,110,-5,3078.0
1:30.0, ,105-112,A. Edwards makes 2-pt jump shot from 9 ft,,5,105,112,-7,3090.0
1:20.0,J. Brown misses 2-pt jump shot from 6 ft,105-112, ,,5,105,112,-7,3100.0
1:17.0, ,105-112,Defensive rebound by R. Gobert,,5,105,112,-7,3103.0
1:05.0, ,105-112,A. Edwards misses 3-pt jump shot from 29 ft,,5,105,112,-7,3115.0
1:04.0,Defensive rebound by Team,105-112, ,,5,105,112,-7,3116.0
0:56.0,Shooting foul by R. Gobert (drawn by K. Porziņģis),105-112, ,,5,105,112,-7,3124.0
0:56.0,K. Porziņģis makes free throw 1 of 2,106-112, ,,5,106,112,-6,3124.0
0:56.0,K. Porziņģis makes free throw 2 of 2,107-112, ,,5,107,112,-5,3124.0
0:38.0, ,107-112,Turnover by A. Edwards (bad pass; steal by J. Tatum),,5,107,112,-5,3142.0
0:35.0,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),109-112, ,,5,109,112,-3,3145.0
0:16.0, ,109-114,J. McDaniels makes 2-pt jump shot from 8 ft,,5,109,114,-5,3164.0
0:15.0,Boston full timeout,109-114, ,,5,109,114,-5,3165.0
0:15.0,S. Hauser enters the game for A. Horford,109-114, ,,5,109,114,-5,3165.0
0:13.0,S. Hauser misses 3-pt jump shot from 29 ft,109-114, ,,5,109,114,-5,3167.0
0:10.0, ,109-114,Defensive rebound by A. Edwards,,5,109,114,-5,3170.0
0:09.0, ,109-114,Personal take foul by S. Hauser (drawn by A. Edwards),,5,109,114,-5,3171.0
0:00.0,End of 1st overtime,109-114,,,5,109,114,-5,3180.0
