Time,Boston,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:07.0, ,8-9,C. Thomas misses 2-pt jump shot from 11 ft,,1,8,9,-1,233.0
8:03.0,Defensive rebound by A. Horford,8-9, ,,1,8,9,-1,237.0
7:49.0,D. White makes 2-pt layup from 2 ft (assist by J. Holiday),10-9, ,Lead change,1,10,9,1,251.0
7:49.0, ,10-9,Brooklyn full timeout,,1,10,9,1,251.0
7:28.0, ,10-9,B. Simmons misses 2-pt hook shot from 6 ft,,1,10,9,1,272.0
7:26.0,Defensive rebound by J. Holiday,10-9, ,,1,10,9,1,274.0
7:23.0,J. Tatum makes 2-pt dunk from 1 ft (assist by D. White),12-9, ,,1,12,9,3,277.0
7:07.0, ,12-9,M. Bridges misses 3-pt jump shot from 25 ft,,1,12,9,3,293.0
7:04.0,Defensive rebound by A. Horford,12-9, ,,1,12,9,3,296.0
6:57.0,J. Brown misses 2-pt jump shot from 5 ft,12-9, ,,1,12,9,3,303.0
6:54.0, ,12-9,Defensive rebound by N. Claxton,,1,12,9,3,306.0
6:45.0, ,12-9,M. Bridges misses 2-pt layup from 2 ft,,1,12,9,3,315.0
6:43.0,Defensive rebound by J. Tatum,12-9, ,,1,12,9,3,317.0
6:38.0,J. Brown makes 2-pt layup at rim,14-9, ,,1,14,9,5,322.0
6:28.0, ,14-9,B. Simmons misses 2-pt jump shot from 11 ft,,1,14,9,5,332.0
6:26.0,Defensive rebound by A. Horford,14-9, ,,1,14,9,5,334.0
6:25.0,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),16-9, ,,1,16,9,7,335.0
5:57.0, ,16-11,M. Bridges makes 2-pt layup at rim,,1,16,11,5,363.0
5:48.0,Personal foul by C. Thomas (drawn by J. Holiday),16-11, ,,1,16,11,5,372.0
5:48.0,S. Hauser enters the game for J. Brown,16-11, ,,1,16,11,5,372.0
5:48.0,L. Kornet enters the game for D. White,16-11, ,,1,16,11,5,372.0
5:48.0, ,16-11,D. Schröder enters the game for N. Claxton,,1,16,11,5,372.0
5:48.0, ,16-11,D. Smith enters the game for B. Simmons,,1,16,11,5,372.0
5:48.0, ,16-11,L. Walker enters the game for C. Thomas,,1,16,11,5,372.0
5:37.0,S. Hauser misses 3-pt jump shot from 25 ft,16-11, ,,1,16,11,5,383.0
5:31.0, ,16-11,Defensive rebound by D. Schröder,,1,16,11,5,389.0
5:15.0, ,16-14,D. Schröder makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith),,1,16,14,2,405.0
5:03.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Tatum),19-14, ,,1,19,14,5,417.0
