Time,Boston,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. B. Lopez (D. White gains possession),0-0,,,1,0,0,0,0.0
11:49.0,J. Holiday misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,11.0
11:46.0, ,0-0,Defensive rebound by D. Lillard,,1,0,0,0,14.0
11:39.0, ,0-0,Turnover by G. Antetokounmpo (lost ball; steal by K. Porziņģis),,1,0,0,0,21.0
11:25.0,J. Brown misses 2-pt hook shot from 9 ft,0-0, ,,1,0,0,0,35.0
11:22.0, ,0-0,Defensive rebound by K. Middleton,,1,0,0,0,38.0
11:19.0, ,0-3,D. Lillard makes 3-pt jump shot from 27 ft (assist by K. Middleton),,1,0,3,-3,41.0
11:08.0,K. Porziņģis misses 2-pt hook shot from 7 ft,0-3, ,,1,0,3,-3,52.0
11:04.0, ,0-3,Defensive rebound by G. Antetokounmpo,,1,0,3,-3,56.0
11:00.0, ,0-5,G. Antetokounmpo makes 2-pt dunk from 3 ft,,1,0,5,-5,60.0
10:42.0,J. Brown makes 2-pt jump shot from 10 ft,2-5, ,,1,2,5,-3,78.0
10:29.0, ,2-8,D. Lillard makes 3-pt jump shot from 27 ft (assist by K. Middleton),,1,2,8,-6,91.0
10:06.0,K. Porziņģis misses 3-pt jump shot from 27 ft,2-8, ,,1,2,8,-6,114.0
10:02.0, ,2-8,Defensive rebound by G. Antetokounmpo,,1,2,8,-6,118.0
9:59.0, ,2-10,G. Antetokounmpo makes 2-pt layup from 3 ft,,1,2,10,-8,121.0
9:59.0, ,2-10,Shooting foul by K. Porziņģis (drawn by G. Antetokounmpo),,1,2,10,-8,121.0
9:59.0, ,2-11,G. Antetokounmpo makes free throw 1 of 1,,1,2,11,-9,121.0
9:45.0,Shooting foul by D. Lillard (drawn by J. Tatum),2-11, ,,1,2,11,-9,135.0
9:45.0,J. Tatum makes free throw 1 of 2,3-11, ,,1,3,11,-8,135.0
9:45.0,J. Tatum makes free throw 2 of 2,4-11, ,,1,4,11,-7,135.0
9:26.0, ,4-11,G. Antetokounmpo misses 2-pt layup from 5 ft,,1,4,11,-7,154.0
9:23.0,Defensive rebound by J. Brown,4-11, ,,1,4,11,-7,157.0
9:21.0,K. Porziņģis makes 2-pt dunk from 2 ft (assist by J. Brown),6-11, ,,1,6,11,-5,159.0
9:08.0, ,6-13,D. Lillard makes 2-pt layup from 1 ft,,1,6,13,-7,172.0
8:55.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Tatum),8-13, ,,1,8,13,-5,185.0
8:46.0, ,8-13,D. Lillard misses 3-pt jump shot from 31 ft,,1,8,13,-5,194.0
8:43.0,Defensive rebound by J. Holiday,8-13, ,,1,8,13,-5,197.0
8:32.0,Shooting foul by G. Antetokounmpo (drawn by J. Holiday),8-13, ,,1,8,13,-5,208.0
8:32.0,J. Holiday makes free throw 1 of 2,9-13, ,,1,9,13,-4,208.0
8:32.0,J. Holiday makes free throw 2 of 2,10-13, ,,1,10,13,-3,208.0
8:20.0, ,10-15,M. Beasley makes 2-pt jump shot from 10 ft (assist by D. Lillard),,1,10,15,-5,220.0
8:08.0,J. Tatum makes 2-pt jump shot from 14 ft,12-15, ,,1,12,15,-3,232.0
8:00.0, ,12-15,Shooting foul by J. Holiday (drawn by B. Lopez),,1,12,15,-3,240.0
8:00.0, ,12-15,B. Lopez misses free throw 1 of 2,,1,12,15,-3,240.0
8:00.0, ,12-15,Offensive rebound by Team,,1,12,15,-3,240.0
8:00.0, ,12-16,B. Lopez makes free throw 2 of 2,,1,12,16,-4,240.0
7:39.0,J. Tatum misses 2-pt jump shot from 9 ft (block by B. Lopez),12-16, ,,1,12,16,-4,261.0
7:39.0, ,12-16,Defensive rebound by Team,,1,12,16,-4,261.0
7:29.0, ,12-19,B. Lopez makes 3-pt jump shot from 27 ft (assist by D. Lillard),,1,12,19,-7,271.0
7:28.0,Boston full timeout,12-19, ,,1,12,19,-7,272.0
7:06.0,Turnover by K. Porziņģis (bad pass; steal by K. Middleton),12-19, ,,1,12,19,-7,294.0
6:56.0, ,12-19,K. Middleton misses 3-pt jump shot from 24 ft,,1,12,19,-7,304.0
6:53.0,Defensive rebound by K. Porziņģis,12-19, ,,1,12,19,-7,307.0
6:45.0,J. Tatum misses 2-pt jump shot from 13 ft,12-19, ,,1,12,19,-7,315.0
6:42.0, ,12-19,Defensive rebound by G. Antetokounmpo,,1,12,19,-7,318.0
6:35.0, ,12-19,D. Lillard misses 3-pt jump shot from 28 ft,,1,12,19,-7,325.0
6:32.0,Defensive rebound by J. Brown,12-19, ,,1,12,19,-7,328.0
6:23.0,J. Brown misses 2-pt jump shot from 17 ft,12-19, ,,1,12,19,-7,337.0
6:20.0,Offensive rebound by J. Holiday,12-19, ,,1,12,19,-7,340.0
6:15.0,J. Brown misses 3-pt jump shot from 27 ft,12-19, ,,1,12,19,-7,345.0
6:12.0,Offensive rebound by Team,12-19, ,,1,12,19,-7,348.0
6:12.0,O. Brissett enters the game for J. Holiday,12-19, ,,1,12,19,-7,348.0
6:12.0,S. Hauser enters the game for J. Tatum,12-19, ,,1,12,19,-7,348.0
6:12.0, ,12-19,B. Portis enters the game for G. Antetokounmpo,,1,12,19,-7,348.0
6:06.0,J. Brown misses 2-pt jump shot from 14 ft,12-19, ,,1,12,19,-7,354.0
6:03.0,Offensive rebound by J. Brown,12-19, ,,1,12,19,-7,357.0
6:01.0,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Brown),15-19, ,,1,15,19,-4,359.0
5:47.0, ,15-21,K. Middleton makes 2-pt layup from 6 ft,,1,15,21,-6,373.0
5:33.0,K. Porziņģis misses 3-pt jump shot from 27 ft,15-21, ,,1,15,21,-6,387.0
5:30.0, ,15-21,Defensive rebound by M. Beasley,,1,15,21,-6,390.0
5:21.0, ,15-21,B. Portis misses 2-pt hook shot from 11 ft,,1,15,21,-6,399.0
5:18.0,Defensive rebound by S. Hauser,15-21, ,,1,15,21,-6,402.0
5:10.0,D. White misses 2-pt jump shot from 14 ft,15-21, ,,1,15,21,-6,410.0
5:08.0,Offensive rebound by K. Porziņģis,15-21, ,,1,15,21,-6,412.0
5:08.0,K. Porziņģis makes 2-pt dunk at rim,17-21, ,,1,17,21,-4,412.0
4:59.0, ,17-21,D. Lillard misses 2-pt layup from 4 ft (block by K. Porziņģis),,1,17,21,-4,421.0
4:57.0, ,17-21,Offensive rebound by B. Portis,,1,17,21,-4,423.0
4:57.0, ,17-23,B. Portis makes 2-pt layup at rim,,1,17,23,-6,423.0
4:36.0,J. Brown misses 2-pt jump shot from 16 ft,17-23, ,,1,17,23,-6,444.0
4:35.0, ,17-23,Defensive rebound by B. Portis,,1,17,23,-6,445.0
4:28.0, ,17-23,Shooting foul by J. Brown (drawn by D. Lillard),,1,17,23,-6,452.0
4:28.0, ,17-24,D. Lillard makes free throw 1 of 2,,1,17,24,-7,452.0
4:28.0, ,17-24,P. Connaughton enters the game for K. Middleton,,1,17,24,-7,452.0
4:28.0, ,17-25,D. Lillard makes free throw 2 of 2,,1,17,25,-8,452.0
4:14.0,K. Porziņģis misses 2-pt jump shot from 12 ft,17-25, ,,1,17,25,-8,466.0
4:10.0, ,17-25,Defensive rebound by B. Portis,,1,17,25,-8,470.0
4:09.0, ,17-25,Shooting foul by S. Hauser (drawn by B. Portis),,1,17,25,-8,471.0
4:09.0, ,17-25,B. Portis misses free throw 1 of 2,,1,17,25,-8,471.0
4:09.0, ,17-25,Offensive rebound by Team,,1,17,25,-8,471.0
4:09.0, ,17-26,B. Portis makes free throw 2 of 2,,1,17,26,-9,471.0
3:54.0,D. White misses 3-pt jump shot from 25 ft,17-26, ,,1,17,26,-9,486.0
3:50.0, ,17-26,Defensive rebound by B. Portis,,1,17,26,-9,490.0
3:33.0, ,17-29,M. Beasley makes 3-pt jump shot from 27 ft (assist by D. Lillard),,1,17,29,-12,507.0
3:11.0,J. Brown makes 2-pt dunk from 1 ft (assist by K. Porziņģis),19-29, ,,1,19,29,-10,529.0
2:55.0, ,19-29,B. Portis misses 2-pt jump shot from 17 ft,,1,19,29,-10,545.0
2:51.0,Defensive rebound by O. Brissett,19-29, ,,1,19,29,-10,549.0
2:37.0,O. Brissett makes 2-pt dunk from 1 ft (assist by K. Porziņģis),21-29, ,,1,21,29,-8,563.0
2:37.0, ,21-29,Milwaukee full timeout,,1,21,29,-8,563.0
2:37.0,J. Holiday enters the game for J. Brown,21-29, ,,1,21,29,-8,563.0
2:37.0,J. Tatum enters the game for D. White,21-29, ,,1,21,29,-8,563.0
2:37.0, ,21-29,G. Antetokounmpo enters the game for M. Beasley,,1,21,29,-8,563.0
2:37.0, ,21-29,A. Jackson enters the game for B. Lopez,,1,21,29,-8,563.0
2:26.0, ,21-31,G. Antetokounmpo makes 2-pt hook shot from 10 ft (assist by A. Jackson),,1,21,31,-10,574.0
2:14.0,O. Brissett makes 2-pt dunk from 1 ft (assist by J. Tatum),23-31, ,,1,23,31,-8,586.0
1:54.0, ,23-34,B. Portis makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,1,23,34,-11,606.0
1:34.0,J. Holiday misses 2-pt jump shot from 16 ft,23-34, ,,1,23,34,-11,626.0
1:30.0, ,23-34,Defensive rebound by D. Lillard,,1,23,34,-11,630.0
1:25.0, ,23-34,G. Antetokounmpo misses 2-pt layup from 5 ft,,1,23,34,-11,635.0
1:21.0, ,23-34,Offensive rebound by G. Antetokounmpo,,1,23,34,-11,639.0
1:21.0, ,23-36,G. Antetokounmpo makes 2-pt layup at rim,,1,23,36,-13,639.0
