Time,Washington,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Avdija vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,J. Holiday misses 2-pt layup from 2 ft,,1,0,0,0,19.0
11:39.0,Defensive rebound by B. Coulibaly,0-0, ,,1,0,0,0,21.0
11:37.0,Turnover by T. Jones (lost ball; steal by D. White),0-0, ,,1,0,0,0,23.0
11:32.0, ,0-2,J. Tatum makes 2-pt layup from 2 ft (assist by J. Brown),,1,2,0,2,28.0
11:14.0,J. Poole makes 2-pt jump shot from 15 ft (assist by K. Kuzma),2-2, ,Tie,1,2,2,0,46.0
11:01.0, ,2-4,K. Porziņģis makes 2-pt jump shot from 14 ft,,1,4,2,2,59.0
10:52.0,B. Coulibaly misses 3-pt jump shot from 26 ft,2-4, ,,1,4,2,2,68.0
10:51.0, ,2-4,Defensive rebound by J. Tatum,,1,4,2,2,69.0
10:46.0, ,2-4,Personal foul by J. Poole (drawn by K. Porziņģis),,1,4,2,2,74.0
10:41.0, ,2-6,J. Brown makes 2-pt layup from 3 ft,,1,6,2,4,79.0
10:32.0,J. Poole misses 2-pt layup from 4 ft,2-6, ,,1,6,2,4,88.0
10:30.0, ,2-6,Defensive rebound by K. Porziņģis,,1,6,2,4,90.0
10:24.0, ,2-8,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Holiday),,1,8,2,6,96.0
10:12.0,T. Jones makes 2-pt jump shot from 12 ft,4-8, ,,1,8,4,4,108.0
9:57.0, ,4-8,J. Tatum misses 3-pt jump shot from 27 ft,,1,8,4,4,123.0
9:55.0,Defensive rebound by D. Avdija,4-8, ,,1,8,4,4,125.0
9:51.0,D. Avdija makes 2-pt layup from 4 ft,6-8, ,,1,8,6,2,129.0
9:51.0,Shooting foul by J. Brown (drawn by D. Avdija),6-8, ,,1,8,6,2,129.0
9:51.0,D. Avdija makes free throw 1 of 1,7-8, ,,1,8,7,1,129.0
9:32.0, ,7-8,Shooting foul by K. Kuzma (drawn by K. Porziņģis),,1,8,7,1,148.0
9:32.0, ,7-9,K. Porziņģis makes free throw 1 of 2,,1,9,7,2,148.0
9:32.0, ,7-10,K. Porziņģis makes free throw 2 of 2,,1,10,7,3,148.0
9:22.0,Personal foul by K. Porziņģis (drawn by B. Coulibaly),7-10, ,,1,10,7,3,158.0
9:16.0,B. Coulibaly misses 3-pt jump shot from 27 ft,7-10, ,,1,10,7,3,164.0
9:14.0, ,7-10,Defensive rebound by J. Tatum,,1,10,7,3,166.0
9:01.0, ,7-12,J. Holiday makes 2-pt layup from 1 ft (assist by J. Tatum),,1,12,7,5,179.0
8:41.0,Turnover by D. Avdija (bad pass; steal by J. Holiday),7-12, ,,1,12,7,5,199.0
8:33.0, ,7-14,J. Brown makes 2-pt layup from 2 ft (assist by J. Tatum),,1,14,7,7,207.0
8:19.0,J. Poole makes 3-pt jump shot from 27 ft (assist by K. Kuzma),10-14, ,,1,14,10,4,221.0
8:06.0, ,10-16,J. Holiday makes 2-pt layup from 1 ft (assist by D. White),,1,16,10,6,234.0
8:00.0,K. Kuzma misses 3-pt jump shot from 27 ft,10-16, ,,1,16,10,6,240.0
7:58.0, ,10-16,Defensive rebound by K. Porziņģis,,1,16,10,6,242.0
7:48.0, ,10-16,J. Tatum misses 2-pt layup from 4 ft,,1,16,10,6,252.0
7:46.0,Defensive rebound by J. Poole,10-16, ,,1,16,10,6,254.0
7:43.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by J. Poole),12-16, ,,1,16,12,4,257.0
7:42.0, ,12-16,Boston full timeout,,1,16,12,4,258.0
7:24.0, ,12-16,K. Porziņģis misses 2-pt jump shot from 17 ft,,1,16,12,4,276.0
7:22.0,Defensive rebound by D. Avdija,12-16, ,,1,16,12,4,278.0
7:18.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by D. Avdija),15-16, ,,1,16,15,1,282.0
7:06.0, ,15-16,D. White misses 3-pt jump shot from 25 ft,,1,16,15,1,294.0
7:05.0,Defensive rebound by K. Kuzma,15-16, ,,1,16,15,1,295.0
6:53.0,J. Poole misses 3-pt jump shot from 25 ft,15-16, ,,1,16,15,1,307.0
6:50.0,Offensive rebound by B. Coulibaly,15-16, ,,1,16,15,1,310.0
6:47.0,J. Poole misses 3-pt jump shot from 23 ft,15-16, ,,1,16,15,1,313.0
6:46.0,Offensive rebound by B. Coulibaly,15-16, ,,1,16,15,1,314.0
6:43.0,K. Kuzma misses 3-pt jump shot from 27 ft,15-16, ,,1,16,15,1,317.0
6:41.0, ,15-16,Defensive rebound by J. Holiday,,1,16,15,1,319.0
6:33.0, ,15-16,J. Tatum misses 3-pt jump shot from 27 ft,,1,16,15,1,327.0
6:31.0,Defensive rebound by D. Avdija,15-16, ,,1,16,15,1,329.0
6:21.0,J. Poole makes 2-pt jump shot from 11 ft,17-16, ,Lead change,1,16,17,-1,339.0
6:06.0, ,17-16,K. Porziņģis misses 2-pt jump shot from 4 ft,,1,16,17,-1,354.0
6:04.0,Defensive rebound by D. Avdija,17-16, ,,1,16,17,-1,356.0
6:02.0,Turnover by D. Avdija (bad pass),17-16, ,,1,16,17,-1,358.0
6:02.0, ,17-16,S. Hauser enters the game for J. Holiday,,1,16,17,-1,358.0
6:02.0, ,17-16,A. Horford enters the game for J. Tatum,,1,16,17,-1,358.0
5:43.0, ,17-18,J. Brown makes 2-pt jump shot from 13 ft,Lead change,1,18,17,1,377.0
5:24.0,D. Avdija misses 2-pt jump shot from 9 ft,17-18, ,,1,18,17,1,396.0
5:22.0, ,17-18,Defensive rebound by K. Porziņģis,,1,18,17,1,398.0
5:17.0, ,17-18,K. Porziņģis misses 3-pt jump shot from 29 ft,,1,18,17,1,403.0
5:16.0,Defensive rebound by J. Poole,17-18, ,,1,18,17,1,404.0
5:10.0,T. Jones makes 3-pt jump shot from 24 ft (assist by J. Poole),20-18, ,Lead change,1,18,20,-2,410.0
4:55.0, ,20-18,Personal foul by B. Coulibaly (drawn by K. Porziņģis),,1,18,20,-2,425.0
4:55.0,C. Kispert enters the game for D. Avdija,20-18, ,,1,18,20,-2,425.0
4:55.0,E. Omoruyi enters the game for J. Poole,20-18, ,,1,18,20,-2,425.0
4:50.0, ,20-20,K. Porziņģis makes 2-pt dunk at rim (assist by J. Brown),Tie,1,20,20,0,430.0
4:29.0,B. Coulibaly misses 3-pt jump shot from 25 ft,20-20, ,,1,20,20,0,451.0
4:28.0, ,20-20,Defensive rebound by K. Porziņģis,,1,20,20,0,452.0
4:27.0, ,20-20,Personal foul by E. Omoruyi (drawn by K. Porziņģis),,1,20,20,0,453.0
4:08.0, ,20-20,S. Hauser misses 3-pt jump shot from 25 ft,,1,20,20,0,472.0
4:07.0,Defensive rebound by B. Coulibaly,20-20, ,,1,20,20,0,473.0
4:01.0,B. Coulibaly misses 2-pt layup from 4 ft (block by K. Porziņģis),20-20, ,,1,20,20,0,479.0
4:00.0, ,20-20,Defensive rebound by A. Horford,,1,20,20,0,480.0
3:53.0, ,20-20,Turnover by D. White (lost ball; steal by C. Kispert),,1,20,20,0,487.0
3:47.0,K. Kuzma misses 2-pt jump shot from 7 ft,20-20, ,,1,20,20,0,493.0
3:46.0, ,20-20,Defensive rebound by J. Brown,,1,20,20,0,494.0
3:39.0, ,20-23,A. Horford makes 3-pt jump shot from 26 ft (assist by D. White),Lead change,1,23,20,3,501.0
3:37.0,Washington full timeout,20-23, ,,1,23,20,3,503.0
3:37.0,D. Avdija enters the game for B. Coulibaly,20-23, ,,1,23,20,3,503.0
3:37.0,J. Poole enters the game for T. Jones,20-23, ,,1,23,20,3,503.0
3:37.0,L. Shamet enters the game for K. Kuzma,20-23, ,,1,23,20,3,503.0
3:37.0, ,20-23,P. Pritchard enters the game for D. White,,1,23,20,3,503.0
3:26.0,J. Poole makes 2-pt layup from 8 ft,22-23, ,,1,23,22,1,514.0
3:20.0, ,22-23,P. Pritchard misses 3-pt jump shot from 28 ft,,1,23,22,1,520.0
3:18.0,Defensive rebound by C. Kispert,22-23, ,,1,23,22,1,522.0
3:10.0,C. Kispert makes 3-pt jump shot from 28 ft (assist by D. Avdija),25-23, ,Lead change,1,23,25,-2,530.0
2:51.0, ,25-23,J. Brown misses 2-pt jump shot from 11 ft,,1,23,25,-2,549.0
2:50.0, ,25-23,Offensive rebound by A. Horford,,1,23,25,-2,550.0
2:50.0, ,25-23,A. Horford misses 2-pt layup from 1 ft,,1,23,25,-2,550.0
2:49.0,Defensive rebound by E. Omoruyi,25-23, ,,1,23,25,-2,551.0
2:41.0,C. Kispert makes 2-pt jump shot from 14 ft (assist by E. Omoruyi),27-23, ,,1,23,27,-4,559.0
2:23.0, ,27-23,Shooting foul by C. Kispert (drawn by S. Hauser),,1,23,27,-4,577.0
2:23.0, ,27-24,S. Hauser makes free throw 1 of 2,,1,24,27,-3,577.0
2:23.0, ,27-24,J. Holiday enters the game for J. Brown,,1,24,27,-3,577.0
2:23.0, ,27-24,J. Tatum enters the game for K. Porziņģis,,1,24,27,-3,577.0
2:23.0, ,27-25,S. Hauser makes free throw 2 of 2,,1,25,27,-2,577.0
2:09.0,E. Omoruyi makes 2-pt layup from 3 ft (assist by J. Poole),29-25, ,,1,25,29,-4,591.0
2:03.0, ,29-25,Turnover by J. Holiday (bad pass),,1,25,29,-4,597.0
1:53.0,D. Avdija makes 2-pt layup from 4 ft (assist by J. Poole),31-25, ,,1,25,31,-6,607.0
1:41.0, ,31-25,J. Tatum misses 3-pt jump shot from 26 ft,,1,25,31,-6,619.0
1:40.0,Defensive rebound by C. Kispert,31-25, ,,1,25,31,-6,620.0
1:31.0,J. Poole misses 3-pt jump shot from 27 ft,31-25, ,,1,25,31,-6,629.0
1:29.0,Offensive rebound by Team,31-25, ,,1,25,31,-6,631.0
1:29.0, ,31-25,Loose ball foul by A. Horford (drawn by E. Omoruyi),,1,25,31,-6,631.0
1:16.0,Turnover by L. Shamet (lost ball; steal by A. Horford),31-25, ,,1,25,31,-6,644.0
1:00.0, ,31-25,P. Pritchard misses 3-pt jump shot from 27 ft,,1,25,31,-6,660.0
0:58.0, ,31-25,Offensive rebound by J. Holiday,,1,25,31,-6,662.0
0:51.0, ,31-25,S. Hauser misses 3-pt jump shot from 26 ft,,1,25,31,-6,669.0
0:49.0,Defensive rebound by C. Kispert,31-25, ,,1,25,31,-6,671.0
0:45.0,E. Omoruyi makes 2-pt dunk from 3 ft (assist by C. Kispert),33-25, ,,1,25,33,-8,675.0
0:30.0, ,33-25,J. Tatum misses 3-pt jump shot from 27 ft,,1,25,33,-8,690.0
0:28.0, ,33-25,Offensive rebound by A. Horford,,1,25,33,-8,692.0
0:25.0, ,33-28,J. Tatum makes 3-pt jump shot from 26 ft (assist by A. Horford),,1,28,33,-5,695.0
0:02.0,J. Poole makes 2-pt jump shot from 23 ft,35-28, ,,1,28,35,-7,718.0
0:00.0, ,35-31,P. Pritchard makes 3-pt jump shot from 50 ft (assist by J. Holiday),,1,31,35,-4,720.0
0:00.0, ,35-31,Instant Replay (Request: Ruling Stands),,1,31,35,-4,720.0
0:00.0,End of 1st quarter,35-31,,,1,31,35,-4,720.0
12:00.0,Start of 2nd quarter,35-31,,,2,31,35,-4,720.0
11:47.0,J. Poole misses 3-pt jump shot from 27 ft,35-31, ,,2,31,35,-4,733.0
11:45.0, ,35-31,Defensive rebound by P. Pritchard,,2,31,35,-4,735.0
11:30.0, ,35-31,J. Tatum misses 3-pt jump shot from 28 ft,,2,31,35,-4,750.0
11:28.0,Defensive rebound by L. Shamet,35-31, ,,2,31,35,-4,752.0
11:22.0,J. Poole misses 3-pt jump shot from 27 ft,35-31, ,,2,31,35,-4,758.0
11:20.0, ,35-31,Defensive rebound by J. Tatum,,2,31,35,-4,760.0
11:12.0, ,35-31,S. Hauser misses 3-pt jump shot from 28 ft,,2,31,35,-4,768.0
11:10.0,Defensive rebound by C. Kispert,35-31, ,,2,31,35,-4,770.0
11:04.0,Turnover by J. Poole (bad pass; steal by S. Hauser),35-31, ,,2,31,35,-4,776.0
10:58.0, ,35-31,Personal foul by J. Poole (drawn by J. Holiday),,2,31,35,-4,782.0
10:51.0, ,35-33,J. Tatum makes 2-pt jump shot from 17 ft (assist by J. Holiday),,2,33,35,-2,789.0
10:31.0,J. Poole misses 2-pt jump shot from 15 ft,35-33, ,,2,33,35,-2,809.0
10:29.0, ,35-33,Defensive rebound by S. Hauser,,2,33,35,-2,811.0
10:19.0, ,35-33,J. Holiday misses 2-pt hook shot from 11 ft,,2,33,35,-2,821.0
10:18.0,Defensive rebound by E. Omoruyi,35-33, ,,2,33,35,-2,822.0
10:05.0,E. Omoruyi misses 3-pt jump shot from 28 ft,35-33, ,,2,33,35,-2,835.0
10:03.0, ,35-33,Defensive rebound by P. Pritchard,,2,33,35,-2,837.0
9:43.0, ,35-35,J. Tatum makes 2-pt jump shot from 18 ft,Tie,2,35,35,0,857.0
9:43.0, ,35-35,Shooting foul by D. Wright (drawn by J. Tatum),,2,35,35,0,857.0
9:43.0,K. Kuzma enters the game for E. Omoruyi,35-35, ,,2,35,35,0,857.0
9:43.0, ,35-36,J. Tatum makes free throw 1 of 1,Lead change,2,36,35,1,857.0
9:32.0,Shooting foul by S. Hauser (drawn by J. Poole),35-36, ,,2,36,35,1,868.0
9:32.0,J. Poole makes free throw 1 of 2,36-36, ,Tie,2,36,36,0,868.0
9:32.0,J. Poole makes free throw 2 of 2,37-36, ,Lead change,2,36,37,-1,868.0
9:24.0, ,37-36,Def 3 sec tech foul by Team,,2,36,37,-1,876.0
9:24.0, ,37-37,J. Tatum makes technical free throw,Tie,2,37,37,0,876.0
9:17.0, ,37-37,S. Hauser misses 3-pt jump shot from 26 ft,,2,37,37,0,883.0
9:15.0,Defensive rebound by C. Kispert,37-37, ,,2,37,37,0,885.0
9:10.0,Shooting foul by L. Kornet (drawn by K. Kuzma),37-37, ,,2,37,37,0,890.0
9:10.0,K. Kuzma makes free throw 1 of 2,38-37, ,,2,37,38,-1,890.0
9:10.0, ,38-37,D. White enters the game for S. Hauser,,2,37,38,-1,890.0
9:10.0,K. Kuzma makes free throw 2 of 2,39-37, ,,2,37,39,-2,890.0
8:46.0, ,39-39,J. Holiday makes 2-pt jump shot from 7 ft,Tie,2,39,39,0,914.0
8:38.0,K. Kuzma misses 3-pt jump shot from 28 ft,39-39, ,,2,39,39,0,922.0
8:37.0, ,39-39,Defensive rebound by P. Pritchard,,2,39,39,0,923.0
8:27.0, ,39-39,Shooting foul by L. Shamet (drawn by J. Tatum),,2,39,39,0,933.0
8:27.0, ,39-40,J. Tatum makes free throw 1 of 2,Lead change,2,40,39,1,933.0
8:27.0,B. Coulibaly enters the game for J. Poole,39-40, ,,2,40,39,1,933.0
8:27.0,T. Jones enters the game for D. Wright,39-40, ,,2,40,39,1,933.0
8:27.0, ,39-40,J. Brown enters the game for P. Pritchard,,2,40,39,1,933.0
8:27.0, ,39-41,J. Tatum makes free throw 2 of 2,,2,41,39,2,933.0
8:15.0,C. Kispert misses 2-pt layup from 9 ft,39-41, ,,2,41,39,2,945.0
8:14.0, ,39-41,Defensive rebound by J. Brown,,2,41,39,2,946.0
8:04.0, ,39-43,J. Holiday makes 2-pt layup from 1 ft (assist by D. White),,2,43,39,4,956.0
7:56.0,Washington full timeout,39-43, ,,2,43,39,4,964.0
7:56.0,D. Avdija enters the game for L. Shamet,39-43, ,,2,43,39,4,964.0
7:54.0,T. Jones makes 2-pt jump shot from 10 ft (assist by C. Kispert),41-43, ,,2,43,41,2,966.0
7:40.0, ,41-46,J. Tatum makes 3-pt jump shot from 26 ft,,2,46,41,5,980.0
7:24.0,C. Kispert misses 2-pt layup from 4 ft (block by L. Kornet),41-46, ,,2,46,41,5,996.0
7:22.0,Offensive rebound by B. Coulibaly,41-46, ,,2,46,41,5,998.0
7:19.0,C. Kispert misses 3-pt jump shot from 23 ft,41-46, ,,2,46,41,5,1001.0
7:18.0, ,41-46,Defensive rebound by J. Holiday,,2,46,41,5,1002.0
