Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:24.0,T. Harris misses 2-pt layup from 4 ft (block by D. White),11-14, ,,1,14,11,3,276.0
7:22.0, ,11-14,Defensive rebound by D. White,,1,14,11,3,278.0
7:19.0, ,11-16,J. Holiday makes 2-pt layup from 2 ft (assist by J. Tatum),,1,16,11,5,281.0
6:59.0,P. Reed misses 2-pt layup from 8 ft (block by D. White),11-16, ,,1,16,11,5,301.0
6:57.0, ,11-16,Defensive rebound by D. White,,1,16,11,5,303.0
6:48.0, ,11-16,K. Porziņģis misses 3-pt jump shot from 28 ft,,1,16,11,5,312.0
6:47.0,Defensive rebound by P. Reed,11-16, ,,1,16,11,5,313.0
6:34.0,P. Reed misses 2-pt hook shot from 6 ft,11-16, ,,1,16,11,5,326.0
6:32.0, ,11-16,Defensive rebound by K. Porziņģis,,1,16,11,5,328.0
6:21.0, ,11-16,J. Tatum misses 3-pt jump shot from 25 ft,,1,16,11,5,339.0
6:18.0, ,11-16,Offensive rebound by J. Holiday,,1,16,11,5,342.0
6:13.0, ,11-16,Turnover by J. Holiday (lost ball; steal by K. Oubre),,1,16,11,5,347.0
6:07.0,T. Maxey makes 3-pt jump shot from 28 ft,14-16, ,,1,16,14,2,353.0
5:50.0, ,14-18,J. Brown makes 2-pt dunk from 1 ft,,1,18,14,4,370.0
5:27.0,B. Hield misses 3-pt jump shot from 24 ft,14-18, ,,1,18,14,4,393.0
5:24.0, ,14-18,Defensive rebound by J. Brown,,1,18,14,4,396.0
5:15.0, ,14-18,D. White misses 3-pt jump shot from 23 ft,,1,18,14,4,405.0
5:13.0,Defensive rebound by P. Reed,14-18, ,,1,18,14,4,407.0
5:06.0,T. Maxey misses 3-pt jump shot from 27 ft,14-18, ,,1,18,14,4,414.0
5:04.0, ,14-18,Defensive rebound by J. Tatum,,1,18,14,4,416.0
4:56.0, ,14-20,J. Tatum makes 2-pt layup from 2 ft,,1,20,14,6,424.0
4:38.0,T. Harris makes 2-pt jump shot from 10 ft,16-20, ,,1,20,16,4,442.0
4:25.0, ,16-20,Shooting foul by T. Harris (drawn by K. Porziņģis),,1,20,16,4,455.0
4:25.0, ,16-21,K. Porziņģis makes free throw 1 of 2,,1,21,16,5,455.0
4:25.0,N. Batum enters the game for B. Hield,16-21, ,,1,21,16,5,455.0
4:25.0,K. Lowry enters the game for K. Oubre,16-21, ,,1,21,16,5,455.0
4:25.0,D. Melton enters the game for P. Reed,16-21, ,,1,21,16,5,455.0
4:25.0, ,16-21,S. Hauser enters the game for J. Brown,,1,21,16,5,455.0
4:25.0, ,16-21,A. Horford enters the game for J. Holiday,,1,21,16,5,455.0
4:25.0, ,16-22,K. Porziņģis makes free throw 2 of 2,,1,22,16,6,455.0
4:07.0,T. Maxey makes 2-pt jump shot from 6 ft,18-22, ,,1,22,18,4,473.0
3:45.0, ,18-22,Turnover by D. White (bad pass; steal by N. Batum),,1,22,18,4,495.0
3:38.0,T. Harris misses 2-pt layup from 4 ft,18-22, ,,1,22,18,4,502.0
3:37.0,Offensive rebound by N. Batum,18-22, ,,1,22,18,4,503.0
3:37.0,N. Batum misses 2-pt layup at rim,18-22, ,,1,22,18,4,503.0
3:35.0,Offensive rebound by T. Maxey,18-22, ,,1,22,18,4,505.0
3:34.0,T. Maxey misses 3-pt jump shot from 25 ft,18-22, ,,1,22,18,4,506.0
3:33.0,Offensive rebound by T. Harris,18-22, ,,1,22,18,4,507.0
3:31.0,T. Harris misses 2-pt jump shot from 14 ft,18-22, ,,1,22,18,4,509.0
3:29.0, ,18-22,Defensive rebound by A. Horford,,1,22,18,4,511.0
3:28.0, ,18-22,Boston full timeout,,1,22,18,4,512.0
3:28.0,R. Council enters the game for T. Harris,18-22, ,,1,22,18,4,512.0
3:15.0, ,18-24,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Tatum),,1,24,18,6,525.0
3:01.0,T. Maxey misses 3-pt jump shot from 25 ft,18-24, ,,1,24,18,6,539.0
2:58.0, ,18-24,Defensive rebound by K. Porziņģis,,1,24,18,6,542.0
2:53.0, ,18-24,D. White misses 2-pt layup from 4 ft (block by D. Melton),,1,24,18,6,547.0
2:53.0,Defensive rebound by Team,18-24, ,,1,24,18,6,547.0
2:53.0, ,18-24,P. Pritchard enters the game for D. White,,1,24,18,6,547.0
2:44.0,K. Lowry makes 2-pt layup from 3 ft (assist by D. Melton),20-24, ,,1,24,20,4,556.0
2:44.0,Shooting foul by J. Tatum (drawn by K. Lowry),20-24, ,,1,24,20,4,556.0
2:44.0,K. Lowry makes free throw 1 of 1,21-24, ,,1,24,21,3,556.0
2:32.0, ,21-26,A. Horford makes 2-pt layup from 3 ft (assist by J. Tatum),,1,26,21,5,568.0
2:10.0,T. Maxey makes 2-pt layup from 4 ft,23-26, ,,1,26,23,3,590.0
2:01.0, ,23-26,Personal foul by D. Melton (drawn by K. Porziņģis),,1,26,23,3,599.0
1:46.0, ,23-26,P. Pritchard misses 3-pt jump shot from 28 ft,,1,26,23,3,614.0
1:43.0,Defensive rebound by Team,23-26, ,,1,26,23,3,617.0
1:29.0,D. Melton misses 3-pt jump shot from 27 ft (block by A. Horford),23-26, ,,1,26,23,3,631.0
1:27.0, ,23-26,Defensive rebound by S. Hauser,,1,26,23,3,633.0
1:20.0, ,23-28,A. Horford makes 2-pt layup from 1 ft (assist by J. Tatum),,1,28,23,5,640.0
1:06.0,R. Council makes 2-pt jump shot from 8 ft (assist by N. Batum),25-28, ,,1,28,25,3,654.0
0:49.0, ,25-28,Turnover by K. Porziņģis (out of bounds lost ball),,1,28,25,3,671.0
0:44.0,T. Maxey makes 2-pt jump shot from 5 ft,27-28, ,,1,28,27,1,676.0
0:44.0,Shooting foul by P. Pritchard (drawn by T. Maxey),27-28, ,,1,28,27,1,676.0
0:44.0,T. Maxey makes free throw 1 of 1,28-28, ,Tie,1,28,28,0,676.0
0:32.0, ,28-28,Shooting foul by N. Batum (drawn by J. Tatum),,1,28,28,0,688.0
0:32.0, ,28-29,J. Tatum makes free throw 1 of 2,,1,29,28,1,688.0
0:32.0, ,28-29,O. Brissett enters the game for K. Porziņģis,,1,29,28,1,688.0
0:32.0, ,28-30,J. Tatum makes free throw 2 of 2,,1,30,28,2,688.0
0:08.0,T. Maxey misses 2-pt jump shot from 8 ft,28-30, ,,1,30,28,2,712.0
0:07.0,Offensive rebound by R. Council,28-30, ,,1,30,28,2,713.0
0:07.0,R. Council makes 2-pt dunk at rim,30-30, ,Tie,1,30,30,0,713.0
0:07.0,T. Harris enters the game for T. Maxey,30-30, ,,1,30,30,0,713.0
0:07.0,P. Reed enters the game for D. Melton,30-30, ,,1,30,30,0,713.0
0:07.0, ,30-30,K. Porziņģis enters the game for O. Brissett,,1,30,30,0,713.0
0:00.0, ,30-30,J. Tatum misses 3-pt jump shot from 23 ft,,1,30,30,0,720.0
0:00.0, ,30-30,Offensive rebound by Team,,1,30,30,0,720.0
0:00.0,End of 1st quarter,30-30,,,1,30,30,0,720.0
12:00.0,Start of 2nd quarter,30-30,,,2,30,30,0,720.0
11:40.0,C. Payne makes 3-pt jump shot from 29 ft (assist by K. Lowry),33-30, ,Lead change,2,30,33,-3,740.0
11:11.0, ,33-30,J. Brown misses 2-pt jump shot from 15 ft (block by N. Batum),,2,30,33,-3,769.0
11:10.0,Defensive rebound by N. Batum,33-30, ,,2,30,33,-3,770.0
11:04.0,C. Payne misses 3-pt jump shot from 25 ft,33-30, ,,2,30,33,-3,776.0
11:01.0, ,33-30,Defensive rebound by P. Pritchard,,2,30,33,-3,779.0
10:55.0, ,33-32,J. Brown makes 2-pt layup from 3 ft (assist by A. Horford),,2,32,33,-1,785.0
10:55.0, ,33-32,Shooting foul by N. Batum (drawn by J. Brown),,2,32,33,-1,785.0
10:55.0, ,33-32,J. Brown misses free throw 1 of 1,,2,32,33,-1,785.0
10:55.0,Defensive rebound by R. Council,33-32, ,,2,32,33,-1,785.0
10:35.0,K. Oubre misses 2-pt hook shot from 4 ft,33-32, ,,2,32,33,-1,805.0
10:33.0, ,33-32,Defensive rebound by A. Horford,,2,32,33,-1,807.0
10:24.0, ,33-32,Offensive foul by J. Brown (drawn by C. Payne),,2,32,33,-1,816.0
10:24.0, ,33-32,Turnover by J. Brown (offensive foul),,2,32,33,-1,816.0
10:09.0,Turnover by R. Council (bad pass),33-32, ,,2,32,33,-1,831.0
9:55.0, ,33-32,P. Pritchard misses 3-pt jump shot from 23 ft,,2,32,33,-1,845.0
9:54.0,Defensive rebound by Team,33-32, ,,2,32,33,-1,846.0
9:54.0, ,33-32,Loose ball foul by L. Kornet (drawn by K. Lowry),,2,32,33,-1,846.0
9:54.0,M. Bamba enters the game for R. Council,33-32, ,,2,32,33,-1,846.0
9:37.0,Shooting foul by L. Kornet (drawn by K. Oubre),33-32, ,,2,32,33,-1,863.0
9:37.0,K. Oubre makes free throw 1 of 2,34-32, ,,2,32,34,-2,863.0
