Time,Phoenix,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:12.0, ,26-23,P. Pritchard enters the game for A. Horford,,1,23,26,-3,528.0
3:01.0,B. Beal makes 2-pt layup from 2 ft (assist by R. O'Neale),28-23, ,,1,23,28,-5,539.0
2:41.0, ,28-25,J. Tatum makes 2-pt layup from 1 ft,,1,25,28,-3,559.0
2:25.0,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Booker),30-25, ,,1,25,30,-5,575.0
2:07.0, ,30-28,J. Holiday makes 3-pt jump shot from 27 ft (assist by L. Kornet),,1,28,30,-2,593.0
1:44.0,Turnover by R. O'Neale (lost ball; steal by P. Pritchard),30-28, ,,1,28,30,-2,616.0
1:41.0, ,30-30,J. Tatum makes 2-pt dunk from 1 ft,Tie,1,30,30,0,619.0
1:26.0,R. O'Neale misses 3-pt jump shot from 26 ft,30-30, ,,1,30,30,0,634.0
1:23.0,Offensive rebound by D. Eubanks,30-30, ,,1,30,30,0,637.0
1:21.0,D. Booker misses 3-pt jump shot from 26 ft,30-30, ,,1,30,30,0,639.0
1:17.0, ,30-30,Defensive rebound by S. Hauser,,1,30,30,0,643.0
1:12.0, ,30-33,P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Holiday),Lead change,1,33,30,3,648.0
0:46.0,D. Eubanks misses 2-pt dunk from 4 ft (block by J. Holiday),30-33, ,,1,33,30,3,674.0
0:43.0,Offensive rebound by D. Eubanks,30-33, ,,1,33,30,3,677.0
0:42.0,D. Eubanks misses 2-pt layup from 5 ft,30-33, ,,1,33,30,3,678.0
0:41.0,Offensive rebound by D. Eubanks,30-33, ,,1,33,30,3,679.0
0:38.0,K. Durant makes 2-pt jump shot from 4 ft (assist by R. O'Neale),32-33, ,,1,33,32,1,682.0
0:31.0, ,32-35,L. Kornet makes 2-pt layup from 2 ft (assist by J. Holiday),,1,35,32,3,689.0
0:08.0,R. O'Neale misses 2-pt layup from 7 ft,32-35, ,,1,35,32,3,712.0
0:07.0,Offensive rebound by Team,32-35, ,,1,35,32,3,713.0
0:07.0,Turnover by Team (shot clock),32-35, ,,1,35,32,3,713.0
0:02.0, ,32-35,Personal foul by R. O'Neale (drawn by J. Tatum),,1,35,32,3,718.0
0:02.0,I. Wainright enters the game for D. Booker,32-35, ,,1,35,32,3,718.0
0:00.0, ,32-35,J. Tatum misses 3-pt jump shot from 30 ft,,1,35,32,3,720.0
0:00.0, ,32-35,Offensive rebound by Team,,1,35,32,3,720.0
0:00.0,End of 1st quarter,32-35,,,1,35,32,3,720.0
12:00.0,Start of 2nd quarter,32-35,,,2,35,32,3,720.0
11:44.0, ,32-37,J. Brown makes 2-pt layup from 4 ft (assist by X. Tillman),,2,37,32,5,736.0
11:44.0, ,32-37,Shooting foul by J. Nurkić (drawn by J. Brown),,2,37,32,5,736.0
11:44.0, ,32-38,J. Brown makes free throw 1 of 1,,2,38,32,6,736.0
11:34.0,J. Nurkić misses 2-pt hook shot from 7 ft,32-38, ,,2,38,32,6,746.0
