Time,Boston,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:44.0,Personal foul by A. Sengun (drawn by J. Tatum),9-5, ,,1,9,5,4,256.0
7:44.0,J. Tatum makes free throw 1 of 1,10-5, ,,1,10,5,5,256.0
7:31.0,J. Tatum misses 2-pt jump shot from 21 ft,10-5, ,,1,10,5,5,269.0
7:29.0, ,10-5,Defensive rebound by A. Sengun,,1,10,5,5,271.0
7:16.0, ,10-5,D. Brooks misses 2-pt layup from 6 ft (block by D. White),,1,10,5,5,284.0
7:16.0, ,10-5,Offensive rebound by Team,,1,10,5,5,284.0
7:14.0, ,10-5,C. Whitmore misses 2-pt jump shot from 18 ft,,1,10,5,5,286.0
7:12.0,Defensive rebound by J. Brown,10-5, ,,1,10,5,5,288.0
6:59.0,J. Tatum misses 2-pt layup from 3 ft,10-5, ,,1,10,5,5,301.0
6:57.0, ,10-5,Defensive rebound by A. Sengun,,1,10,5,5,303.0
6:53.0, ,10-5,D. Brooks misses 2-pt layup from 2 ft (block by K. Porziņģis),,1,10,5,5,307.0
6:51.0,Defensive rebound by S. Hauser,10-5, ,,1,10,5,5,309.0
6:48.0,J. Brown makes 2-pt layup from 3 ft (assist by S. Hauser),12-5, ,,1,12,5,7,312.0
6:33.0, ,12-8,D. Brooks makes 3-pt jump shot from 24 ft (assist by A. Sengun),,1,12,8,4,327.0
6:18.0,D. White misses 3-pt jump shot from 25 ft,12-8, ,,1,12,8,4,342.0
6:16.0,Offensive rebound by J. Tatum,12-8, ,,1,12,8,4,344.0
6:13.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Tatum),15-8, ,,1,15,8,7,347.0
6:03.0, ,15-8,J. Green misses 3-pt jump shot from 27 ft,,1,15,8,7,357.0
6:00.0,Defensive rebound by J. Brown,15-8, ,,1,15,8,7,360.0
5:52.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Brown),18-8, ,,1,18,8,10,368.0
5:51.0, ,18-8,Houston full timeout,,1,18,8,10,369.0
5:51.0,L. Kornet enters the game for J. Tatum,18-8, ,,1,18,8,10,369.0
5:51.0,P. Pritchard enters the game for D. White,18-8, ,,1,18,8,10,369.0
5:51.0, ,18-8,A. Holiday enters the game for D. Brooks,,1,18,8,10,369.0
5:51.0, ,18-8,Violation by Team (delay of game),,1,18,8,10,369.0
5:33.0, ,18-10,A. Sengun makes 2-pt hook shot from 6 ft,,1,18,10,8,387.0
5:17.0,K. Porziņģis misses 2-pt jump shot from 5 ft,18-10, ,,1,18,10,8,403.0
5:16.0,Offensive rebound by K. Porziņģis,18-10, ,,1,18,10,8,404.0
5:16.0,K. Porziņģis misses 2-pt layup at rim,18-10, ,,1,18,10,8,404.0
5:15.0,K. Porziņģis makes 2-pt layup at rim,20-10, ,,1,20,10,10,405.0
4:53.0, ,20-10,J. Green misses 2-pt jump shot from 8 ft,,1,20,10,10,427.0
4:53.0,Defensive rebound by L. Kornet,20-10, ,,1,20,10,10,427.0
4:42.0,J. Brown makes 2-pt jump shot from 19 ft (assist by P. Pritchard),22-10, ,,1,22,10,12,438.0
4:33.0, ,22-10,Shooting foul by L. Kornet (drawn by A. Thompson),,1,22,10,12,447.0
4:33.0, ,22-11,A. Thompson makes free throw 1 of 2,,1,22,11,11,447.0
4:33.0, ,22-11,J. Tate enters the game for C. Whitmore,,1,22,11,11,447.0
4:33.0, ,22-12,A. Thompson makes free throw 2 of 2,,1,22,12,10,447.0
4:15.0,S. Hauser misses 3-pt jump shot from 26 ft,22-12, ,,1,22,12,10,465.0
4:15.0, ,22-12,Defensive rebound by A. Holiday,,1,22,12,10,465.0
4:07.0, ,22-14,A. Sengun makes 2-pt layup from 5 ft (assist by A. Thompson),,1,22,14,8,473.0
3:57.0,J. Brown misses 2-pt jump shot from 17 ft,22-14, ,,1,22,14,8,483.0
3:57.0,Offensive rebound by S. Hauser,22-14, ,,1,22,14,8,483.0
3:52.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by S. Hauser),25-14, ,,1,25,14,11,488.0
3:36.0, ,25-16,A. Holiday makes 2-pt jump shot from 13 ft,,1,25,16,9,504.0
3:10.0,S. Hauser misses 3-pt jump shot from 22 ft,25-16, ,,1,25,16,9,530.0
3:10.0,Offensive rebound by L. Kornet,25-16, ,,1,25,16,9,530.0
3:10.0,L. Kornet makes 2-pt layup at rim,27-16, ,,1,27,16,11,530.0
2:53.0, ,27-18,A. Sengun makes 2-pt hook shot from 3 ft (assist by A. Thompson),,1,27,18,9,547.0
2:39.0,Shooting foul by A. Holiday (drawn by K. Porziņģis),27-18, ,,1,27,18,9,561.0
2:39.0,Boston full timeout,27-18, ,,1,27,18,9,561.0
2:39.0,J. Tatum enters the game for J. Brown,27-18, ,,1,27,18,9,561.0
2:39.0,D. White enters the game for S. Hauser,27-18, ,,1,27,18,9,561.0
2:39.0, ,27-18,D. Brooks enters the game for J. Green,,1,27,18,9,561.0
2:39.0, ,27-18,J. Landale enters the game for A. Sengun,,1,27,18,9,561.0
2:39.0, ,27-18,J. Williams enters the game for A. Thompson,,1,27,18,9,561.0
2:39.0,K. Porziņģis makes free throw 1 of 2,28-18, ,,1,28,18,10,561.0
2:39.0,K. Porziņģis makes free throw 2 of 2,29-18, ,,1,29,18,11,561.0
2:20.0, ,29-20,J. Williams makes 2-pt jump shot from 9 ft (assist by D. Brooks),,1,29,20,9,580.0
2:02.0,D. White makes 2-pt jump shot from 11 ft,31-20, ,,1,31,20,11,598.0
1:53.0, ,31-22,A. Holiday makes 2-pt layup from 1 ft,,1,31,22,9,607.0
1:38.0,K. Porziņģis makes 2-pt jump shot from 9 ft (assist by P. Pritchard),33-22, ,,1,33,22,11,622.0
1:25.0, ,33-25,D. Brooks makes 3-pt jump shot from 24 ft (assist by A. Holiday),,1,33,25,8,635.0
1:07.0,Turnover by J. Tatum (bad pass),33-25, ,,1,33,25,8,653.0
1:07.0,O. Brissett enters the game for K. Porziņģis,33-25, ,,1,33,25,8,653.0
0:51.0, ,33-25,J. Tate misses 2-pt hook shot from 9 ft (block by L. Kornet),,1,33,25,8,669.0
0:51.0,Defensive rebound by J. Tatum,33-25, ,,1,33,25,8,669.0
0:51.0,Personal foul by A. Holiday (drawn by J. Tatum),33-25, ,,1,33,25,8,669.0
0:29.0,Shooting foul by D. Brooks (drawn by J. Tatum),33-25, ,,1,33,25,8,691.0
