Time,Dallas,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:25.0,L. Dončić misses 3-pt jump shot from 26 ft,82-91, ,,3,91,82,9,2015.0
2:24.0, ,82-91,Defensive rebound by A. Horford,,3,91,82,9,2016.0
2:13.0, ,82-91,Shooting foul by P. Washington (drawn by J. Tatum),,3,91,82,9,2027.0
2:13.0, ,82-92,J. Tatum makes free throw 1 of 2,,3,92,82,10,2027.0
2:13.0,K. Irving enters the game for L. Dončić,82-92, ,,3,92,82,10,2027.0
2:13.0, ,82-93,J. Tatum makes free throw 2 of 2,,3,93,82,11,2027.0
1:56.0,D. Exum misses 2-pt layup from 2 ft (block by A. Horford),82-93, ,,3,93,82,11,2044.0
1:55.0, ,82-93,Defensive rebound by K. Porziņģis,,3,93,82,11,2045.0
1:46.0, ,82-93,J. Tatum misses 2-pt layup from 5 ft,,3,93,82,11,2054.0
1:45.0, ,82-93,Offensive rebound by A. Horford,,3,93,82,11,2055.0
1:45.0, ,82-95,A. Horford makes 2-pt layup at rim,,3,95,82,13,2055.0
1:29.0,K. Irving makes 2-pt layup from 3 ft (assist by D. Exum),84-95, ,,3,95,84,11,2071.0
1:22.0, ,84-95,Personal foul by M. Kleber (drawn by K. Porziņģis),,3,95,84,11,2078.0
1:22.0,J. Green enters the game for P. Washington,84-95, ,,3,95,84,11,2078.0
1:09.0, ,84-97,J. Tatum makes 2-pt jump shot from 9 ft (assist by J. Holiday),,3,97,84,13,2091.0
0:50.0,K. Irving makes 2-pt jump shot from 16 ft,86-97, ,,3,97,86,11,2110.0
0:35.0, ,86-100,J. Tatum makes 3-pt jump shot from 26 ft,,3,100,86,14,2125.0
0:25.0,Shooting foul by J. Tatum (drawn by T. Hardaway),86-100, ,,3,100,86,14,2135.0
0:25.0,T. Hardaway makes free throw 1 of 2,87-100, ,,3,100,87,13,2135.0
0:25.0,T. Hardaway makes free throw 2 of 2,88-100, ,,3,100,88,12,2135.0
0:05.0, ,88-100,Personal foul by D. Exum (drawn by K. Porziņģis),,3,100,88,12,2155.0
0:05.0, ,88-101,K. Porziņģis makes free throw 1 of 2,,3,101,88,13,2155.0
0:05.0, ,88-101,P. Pritchard enters the game for A. Horford,,3,101,88,13,2155.0
0:05.0, ,88-102,K. Porziņģis makes free throw 2 of 2,,3,102,88,14,2155.0
0:00.0,Shooting foul by K. Porziņģis (drawn by D. Exum),88-102, ,,3,102,88,14,2160.0
0:00.0,Instant Replay (Challenge: Ruling Stands),88-102, ,,3,102,88,14,2160.0
0:00.0,D. Exum makes free throw 1 of 2,89-102, ,,3,102,89,13,2160.0
0:00.0,D. Exum makes free throw 2 of 2,90-102, ,,3,102,90,12,2160.0
0:00.0,End of 3rd quarter,90-102,,,3,102,90,12,2160.0
12:00.0,Start of 4th quarter,90-102,,,4,102,90,12,2160.0
11:37.0,P. Washington misses 3-pt jump shot from 26 ft,90-102, ,,4,102,90,12,2183.0
11:33.0, ,90-102,Defensive rebound by J. Brown,,4,102,90,12,2187.0
11:15.0, ,90-104,D. White makes 2-pt jump shot from 11 ft (assist by A. Horford),,4,104,90,14,2205.0
11:00.0,D. Lively makes 2-pt hook shot from 5 ft (assist by L. Dončić),92-104, ,,4,104,92,12,2220.0
10:35.0, ,92-104,J. Brown misses 2-pt jump shot from 18 ft,,4,104,92,12,2245.0
10:33.0,Defensive rebound by T. Hardaway,92-104, ,,4,104,92,12,2247.0
10:22.0,L. Dončić misses 2-pt jump shot from 7 ft,92-104, ,,4,104,92,12,2258.0
10:21.0,Offensive rebound by L. Dončić,92-104, ,,4,104,92,12,2259.0
10:21.0,L. Dončić misses 2-pt layup from 4 ft (block by D. White),92-104, ,,4,104,92,12,2259.0
10:20.0, ,92-104,Defensive rebound by J. Brown,,4,104,92,12,2260.0
10:09.0, ,92-106,J. Brown makes 2-pt layup from 3 ft (assist by D. White),,4,106,92,14,2271.0
9:53.0,P. Washington misses 3-pt jump shot from 24 ft,92-106, ,,4,106,92,14,2287.0
9:51.0, ,92-106,Defensive rebound by J. Brown,,4,106,92,14,2289.0
9:37.0, ,92-109,J. Brown makes 3-pt jump shot from 28 ft,,4,109,92,17,2303.0
9:25.0,L. Dončić makes 2-pt layup from 1 ft,94-109, ,,4,109,94,15,2315.0
9:01.0, ,94-109,J. Brown misses 3-pt jump shot from 27 ft,,4,109,94,15,2339.0
8:58.0, ,94-109,Offensive rebound by D. White,,4,109,94,15,2342.0
8:53.0, ,94-112,D. White makes 3-pt jump shot from 26 ft,,4,112,94,18,2347.0
8:53.0,Dallas full timeout,94-112, ,,4,112,94,18,2347.0
8:53.0,J. Green enters the game for T. Hardaway,94-112, ,,4,112,94,18,2347.0
8:53.0,M. Kleber enters the game for D. Lively,94-112, ,,4,112,94,18,2347.0
8:32.0,L. Dončić makes 2-pt jump shot from 14 ft,96-112, ,,4,112,96,16,2368.0
8:13.0, ,96-114,X. Tillman makes 2-pt dunk from 1 ft (assist by J. Brown),,4,114,96,18,2387.0
8:02.0,Personal foul by J. Brown (drawn by M. Kleber),96-114, ,,4,114,96,18,2398.0
7:53.0,K. Irving misses 2-pt layup from 4 ft,96-114, ,,4,114,96,18,2407.0
7:51.0, ,96-114,Defensive rebound by D. White,,4,114,96,18,2409.0
7:44.0, ,96-114,A. Horford misses 3-pt jump shot from 27 ft,,4,114,96,18,2416.0
7:43.0,Defensive rebound by K. Irving,96-114, ,,4,114,96,18,2417.0
7:32.0,K. Irving misses 2-pt layup from 2 ft (block by X. Tillman),96-114, ,,4,114,96,18,2428.0
7:30.0, ,96-114,Defensive rebound by J. Brown,,4,114,96,18,2430.0
7:16.0, ,96-117,P. Pritchard makes 3-pt jump shot from 24 ft (assist by X. Tillman),,4,117,96,21,2444.0
7:02.0,L. Dončić makes 2-pt jump shot from 7 ft,98-117, ,,4,117,98,19,2458.0
7:02.0,Shooting foul by P. Pritchard (drawn by L. Dončić),98-117, ,,4,117,98,19,2458.0
7:02.0, ,98-117,J. Tatum enters the game for P. Pritchard,,4,117,98,19,2458.0
7:02.0,L. Dončić makes free throw 1 of 1,99-117, ,,4,117,99,18,2458.0
6:43.0, ,99-119,A. Horford makes 2-pt layup from 2 ft (assist by X. Tillman),,4,119,99,20,2477.0
6:43.0,Dallas full timeout,99-119, ,,4,119,99,20,2477.0
6:22.0,L. Dončić makes 2-pt jump shot from 7 ft,101-119, ,,4,119,101,18,2498.0
6:00.0, ,101-119,J. Tatum misses 3-pt jump shot from 25 ft,,4,119,101,18,2520.0
5:59.0,Defensive rebound by P. Washington,101-119, ,,4,119,101,18,2521.0
5:53.0,J. Green misses 2-pt layup from 3 ft (block by A. Horford),101-119, ,,4,119,101,18,2527.0
5:52.0, ,101-119,Defensive rebound by X. Tillman,,4,119,101,18,2528.0
5:36.0, ,101-119,J. Brown misses 2-pt jump shot from 21 ft,,4,119,101,18,2544.0
5:35.0,Defensive rebound by L. Dončić,101-119, ,,4,119,101,18,2545.0
5:22.0,P. Washington makes 2-pt layup from 2 ft (assist by L. Dončić),103-119, ,,4,119,103,16,2558.0
4:55.0, ,103-119,Shooting foul by L. Dončić (drawn by J. Tatum),,4,119,103,16,2585.0
4:55.0, ,103-120,J. Tatum makes free throw 1 of 2,,4,120,103,17,2585.0
4:55.0, ,103-121,J. Tatum makes free throw 2 of 2,,4,121,103,18,2585.0
4:46.0,Turnover by K. Irving (out of bounds lost ball),103-121, ,,4,121,103,18,2594.0
4:22.0, ,103-124,J. Tatum makes 3-pt jump shot from 28 ft,,4,124,103,21,2618.0
4:02.0,K. Irving misses 2-pt layup from 3 ft,103-124, ,,4,124,103,21,2638.0
4:01.0, ,103-124,Defensive rebound by J. Tatum,,4,124,103,21,2639.0
3:57.0, ,103-127,A. Horford makes 3-pt jump shot from 28 ft (assist by J. Tatum),,4,127,103,24,2643.0
3:55.0,Dallas full timeout,103-127, ,,4,127,103,24,2645.0
3:55.0,Violation by Team (delay of game),103-127, ,,4,127,103,24,2645.0
3:55.0, ,103-127,Violation by Team (delay of game),,4,127,103,24,2645.0
3:55.0,J. Hardy enters the game for L. Dončić,103-127, ,,4,127,103,24,2645.0
3:55.0,D. Jones enters the game for K. Irving,103-127, ,,4,127,103,24,2645.0
3:55.0,D. Powell enters the game for M. Kleber,103-127, ,,4,127,103,24,2645.0
3:55.0,O. Prosper enters the game for P. Washington,103-127, ,,4,127,103,24,2645.0
3:55.0, ,103-127,O. Brissett enters the game for J. Brown,,4,127,103,24,2645.0
3:55.0, ,103-127,S. Hauser enters the game for A. Horford,,4,127,103,24,2645.0
3:55.0, ,103-127,P. Pritchard enters the game for J. Tatum,,4,127,103,24,2645.0
3:34.0,Shooting foul by X. Tillman (drawn by D. Jones),103-127, ,,4,127,103,24,2666.0
3:34.0,D. Jones misses free throw 1 of 2,103-127, ,,4,127,103,24,2666.0
3:34.0,Offensive rebound by Team,103-127, ,,4,127,103,24,2666.0
3:34.0, ,103-127,S. Mykhailiuk enters the game for D. White,,4,127,103,24,2666.0
3:34.0,D. Jones makes free throw 2 of 2,104-127, ,,4,127,104,23,2666.0
3:17.0, ,104-129,X. Tillman makes 2-pt layup from 2 ft (assist by P. Pritchard),,4,129,104,25,2683.0
3:03.0,J. Hardy misses 2-pt jump shot from 20 ft,104-129, ,,4,129,104,25,2697.0
3:02.0, ,104-129,Defensive rebound by S. Hauser,,4,129,104,25,2698.0
2:52.0, ,104-131,P. Pritchard makes 2-pt layup from 2 ft (assist by S. Hauser),,4,131,104,27,2708.0
2:33.0,O. Prosper makes 2-pt jump shot from 19 ft (assist by J. Green),106-131, ,,4,131,106,25,2727.0
2:19.0, ,106-131,O. Brissett misses 2-pt jump shot from 9 ft,,4,131,106,25,2741.0
2:18.0,Defensive rebound by O. Prosper,106-131, ,,4,131,106,25,2742.0
2:09.0,O. Prosper misses 2-pt layup from 4 ft (block by O. Brissett),106-131, ,,4,131,106,25,2751.0
2:08.0, ,106-131,Defensive rebound by S. Hauser,,4,131,106,25,2752.0
2:03.0, ,106-131,Turnover by S. Mykhailiuk (bad pass; steal by O. Prosper),,4,131,106,25,2757.0
1:55.0,Turnover by J. Hardy (bad pass),106-131, ,,4,131,106,25,2765.0
1:55.0, ,106-131,J. Springer enters the game for X. Tillman,,4,131,106,25,2765.0
1:47.0, ,106-131,S. Hauser misses 3-pt jump shot from 27 ft,,4,131,106,25,2773.0
1:43.0, ,106-131,Offensive rebound by S. Mykhailiuk,,4,131,106,25,2777.0
1:38.0, ,106-131,J. Springer misses 2-pt layup from 3 ft,,4,131,106,25,2782.0
1:37.0, ,106-131,Offensive rebound by J. Springer,,4,131,106,25,2783.0
1:36.0, ,106-133,J. Springer makes 2-pt layup from 2 ft,,4,133,106,27,2784.0
1:30.0,J. Hardy makes 2-pt layup from 3 ft,108-133, ,,4,133,108,25,2790.0
1:15.0, ,108-133,P. Pritchard misses 2-pt layup from 3 ft (block by D. Powell),,4,133,108,25,2805.0
1:14.0, ,108-133,Offensive rebound by P. Pritchard,,4,133,108,25,2806.0
1:13.0, ,108-135,P. Pritchard makes 2-pt layup from 4 ft,,4,135,108,27,2807.0
1:06.0, ,108-135,Violation by Team (kicked ball),,4,135,108,27,2814.0
1:04.0,J. Hardy misses 3-pt jump shot from 27 ft,108-135, ,,4,135,108,27,2816.0
1:02.0, ,108-135,Defensive rebound by S. Hauser,,4,135,108,27,2818.0
0:43.0, ,108-135,Turnover by P. Pritchard (lost ball; steal by D. Jones),,4,135,108,27,2837.0
0:40.0,J. Green makes 2-pt dunk from 1 ft (assist by D. Jones),110-135, ,,4,135,110,25,2840.0
0:20.0, ,110-137,O. Brissett makes 2-pt layup from 4 ft (assist by S. Mykhailiuk),,4,137,110,27,2860.0
0:20.0, ,110-137,Shooting foul by D. Powell (drawn by O. Brissett),,4,137,110,27,2860.0
0:20.0, ,110-138,O. Brissett makes free throw 1 of 1,,4,138,110,28,2860.0
0:00.0,End of 4th quarter,110-138,,,4,138,110,28,2880.0
