Time,Dallas,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:50.0, ,3-8,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. White),,1,8,3,5,130.0
9:37.0,L. Dončić makes 2-pt jump shot from 8 ft,5-8, ,,1,8,5,3,143.0
9:24.0, ,5-11,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by J. Brown),,1,11,5,6,156.0
9:07.0,K. Irving misses 3-pt jump shot from 30 ft,5-11, ,,1,11,5,6,173.0
9:04.0, ,5-11,Defensive rebound by D. White,,1,11,5,6,176.0
8:59.0, ,5-13,J. Brown makes 2-pt layup from 1 ft (assist by D. White),,1,13,5,8,181.0
8:53.0,L. Dončić makes 3-pt jump shot from 27 ft,8-13, ,,1,13,8,5,187.0
8:31.0, ,8-13,K. Porziņģis misses 2-pt layup from 1 ft,,1,13,8,5,209.0
8:30.0, ,8-13,Offensive rebound by K. Porziņģis,,1,13,8,5,210.0
8:30.0, ,8-15,K. Porziņģis makes 2-pt layup from 1 ft,,1,15,8,7,210.0
8:19.0,D. Lively makes 2-pt dunk from 3 ft (assist by K. Irving),10-15, ,,1,15,10,5,221.0
8:03.0, ,10-18,J. Holiday makes 3-pt jump shot from 24 ft (assist by D. White),,1,18,10,8,237.0
7:55.0,Shooting foul by J. Brown (drawn by L. Dončić),10-18, ,,1,18,10,8,245.0
7:55.0,L. Dončić makes free throw 1 of 2,11-18, ,,1,18,11,7,245.0
7:55.0,L. Dončić makes free throw 2 of 2,12-18, ,,1,18,12,6,245.0
7:49.0, ,12-18,Turnover by D. White (bad pass; steal by D. Lively),,1,18,12,6,251.0
7:46.0,K. Irving misses 3-pt jump shot from 29 ft,12-18, ,,1,18,12,6,254.0
7:44.0,Offensive rebound by K. Irving,12-18, ,,1,18,12,6,256.0
7:42.0,K. Irving makes 2-pt jump shot from 11 ft,14-18, ,,1,18,14,4,258.0
7:22.0, ,14-20,D. White makes 2-pt jump shot from 9 ft,,1,20,14,6,278.0
7:09.0,K. Irving makes 2-pt jump shot from 13 ft,16-20, ,,1,20,16,4,291.0
6:56.0, ,16-22,J. Brown makes 2-pt layup from 1 ft,,1,22,16,6,304.0
6:56.0, ,16-22,Shooting foul by L. Dončić (drawn by J. Brown),,1,22,16,6,304.0
6:56.0, ,16-22,Boston full timeout,,1,22,16,6,304.0
6:56.0, ,16-22,A. Horford enters the game for J. Tatum,,1,22,16,6,304.0
6:56.0, ,16-23,J. Brown makes free throw 1 of 1,,1,23,16,7,304.0
6:41.0,L. Dončić makes 3-pt jump shot from 27 ft,19-23, ,,1,23,19,4,319.0
6:27.0, ,19-25,J. Holiday makes 2-pt layup from 8 ft (assist by J. Brown),,1,25,19,6,333.0
6:19.0,L. Dončić misses 3-pt jump shot from 26 ft,19-25, ,,1,25,19,6,341.0
6:15.0, ,19-25,Defensive rebound by Team,,1,25,19,6,345.0
6:15.0,D. Gafford enters the game for J. Green,19-25, ,,1,25,19,6,345.0
6:15.0,T. Hardaway enters the game for D. Lively,19-25, ,,1,25,19,6,345.0
6:15.0, ,19-25,S. Hauser enters the game for J. Holiday,,1,25,19,6,345.0
6:03.0, ,19-27,J. Brown makes 2-pt jump shot from 11 ft (assist by D. White),,1,27,19,8,357.0
5:53.0,Personal foul by S. Hauser (drawn by K. Irving),19-27, ,,1,27,19,8,367.0
5:46.0,L. Dončić misses 3-pt jump shot from 27 ft,19-27, ,,1,27,19,8,374.0
5:43.0, ,19-27,Defensive rebound by D. White,,1,27,19,8,377.0
5:37.0, ,19-27,D. White misses 2-pt jump shot from 14 ft,,1,27,19,8,383.0
5:35.0,Defensive rebound by D. Gafford,19-27, ,,1,27,19,8,385.0
5:29.0,K. Irving misses 3-pt jump shot from 23 ft,19-27, ,,1,27,19,8,391.0
5:28.0, ,19-27,Defensive rebound by S. Hauser,,1,27,19,8,392.0
5:15.0, ,19-27,J. Brown misses 2-pt jump shot from 12 ft,,1,27,19,8,405.0
5:14.0,Defensive rebound by D. Gafford,19-27, ,,1,27,19,8,406.0
5:09.0,Turnover by T. Hardaway (out of bounds lost ball),19-27, ,,1,27,19,8,411.0
5:09.0,D. Exum enters the game for L. Dončić,19-27, ,,1,27,19,8,411.0
4:59.0, ,19-27,Personal foul by K. Irving (drawn by K. Porziņģis),,1,27,19,8,421.0
4:59.0, ,19-27,J. Tatum enters the game for J. Brown,,1,27,19,8,421.0
4:56.0, ,19-27,K. Porziņģis misses 3-pt jump shot from 27 ft,,1,27,19,8,424.0
4:54.0,Defensive rebound by P. Washington,19-27, ,,1,27,19,8,426.0
4:45.0,D. Exum misses 2-pt jump shot from 10 ft,19-27, ,,1,27,19,8,435.0
4:43.0, ,19-27,Defensive rebound by D. White,,1,27,19,8,437.0
4:28.0, ,19-27,J. Tatum misses 2-pt layup from 2 ft (block by D. Gafford),,1,27,19,8,452.0
4:27.0,Defensive rebound by P. Washington,19-27, ,,1,27,19,8,453.0
4:22.0,T. Hardaway misses 3-pt jump shot from 24 ft,19-27, ,,1,27,19,8,458.0
4:21.0, ,19-27,Defensive rebound by D. White,,1,27,19,8,459.0
4:14.0, ,19-30,A. Horford makes 3-pt jump shot from 26 ft (assist by D. White),,1,30,19,11,466.0
4:12.0,Dallas full timeout,19-30, ,,1,30,19,11,468.0
