Time,Washington,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Avdija vs. L. Kornet (J. Walsh gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-2,P. Pritchard makes 2-pt layup from 3 ft,,1,2,0,2,16.0
11:26.0,A. Gill misses 3-pt jump shot from 27 ft,0-2, ,,1,2,0,2,34.0
11:24.0, ,0-2,Defensive rebound by S. Mykhailiuk,,1,2,0,2,36.0
11:11.0, ,0-4,S. Mykhailiuk makes 2-pt layup from 4 ft (assist by J. Walsh),,1,4,0,4,49.0
10:58.0,A. Gill misses 3-pt jump shot from 27 ft,0-4, ,,1,4,0,4,62.0
10:57.0, ,0-4,Defensive rebound by S. Hauser,,1,4,0,4,63.0
10:45.0, ,0-4,Shooting foul by J. Davis (drawn by P. Pritchard),,1,4,0,4,75.0
10:45.0, ,0-5,P. Pritchard makes free throw 1 of 2,,1,5,0,5,75.0
10:45.0, ,0-6,P. Pritchard makes free throw 2 of 2,,1,6,0,6,75.0
10:34.0,C. Kispert misses 2-pt jump shot from 13 ft,0-6, ,,1,6,0,6,86.0
10:33.0, ,0-6,Defensive rebound by L. Kornet,,1,6,0,6,87.0
10:28.0, ,0-9,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,1,9,0,9,92.0
10:14.0,A. Gill misses 2-pt jump shot from 8 ft,0-9, ,,1,9,0,9,106.0
10:13.0, ,0-9,Defensive rebound by L. Kornet,,1,9,0,9,107.0
10:05.0, ,0-9,Personal foul by J. Davis (drawn by P. Pritchard),,1,9,0,9,115.0
10:00.0, ,0-9,S. Hauser misses 3-pt jump shot from 27 ft,,1,9,0,9,120.0
9:58.0,Defensive rebound by P. Baldwin,0-9, ,,1,9,0,9,122.0
9:52.0,Shooting foul by S. Mykhailiuk (drawn by D. Avdija),0-9, ,,1,9,0,9,128.0
9:52.0,D. Avdija makes free throw 1 of 2,1-9, ,,1,9,1,8,128.0
9:52.0,D. Avdija makes free throw 2 of 2,2-9, ,,1,9,2,7,128.0
9:39.0, ,2-9,P. Pritchard misses 2-pt jump shot from 11 ft,,1,9,2,7,141.0
