Time,Boston,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. N. Vučević (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:46.0,D. White misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,14.0
11:43.0, ,0-0,Defensive rebound by N. Vučević,,1,0,0,0,17.0
11:35.0, ,0-0,Turnover by A. Caruso (bad pass; steal by K. Porziņģis),,1,0,0,0,25.0
11:25.0,K. Porziņģis misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,35.0
11:23.0, ,0-0,Defensive rebound by A. Dosunmu,,1,0,0,0,37.0
11:16.0, ,0-0,A. Dosunmu misses 2-pt layup from 1 ft,,1,0,0,0,44.0
11:14.0,Defensive rebound by K. Porziņģis,0-0, ,,1,0,0,0,46.0
11:04.0,J. Tatum misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,56.0
11:01.0, ,0-0,Defensive rebound by D. DeRozan,,1,0,0,0,59.0
10:42.0, ,0-2,N. Vučević makes 2-pt jump shot from 15 ft (assist by C. White),,1,0,2,-2,78.0
10:20.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Tatum),3-2, ,Lead change,1,3,2,1,100.0
10:04.0, ,3-2,Turnover by N. Vučević (bad pass; steal by J. Brown),,1,3,2,1,116.0
9:54.0,J. Brown makes 2-pt layup from 2 ft,5-2, ,,1,5,2,3,126.0
9:44.0, ,5-2,N. Vučević misses 3-pt jump shot from 25 ft,,1,5,2,3,136.0
9:41.0,Defensive rebound by J. Holiday,5-2, ,,1,5,2,3,139.0
9:30.0,J. Holiday misses 2-pt hook shot from 5 ft,5-2, ,,1,5,2,3,150.0
9:28.0, ,5-2,Defensive rebound by N. Vučević,,1,5,2,3,152.0
9:18.0, ,5-2,D. DeRozan misses 2-pt jump shot from 12 ft,,1,5,2,3,162.0
9:16.0,Defensive rebound by J. Tatum,5-2, ,,1,5,2,3,164.0
9:07.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Holiday),8-2, ,,1,8,2,6,173.0
8:45.0, ,8-5,A. Dosunmu makes 3-pt jump shot from 26 ft (assist by N. Vučević),,1,8,5,3,195.0
8:31.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Brown),10-5, ,,1,10,5,5,209.0
8:20.0, ,10-5,C. White misses 3-pt jump shot from 25 ft,,1,10,5,5,220.0
8:17.0,Defensive rebound by J. Tatum,10-5, ,,1,10,5,5,223.0
8:07.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Brown),13-5, ,,1,13,5,8,233.0
7:55.0, ,13-5,Turnover by D. DeRozan (bad pass; steal by J. Tatum),,1,13,5,8,245.0
7:50.0,J. Tatum misses 2-pt layup from 2 ft,13-5, ,,1,13,5,8,250.0
