Time,Utah,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:03.0,L. Šamanić makes free throw 1 of 2,89-117, ,,4,117,89,28,2577.0
5:03.0,L. Šamanić makes free throw 2 of 2,90-117, ,,4,117,90,27,2577.0
4:42.0, ,90-117,Personal foul by K. Dunn (drawn by P. Pritchard),,4,117,90,27,2598.0
4:34.0, ,90-117,O. Brissett misses 3-pt jump shot from 26 ft,,4,117,90,27,2606.0
4:31.0, ,90-117,Offensive rebound by P. Pritchard,,4,117,90,27,2609.0
4:27.0, ,90-117,S. Mykhailiuk misses 3-pt jump shot from 28 ft,,4,117,90,27,2613.0
4:25.0,Defensive rebound by L. Šamanić,90-117, ,,4,117,90,27,2615.0
4:10.0,T. Horton-Tucker misses 2-pt dunk from 4 ft,90-117, ,,4,117,90,27,2630.0
4:07.0, ,90-117,Defensive rebound by D. Banton,,4,117,90,27,2633.0
4:01.0, ,90-117,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,4,117,90,27,2639.0
3:58.0,Defensive rebound by K. Dunn,90-117, ,,4,117,90,27,2642.0
3:56.0,Offensive foul by O. Agbaji (drawn by D. Banton),90-117, ,,4,117,90,27,2644.0
3:56.0,Turnover by O. Agbaji (offensive foul),90-117, ,,4,117,90,27,2644.0
3:34.0, ,90-117,S. Mykhailiuk misses 2-pt layup from 3 ft,,4,117,90,27,2666.0
3:30.0,Defensive rebound by O. Yurtseven,90-117, ,,4,117,90,27,2670.0
3:29.0,Turnover by O. Yurtseven (lost ball; steal by O. Brissett),90-117, ,,4,117,90,27,2671.0
3:22.0, ,90-119,P. Pritchard makes 2-pt layup from 6 ft (assist by O. Brissett),,4,119,90,29,2678.0
3:15.0,T. Horton-Tucker misses 2-pt layup from 1 ft (block by L. Stevens),90-119, ,,4,119,90,29,2685.0
3:15.0, ,90-119,Defensive rebound by L. Stevens,,4,119,90,29,2685.0
3:10.0, ,90-121,D. Banton makes 2-pt dunk from 4 ft (assist by P. Pritchard),,4,121,90,31,2690.0
3:10.0,Utah full timeout,90-121, ,,4,121,90,31,2690.0
3:03.0,Shooting foul by O. Brissett (drawn by L. Šamanić),90-121, ,,4,121,90,31,2697.0
3:03.0,L. Šamanić misses free throw 1 of 2,90-121, ,,4,121,90,31,2697.0
3:03.0,Offensive rebound by Team,90-121, ,,4,121,90,31,2697.0
3:03.0,L. Šamanić makes free throw 2 of 2,91-121, ,,4,121,91,30,2697.0
2:48.0, ,91-121,Shooting foul by O. Agbaji (drawn by D. Banton),,4,121,91,30,2712.0
2:48.0, ,91-122,D. Banton makes free throw 1 of 2,,4,122,91,31,2712.0
2:48.0, ,91-122,D. Banton misses free throw 2 of 2,,4,122,91,31,2712.0
2:46.0, ,91-122,Offensive rebound by Team,,4,122,91,31,2714.0
2:34.0, ,91-122,P. Pritchard misses 2-pt layup from 4 ft,,4,122,91,31,2726.0
2:29.0,Defensive rebound by O. Agbaji,91-122, ,,4,122,91,31,2731.0
2:25.0,T. Horton-Tucker makes 2-pt layup from 2 ft (assist by O. Agbaji),93-122, ,,4,122,93,29,2735.0
2:25.0,Shooting foul by S. Mykhailiuk (drawn by T. Horton-Tucker),93-122, ,,4,122,93,29,2735.0
2:25.0,T. Horton-Tucker misses free throw 1 of 1,93-122, ,,4,122,93,29,2735.0
2:25.0, ,93-122,Defensive rebound by O. Brissett,,4,122,93,29,2735.0
2:09.0, ,93-122,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,4,122,93,29,2751.0
2:06.0,Defensive rebound by T. Horton-Tucker,93-122, ,,4,122,93,29,2754.0
2:01.0,T. Horton-Tucker makes 2-pt layup from 3 ft,95-122, ,,4,122,95,27,2759.0
1:48.0, ,95-122,P. Pritchard misses 3-pt jump shot from 27 ft,,4,122,95,27,2772.0
1:46.0, ,95-122,Offensive rebound by Team,,4,122,95,27,2774.0
1:41.0, ,95-122,Shooting foul by O. Yurtseven (drawn by D. Banton),,4,122,95,27,2779.0
1:41.0, ,95-123,D. Banton makes free throw 1 of 2,,4,123,95,28,2779.0
1:41.0, ,95-124,D. Banton makes free throw 2 of 2,,4,124,95,29,2779.0
1:31.0,K. Dunn misses 2-pt jump shot from 9 ft,95-124, ,,4,124,95,29,2789.0
1:28.0, ,95-124,Defensive rebound by O. Brissett,,4,124,95,29,2792.0
1:16.0, ,95-124,D. Banton misses 3-pt jump shot from 27 ft,,4,124,95,29,2804.0
1:13.0,Defensive rebound by L. Šamanić,95-124, ,,4,124,95,29,2807.0
1:04.0,L. Šamanić misses 3-pt jump shot from 27 ft,95-124, ,,4,124,95,29,2816.0
0:59.0, ,95-124,Defensive rebound by P. Pritchard,,4,124,95,29,2821.0
0:57.0, ,95-124,Turnover by P. Pritchard (lost ball; steal by K. Dunn),,4,124,95,29,2823.0
0:55.0,T. Horton-Tucker makes 2-pt dunk from 3 ft,97-124, ,,4,124,97,27,2825.0
0:36.0, ,97-126,L. Stevens makes 2-pt dunk from 1 ft (assist by D. Banton),,4,126,97,29,2844.0
0:28.0,T. Horton-Tucker misses 2-pt layup from 5 ft,97-126, ,,4,126,97,29,2852.0
0:27.0,Offensive rebound by O. Yurtseven,97-126, ,,4,126,97,29,2853.0
0:27.0,Shooting foul by D. Banton (drawn by O. Yurtseven),97-126, ,,4,126,97,29,2853.0
0:27.0,O. Yurtseven misses free throw 1 of 2,97-126, ,,4,126,97,29,2853.0
0:27.0,Offensive rebound by Team,97-126, ,,4,126,97,29,2853.0
0:27.0,O. Yurtseven misses free throw 2 of 2,97-126, ,,4,126,97,29,2853.0
0:27.0, ,97-126,Defensive rebound by S. Mykhailiuk,,4,126,97,29,2853.0
0:02.0, ,97-126,Turnover by Team (shot clock),,4,126,97,29,2878.0
0:00.0,End of 4th quarter,97-126,,,4,126,97,29,2880.0
