Time,Boston,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. M. Turner (D. White gains possession),0-0,,,1,0,0,0,0.0
11:38.0,J. Brown misses 2-pt jump shot from 13 ft,0-0, ,,1,0,0,0,22.0
11:36.0, ,0-0,Defensive rebound by J. Smith,,1,0,0,0,24.0
11:29.0, ,0-0,A. Nesmith misses 3-pt jump shot from 23 ft,,1,0,0,0,31.0
11:26.0,Defensive rebound by K. Porziņģis,0-0, ,,1,0,0,0,34.0
11:16.0,J. Holiday misses 3-pt jump shot from 22 ft,0-0, ,,1,0,0,0,44.0
11:12.0, ,0-0,Defensive rebound by T. Haliburton,,1,0,0,0,48.0
11:02.0, ,0-0,B. Hield misses 2-pt layup from 1 ft,,1,0,0,0,58.0
11:00.0,Defensive rebound by J. Tatum,0-0, ,,1,0,0,0,60.0
10:54.0,J. Holiday misses 3-pt jump shot from 22 ft,0-0, ,,1,0,0,0,66.0
10:50.0,Offensive rebound by K. Porziņģis,0-0, ,,1,0,0,0,70.0
10:47.0,J. Brown makes 2-pt dunk from 2 ft (assist by J. Tatum),2-0, ,,1,2,0,2,73.0
10:31.0, ,2-0,Turnover by T. Haliburton (bad pass; steal by K. Porziņģis),,1,2,0,2,89.0
10:26.0,K. Porziņģis makes 2-pt dunk at rim (assist by D. White),4-0, ,,1,4,0,4,94.0
10:12.0, ,4-0,M. Turner misses 3-pt jump shot from 26 ft,,1,4,0,4,108.0
10:10.0,Defensive rebound by J. Holiday,4-0, ,,1,4,0,4,110.0
10:03.0,J. Holiday makes 2-pt jump shot from 8 ft (assist by J. Brown),6-0, ,,1,6,0,6,117.0
9:52.0, ,6-3,J. Smith makes 3-pt jump shot from 28 ft (assist by T. Haliburton),,1,6,3,3,128.0
9:29.0,Turnover by J. Holiday (bad pass; steal by T. Haliburton),6-3, ,,1,6,3,3,151.0
9:11.0, ,6-3,T. Haliburton misses 2-pt jump shot from 19 ft,,1,6,3,3,169.0
9:08.0,Defensive rebound by J. Holiday,6-3, ,,1,6,3,3,172.0
8:52.0,K. Porziņģis misses 3-pt jump shot from 28 ft,6-3, ,,1,6,3,3,188.0
8:49.0, ,6-3,Defensive rebound by T. Haliburton,,1,6,3,3,191.0
8:45.0, ,6-3,T. Haliburton misses 3-pt jump shot from 27 ft,,1,6,3,3,195.0
8:42.0, ,6-3,Offensive rebound by M. Turner,,1,6,3,3,198.0
8:35.0, ,6-5,M. Turner makes 2-pt hook shot from 9 ft,,1,6,5,1,205.0
8:21.0,J. Tatum misses 3-pt jump shot from 27 ft,6-5, ,,1,6,5,1,219.0
8:19.0, ,6-5,Defensive rebound by J. Smith,,1,6,5,1,221.0
8:14.0, ,6-5,B. Hield misses 3-pt jump shot from 27 ft,,1,6,5,1,226.0
8:11.0,Defensive rebound by J. Holiday,6-5, ,,1,6,5,1,229.0
8:03.0,J. Brown misses 2-pt layup from 2 ft,6-5, ,,1,6,5,1,237.0
8:01.0, ,6-5,Defensive rebound by J. Smith,,1,6,5,1,239.0
7:58.0, ,6-5,A. Nesmith misses 3-pt jump shot from 29 ft,,1,6,5,1,242.0
7:54.0,Defensive rebound by D. White,6-5, ,,1,6,5,1,246.0
7:41.0,J. Brown makes 2-pt layup from 1 ft,8-5, ,,1,8,5,3,259.0
7:31.0, ,8-5,M. Turner misses 3-pt jump shot from 27 ft,,1,8,5,3,269.0
7:28.0,Defensive rebound by K. Porziņģis,8-5, ,,1,8,5,3,272.0
7:16.0,J. Tatum misses 2-pt jump shot from 8 ft,8-5, ,,1,8,5,3,284.0
7:14.0, ,8-5,Defensive rebound by B. Hield,,1,8,5,3,286.0
7:07.0, ,8-5,A. Nesmith misses 2-pt layup from 2 ft (block by K. Porziņģis),,1,8,5,3,293.0
7:06.0,Defensive rebound by Team,8-5, ,,1,8,5,3,294.0
7:06.0, ,8-5,Loose ball foul by A. Nesmith (drawn by K. Porziņģis),,1,8,5,3,294.0
7:06.0,Boston full timeout,8-5, ,,1,8,5,3,294.0
7:06.0,A. Horford enters the game for K. Porziņģis,8-5, ,,1,8,5,3,294.0
7:06.0, ,8-5,B. Mathurin enters the game for A. Nesmith,,1,8,5,3,294.0
6:54.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Horford),11-5, ,,1,11,5,6,306.0
6:33.0, ,11-5,Turnover by T. Haliburton (bad pass),,1,11,5,6,327.0
6:23.0,D. White makes 3-pt jump shot from 26 ft (assist by A. Horford),14-5, ,,1,14,5,9,337.0
6:07.0, ,14-5,T. Haliburton misses 3-pt jump shot from 26 ft,,1,14,5,9,353.0
6:03.0, ,14-5,Offensive rebound by T. Haliburton,,1,14,5,9,357.0
5:53.0, ,14-7,J. Smith makes 2-pt layup from 1 ft (assist by M. Turner),,1,14,7,7,367.0
