Time,Boston,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:46.0, ,84-71,T. Hardaway misses 2-pt jump shot from 22 ft,,3,84,71,13,1874.0
4:43.0,Defensive rebound by P. Pritchard,84-71, ,,3,84,71,13,1877.0
4:35.0,J. Brown makes 2-pt jump shot from 8 ft,86-71, ,,3,86,71,15,1885.0
4:25.0, ,86-74,J. Green makes 3-pt jump shot from 26 ft (assist by L. Dončić),,3,86,74,12,1895.0
4:00.0,J. Tatum makes 2-pt jump shot from 16 ft,88-74, ,,3,88,74,14,1920.0
3:49.0, ,88-74,J. Green misses 2-pt layup from 2 ft,,3,88,74,14,1931.0
3:47.0,Defensive rebound by J. Holiday,88-74, ,,3,88,74,14,1933.0
3:35.0,J. Tatum makes 2-pt layup from 2 ft (assist by P. Pritchard),90-74, ,,3,90,74,16,1945.0
3:12.0, ,90-74,Turnover by M. Kleber (bad pass; steal by J. Tatum),,3,90,74,16,1968.0
3:06.0,A. Horford misses 3-pt jump shot from 26 ft,90-74, ,,3,90,74,16,1974.0
3:02.0, ,90-74,Defensive rebound by G. Williams,,3,90,74,16,1978.0
2:49.0, ,90-74,T. Hardaway misses 3-pt jump shot from 25 ft,,3,90,74,16,1991.0
2:46.0,Defensive rebound by J. Holiday,90-74, ,,3,90,74,16,1994.0
2:42.0,Boston full timeout,90-74, ,,3,90,74,16,1998.0
2:42.0,S. Hauser enters the game for A. Horford,90-74, ,,3,90,74,16,1998.0
2:42.0,L. Kornet enters the game for J. Tatum,90-74, ,,3,90,74,16,1998.0
2:42.0, ,90-74,K. Irving enters the game for L. Dončić,,3,90,74,16,1998.0
2:42.0, ,90-74,D. Jones enters the game for T. Hardaway,,3,90,74,16,1998.0
2:42.0, ,90-74,D. Lively enters the game for M. Kleber,,3,90,74,16,1998.0
2:34.0,Offensive foul by L. Kornet (drawn by J. Green),90-74, ,,3,90,74,16,2006.0
2:34.0,Turnover by L. Kornet (offensive foul),90-74, ,,3,90,74,16,2006.0
2:19.0, ,90-77,D. Jones makes 3-pt jump shot from 23 ft (assist by K. Irving),,3,90,77,13,2021.0
2:13.0,Shooting foul by G. Williams (drawn by J. Brown),90-77, ,,3,90,77,13,2027.0
2:13.0,J. Brown misses free throw 1 of 2,90-77, ,,3,90,77,13,2027.0
2:13.0,Offensive rebound by Team,90-77, ,,3,90,77,13,2027.0
2:13.0,D. White enters the game for J. Holiday,90-77, ,,3,90,77,13,2027.0
2:13.0,J. Brown makes free throw 2 of 2,91-77, ,,3,91,77,14,2027.0
2:03.0, ,91-79,K. Irving makes 2-pt jump shot from 11 ft,,3,91,79,12,2037.0
1:50.0,D. White misses 3-pt jump shot from 28 ft,91-79, ,,3,91,79,12,2050.0
1:46.0, ,91-79,Defensive rebound by D. Lively,,3,91,79,12,2054.0
1:41.0, ,91-79,K. Irving misses 3-pt jump shot from 25 ft,,3,91,79,12,2059.0
1:38.0,Defensive rebound by P. Pritchard,91-79, ,,3,91,79,12,2062.0
1:33.0,Shooting foul by J. Green (drawn by D. White),91-79, ,,3,91,79,12,2067.0
1:33.0,D. White misses free throw 1 of 2,91-79, ,,3,91,79,12,2067.0
1:33.0,Offensive rebound by Team,91-79, ,,3,91,79,12,2067.0
1:33.0,D. White makes free throw 2 of 2,92-79, ,,3,92,79,13,2067.0
1:17.0, ,92-79,G. Williams misses 3-pt jump shot from 26 ft,,3,92,79,13,2083.0
1:13.0,Defensive rebound by J. Brown,92-79, ,,3,92,79,13,2087.0
1:12.0,S. Hauser makes 2-pt layup from 1 ft (assist by J. Brown),94-79, ,,3,94,79,15,2088.0
0:51.0, ,94-81,K. Irving makes 2-pt jump shot from 11 ft,,3,94,81,13,2109.0
0:31.0,D. White misses 3-pt jump shot from 26 ft,94-81, ,,3,94,81,13,2129.0
0:28.0, ,94-81,Defensive rebound by D. Jones,,3,94,81,13,2132.0
0:09.0, ,94-81,D. Jones misses 2-pt layup from 5 ft (block by L. Kornet),,3,94,81,13,2151.0
0:07.0, ,94-81,Offensive rebound by D. Lively,,3,94,81,13,2153.0
0:06.0, ,94-83,D. Lively makes 2-pt layup from 2 ft,,3,94,83,11,2154.0
0:00.0,P. Pritchard misses 2-pt layup from 2 ft (block by D. Lively),94-83, ,,3,94,83,11,2160.0
0:00.0,Offensive rebound by Team,94-83, ,,3,94,83,11,2160.0
0:00.0,L. Kornet misses 2-pt layup from 5 ft,94-83, ,,3,94,83,11,2160.0
0:00.0,End of 3rd quarter,94-83,,,3,94,83,11,2160.0
12:00.0,Start of 4th quarter,94-83,,,4,94,83,11,2160.0
11:40.0,D. White misses 3-pt jump shot from 25 ft,94-83, ,,4,94,83,11,2180.0
11:36.0, ,94-83,Defensive rebound by L. Dončić,,4,94,83,11,2184.0
11:31.0, ,94-83,Turnover by L. Dončić (lost ball; steal by J. Tatum),,4,94,83,11,2189.0
11:28.0,J. Tatum makes 2-pt layup from 2 ft (assist by L. Kornet),96-83, ,,4,96,83,13,2192.0
11:16.0, ,96-83,Personal foul by J. Tatum (drawn by D. Jones),,4,96,83,13,2204.0
11:05.0, ,96-83,Personal foul by P. Pritchard (drawn by L. Dončić),,4,96,83,13,2215.0
11:05.0,J. Holiday enters the game for S. Hauser,96-83, ,,4,96,83,13,2215.0
10:56.0, ,96-83,L. Dončić misses 2-pt jump shot from 16 ft,,4,96,83,13,2224.0
10:53.0,Defensive rebound by P. Pritchard,96-83, ,,4,96,83,13,2227.0
10:36.0,D. White misses 3-pt jump shot from 23 ft,96-83, ,,4,96,83,13,2244.0
10:33.0, ,96-83,Defensive rebound by K. Irving,,4,96,83,13,2247.0
10:30.0, ,96-83,K. Irving misses 2-pt layup from 2 ft,,4,96,83,13,2250.0
10:25.0,Defensive rebound by J. Holiday,96-83, ,,4,96,83,13,2255.0
10:23.0,J. Holiday misses 3-pt jump shot from 26 ft,96-83, ,,4,96,83,13,2257.0
10:20.0, ,96-83,Defensive rebound by D. Lively,,4,96,83,13,2260.0
10:07.0, ,96-83,J. Green misses 3-pt jump shot from 26 ft,,4,96,83,13,2273.0
10:04.0,Defensive rebound by L. Kornet,96-83, ,,4,96,83,13,2276.0
9:51.0,J. Tatum misses 3-pt jump shot from 26 ft,96-83, ,,4,96,83,13,2289.0
9:48.0, ,96-83,Defensive rebound by K. Irving,,4,96,83,13,2292.0
9:40.0, ,96-86,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Lively),,4,96,86,10,2300.0
9:21.0,D. White makes 2-pt jump shot from 7 ft,98-86, ,,4,98,86,12,2319.0
9:03.0, ,98-86,K. Irving misses 2-pt jump shot from 11 ft,,4,98,86,12,2337.0
9:00.0,Defensive rebound by D. White,98-86, ,,4,98,86,12,2340.0
8:57.0,P. Pritchard misses 2-pt layup from 2 ft,98-86, ,,4,98,86,12,2343.0
8:54.0, ,98-86,Defensive rebound by L. Dončić,,4,98,86,12,2346.0
8:44.0, ,98-86,Turnover by L. Dončić (bad pass; steal by D. White),,4,98,86,12,2356.0
8:44.0,Personal foul by J. Green (drawn by J. Tatum),98-86, ,,4,98,86,12,2356.0
8:44.0, ,98-86,T. Hardaway enters the game for K. Irving,,4,98,86,12,2356.0
8:44.0, ,98-86,M. Kleber enters the game for D. Lively,,4,98,86,12,2356.0
8:28.0,Turnover by L. Kornet (bad pass),98-86, ,,4,98,86,12,2372.0
8:13.0, ,98-86,M. Kleber misses 3-pt jump shot from 22 ft,,4,98,86,12,2387.0
8:10.0,Defensive rebound by P. Pritchard,98-86, ,,4,98,86,12,2390.0
8:08.0,J. Tatum makes 2-pt layup from 1 ft (assist by P. Pritchard),100-86, ,,4,100,86,14,2392.0
8:07.0, ,100-86,Dallas full timeout,,4,100,86,14,2393.0
8:00.0, ,100-86,Personal foul by D. White (drawn by J. Green),,4,100,86,14,2400.0
8:00.0,J. Brown enters the game for L. Kornet,100-86, ,,4,100,86,14,2400.0
8:00.0, ,100-86,K. Irving enters the game for D. Jones,,4,100,86,14,2400.0
7:37.0, ,100-88,L. Dončić makes 2-pt layup from 3 ft,,4,100,88,12,2423.0
7:14.0,J. Brown makes 2-pt layup from 1 ft (assist by P. Pritchard),102-88, ,,4,102,88,14,2446.0
6:55.0, ,102-88,L. Dončić misses 2-pt jump shot from 15 ft,,4,102,88,14,2465.0
6:52.0, ,102-88,Offensive rebound by L. Dončić,,4,102,88,14,2468.0
6:51.0, ,102-88,L. Dončić misses 2-pt layup from 3 ft,,4,102,88,14,2469.0
6:47.0, ,102-88,Offensive rebound by L. Dončić,,4,102,88,14,2473.0
6:47.0, ,102-88,L. Dončić misses 2-pt layup at rim,,4,102,88,14,2473.0
6:46.0, ,102-88,Offensive rebound by L. Dončić,,4,102,88,14,2474.0
6:46.0, ,102-88,L. Dončić misses 2-pt layup at rim,,4,102,88,14,2474.0
6:46.0,Defensive rebound by J. Brown,102-88, ,,4,102,88,14,2474.0
6:43.0,J. Tatum misses 3-pt jump shot from 26 ft,102-88, ,,4,102,88,14,2477.0
6:43.0, ,102-88,Defensive rebound by J. Green,,4,102,88,14,2477.0
6:31.0, ,102-90,K. Irving makes 2-pt layup from 2 ft (assist by L. Dončić),,4,102,90,12,2489.0
6:24.0,Personal foul by T. Hardaway (drawn by J. Brown),102-90, ,,4,102,90,12,2496.0
6:14.0,Turnover by D. White (bad pass; steal by L. Dončić),102-90, ,,4,102,90,12,2506.0
6:08.0, ,102-90,J. Green misses 3-pt jump shot from 23 ft,,4,102,90,12,2512.0
6:07.0,Defensive rebound by Team,102-90, ,,4,102,90,12,2513.0
6:07.0, ,102-90,Loose ball foul by M. Kleber (drawn by J. Tatum),,4,102,90,12,2513.0
5:53.0,Shooting foul by L. Dončić (drawn by J. Tatum),102-90, ,,4,102,90,12,2527.0
5:53.0,J. Tatum misses free throw 1 of 2,102-90, ,,4,102,90,12,2527.0
5:53.0,Offensive rebound by Team,102-90, ,,4,102,90,12,2527.0
5:53.0,J. Tatum makes free throw 2 of 2,103-90, ,,4,103,90,13,2527.0
5:44.0, ,103-90,J. Green misses 2-pt layup from 3 ft (block by J. Holiday),,4,103,90,13,2536.0
5:41.0,Defensive rebound by P. Pritchard,103-90, ,,4,103,90,13,2539.0
5:37.0,J. Tatum misses 2-pt layup from 3 ft (block by M. Kleber),103-90, ,,4,103,90,13,2543.0
5:36.0, ,103-90,Defensive rebound by K. Irving,,4,103,90,13,2544.0
5:32.0, ,103-90,K. Irving misses 2-pt layup from 3 ft (block by P. Pritchard),,4,103,90,13,2548.0
5:31.0, ,103-90,Offensive rebound by L. Dončić,,4,103,90,13,2549.0
5:31.0, ,103-92,L. Dončić makes 2-pt layup from 2 ft,,4,103,92,11,2549.0
5:31.0, ,103-92,Shooting foul by D. White (drawn by L. Dončić),,4,103,92,11,2549.0
5:31.0, ,103-93,L. Dončić makes free throw 1 of 1,,4,103,93,10,2549.0
5:11.0,D. White misses 2-pt layup from 2 ft,103-93, ,,4,103,93,10,2569.0
5:06.0, ,103-93,Defensive rebound by K. Irving,,4,103,93,10,2574.0
5:01.0, ,103-96,L. Dončić makes 3-pt jump shot from 27 ft,,4,103,96,7,2579.0
4:59.0,Boston full timeout,103-96, ,,4,103,96,7,2581.0
4:59.0,A. Horford enters the game for P. Pritchard,103-96, ,,4,103,96,7,2581.0
4:45.0,J. Brown makes 2-pt jump shot from 12 ft,105-96, ,,4,105,96,9,2595.0
4:24.0, ,105-96,Personal foul by J. Brown (drawn by L. Dončić),,4,105,96,9,2616.0
4:24.0, ,105-97,L. Dončić makes free throw 1 of 2,,4,105,97,8,2616.0
4:24.0, ,105-98,L. Dončić makes free throw 2 of 2,,4,105,98,7,2616.0
4:10.0,J. Brown makes 3-pt jump shot from 24 ft (assist by J. Holiday),108-98, ,,4,108,98,10,2630.0
4:10.0,Shooting foul by T. Hardaway (drawn by J. Brown),108-98, ,,4,108,98,10,2630.0
4:10.0,J. Brown makes free throw 1 of 1,109-98, ,,4,109,98,11,2630.0
3:54.0, ,109-98,M. Kleber misses 2-pt layup from 3 ft (block by J. Brown),,4,109,98,11,2646.0
3:52.0,Defensive rebound by A. Horford,109-98, ,,4,109,98,11,2648.0
3:41.0,J. Brown misses 3-pt jump shot from 26 ft,109-98, ,,4,109,98,11,2659.0
3:38.0, ,109-98,Defensive rebound by L. Dončić,,4,109,98,11,2662.0
3:31.0, ,109-100,T. Hardaway makes 2-pt layup from 2 ft (assist by L. Dončić),,4,109,100,9,2669.0
3:11.0,J. Holiday makes 2-pt jump shot from 9 ft (assist by J. Tatum),111-100, ,,4,111,100,11,2689.0
3:11.0, ,111-100,Dallas full timeout,,4,111,100,11,2689.0
2:58.0, ,111-100,Shooting foul by J. Holiday (drawn by L. Dončić),,4,111,100,11,2702.0
2:58.0, ,111-100,L. Dončić misses free throw 1 of 2,,4,111,100,11,2702.0
2:58.0, ,111-100,Offensive rebound by Team,,4,111,100,11,2702.0
2:58.0, ,111-100,L. Dončić misses free throw 2 of 2,,4,111,100,11,2702.0
2:55.0,Defensive rebound by J. Tatum,111-100, ,,4,111,100,11,2705.0
2:43.0,J. Brown misses 3-pt jump shot from 25 ft,111-100, ,,4,111,100,11,2717.0
2:41.0, ,111-100,Defensive rebound by M. Kleber,,4,111,100,11,2719.0
2:25.0, ,111-103,K. Irving makes 3-pt jump shot from 26 ft (assist by L. Dončić),,4,111,103,8,2735.0
2:02.0,J. Brown makes 2-pt jump shot from 14 ft,113-103, ,,4,113,103,10,2758.0
1:47.0, ,113-105,M. Kleber makes 2-pt layup from 1 ft (assist by L. Dončić),,4,113,105,8,2773.0
1:24.0,J. Brown misses 2-pt jump shot from 16 ft,113-105, ,,4,113,105,8,2796.0
1:22.0, ,113-105,Defensive rebound by M. Kleber,,4,113,105,8,2798.0
1:14.0, ,113-105,T. Hardaway misses 2-pt jump shot from 15 ft (block by J. Tatum),,4,113,105,8,2806.0
1:11.0,Defensive rebound by J. Tatum,113-105, ,,4,113,105,8,2809.0
1:10.0,Personal take foul by M. Kleber (drawn by J. Tatum),113-105, ,,4,113,105,8,2810.0
1:10.0,J. Tatum makes free throw 1 of 2,114-105, ,,4,114,105,9,2810.0
1:10.0,J. Tatum makes free throw 2 of 2,115-105, ,,4,115,105,10,2810.0
1:01.0, ,115-107,M. Kleber makes 2-pt layup from 1 ft (assist by L. Dončić),,4,115,107,8,2819.0
1:01.0, ,115-107,Shooting foul by J. Brown (drawn by M. Kleber),,4,115,107,8,2819.0
1:01.0, ,115-108,M. Kleber makes free throw 1 of 1,,4,115,108,7,2819.0
0:56.0,Personal foul by J. Green (drawn by J. Tatum),115-108, ,,4,115,108,7,2824.0
0:56.0,J. Tatum makes free throw 1 of 2,116-108, ,,4,116,108,8,2824.0
0:56.0,J. Tatum makes free throw 2 of 2,117-108, ,,4,117,108,9,2824.0
0:49.0, ,117-110,K. Irving makes 2-pt layup from 2 ft (assist by T. Hardaway),,4,117,110,7,2831.0
0:34.0,Personal foul by L. Dončić (drawn by J. Tatum),117-110, ,,4,117,110,7,2846.0
0:34.0,J. Tatum makes free throw 1 of 2,118-110, ,,4,118,110,8,2846.0
0:34.0,J. Tatum makes free throw 2 of 2,119-110, ,,4,119,110,9,2846.0
0:22.0, ,119-110,M. Kleber misses 3-pt jump shot from 23 ft,,4,119,110,9,2858.0
0:20.0,Defensive rebound by A. Horford,119-110, ,,4,119,110,9,2860.0
0:00.0,End of 4th quarter,119-110,,,4,119,110,9,2880.0
