Time,Boston,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:25.0, ,19-24,G. Williams misses 3-pt jump shot from 26 ft,,1,19,24,-5,635.0
1:24.0, ,19-24,Offensive rebound by Team,,1,19,24,-5,636.0
1:24.0,Loose ball foul by L. Kornet (drawn by D. Lively),19-24, ,,1,19,24,-5,636.0
1:13.0, ,19-24,J. Hardy misses 3-pt jump shot from 24 ft,,1,19,24,-5,647.0
1:10.0,Defensive rebound by L. Kornet,19-24, ,,1,19,24,-5,650.0
1:02.0,J. Tatum makes 2-pt jump shot from 10 ft,21-24, ,,1,21,24,-3,658.0
1:02.0,Shooting foul by K. Irving (drawn by J. Tatum),21-24, ,,1,21,24,-3,658.0
1:02.0,J. Tatum makes free throw 1 of 1,22-24, ,,1,22,24,-2,658.0
0:47.0, ,22-24,Personal foul by S. Hauser (drawn by K. Irving),,1,22,24,-2,673.0
0:47.0, ,22-25,K. Irving makes free throw 1 of 2,,1,22,25,-3,673.0
0:47.0, ,22-26,K. Irving makes free throw 2 of 2,,1,22,26,-4,673.0
0:33.0,J. Tatum misses 3-pt jump shot from 27 ft,22-26, ,,1,22,26,-4,687.0
0:30.0, ,22-26,Defensive rebound by D. Lively,,1,22,26,-4,690.0
0:10.0, ,22-26,K. Irving misses 2-pt jump shot from 16 ft,,1,22,26,-4,710.0
0:07.0,Defensive rebound by L. Kornet,22-26, ,,1,22,26,-4,713.0
0:00.0,J. Tatum makes 2-pt jump shot from 9 ft,24-26, ,,1,24,26,-2,720.0
0:00.0,End of 1st quarter,24-26,,,1,24,26,-2,720.0
12:00.0,Start of 2nd quarter,24-26,,,2,24,26,-2,720.0
11:48.0, ,24-28,D. Lively makes 2-pt dunk from 1 ft (assist by L. Dončić),,2,24,28,-4,732.0
11:31.0,P. Pritchard misses 3-pt jump shot from 23 ft,24-28, ,,2,24,28,-4,749.0
11:28.0,Offensive rebound by S. Hauser,24-28, ,,2,24,28,-4,752.0
11:22.0,J. Tatum misses 3-pt jump shot from 26 ft,24-28, ,,2,24,28,-4,758.0
11:19.0,Offensive rebound by L. Kornet,24-28, ,,2,24,28,-4,761.0
11:19.0,L. Kornet makes 2-pt layup from 2 ft,26-28, ,,2,26,28,-2,761.0
10:59.0, ,26-30,D. Lively makes 2-pt layup from 2 ft (assist by L. Dončić),,2,26,30,-4,781.0
10:47.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by J. Holiday),29-30, ,,2,29,30,-1,793.0
10:33.0, ,29-30,G. Williams misses 3-pt jump shot from 26 ft,,2,29,30,-1,807.0
10:29.0,Defensive rebound by J. Tatum,29-30, ,,2,29,30,-1,811.0
10:25.0,J. Holiday makes 3-pt jump shot from 26 ft,32-30, ,Lead change,2,32,30,2,815.0
10:06.0, ,32-30,L. Dončić misses 2-pt jump shot from 4 ft,,2,32,30,2,834.0
10:04.0, ,32-30,Offensive rebound by L. Dončić,,2,32,30,2,836.0
10:02.0, ,32-30,Personal foul by J. Tatum (drawn by D. Lively),,2,32,30,2,838.0
9:55.0, ,32-30,T. Hardaway misses 3-pt jump shot from 25 ft,,2,32,30,2,845.0
9:53.0,Defensive rebound by J. Holiday,32-30, ,,2,32,30,2,847.0
9:49.0,J. Holiday misses 3-pt jump shot from 27 ft,32-30, ,,2,32,30,2,851.0
9:49.0, ,32-30,Defensive rebound by D. Lively,,2,32,30,2,851.0
9:40.0, ,32-32,T. Hardaway makes 2-pt layup from 4 ft,Tie,2,32,32,0,860.0
9:26.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Holiday),35-32, ,,2,35,32,3,874.0
9:11.0, ,35-32,L. Dončić misses 3-pt jump shot from 26 ft,,2,35,32,3,889.0
9:08.0, ,35-32,Offensive rebound by D. Lively,,2,35,32,3,892.0
9:06.0, ,35-32,L. Dončić misses 2-pt jump shot from 11 ft,,2,35,32,3,894.0
9:04.0,Defensive rebound by J. Tatum,35-32, ,,2,35,32,3,896.0
8:58.0,J. Holiday misses 3-pt jump shot from 23 ft,35-32, ,,2,35,32,3,902.0
8:55.0, ,35-32,Defensive rebound by L. Dončić,,2,35,32,3,905.0
8:47.0, ,35-32,Personal foul by J. Tatum (drawn by L. Dončić),,2,35,32,3,913.0
8:47.0,A. Horford enters the game for L. Kornet,35-32, ,,2,35,32,3,913.0
8:47.0, ,35-32,D. Jones enters the game for D. Lively,,2,35,32,3,913.0
8:47.0, ,35-32,M. Kleber enters the game for G. Williams,,2,35,32,3,913.0
8:39.0, ,35-32,L. Dončić misses 2-pt layup from 2 ft,,2,35,32,3,921.0
8:37.0,Defensive rebound by J. Tatum,35-32, ,,2,35,32,3,923.0
8:26.0,P. Pritchard makes 2-pt layup from 1 ft,37-32, ,,2,37,32,5,934.0
8:26.0, ,37-32,Dallas full timeout,,2,37,32,5,934.0
8:26.0,J. Brown enters the game for S. Hauser,37-32, ,,2,37,32,5,934.0
8:12.0, ,37-32,Turnover by J. Green (out of bounds lost ball),,2,37,32,5,948.0
8:02.0,J. Tatum makes 2-pt jump shot from 18 ft (assist by P. Pritchard),39-32, ,,2,39,32,7,958.0
7:43.0, ,39-35,J. Green makes 3-pt jump shot from 26 ft (assist by L. Dončić),,2,39,35,4,977.0
7:29.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Tatum),42-35, ,,2,42,35,7,991.0
7:12.0, ,42-35,M. Kleber misses 3-pt jump shot from 24 ft,,2,42,35,7,1008.0
7:09.0,Defensive rebound by J. Holiday,42-35, ,,2,42,35,7,1011.0
7:05.0,A. Horford misses 3-pt jump shot from 23 ft,42-35, ,,2,42,35,7,1015.0
7:03.0,Offensive rebound by P. Pritchard,42-35, ,,2,42,35,7,1017.0
6:59.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by P. Pritchard),45-35, ,,2,45,35,10,1021.0
6:45.0, ,45-35,Personal foul by J. Brown (drawn by J. Green),,2,45,35,10,1035.0
6:45.0,D. White enters the game for J. Holiday,45-35, ,,2,45,35,10,1035.0
6:45.0, ,45-35,K. Irving enters the game for T. Hardaway,,2,45,35,10,1035.0
6:36.0, ,45-37,L. Dončić makes 2-pt layup from 1 ft (assist by J. Green),,2,45,37,8,1044.0
6:25.0,J. Brown makes 2-pt layup from 4 ft (assist by D. White),47-37, ,,2,47,37,10,1055.0
6:08.0, ,47-37,K. Irving misses 2-pt jump shot from 9 ft,,2,47,37,10,1072.0
6:05.0,Defensive rebound by P. Pritchard,47-37, ,,2,47,37,10,1075.0
5:58.0,J. Tatum misses 2-pt layup from 3 ft,47-37, ,,2,47,37,10,1082.0
5:54.0, ,47-37,Defensive rebound by J. Green,,2,47,37,10,1086.0
5:51.0, ,47-39,D. Jones makes 2-pt dunk at rim (assist by L. Dončić),,2,47,39,8,1089.0
5:29.0,J. Brown makes 2-pt jump shot from 14 ft,49-39, ,,2,49,39,10,1111.0
5:19.0, ,49-39,L. Dončić misses 3-pt jump shot from 26 ft,,2,49,39,10,1121.0
5:17.0,Defensive rebound by Team,49-39, ,,2,49,39,10,1123.0
5:17.0, ,49-39,D. Lively enters the game for J. Green,,2,49,39,10,1123.0
5:03.0,J. Brown makes 2-pt jump shot from 16 ft,51-39, ,,2,51,39,12,1137.0
5:03.0,Shooting foul by L. Dončić (drawn by J. Brown),51-39, ,,2,51,39,12,1137.0
5:03.0, ,51-39,Technical foul by L. Dončić,,2,51,39,12,1137.0
5:03.0,J. Brown misses technical free throw,51-39, ,,2,51,39,12,1137.0
5:03.0,Offensive rebound by Team,51-39, ,,2,51,39,12,1137.0
