Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:35.0,Defensive rebound by J. Allen,80-88, ,,3,88,80,8,2005.0
2:16.0,J. Allen misses 2-pt jump shot from 16 ft,80-88, ,,3,88,80,8,2024.0
2:14.0, ,80-88,Defensive rebound by J. Brown,,3,88,80,8,2026.0
2:08.0, ,80-88,Turnover by D. White (bad pass; steal by C. LeVert),,3,88,80,8,2032.0
1:59.0,C. LeVert makes 2-pt jump shot from 9 ft,82-88, ,,3,88,82,6,2041.0
1:42.0, ,82-88,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,88,82,6,2058.0
1:39.0,Defensive rebound by J. Allen,82-88, ,,3,88,82,6,2061.0
1:30.0,D. Garland makes 2-pt layup from 2 ft,84-88, ,,3,88,84,4,2070.0
1:08.0, ,84-88,D. White misses 3-pt jump shot from 24 ft,,3,88,84,4,2092.0
1:05.0, ,84-88,Offensive rebound by A. Horford,,3,88,84,4,2095.0
1:05.0, ,84-90,A. Horford makes 2-pt layup from 2 ft,,3,90,84,6,2095.0
0:53.0,D. Wade misses 3-pt jump shot from 26 ft,84-90, ,,3,90,84,6,2107.0
0:50.0, ,84-90,Defensive rebound by J. Brown,,3,90,84,6,2110.0
0:32.0, ,84-90,J. Brown misses 3-pt jump shot from 29 ft,,3,90,84,6,2128.0
0:29.0, ,84-90,Offensive rebound by A. Horford,,3,90,84,6,2131.0
0:17.0, ,84-90,K. Porziņģis misses 2-pt jump shot from 13 ft,,3,90,84,6,2143.0
0:15.0,Defensive rebound by D. Wade,84-90, ,,3,90,84,6,2145.0
0:01.0,D. Garland makes 3-pt jump shot from 28 ft,87-90, ,,3,90,87,3,2159.0
0:00.0,End of 3rd quarter,87-90,,,3,90,87,3,2160.0
12:00.0,Start of 4th quarter,87-90,,,4,90,87,3,2160.0
11:41.0, ,87-92,J. Tatum makes 2-pt jump shot from 16 ft,,4,92,87,5,2179.0
11:16.0,Turnover by D. Garland (bad pass; steal by L. Stevens),87-92, ,,4,92,87,5,2204.0
10:59.0, ,87-95,J. Tatum makes 3-pt jump shot from 26 ft,,4,95,87,8,2221.0
10:34.0,D. Mitchell misses 3-pt jump shot from 27 ft,87-95, ,,4,95,87,8,2246.0
10:32.0, ,87-95,Defensive rebound by J. Tatum,,4,95,87,8,2248.0
10:21.0, ,87-95,J. Holiday misses 3-pt jump shot from 27 ft,,4,95,87,8,2259.0
10:19.0,Defensive rebound by D. Mitchell,87-95, ,,4,95,87,8,2261.0
10:12.0,D. Garland misses 2-pt layup from 4 ft (block by J. Tatum),87-95, ,,4,95,87,8,2268.0
10:10.0, ,87-95,Defensive rebound by A. Horford,,4,95,87,8,2270.0
10:04.0, ,87-97,J. Holiday makes 2-pt layup from 3 ft (assist by P. Pritchard),,4,97,87,10,2276.0
9:38.0,C. LeVert misses 2-pt jump shot from 6 ft,87-97, ,,4,97,87,10,2302.0
9:35.0, ,87-97,Defensive rebound by A. Horford,,4,97,87,10,2305.0
9:23.0, ,87-97,J. Tatum misses 3-pt jump shot from 29 ft,,4,97,87,10,2317.0
9:21.0, ,87-97,Offensive rebound by J. Holiday,,4,97,87,10,2319.0
9:18.0, ,87-97,J. Holiday misses 3-pt jump shot from 26 ft,,4,97,87,10,2322.0
9:17.0,Defensive rebound by C. LeVert,87-97, ,,4,97,87,10,2323.0
9:16.0,Personal foul by P. Pritchard (drawn by C. LeVert),87-97, ,,4,97,87,10,2324.0
9:16.0,J. Allen enters the game for D. Wade,87-97, ,,4,97,87,10,2324.0
8:54.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Garland),89-97, ,,4,97,89,8,2346.0
8:36.0, ,89-97,L. Stevens misses 3-pt jump shot from 24 ft,,4,97,89,8,2364.0
8:32.0, ,89-97,Offensive rebound by A. Horford,,4,97,89,8,2368.0
8:30.0, ,89-99,L. Stevens makes 2-pt dunk from 1 ft (assist by A. Horford),,4,99,89,10,2370.0
8:09.0,D. Mitchell makes 2-pt jump shot from 10 ft,91-99, ,,4,99,91,8,2391.0
7:52.0, ,91-99,J. Tatum misses 3-pt jump shot from 30 ft,,4,99,91,8,2408.0
7:50.0,Defensive rebound by D. Mitchell,91-99, ,,4,99,91,8,2410.0
7:38.0,D. Garland misses 2-pt jump shot from 13 ft,91-99, ,,4,99,91,8,2422.0
7:36.0, ,91-99,Defensive rebound by J. Tatum,,4,99,91,8,2424.0
7:28.0, ,91-99,P. Pritchard misses 3-pt jump shot from 27 ft,,4,99,91,8,2432.0
7:26.0,Defensive rebound by J. Allen,91-99, ,,4,99,91,8,2434.0
7:19.0,D. Mitchell misses 2-pt layup from 6 ft (block by L. Stevens),91-99, ,,4,99,91,8,2441.0
7:17.0, ,91-99,Defensive rebound by J. Holiday,,4,99,91,8,2443.0
7:13.0, ,91-99,Shooting foul by D. Garland (drawn by L. Stevens),,4,99,91,8,2447.0
7:13.0, ,91-100,L. Stevens makes free throw 1 of 2,,4,100,91,9,2447.0
7:13.0,M. Strus enters the game for C. LeVert,91-100, ,,4,100,91,9,2447.0
7:13.0, ,91-101,L. Stevens makes free throw 2 of 2,,4,101,91,10,2447.0
6:54.0,D. Garland makes 2-pt layup from 2 ft,93-101, ,,4,101,93,8,2466.0
6:38.0, ,93-101,L. Stevens misses 3-pt jump shot from 23 ft,,4,101,93,8,2482.0
6:36.0,Defensive rebound by J. Allen,93-101, ,,4,101,93,8,2484.0
6:28.0,Shooting foul by A. Horford (drawn by D. Mitchell),93-101, ,,4,101,93,8,2492.0
6:28.0, ,93-101,Boston full timeout,,4,101,93,8,2492.0
6:28.0, ,93-101,J. Brown enters the game for P. Pritchard,,4,101,93,8,2492.0
6:28.0, ,93-101,D. White enters the game for L. Stevens,,4,101,93,8,2492.0
6:28.0,D. Mitchell makes free throw 1 of 2,94-101, ,,4,101,94,7,2492.0
6:28.0,D. Mitchell makes free throw 2 of 2,95-101, ,,4,101,95,6,2492.0
6:10.0, ,95-101,J. Tatum misses 2-pt jump shot from 17 ft,,4,101,95,6,2510.0
6:08.0,Defensive rebound by J. Allen,95-101, ,,4,101,95,6,2512.0
5:58.0,D. Mitchell misses 2-pt jump shot from 12 ft,95-101, ,,4,101,95,6,2522.0
5:57.0, ,95-101,Defensive rebound by J. Brown,,4,101,95,6,2523.0
5:50.0, ,95-101,Personal foul by D. Mitchell (drawn by J. Brown),,4,101,95,6,2530.0
5:35.0, ,95-101,J. Brown misses 3-pt jump shot from 24 ft,,4,101,95,6,2545.0
5:33.0, ,95-101,Offensive rebound by J. Holiday,,4,101,95,6,2547.0
5:31.0, ,95-104,D. White makes 3-pt jump shot from 29 ft (assist by J. Holiday),,4,104,95,9,2549.0
5:16.0,Offensive foul by D. Mitchell (drawn by D. White),95-104, ,,4,104,95,9,2564.0
5:16.0,Turnover by D. Mitchell (offensive foul),95-104, ,,4,104,95,9,2564.0
5:16.0,I. Okoro enters the game for G. Niang,95-104, ,,4,104,95,9,2564.0
5:16.0, ,95-104,K. Porziņģis enters the game for A. Horford,,4,104,95,9,2564.0
5:03.0, ,95-104,Shooting foul by M. Strus (drawn by J. Tatum),,4,104,95,9,2577.0
5:03.0, ,95-105,J. Tatum makes free throw 1 of 2,,4,105,95,10,2577.0
5:03.0, ,95-106,J. Tatum makes free throw 2 of 2,,4,106,95,11,2577.0
4:41.0,J. Allen makes 2-pt hook shot from 3 ft (assist by M. Strus),97-106, ,,4,106,97,9,2599.0
4:22.0, ,97-106,J. Tatum misses 2-pt jump shot from 3 ft,,4,106,97,9,2618.0
4:21.0, ,97-106,Offensive rebound by J. Tatum,,4,106,97,9,2619.0
4:21.0, ,97-106,J. Tatum misses 2-pt layup at rim,,4,106,97,9,2619.0
4:20.0, ,97-106,Offensive rebound by J. Tatum,,4,106,97,9,2620.0
4:19.0, ,97-106,Shooting foul by M. Strus (drawn by J. Tatum),,4,106,97,9,2621.0
4:19.0, ,97-107,J. Tatum makes free throw 1 of 2,,4,107,97,10,2621.0
4:19.0,C. LeVert enters the game for M. Strus,97-107, ,,4,107,97,10,2621.0
4:19.0, ,97-107,J. Tatum misses free throw 2 of 2,,4,107,97,10,2621.0
4:19.0,Defensive rebound by D. Mitchell,97-107, ,,4,107,97,10,2621.0
4:07.0,Personal foul by J. Holiday (drawn by I. Okoro),97-107, ,,4,107,97,10,2633.0
4:01.0,D. Garland makes 3-pt jump shot from 28 ft (assist by D. Mitchell),100-107, ,,4,107,100,7,2639.0
3:42.0, ,100-107,Turnover by J. Brown (bad pass),,4,107,100,7,2658.0
3:31.0,D. Mitchell misses 3-pt jump shot from 31 ft,100-107, ,,4,107,100,7,2669.0
3:29.0, ,100-107,Defensive rebound by J. Tatum,,4,107,100,7,2671.0
3:10.0, ,100-107,J. Brown misses 2-pt hook shot from 9 ft,,4,107,100,7,2690.0
3:09.0,Defensive rebound by J. Allen,100-107, ,,4,107,100,7,2691.0
3:01.0,C. LeVert makes 2-pt layup from 1 ft (assist by D. Mitchell),102-107, ,,4,107,102,5,2699.0
3:01.0, ,102-107,Boston full timeout,,4,107,102,5,2699.0
2:37.0, ,102-107,J. Tatum misses 3-pt jump shot from 26 ft,,4,107,102,5,2723.0
2:34.0, ,102-107,Offensive rebound by J. Brown,,4,107,102,5,2726.0
2:32.0, ,102-109,J. Holiday makes 2-pt jump shot from 8 ft (assist by J. Brown),,4,109,102,7,2728.0
2:05.0,Turnover by C. LeVert (step out of bounds),102-109, ,,4,109,102,7,2755.0
1:53.0, ,102-111,J. Tatum makes 2-pt dunk from 4 ft,,4,111,102,9,2767.0
1:53.0,Cleveland full timeout,102-111, ,,4,111,102,9,2767.0
1:53.0,M. Strus enters the game for I. Okoro,102-111, ,,4,111,102,9,2767.0
1:48.0,D. Garland misses 2-pt layup from 1 ft,102-111, ,,4,111,102,9,2772.0
1:47.0, ,102-111,Defensive rebound by K. Porziņģis,,4,111,102,9,2773.0
1:28.0, ,102-113,J. Tatum makes 2-pt dunk from 4 ft,,4,113,102,11,2792.0
1:22.0,D. Garland misses 3-pt jump shot from 28 ft,102-113, ,,4,113,102,11,2798.0
1:21.0, ,102-113,Defensive rebound by J. Tatum,,4,113,102,11,2799.0
0:57.0, ,102-113,K. Porziņģis misses 3-pt jump shot from 28 ft,,4,113,102,11,2823.0
0:55.0,Defensive rebound by D. Mitchell,102-113, ,,4,113,102,11,2825.0
0:51.0,Shooting foul by J. Holiday (drawn by C. LeVert),102-113, ,,4,113,102,11,2829.0
0:51.0,C. LeVert makes free throw 1 of 2,103-113, ,,4,113,103,10,2829.0
0:51.0, ,103-113,A. Horford enters the game for K. Porziņģis,,4,113,103,10,2829.0
0:51.0,C. LeVert makes free throw 2 of 2,104-113, ,,4,113,104,9,2829.0
0:29.0, ,104-116,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Brown),,4,116,104,12,2851.0
0:19.0,C. LeVert misses 3-pt jump shot from 28 ft,104-116, ,,4,116,104,12,2861.0
0:17.0,Offensive rebound by M. Strus,104-116, ,,4,116,104,12,2863.0
0:14.0,D. Garland makes 3-pt jump shot from 27 ft (assist by C. LeVert),107-116, ,,4,116,107,9,2866.0
0:00.0,End of 4th quarter,107-116,,,4,116,107,9,2880.0
