Time,Boston,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:36.0, ,32-25,J. Vanderbilt makes 2-pt jump shot from 4 ft (assist by T. Prince),,2,32,25,7,744.0
11:36.0,Violation by Team (def goaltending),32-25, ,,2,32,25,7,744.0
11:14.0,A. Horford misses 3-pt jump shot from 25 ft,32-25, ,,2,32,25,7,766.0
11:13.0,Offensive rebound by J. Holiday,32-25, ,,2,32,25,7,767.0
11:11.0,J. Holiday makes 3-pt jump shot from 26 ft,35-25, ,,2,35,25,10,769.0
10:51.0, ,35-25,L. James misses 2-pt layup from 3 ft,,2,35,25,10,789.0
10:48.0,Defensive rebound by N. Queta,35-25, ,,2,35,25,10,792.0
10:43.0,P. Pritchard misses 3-pt jump shot from 22 ft,35-25, ,,2,35,25,10,797.0
10:40.0, ,35-25,Defensive rebound by L. James,,2,35,25,10,800.0
10:33.0, ,35-28,T. Prince makes 3-pt jump shot from 23 ft (assist by D. Russell),,2,35,28,7,807.0
10:16.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by N. Queta),38-28, ,,2,38,28,10,824.0
10:07.0, ,38-28,Personal foul by P. Pritchard (drawn by D. Russell),,2,38,28,10,833.0
9:57.0, ,38-30,T. Prince makes 2-pt layup from 4 ft (assist by D. Russell),,2,38,30,8,843.0
9:38.0,P. Pritchard makes 3-pt jump shot from 26 ft (assist by J. Tatum),41-30, ,,2,41,30,11,862.0
9:23.0, ,41-32,D. Russell makes 2-pt jump shot from 20 ft,,2,41,32,9,877.0
9:02.0,J. Holiday misses 3-pt jump shot from 27 ft,41-32, ,,2,41,32,9,898.0
9:01.0,Offensive rebound by P. Pritchard,41-32, ,,2,41,32,9,899.0
8:48.0,Turnover by J. Holiday (bad pass; steal by J. Vanderbilt),41-32, ,,2,41,32,9,912.0
8:45.0, ,41-32,Turnover by L. James (traveling),,2,41,32,9,915.0
8:32.0,J. Tatum misses 2-pt jump shot from 11 ft,41-32, ,,2,41,32,9,928.0
8:30.0, ,41-32,Defensive rebound by L. James,,2,41,32,9,930.0
8:28.0, ,41-32,Personal foul by N. Queta (drawn by J. Hayes),,2,41,32,9,932.0
8:28.0,S. Hauser enters the game for N. Queta,41-32, ,,2,41,32,9,932.0
8:28.0, ,41-32,R. Hachimura enters the game for T. Prince,,2,41,32,9,932.0
8:16.0, ,41-32,R. Hachimura misses 3-pt jump shot from 23 ft (block by A. Horford),,2,41,32,9,944.0
8:12.0,Defensive rebound by J. Holiday,41-32, ,,2,41,32,9,948.0
8:11.0,P. Pritchard makes 2-pt layup from 1 ft (assist by J. Tatum),43-32, ,,2,43,32,11,949.0
8:11.0, ,43-32,Violation by Team (def goaltending),,2,43,32,11,949.0
7:54.0, ,43-34,D. Russell makes 2-pt jump shot from 14 ft,,2,43,34,9,966.0
7:36.0,P. Pritchard makes 2-pt layup from 3 ft (assist by A. Horford),45-34, ,,2,45,34,11,984.0
7:17.0, ,45-37,L. James makes 3-pt jump shot from 26 ft (assist by D. Russell),,2,45,37,8,1003.0
6:52.0,Shooting foul by J. Vanderbilt (drawn by J. Tatum),45-37, ,,2,45,37,8,1028.0
6:52.0, ,45-37,LA Lakers full timeout,,2,45,37,8,1028.0
6:52.0,J. Brown enters the game for S. Hauser,45-37, ,,2,45,37,8,1028.0
6:52.0,K. Porziņģis enters the game for A. Horford,45-37, ,,2,45,37,8,1028.0
6:52.0,D. White enters the game for P. Pritchard,45-37, ,,2,45,37,8,1028.0
6:52.0, ,45-37,A. Davis enters the game for J. Hayes,,2,45,37,8,1028.0
6:52.0, ,45-37,A. Reaves enters the game for D. Russell,,2,45,37,8,1028.0
6:52.0, ,45-37,C. Reddish enters the game for J. Vanderbilt,,2,45,37,8,1028.0
6:52.0,J. Tatum makes free throw 1 of 3,46-37, ,,2,46,37,9,1028.0
6:52.0,J. Tatum makes free throw 2 of 3,47-37, ,,2,47,37,10,1028.0
6:52.0,J. Tatum misses free throw 3 of 3,47-37, ,,2,47,37,10,1028.0
6:49.0, ,47-37,Defensive rebound by R. Hachimura,,2,47,37,10,1031.0
6:33.0, ,47-39,A. Davis makes 2-pt hook shot from 4 ft,,2,47,39,8,1047.0
6:20.0,K. Porziņģis misses 3-pt jump shot from 28 ft,47-39, ,,2,47,39,8,1060.0
6:16.0, ,47-39,Defensive rebound by A. Reaves,,2,47,39,8,1064.0
6:11.0, ,47-41,R. Hachimura makes 2-pt dunk from 3 ft (assist by A. Reaves),,2,47,41,6,1069.0
5:58.0,J. Brown misses 3-pt jump shot from 27 ft,47-41, ,,2,47,41,6,1082.0
5:55.0, ,47-41,Defensive rebound by R. Hachimura,,2,47,41,6,1085.0
5:54.0, ,47-41,Personal foul by J. Brown (drawn by A. Davis),,2,47,41,6,1086.0
5:38.0, ,47-41,A. Davis misses 2-pt jump shot from 16 ft,,2,47,41,6,1102.0
5:35.0,Defensive rebound by J. Tatum,47-41, ,,2,47,41,6,1105.0
5:25.0,K. Porziņģis misses 3-pt jump shot from 27 ft,47-41, ,,2,47,41,6,1115.0
5:21.0, ,47-41,Defensive rebound by R. Hachimura,,2,47,41,6,1119.0
5:10.0, ,47-44,A. Davis makes 3-pt jump shot from 27 ft (assist by L. James),,2,47,44,3,1130.0
5:09.0,Boston full timeout,47-44, ,,2,47,44,3,1131.0
5:09.0,A. Horford enters the game for J. Holiday,47-44, ,,2,47,44,3,1131.0
4:56.0,D. White misses 2-pt jump shot from 7 ft,47-44, ,,2,47,44,3,1144.0
4:53.0, ,47-44,Defensive rebound by L. James,,2,47,44,3,1147.0
4:51.0, ,47-46,R. Hachimura makes 2-pt dunk from 5 ft (assist by L. James),,2,47,46,1,1149.0
4:23.0,J. Tatum misses 2-pt jump shot from 23 ft,47-46, ,,2,47,46,1,1177.0
4:20.0, ,47-46,Defensive rebound by L. James,,2,47,46,1,1180.0
4:18.0, ,47-46,Turnover by R. Hachimura (out of bounds lost ball),,2,47,46,1,1182.0
4:02.0,Turnover by K. Porziņģis (bad pass),47-46, ,,2,47,46,1,1198.0
4:02.0,J. Holiday enters the game for J. Brown,47-46, ,,2,47,46,1,1198.0
4:02.0, ,47-46,T. Prince enters the game for L. James,,2,47,46,1,1198.0
3:51.0, ,47-46,A. Reaves misses 2-pt jump shot from 14 ft,,2,47,46,1,1209.0
3:50.0, ,47-46,Offensive rebound by A. Reaves,,2,47,46,1,1210.0
3:47.0, ,47-46,R. Hachimura misses 2-pt jump shot from 19 ft,,2,47,46,1,1213.0
3:44.0, ,47-46,Offensive rebound by A. Reaves,,2,47,46,1,1216.0
3:43.0, ,47-46,Turnover by A. Reaves (lost ball; steal by J. Holiday),,2,47,46,1,1217.0
3:27.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Holiday),50-46, ,,2,50,46,4,1233.0
3:06.0, ,50-46,R. Hachimura misses 2-pt jump shot from 16 ft,,2,50,46,4,1254.0
3:02.0,Defensive rebound by J. Tatum,50-46, ,,2,50,46,4,1258.0
2:55.0,J. Holiday makes 2-pt jump shot from 14 ft,52-46, ,,2,52,46,6,1265.0
2:41.0, ,52-48,A. Reaves makes 2-pt jump shot from 8 ft,,2,52,48,4,1279.0
2:41.0, ,52-48,Shooting foul by J. Holiday (drawn by A. Reaves),,2,52,48,4,1279.0
2:41.0, ,52-48,L. James enters the game for C. Reddish,,2,52,48,4,1279.0
2:41.0, ,52-49,A. Reaves makes free throw 1 of 1,,2,52,49,3,1279.0
2:28.0,K. Porziņģis misses 3-pt jump shot from 29 ft,52-49, ,,2,52,49,3,1292.0
2:26.0,Offensive rebound by Team,52-49, ,,2,52,49,3,1294.0
2:26.0, ,52-49,Loose ball foul by R. Hachimura (drawn by D. White),,2,52,49,3,1294.0
2:11.0,J. Tatum misses 2-pt layup from 3 ft (block by A. Davis),52-49, ,,2,52,49,3,1309.0
2:07.0, ,52-49,Defensive rebound by A. Davis,,2,52,49,3,1313.0
2:04.0, ,52-52,T. Prince makes 3-pt jump shot from 26 ft (assist by L. James),Tie,2,52,52,0,1316.0
1:46.0,D. White makes 2-pt jump shot from 5 ft,54-52, ,,2,54,52,2,1334.0
1:34.0, ,54-52,A. Reaves misses 2-pt jump shot from 9 ft (block by D. White),,2,54,52,2,1346.0
1:33.0,Defensive rebound by K. Porziņģis,54-52, ,,2,54,52,2,1347.0
1:32.0,Shooting foul by T. Prince (drawn by J. Tatum),54-52, ,,2,54,52,2,1348.0
1:32.0, ,54-52,LA Lakers full timeout,,2,54,52,2,1348.0
1:32.0, ,54-52,Instant Replay (Challenge: Ruling Stands),,2,54,52,2,1348.0
1:32.0,J. Tatum makes free throw 1 of 2,55-52, ,,2,55,52,3,1348.0
1:32.0,J. Tatum makes free throw 2 of 2,56-52, ,,2,56,52,4,1348.0
1:16.0, ,56-52,R. Hachimura misses 3-pt jump shot from 26 ft,,2,56,52,4,1364.0
1:12.0,Defensive rebound by A. Horford,56-52, ,,2,56,52,4,1368.0
1:02.0,K. Porziņģis makes 2-pt jump shot from 4 ft,58-52, ,,2,58,52,6,1378.0
0:47.0, ,58-55,T. Prince makes 3-pt jump shot from 25 ft (assist by L. James),,2,58,55,3,1393.0
0:36.0,A. Horford misses 3-pt jump shot from 23 ft,58-55, ,,2,58,55,3,1404.0
0:34.0, ,58-55,Defensive rebound by A. Davis,,2,58,55,3,1406.0
0:19.0, ,58-57,A. Davis makes 2-pt jump shot from 4 ft,,2,58,57,1,1421.0
0:04.0,Offensive foul by D. White (drawn by A. Reaves),58-57, ,,2,58,57,1,1436.0
0:04.0,Turnover by D. White (offensive foul),58-57, ,,2,58,57,1,1436.0
0:00.0, ,58-57,A. Davis misses 3-pt jump shot from 25 ft,,2,58,57,1,1440.0
0:00.0, ,58-57,Offensive rebound by Team,,2,58,57,1,1440.0
0:00.0,End of 2nd quarter,58-57,,,2,58,57,1,1440.0
12:00.0,Start of 3rd quarter,58-57,,,3,58,57,1,1440.0
11:36.0, ,58-59,L. James makes 2-pt layup from 3 ft,Lead change,3,58,59,-1,1464.0
11:16.0,D. White misses 3-pt jump shot from 27 ft,58-59, ,,3,58,59,-1,1484.0
11:12.0,Offensive rebound by J. Holiday,58-59, ,,3,58,59,-1,1488.0
11:10.0,J. Brown misses 3-pt jump shot from 27 ft,58-59, ,,3,58,59,-1,1490.0
11:07.0, ,58-59,Defensive rebound by A. Davis,,3,58,59,-1,1493.0
