Time,Boston,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:08.0,Offensive rebound by J. Brown,81-74, ,,3,81,74,7,1852.0
5:08.0,J. Brown misses 2-pt layup at rim,81-74, ,,3,81,74,7,1852.0
5:07.0,Offensive rebound by J. Brown,81-74, ,,3,81,74,7,1853.0
5:07.0,J. Brown makes 2-pt layup at rim,83-74, ,,3,83,74,9,1853.0
4:44.0, ,83-76,A. Davis makes 2-pt hook shot from 5 ft,,3,83,76,7,1876.0
4:33.0,Turnover by J. Tatum (bad pass; steal by T. Prince),83-76, ,,3,83,76,7,1887.0
4:28.0, ,83-79,A. Reaves makes 3-pt jump shot from 26 ft,,3,83,79,4,1892.0
4:28.0,Boston full timeout,83-79, ,,3,83,79,4,1892.0
4:28.0,S. Hauser enters the game for J. Brown,83-79, ,,3,83,79,4,1892.0
4:28.0,A. Horford enters the game for J. Holiday,83-79, ,,3,83,79,4,1892.0
4:28.0, ,83-79,D. Russell enters the game for L. James,,3,83,79,4,1892.0
4:17.0,J. Tatum makes 2-pt layup from 2 ft (assist by D. White),85-79, ,,3,85,79,6,1903.0
4:00.0, ,85-79,R. Hachimura misses 3-pt jump shot from 23 ft,,3,85,79,6,1920.0
3:57.0,Defensive rebound by S. Hauser,85-79, ,,3,85,79,6,1923.0
3:46.0,J. Tatum misses 2-pt jump shot from 5 ft,85-79, ,,3,85,79,6,1934.0
3:44.0, ,85-79,Defensive rebound by A. Davis,,3,85,79,6,1936.0
3:31.0, ,85-79,A. Reaves misses 2-pt layup from 6 ft (block by D. White),,3,85,79,6,1949.0
3:29.0,Defensive rebound by A. Horford,85-79, ,,3,85,79,6,1951.0
3:16.0,Personal foul by A. Davis (drawn by K. Porziņģis),85-79, ,,3,85,79,6,1964.0
3:16.0,K. Porziņģis makes free throw 1 of 2,86-79, ,,3,86,79,7,1964.0
3:16.0,K. Porziņģis makes free throw 2 of 2,87-79, ,,3,87,79,8,1964.0
3:05.0, ,87-81,D. Russell makes 2-pt jump shot from 21 ft,,3,87,81,6,1975.0
2:49.0,J. Tatum misses 3-pt jump shot from 27 ft,87-81, ,,3,87,81,6,1991.0
2:46.0, ,87-81,Defensive rebound by D. Russell,,3,87,81,6,1994.0
2:41.0, ,87-81,D. Russell misses 2-pt jump shot from 15 ft,,3,87,81,6,1999.0
2:38.0,Defensive rebound by J. Tatum,87-81, ,,3,87,81,6,2002.0
2:32.0,S. Hauser makes 2-pt layup from 3 ft (assist by J. Tatum),89-81, ,,3,89,81,8,2008.0
2:16.0, ,89-81,Shooting foul by A. Horford (drawn by A. Davis),,3,89,81,8,2024.0
2:16.0, ,89-82,A. Davis makes free throw 1 of 2,,3,89,82,7,2024.0
2:16.0, ,89-82,C. Reddish enters the game for T. Prince,,3,89,82,7,2024.0
2:16.0, ,89-82,A. Davis misses free throw 2 of 2,,3,89,82,7,2024.0
2:14.0,Defensive rebound by J. Tatum,89-82, ,,3,89,82,7,2026.0
2:09.0,A. Horford makes 3-pt jump shot from 28 ft (assist by D. White),92-82, ,,3,92,82,10,2031.0
1:50.0, ,92-82,A. Reaves misses 2-pt layup from 3 ft,,3,92,82,10,2050.0
1:47.0,Defensive rebound by K. Porziņģis,92-82, ,,3,92,82,10,2053.0
1:42.0,D. White makes 3-pt jump shot from 23 ft (assist by J. Tatum),95-82, ,,3,95,82,13,2058.0
1:25.0, ,95-85,A. Reaves makes 3-pt jump shot from 28 ft (assist by D. Russell),,3,95,85,10,2075.0
1:03.0,D. White misses 2-pt jump shot from 9 ft,95-85, ,,3,95,85,10,2097.0
0:59.0, ,95-85,Defensive rebound by A. Davis,,3,95,85,10,2101.0
0:53.0, ,95-85,A. Davis misses 2-pt layup from 4 ft,,3,95,85,10,2107.0
0:50.0,Defensive rebound by D. White,95-85, ,,3,95,85,10,2110.0
0:47.0,Personal foul by R. Hachimura (drawn by J. Tatum),95-85, ,,3,95,85,10,2113.0
0:47.0,J. Tatum makes free throw 1 of 2,96-85, ,,3,96,85,11,2113.0
0:47.0,P. Pritchard enters the game for K. Porziņģis,96-85, ,,3,96,85,11,2113.0
0:47.0,N. Queta enters the game for D. White,96-85, ,,3,96,85,11,2113.0
0:47.0,J. Tatum makes free throw 2 of 2,97-85, ,,3,97,85,12,2113.0
0:37.0, ,97-87,A. Davis makes 2-pt layup from 2 ft (assist by D. Russell),,3,97,87,10,2123.0
0:37.0, ,97-87,Shooting foul by N. Queta (drawn by A. Davis),,3,97,87,10,2123.0
0:37.0, ,97-88,A. Davis makes free throw 1 of 1,,3,97,88,9,2123.0
0:32.0,Shooting foul by C. Reddish (drawn by J. Tatum),97-88, ,,3,97,88,9,2128.0
0:32.0,J. Tatum makes free throw 1 of 2,98-88, ,,3,98,88,10,2128.0
0:32.0,J. Tatum makes free throw 2 of 2,99-88, ,,3,99,88,11,2128.0
0:21.0, ,99-88,Shooting foul by A. Horford (drawn by A. Davis),,3,99,88,11,2139.0
0:21.0, ,99-89,A. Davis makes free throw 1 of 2,,3,99,89,10,2139.0
0:21.0,J. Holiday enters the game for N. Queta,99-89, ,,3,99,89,10,2139.0
0:21.0, ,99-89,T. Prince enters the game for A. Reaves,,3,99,89,10,2139.0
0:21.0, ,99-89,J. Vanderbilt enters the game for D. Russell,,3,99,89,10,2139.0
0:21.0, ,99-90,A. Davis makes free throw 2 of 2,,3,99,90,9,2139.0
0:01.0,J. Tatum misses 3-pt jump shot from 28 ft,99-90, ,,3,99,90,9,2159.0
0:00.0,Offensive rebound by Team,99-90, ,,3,99,90,9,2160.0
0:00.0,End of 3rd quarter,99-90,,,3,99,90,9,2160.0
12:00.0,Start of 4th quarter,99-90,,,4,99,90,9,2160.0
11:44.0,J. Brown misses 3-pt jump shot from 26 ft,99-90, ,,4,99,90,9,2176.0
11:40.0, ,99-90,Defensive rebound by J. Vanderbilt,,4,99,90,9,2180.0
11:26.0, ,99-90,L. James misses 2-pt layup from 2 ft,,4,99,90,9,2194.0
11:23.0,Defensive rebound by A. Horford,99-90, ,,4,99,90,9,2197.0
11:20.0,Shooting foul by T. Prince (drawn by J. Brown),99-90, ,,4,99,90,9,2200.0
11:20.0,J. Brown misses free throw 1 of 2,99-90, ,,4,99,90,9,2200.0
11:20.0,Offensive rebound by Team,99-90, ,,4,99,90,9,2200.0
11:20.0,J. Brown makes free throw 2 of 2,100-90, ,,4,100,90,10,2200.0
10:59.0, ,100-92,L. James makes 2-pt hook shot from 5 ft,,4,100,92,8,2221.0
10:47.0,Turnover by J. Brown (out of bounds lost ball),100-92, ,,4,100,92,8,2233.0
10:25.0, ,100-92,J. Hayes misses 2-pt dunk from 4 ft (block by J. Holiday),,4,100,92,8,2255.0
10:22.0,Defensive rebound by A. Horford,100-92, ,,4,100,92,8,2258.0
10:18.0,P. Pritchard misses 3-pt jump shot from 23 ft,100-92, ,,4,100,92,8,2262.0
10:13.0,Offensive rebound by S. Hauser,100-92, ,,4,100,92,8,2267.0
10:06.0,Turnover by J. Holiday (bad pass; steal by D. Russell),100-92, ,,4,100,92,8,2274.0
10:02.0, ,100-92,Turnover by D. Russell (bad pass; steal by J. Brown),,4,100,92,8,2278.0
9:57.0,S. Hauser misses 3-pt jump shot from 25 ft,100-92, ,,4,100,92,8,2283.0
9:52.0, ,100-92,Defensive rebound by J. Vanderbilt,,4,100,92,8,2288.0
9:46.0, ,100-92,L. James misses 3-pt jump shot from 25 ft,,4,100,92,8,2294.0
9:42.0,Defensive rebound by A. Horford,100-92, ,,4,100,92,8,2298.0
9:33.0,J. Holiday makes 2-pt hook shot from 4 ft (assist by J. Brown),102-92, ,,4,102,92,10,2307.0
9:19.0, ,102-94,D. Russell makes 2-pt jump shot from 17 ft,,4,102,94,8,2321.0
8:54.0,J. Holiday misses 2-pt jump shot from 16 ft,102-94, ,,4,102,94,8,2346.0
8:52.0, ,102-94,Defensive rebound by J. Hayes,,4,102,94,8,2348.0
8:37.0, ,102-94,T. Prince misses 3-pt jump shot from 23 ft,,4,102,94,8,2363.0
8:33.0,Defensive rebound by J. Holiday,102-94, ,,4,102,94,8,2367.0
8:26.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Holiday),105-94, ,,4,105,94,11,2374.0
8:06.0, ,105-94,L. James misses 2-pt layup from 3 ft,,4,105,94,11,2394.0
8:03.0,Defensive rebound by A. Horford,105-94, ,,4,105,94,11,2397.0
7:59.0,S. Hauser misses 3-pt jump shot from 25 ft,105-94, ,,4,105,94,11,2401.0
7:58.0,Offensive rebound by J. Brown,105-94, ,,4,105,94,11,2402.0
7:58.0,J. Brown makes 2-pt layup at rim,107-94, ,,4,107,94,13,2402.0
7:58.0,Shooting foul by D. Russell (drawn by J. Brown),107-94, ,,4,107,94,13,2402.0
7:58.0,K. Porziņģis enters the game for S. Hauser,107-94, ,,4,107,94,13,2402.0
7:58.0,J. Tatum enters the game for A. Horford,107-94, ,,4,107,94,13,2402.0
7:58.0,D. White enters the game for P. Pritchard,107-94, ,,4,107,94,13,2402.0
7:58.0, ,107-94,A. Davis enters the game for J. Hayes,,4,107,94,13,2402.0
7:58.0, ,107-94,A. Reaves enters the game for D. Russell,,4,107,94,13,2402.0
7:58.0,J. Brown misses free throw 1 of 1,107-94, ,,4,107,94,13,2402.0
7:58.0, ,107-94,Defensive rebound by T. Prince,,4,107,94,13,2402.0
7:36.0, ,107-94,Shooting foul by D. White (drawn by L. James),,4,107,94,13,2424.0
7:36.0, ,107-95,L. James makes free throw 1 of 2,,4,107,95,12,2424.0
7:36.0, ,107-96,L. James makes free throw 2 of 2,,4,107,96,11,2424.0
7:19.0,D. White makes 2-pt layup from 4 ft,109-96, ,,4,109,96,13,2441.0
7:02.0, ,109-98,J. Vanderbilt makes 2-pt layup from 1 ft,,4,109,98,11,2458.0
6:49.0,D. White makes 2-pt layup from 2 ft (assist by K. Porziņģis),111-98, ,,4,111,98,13,2471.0
6:30.0, ,111-100,A. Reaves makes 2-pt jump shot from 10 ft,,4,111,100,11,2490.0
6:11.0, ,111-100,Violation by Team (kicked ball),,4,111,100,11,2509.0
6:11.0, ,111-100,LA Lakers full timeout,,4,111,100,11,2509.0
6:11.0, ,111-100,R. Hachimura enters the game for J. Vanderbilt,,4,111,100,11,2509.0
5:57.0,J. Tatum makes 2-pt jump shot from 13 ft (assist by D. White),113-100, ,,4,113,100,13,2523.0
5:37.0, ,113-103,A. Davis makes 3-pt jump shot from 25 ft (assist by L. James),,4,113,103,10,2543.0
5:16.0,K. Porziņģis misses 3-pt jump shot from 26 ft,113-103, ,,4,113,103,10,2564.0
5:15.0, ,113-103,Defensive rebound by Team,,4,113,103,10,2565.0
5:15.0,Loose ball foul by D. White (drawn by A. Reaves),113-103, ,,4,113,103,10,2565.0
4:56.0, ,113-103,Turnover by L. James (bad pass; steal by K. Porziņģis),,4,113,103,10,2584.0
4:50.0,J. Tatum makes 2-pt dunk from 3 ft (assist by D. White),115-103, ,,4,115,103,12,2590.0
4:29.0, ,115-105,A. Davis makes 2-pt hook shot from 8 ft,,4,115,105,10,2611.0
4:12.0,J. Tatum makes 2-pt layup from 4 ft (assist by K. Porziņģis),117-105, ,,4,117,105,12,2628.0
4:01.0, ,117-105,A. Reaves misses 3-pt jump shot from 27 ft,,4,117,105,12,2639.0
3:59.0,Defensive rebound by J. Brown,117-105, ,,4,117,105,12,2641.0
3:43.0,J. Holiday makes 2-pt layup from 3 ft (assist by D. White),119-105, ,,4,119,105,14,2657.0
3:26.0, ,119-107,L. James makes 2-pt layup from 1 ft (assist by A. Reaves),,4,119,107,12,2674.0
3:01.0,D. White misses 2-pt jump shot from 14 ft,119-107, ,,4,119,107,12,2699.0
2:57.0,Offensive rebound by K. Porziņģis,119-107, ,,4,119,107,12,2703.0
2:57.0,K. Porziņģis makes 2-pt dunk at rim,121-107, ,,4,121,107,14,2703.0
2:41.0, ,121-107,Turnover by L. James (lost ball; steal by J. Brown),,4,121,107,14,2719.0
2:40.0,Shooting foul by A. Reaves (drawn by J. Brown),121-107, ,,4,121,107,14,2720.0
2:40.0,Boston full timeout,121-107, ,,4,121,107,14,2720.0
2:40.0, ,121-107,J. Vanderbilt enters the game for L. James,,4,121,107,14,2720.0
2:40.0,J. Brown misses free throw 1 of 2,121-107, ,,4,121,107,14,2720.0
2:40.0,Offensive rebound by Team,121-107, ,,4,121,107,14,2720.0
2:40.0,J. Brown makes free throw 2 of 2,122-107, ,,4,122,107,15,2720.0
2:25.0, ,122-107,Shooting foul by K. Porziņģis (drawn by A. Davis),,4,122,107,15,2735.0
2:25.0, ,122-108,A. Davis makes free throw 1 of 2,,4,122,108,14,2735.0
2:25.0, ,122-109,A. Davis makes free throw 2 of 2,,4,122,109,13,2735.0
2:10.0,J. Tatum misses 3-pt jump shot from 25 ft,122-109, ,,4,122,109,13,2750.0
2:09.0, ,122-109,Defensive rebound by Team,,4,122,109,13,2751.0
1:53.0, ,122-112,R. Hachimura makes 3-pt jump shot from 27 ft (assist by A. Reaves),,4,122,112,10,2767.0
1:29.0,K. Porziņģis misses 2-pt jump shot from 22 ft,122-112, ,,4,122,112,10,2791.0
1:28.0,Offensive rebound by Team,122-112, ,,4,122,112,10,2792.0
1:16.0,K. Porziņģis makes 2-pt jump shot from 20 ft (assist by J. Holiday),124-112, ,,4,124,112,12,2804.0
1:08.0, ,124-115,R. Hachimura makes 3-pt jump shot from 26 ft (assist by A. Davis),,4,124,115,9,2812.0
0:57.0,D. White makes 2-pt dunk from 3 ft (assist by J. Tatum),126-115, ,,4,126,115,11,2823.0
0:39.0, ,126-115,A. Davis misses 3-pt jump shot from 27 ft,,4,126,115,11,2841.0
0:35.0, ,126-115,Offensive rebound by A. Reaves,,4,126,115,11,2845.0
0:33.0, ,126-115,T. Prince misses 3-pt jump shot from 26 ft,,4,126,115,11,2847.0
0:30.0, ,126-115,Offensive rebound by A. Reaves,,4,126,115,11,2850.0
0:28.0, ,126-115,T. Prince misses 3-pt jump shot from 24 ft,,4,126,115,11,2852.0
0:25.0,Defensive rebound by J. Tatum,126-115, ,,4,126,115,11,2855.0
0:03.0,Turnover by D. White (bad pass; steal by A. Reaves),126-115, ,,4,126,115,11,2877.0
0:00.0, ,126-115,T. Prince misses 3-pt jump shot from 30 ft,,4,126,115,11,2880.0
0:00.0, ,126-115,Offensive rebound by Team,,4,126,115,11,2880.0
0:00.0,End of 4th quarter,126-115,,,4,126,115,11,2880.0
