Time,Boston,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Horford vs. R. Holmes (S. Hauser gains possession),0-0,,,1,0,0,0,0.0
11:44.0,Shooting foul by J. Champagnie (drawn by J. Tatum),0-0, ,,1,0,0,0,16.0
11:44.0,J. Tatum makes free throw 1 of 2,1-0, ,,1,1,0,1,16.0
11:44.0,J. Tatum misses free throw 2 of 2,1-0, ,,1,1,0,1,16.0
11:41.0, ,1-0,Defensive rebound by R. Holmes,,1,1,0,1,19.0
11:30.0, ,1-0,C. Kispert misses 3-pt jump shot from 23 ft,,1,1,0,1,30.0
11:26.0,Defensive rebound by J. Tatum,1-0, ,,1,1,0,1,34.0
11:13.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Tatum),4-0, ,,1,4,0,4,47.0
10:59.0, ,4-0,J. Champagnie misses 3-pt jump shot from 24 ft,,1,4,0,4,61.0
10:57.0,Defensive rebound by J. Tatum,4-0, ,,1,4,0,4,63.0
10:53.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by J. Tatum),7-0, ,,1,7,0,7,67.0
10:34.0, ,7-3,J. Champagnie makes 3-pt jump shot from 24 ft (assist by J. Poole),,1,7,3,4,86.0
10:23.0,Offensive foul by A. Horford (drawn by J. Poole),7-3, ,,1,7,3,4,97.0
10:23.0,Turnover by A. Horford (offensive foul),7-3, ,,1,7,3,4,97.0
10:11.0, ,7-5,J. Poole makes 2-pt jump shot from 10 ft,,1,7,5,2,109.0
9:50.0,J. Tatum makes 3-pt jump shot from 23 ft,10-5, ,,1,10,5,5,130.0
9:39.0, ,10-8,J. Poole makes 3-pt jump shot from 28 ft,,1,10,8,2,141.0
9:26.0,Turnover by J. Tatum (bad pass; steal by J. Champagnie),10-8, ,,1,10,8,2,154.0
9:21.0, ,10-10,R. Holmes makes 2-pt layup from 2 ft (assist by J. Champagnie),Tie,1,10,10,0,159.0
9:01.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by J. Holiday),13-10, ,,1,13,10,3,179.0
