Time,Boston,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:03.0, ,77-74,Defensive rebound by E. Gordon,,3,77,74,3,1977.0
2:50.0, ,77-74,B. Beal misses 2-pt layup from 3 ft (block by L. Kornet),,3,77,74,3,1990.0
2:50.0, ,77-74,Offensive rebound by Team,,3,77,74,3,1990.0
2:50.0, ,77-74,G. Allen enters the game for B. Beal,,3,77,74,3,1990.0
2:50.0, ,77-74,D. Eubanks enters the game for J. Nurkić,,3,77,74,3,1990.0
2:50.0, ,77-74,D. Roddy enters the game for R. O'Neale,,3,77,74,3,1990.0
2:43.0, ,77-74,D. Roddy misses 3-pt jump shot from 26 ft,,3,77,74,3,1997.0
2:38.0,Defensive rebound by J. Holiday,77-74, ,,3,77,74,3,2002.0
2:30.0,Turnover by J. Holiday (bad pass),77-74, ,,3,77,74,3,2010.0
2:20.0, ,77-74,Turnover by K. Durant (bad pass; steal by P. Pritchard),,3,77,74,3,2020.0
2:16.0,S. Hauser misses 2-pt jump shot from 22 ft,77-74, ,,3,77,74,3,2024.0
2:10.0,Offensive rebound by J. Tatum,77-74, ,,3,77,74,3,2030.0
1:58.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Tatum),80-74, ,,3,80,74,6,2042.0
1:43.0, ,80-74,D. Roddy misses 3-pt jump shot from 25 ft,,3,80,74,6,2057.0
1:41.0,Defensive rebound by J. Holiday,80-74, ,,3,80,74,6,2059.0
1:34.0,Shooting foul by D. Roddy (drawn by L. Kornet),80-74, ,,3,80,74,6,2066.0
1:34.0,L. Kornet makes free throw 1 of 2,81-74, ,,3,81,74,7,2066.0
1:34.0,L. Kornet makes free throw 2 of 2,82-74, ,,3,82,74,8,2066.0
1:16.0, ,82-76,K. Durant makes 2-pt jump shot from 14 ft,,3,82,76,6,2084.0
0:56.0,J. Tatum misses 2-pt layup from 3 ft,82-76, ,,3,82,76,6,2104.0
0:55.0,Offensive rebound by L. Kornet,82-76, ,,3,82,76,6,2105.0
0:55.0,L. Kornet makes 2-pt dunk at rim,84-76, ,,3,84,76,8,2105.0
0:40.0, ,84-78,D. Roddy makes 2-pt layup from 4 ft (assist by K. Durant),,3,84,78,6,2120.0
0:34.0,J. Tatum makes 3-pt jump shot from 27 ft,87-78, ,,3,87,78,9,2126.0
0:19.0, ,87-78,K. Durant misses 2-pt jump shot from 14 ft,,3,87,78,9,2141.0
0:15.0, ,87-78,Offensive rebound by D. Roddy,,3,87,78,9,2145.0
0:15.0, ,87-78,D. Roddy misses 2-pt layup at rim,,3,87,78,9,2145.0
0:15.0,Defensive rebound by J. Tatum,87-78, ,,3,87,78,9,2145.0
0:01.0,J. Tatum misses 2-pt jump shot from 16 ft,87-78, ,,3,87,78,9,2159.0
0:00.0,Offensive rebound by Team,87-78, ,,3,87,78,9,2160.0
0:00.0,End of 3rd quarter,87-78,,,3,87,78,9,2160.0
12:00.0,Start of 4th quarter,87-78,,,4,87,78,9,2160.0
11:45.0,P. Pritchard makes 3-pt jump shot from 24 ft (assist by J. Brown),90-78, ,,4,90,78,12,2175.0
11:28.0, ,90-80,B. Beal makes 2-pt layup from 2 ft,,4,90,80,10,2192.0
11:18.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by D. White),93-80, ,,4,93,80,13,2202.0
10:50.0, ,93-82,B. Bol makes 2-pt jump shot from 6 ft (assist by G. Allen),,4,93,82,11,2230.0
10:30.0,J. Tatum misses 3-pt jump shot from 25 ft,93-82, ,,4,93,82,11,2250.0
10:30.0,Offensive rebound by Team,93-82, ,,4,93,82,11,2250.0
10:30.0, ,93-82,Loose ball foul by D. Eubanks (drawn by L. Kornet),,4,93,82,11,2250.0
10:23.0,L. Kornet makes 2-pt dunk from 2 ft (assist by J. Brown),95-82, ,,4,95,82,13,2257.0
10:23.0, ,95-82,Phoenix full timeout,,4,95,82,13,2257.0
10:23.0, ,95-82,R. O'Neale enters the game for D. Eubanks,,4,95,82,13,2257.0
10:07.0, ,95-82,G. Allen misses 2-pt layup from 3 ft,,4,95,82,13,2273.0
10:02.0, ,95-82,Offensive rebound by B. Bol,,4,95,82,13,2278.0
10:02.0, ,95-84,B. Bol makes 2-pt layup at rim,,4,95,84,11,2278.0
9:51.0,Shooting foul by B. Beal (drawn by J. Brown),95-84, ,,4,95,84,11,2289.0
9:51.0,J. Brown makes free throw 1 of 3,96-84, ,,4,96,84,12,2289.0
9:51.0,J. Brown makes free throw 2 of 3,97-84, ,,4,97,84,13,2289.0
9:51.0,J. Brown makes free throw 3 of 3,98-84, ,,4,98,84,14,2289.0
9:38.0, ,98-86,B. Beal makes 2-pt jump shot from 10 ft,,4,98,86,12,2302.0
9:19.0,J. Tatum makes 3-pt jump shot from 28 ft,101-86, ,,4,101,86,15,2321.0
9:01.0, ,101-88,B. Bol makes 2-pt jump shot from 13 ft (assist by E. Gordon),,4,101,88,13,2339.0
8:34.0,J. Tatum misses 2-pt jump shot from 13 ft,101-88, ,,4,101,88,13,2366.0
8:32.0,Offensive rebound by J. Tatum,101-88, ,,4,101,88,13,2368.0
8:31.0,J. Tatum misses 2-pt layup from 12 ft,101-88, ,,4,101,88,13,2369.0
8:31.0,Offensive rebound by J. Tatum,101-88, ,,4,101,88,13,2369.0
8:28.0,J. Tatum misses 2-pt layup at rim,101-88, ,,4,101,88,13,2372.0
8:27.0, ,101-88,Defensive rebound by G. Allen,,4,101,88,13,2373.0
8:20.0, ,101-88,B. Bol misses 3-pt jump shot from 25 ft,,4,101,88,13,2380.0
8:19.0,Defensive rebound by Team,101-88, ,,4,101,88,13,2381.0
8:19.0,A. Horford enters the game for L. Kornet,101-88, ,,4,101,88,13,2381.0
8:19.0, ,101-88,K. Durant enters the game for B. Bol,,4,101,88,13,2381.0
8:06.0,J. Brown makes 2-pt layup from 7 ft (assist by J. Tatum),103-88, ,,4,103,88,15,2394.0
7:49.0, ,103-91,K. Durant makes 3-pt jump shot from 26 ft (assist by E. Gordon),,4,103,91,12,2411.0
7:35.0,Turnover by J. Tatum (bad pass),103-91, ,,4,103,91,12,2425.0
7:27.0, ,103-91,Turnover by K. Durant (bad pass; steal by J. Tatum),,4,103,91,12,2433.0
7:22.0,Turnover by J. Tatum (bad pass),103-91, ,,4,103,91,12,2438.0
7:22.0,J. Holiday enters the game for P. Pritchard,103-91, ,,4,103,91,12,2438.0
7:12.0, ,103-91,R. O'Neale misses 3-pt jump shot from 26 ft,,4,103,91,12,2448.0
7:10.0,Defensive rebound by J. Tatum,103-91, ,,4,103,91,12,2450.0
6:58.0,J. Brown misses 3-pt jump shot from 27 ft,103-91, ,,4,103,91,12,2462.0
6:54.0, ,103-91,Defensive rebound by B. Beal,,4,103,91,12,2466.0
6:49.0, ,103-94,R. O'Neale makes 3-pt jump shot from 25 ft (assist by K. Durant),,4,103,94,9,2471.0
6:48.0,Boston full timeout,103-94, ,,4,103,94,9,2472.0
6:26.0,J. Brown makes 2-pt layup from 4 ft (assist by J. Tatum),105-94, ,,4,105,94,11,2494.0
6:00.0, ,105-94,Turnover by Team (shot clock),,4,105,94,11,2520.0
5:37.0,A. Horford misses 3-pt jump shot from 23 ft,105-94, ,,4,105,94,11,2543.0
5:36.0, ,105-94,Defensive rebound by K. Durant,,4,105,94,11,2544.0
5:24.0, ,105-94,R. O'Neale misses 2-pt layup from 5 ft,,4,105,94,11,2556.0
5:23.0, ,105-94,Offensive rebound by Team,,4,105,94,11,2557.0
5:18.0, ,105-97,K. Durant makes 3-pt jump shot from 27 ft (assist by R. O'Neale),,4,105,97,8,2562.0
4:55.0,J. Tatum makes 2-pt dunk from 2 ft,107-97, ,,4,107,97,10,2585.0
4:38.0, ,107-99,K. Durant makes 2-pt jump shot from 16 ft,,4,107,99,8,2602.0
4:09.0,J. Brown misses 2-pt jump shot from 11 ft,107-99, ,,4,107,99,8,2631.0
4:06.0, ,107-99,Defensive rebound by R. O'Neale,,4,107,99,8,2634.0
3:55.0, ,107-101,K. Durant makes 2-pt jump shot from 18 ft,,4,107,101,6,2645.0
3:55.0, ,107-101,Shooting foul by A. Horford (drawn by K. Durant),,4,107,101,6,2645.0
3:55.0, ,107-102,K. Durant makes free throw 1 of 1,,4,107,102,5,2645.0
3:37.0,Turnover by D. White (lost ball; steal by B. Beal),107-102, ,,4,107,102,5,2663.0
3:33.0, ,107-102,K. Durant misses 3-pt jump shot from 25 ft,,4,107,102,5,2667.0
3:31.0,Defensive rebound by J. Brown,107-102, ,,4,107,102,5,2669.0
3:31.0,Boston full timeout,107-102, ,,4,107,102,5,2669.0
3:20.0,Shooting foul by B. Beal (drawn by J. Brown),107-102, ,,4,107,102,5,2680.0
3:20.0,J. Brown misses free throw 1 of 2,107-102, ,,4,107,102,5,2680.0
3:20.0,Offensive rebound by Team,107-102, ,,4,107,102,5,2680.0
3:20.0,J. Brown misses free throw 2 of 2,107-102, ,,4,107,102,5,2680.0
3:16.0, ,107-102,Defensive rebound by K. Durant,,4,107,102,5,2684.0
2:57.0, ,107-102,K. Durant misses 3-pt jump shot from 25 ft,,4,107,102,5,2703.0
2:55.0,Defensive rebound by D. White,107-102, ,,4,107,102,5,2705.0
2:35.0,J. Tatum misses 2-pt jump shot from 13 ft,107-102, ,,4,107,102,5,2725.0
2:31.0, ,107-102,Defensive rebound by K. Durant,,4,107,102,5,2729.0
2:13.0, ,107-102,E. Gordon misses 3-pt jump shot from 23 ft,,4,107,102,5,2747.0
2:10.0,Defensive rebound by D. White,107-102, ,,4,107,102,5,2750.0
1:54.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Holiday),110-102, ,,4,110,102,8,2766.0
1:54.0, ,110-102,Phoenix full timeout,,4,110,102,8,2766.0
1:54.0, ,110-102,J. Nurkić enters the game for E. Gordon,,4,110,102,8,2766.0
1:43.0, ,110-102,Turnover by K. Durant (out of bounds lost ball),,4,110,102,8,2777.0
1:43.0,Boston full timeout,110-102, ,,4,110,102,8,2777.0
1:43.0,Instant Replay (Challenge: Ruling Stands),110-102, ,,4,110,102,8,2777.0
1:27.0,J. Tatum makes 2-pt layup from 1 ft,112-102, ,,4,112,102,10,2793.0
1:12.0, ,112-104,K. Durant makes 2-pt dunk from 1 ft,,4,112,104,8,2808.0
1:01.0,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Brown),114-104, ,,4,114,104,10,2819.0
0:39.0, ,114-106,G. Allen makes 2-pt dunk from 2 ft (assist by B. Beal),,4,114,106,8,2841.0
0:22.0,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),116-106, ,,4,116,106,10,2858.0
0:22.0,Shooting foul by K. Durant (drawn by J. Tatum),116-106, ,,4,116,106,10,2858.0
0:22.0,J. Davison enters the game for J. Brown,116-106, ,,4,116,106,10,2858.0
0:22.0,S. Hauser enters the game for J. Holiday,116-106, ,,4,116,106,10,2858.0
0:22.0,P. Pritchard enters the game for A. Horford,116-106, ,,4,116,106,10,2858.0
0:22.0,J. Springer enters the game for D. White,116-106, ,,4,116,106,10,2858.0
0:22.0, ,116-106,S. Lee enters the game for B. Beal,,4,116,106,10,2858.0
0:22.0, ,116-106,D. Roddy enters the game for K. Durant,,4,116,106,10,2858.0
0:22.0,J. Tatum makes free throw 1 of 1,117-106, ,,4,117,106,11,2858.0
0:14.0, ,117-106,D. Roddy misses 3-pt jump shot from 23 ft,,4,117,106,11,2866.0
0:12.0, ,117-106,Offensive rebound by S. Lee,,4,117,106,11,2868.0
0:11.0, ,117-106,Shooting foul by J. Springer (drawn by S. Lee),,4,117,106,11,2869.0
0:11.0, ,117-106,S. Lee misses free throw 1 of 2,,4,117,106,11,2869.0
0:11.0, ,117-106,Offensive rebound by Team,,4,117,106,11,2869.0
0:11.0, ,117-107,S. Lee makes free throw 2 of 2,,4,117,107,10,2869.0
0:00.0,End of 4th quarter,117-107,,,4,117,107,10,2880.0
