Time,Boston,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:55.0, ,5-10,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),,1,5,10,-5,185.0
8:35.0,D. White misses 3-pt jump shot from 26 ft,5-10, ,,1,5,10,-5,205.0
8:32.0, ,5-10,Defensive rebound by G. Antetokounmpo,,1,5,10,-5,208.0
8:25.0, ,5-13,B. Lopez makes 3-pt jump shot from 29 ft (assist by K. Middleton),,1,5,13,-8,215.0
8:05.0,J. Tatum misses 2-pt jump shot from 16 ft,5-13, ,,1,5,13,-8,235.0
8:05.0, ,5-13,Defensive rebound by Team,,1,5,13,-8,235.0
7:53.0, ,5-13,Turnover by D. Lillard (bad pass),,1,5,13,-8,247.0
7:44.0,J. Brown misses 2-pt jump shot from 11 ft,5-13, ,,1,5,13,-8,256.0
7:41.0, ,5-13,Defensive rebound by K. Middleton,,1,5,13,-8,259.0
7:36.0, ,5-13,Turnover by K. Middleton (bad pass),,1,5,13,-8,264.0
7:19.0,X. Tillman misses 2-pt layup from 4 ft (block by B. Lopez),5-13, ,,1,5,13,-8,281.0
7:18.0, ,5-13,Defensive rebound by B. Lopez,,1,5,13,-8,282.0
7:16.0, ,5-13,Turnover by G. Antetokounmpo (lost ball; steal by J. Brown),,1,5,13,-8,284.0
7:11.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Brown),8-13, ,,1,8,13,-5,289.0
6:49.0, ,8-15,P. Beverley makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,1,8,15,-7,311.0
6:41.0,J. Holiday makes 3-pt jump shot from 23 ft,11-15, ,,1,11,15,-4,319.0
6:23.0, ,11-18,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,1,11,18,-7,337.0
6:02.0,J. Tatum misses 2-pt layup from 1 ft (block by B. Lopez),11-18, ,,1,11,18,-7,358.0
6:00.0, ,11-18,Defensive rebound by G. Antetokounmpo,,1,11,18,-7,360.0
5:47.0, ,11-21,K. Middleton makes 3-pt jump shot from 24 ft (assist by P. Beverley),,1,11,21,-10,373.0
5:36.0,J. Holiday misses 3-pt jump shot from 28 ft,11-21, ,,1,11,21,-10,384.0
5:33.0, ,11-21,Defensive rebound by K. Middleton,,1,11,21,-10,387.0
5:25.0, ,11-24,D. Lillard makes 3-pt jump shot from 29 ft (assist by K. Middleton),,1,11,24,-13,395.0
5:02.0,X. Tillman misses 3-pt jump shot from 26 ft,11-24, ,,1,11,24,-13,418.0
4:58.0, ,11-24,Defensive rebound by K. Middleton,,1,11,24,-13,422.0
4:48.0, ,11-26,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,1,11,26,-15,432.0
4:23.0,J. Brown misses 3-pt jump shot from 25 ft,11-26, ,,1,11,26,-15,457.0
4:21.0,Offensive rebound by J. Holiday,11-26, ,,1,11,26,-15,459.0
4:21.0, ,11-26,Milwaukee full timeout,,1,11,26,-15,459.0
4:21.0,S. Hauser enters the game for J. Holiday,11-26, ,,1,11,26,-15,459.0
4:21.0,L. Kornet enters the game for J. Tatum,11-26, ,,1,11,26,-15,459.0
4:21.0,P. Pritchard enters the game for X. Tillman,11-26, ,,1,11,26,-15,459.0
4:21.0, ,11-26,B. Portis enters the game for G. Antetokounmpo,,1,11,26,-15,459.0
4:10.0,P. Pritchard misses 2-pt jump shot from 12 ft (block by D. Lillard),11-26, ,,1,11,26,-15,470.0
4:09.0,Offensive rebound by Team,11-26, ,,1,11,26,-15,471.0
4:07.0,L. Kornet makes 3-pt jump shot from 26 ft (assist by D. White),14-26, ,,1,14,26,-12,473.0
3:45.0, ,14-26,Turnover by K. Middleton (lost ball; steal by P. Pritchard),,1,14,26,-12,495.0
3:28.0,J. Brown misses 2-pt layup from 1 ft,14-26, ,,1,14,26,-12,512.0
3:25.0, ,14-26,Defensive rebound by B. Lopez,,1,14,26,-12,515.0
3:13.0, ,14-28,P. Beverley makes 2-pt layup from 1 ft (assist by B. Portis),,1,14,28,-14,527.0
3:00.0,S. Hauser misses 3-pt jump shot from 27 ft,14-28, ,,1,14,28,-14,540.0
2:57.0, ,14-28,Defensive rebound by P. Beverley,,1,14,28,-14,543.0
2:42.0, ,14-28,B. Portis misses 2-pt jump shot from 15 ft,,1,14,28,-14,558.0
2:39.0,Defensive rebound by L. Kornet,14-28, ,,1,14,28,-14,561.0
2:36.0,D. White makes 3-pt jump shot from 28 ft (assist by J. Brown),17-28, ,,1,17,28,-11,564.0
2:23.0, ,17-28,D. Lillard misses 2-pt jump shot from 4 ft,,1,17,28,-11,577.0
2:21.0,Defensive rebound by S. Hauser,17-28, ,,1,17,28,-11,579.0
2:09.0,Turnover by J. Brown (out of bounds lost ball),17-28, ,,1,17,28,-11,591.0
2:09.0,Boston full timeout,17-28, ,,1,17,28,-11,591.0
2:09.0, ,17-28,G. Antetokounmpo enters the game for P. Beverley,,1,17,28,-11,591.0
2:09.0, ,17-28,M. Beasley enters the game for B. Lopez,,1,17,28,-11,591.0
2:09.0, ,17-28,P. Connaughton enters the game for K. Middleton,,1,17,28,-11,591.0
1:57.0, ,17-31,B. Portis makes 3-pt jump shot from 29 ft (assist by D. Lillard),,1,17,31,-14,603.0
1:47.0,J. Brown misses 2-pt jump shot from 9 ft,17-31, ,,1,17,31,-14,613.0
1:44.0, ,17-31,Defensive rebound by P. Connaughton,,1,17,31,-14,616.0
1:29.0, ,17-34,D. Lillard makes 3-pt jump shot from 32 ft,,1,17,34,-17,631.0
1:13.0,P. Pritchard misses 3-pt jump shot from 27 ft,17-34, ,,1,17,34,-17,647.0
1:10.0, ,17-34,Defensive rebound by B. Portis,,1,17,34,-17,650.0
1:00.0, ,17-36,B. Portis makes 2-pt jump shot from 13 ft (assist by D. Lillard),,1,17,36,-19,660.0
0:42.0,J. Brown misses 3-pt jump shot from 24 ft,17-36, ,,1,17,36,-19,678.0
0:40.0,Offensive rebound by S. Hauser,17-36, ,,1,17,36,-19,680.0
0:35.0,J. Brown makes 2-pt jump shot from 5 ft (assist by S. Hauser),19-36, ,,1,19,36,-17,685.0
0:21.0, ,19-36,G. Antetokounmpo misses 2-pt layup from 3 ft,,1,19,36,-17,699.0
0:20.0, ,19-36,Offensive rebound by G. Antetokounmpo,,1,19,36,-17,700.0
0:19.0, ,19-36,Shooting foul by L. Kornet (drawn by G. Antetokounmpo),,1,19,36,-17,701.0
0:19.0, ,19-37,G. Antetokounmpo makes free throw 1 of 2,,1,19,37,-18,701.0
0:19.0,J. Tatum enters the game for L. Kornet,19-37, ,,1,19,37,-18,701.0
0:19.0, ,19-37,A. Jackson enters the game for D. Lillard,,1,19,37,-18,701.0
0:19.0, ,19-37,G. Antetokounmpo misses free throw 2 of 2,,1,19,37,-18,701.0
0:16.0,Defensive rebound by J. Brown,19-37, ,,1,19,37,-18,704.0
0:00.0,S. Hauser makes 2-pt layup from 1 ft (assist by D. White),21-37, ,,1,21,37,-16,720.0
0:00.0,End of 1st quarter,21-37,,,1,21,37,-16,720.0
12:00.0,Start of 2nd quarter,21-37,,,2,21,37,-16,720.0
11:38.0,X. Tillman misses 3-pt jump shot from 27 ft,21-37, ,,2,21,37,-16,742.0
11:37.0,Offensive rebound by J. Holiday,21-37, ,,2,21,37,-16,743.0
11:36.0,Turnover by J. Holiday (lost ball; steal by P. Connaughton),21-37, ,,2,21,37,-16,744.0
11:19.0, ,21-39,B. Portis makes 2-pt hook shot from 12 ft,,2,21,39,-18,761.0
11:04.0,S. Hauser misses 3-pt jump shot from 23 ft,21-39, ,,2,21,39,-18,776.0
11:02.0, ,21-39,Defensive rebound by B. Portis,,2,21,39,-18,778.0
