Time,Boston,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. M. Williams (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:43.0,J. Tatum makes 2-pt jump shot from 17 ft,2-0, ,,1,2,0,2,17.0
11:28.0, ,2-0,G. Hayward misses 2-pt jump shot from 7 ft,,1,2,0,2,32.0
11:26.0,Defensive rebound by J. Tatum,2-0, ,,1,2,0,2,34.0
11:15.0,Def 3 sec tech foul by Team,2-0, ,,1,2,0,2,45.0
11:15.0,J. Tatum makes technical free throw,3-0, ,,1,3,0,3,45.0
11:05.0,Turnover by J. Tatum (bad pass; steal by B. Miller),3-0, ,,1,3,0,3,55.0
10:57.0, ,3-0,M. Bridges misses 3-pt jump shot from 26 ft,,1,3,0,3,63.0
10:54.0,Defensive rebound by J. Tatum,3-0, ,,1,3,0,3,66.0
10:45.0,Turnover by J. Tatum (bad pass; steal by G. Hayward),3-0, ,,1,3,0,3,75.0
10:37.0, ,3-0,B. Miller misses 2-pt layup from 4 ft,,1,3,0,3,83.0
10:36.0, ,3-0,Offensive rebound by L. Ball,,1,3,0,3,84.0
10:36.0, ,3-0,L. Ball misses 2-pt layup from 1 ft,,1,3,0,3,84.0
10:35.0,Defensive rebound by J. Tatum,3-0, ,,1,3,0,3,85.0
10:23.0,J. Brown makes 2-pt jump shot from 8 ft,5-0, ,,1,5,0,5,97.0
10:11.0, ,5-2,L. Ball makes 2-pt layup from 2 ft,,1,5,2,3,109.0
10:03.0,J. Holiday misses 2-pt layup from 3 ft,5-2, ,,1,5,2,3,117.0
10:01.0, ,5-2,Defensive rebound by M. Williams,,1,5,2,3,119.0
9:58.0, ,5-5,L. Ball makes 3-pt jump shot from 28 ft,Tie,1,5,5,0,122.0
9:44.0,K. Porziņģis misses 3-pt jump shot from 25 ft,5-5, ,,1,5,5,0,136.0
9:44.0, ,5-5,Defensive rebound by L. Ball,,1,5,5,0,136.0
9:36.0, ,5-5,L. Ball misses 3-pt jump shot from 29 ft,,1,5,5,0,144.0
9:35.0,Defensive rebound by S. Hauser,5-5, ,,1,5,5,0,145.0
9:21.0,J. Brown makes 2-pt layup from 2 ft (assist by J. Holiday),7-5, ,,1,7,5,2,159.0
9:05.0, ,7-5,Shooting foul by S. Hauser (drawn by M. Bridges),,1,7,5,2,175.0
9:05.0, ,7-6,M. Bridges makes free throw 1 of 2,,1,7,6,1,175.0
9:05.0, ,7-7,M. Bridges makes free throw 2 of 2,Tie,1,7,7,0,175.0
8:54.0,J. Tatum misses 3-pt jump shot from 27 ft,7-7, ,,1,7,7,0,186.0
8:51.0, ,7-7,Defensive rebound by M. Bridges,,1,7,7,0,189.0
8:47.0, ,7-7,B. Miller misses 3-pt jump shot from 24 ft,,1,7,7,0,193.0
8:45.0, ,7-7,Offensive rebound by M. Williams,,1,7,7,0,195.0
8:40.0, ,7-9,G. Hayward makes 2-pt layup from 2 ft (assist by M. Bridges),Lead change,1,7,9,-2,200.0
8:28.0,Turnover by J. Brown (bad pass; steal by B. Miller),7-9, ,,1,7,9,-2,212.0
8:25.0, ,7-9,B. Miller misses 2-pt layup from 1 ft (block by J. Holiday),,1,7,9,-2,215.0
8:20.0, ,7-9,Offensive rebound by B. Miller,,1,7,9,-2,220.0
8:12.0, ,7-11,L. Ball makes 2-pt layup at rim,,1,7,11,-4,228.0
7:49.0,J. Tatum makes 2-pt dunk from 2 ft,9-11, ,,1,9,11,-2,251.0
7:42.0, ,9-11,Turnover by M. Bridges (out of bounds lost ball),,1,9,11,-2,258.0
7:25.0,Turnover by J. Holiday (lost ball; steal by M. Williams),9-11, ,,1,9,11,-2,275.0
7:09.0, ,9-11,Shooting foul by K. Porziņģis (drawn by G. Hayward),,1,9,11,-2,291.0
7:09.0, ,9-11,G. Hayward misses free throw 1 of 2,,1,9,11,-2,291.0
7:09.0, ,9-11,Offensive rebound by Team,,1,9,11,-2,291.0
7:09.0, ,9-12,G. Hayward makes free throw 2 of 2,,1,9,12,-3,291.0
6:51.0,J. Brown misses 2-pt jump shot from 13 ft,9-12, ,,1,9,12,-3,309.0
6:49.0, ,9-12,Defensive rebound by M. Williams,,1,9,12,-3,311.0
6:41.0, ,9-12,M. Williams misses 2-pt dunk from 2 ft,,1,9,12,-3,319.0
6:38.0,Defensive rebound by K. Porziņģis,9-12, ,,1,9,12,-3,322.0
6:34.0,Shooting foul by L. Ball (drawn by J. Brown),9-12, ,,1,9,12,-3,326.0
6:34.0, ,9-12,Charlotte full timeout,,1,9,12,-3,326.0
6:34.0,O. Brissett enters the game for J. Holiday,9-12, ,,1,9,12,-3,326.0
6:34.0,P. Pritchard enters the game for J. Tatum,9-12, ,,1,9,12,-3,326.0
6:34.0, ,9-12,P. Washington enters the game for M. Bridges,,1,9,12,-3,326.0
6:34.0,J. Brown makes free throw 1 of 2,10-12, ,,1,10,12,-2,326.0
6:34.0,J. Brown makes free throw 2 of 2,11-12, ,,1,11,12,-1,326.0
6:18.0, ,11-12,M. Williams misses 2-pt jump shot from 2 ft,,1,11,12,-1,342.0
6:16.0,Defensive rebound by K. Porziņģis,11-12, ,,1,11,12,-1,344.0
6:09.0,K. Porziņģis misses 3-pt jump shot from 25 ft,11-12, ,,1,11,12,-1,351.0
6:07.0, ,11-12,Defensive rebound by L. Ball,,1,11,12,-1,353.0
6:04.0, ,11-14,M. Williams makes 2-pt layup from 1 ft (assist by L. Ball),,1,11,14,-3,356.0
5:50.0,K. Porziņģis makes 2-pt jump shot from 6 ft,13-14, ,,1,13,14,-1,370.0
5:37.0, ,13-14,Shooting foul by J. Brown (drawn by G. Hayward),,1,13,14,-1,383.0
5:37.0, ,13-15,G. Hayward makes free throw 1 of 2,,1,13,15,-2,383.0
5:37.0, ,13-15,I. Smith enters the game for L. Ball,,1,13,15,-2,383.0
5:37.0, ,13-16,G. Hayward makes free throw 2 of 2,,1,13,16,-3,383.0
5:22.0,Shooting foul by M. Williams (drawn by K. Porziņģis),13-16, ,,1,13,16,-3,398.0
5:22.0,K. Porziņģis misses free throw 1 of 2,13-16, ,,1,13,16,-3,398.0
5:22.0,Offensive rebound by Team,13-16, ,,1,13,16,-3,398.0
5:22.0,K. Porziņģis misses free throw 2 of 2,13-16, ,,1,13,16,-3,398.0
5:19.0, ,13-16,Defensive rebound by M. Williams,,1,13,16,-3,401.0
5:11.0, ,13-16,B. Miller misses 3-pt jump shot from 26 ft,,1,13,16,-3,409.0
5:08.0, ,13-16,Offensive rebound by M. Williams,,1,13,16,-3,412.0
5:07.0, ,13-16,Turnover by M. Williams (bad pass; steal by P. Pritchard),,1,13,16,-3,413.0
4:56.0,J. Brown makes 2-pt jump shot from 13 ft,15-16, ,,1,15,16,-1,424.0
4:33.0, ,15-16,P. Washington misses 3-pt jump shot from 22 ft,,1,15,16,-1,447.0
4:30.0, ,15-16,Offensive rebound by B. Miller,,1,15,16,-1,450.0
4:26.0, ,15-18,B. Miller makes 2-pt jump shot from 3 ft,,1,15,18,-3,454.0
4:10.0,J. Brown misses 3-pt jump shot from 25 ft,15-18, ,,1,15,18,-3,470.0
4:06.0,Offensive rebound by P. Pritchard,15-18, ,,1,15,18,-3,474.0
3:57.0,Shooting foul by G. Hayward (drawn by O. Brissett),15-18, ,,1,15,18,-3,483.0
3:57.0,O. Brissett misses free throw 1 of 2,15-18, ,,1,15,18,-3,483.0
3:57.0,Offensive rebound by Team,15-18, ,,1,15,18,-3,483.0
3:57.0,O. Brissett makes free throw 2 of 2,16-18, ,,1,16,18,-2,483.0
3:57.0,L. Kornet enters the game for K. Porziņģis,16-18, ,,1,16,18,-2,483.0
3:57.0, ,16-18,M. Bridges enters the game for G. Hayward,,1,16,18,-2,483.0
3:57.0, ,16-18,B. McGowens enters the game for M. Williams,,1,16,18,-2,483.0
3:41.0, ,16-20,I. Smith makes 2-pt layup from 3 ft,,1,16,20,-4,499.0
3:27.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Brown),19-20, ,,1,19,20,-1,513.0
3:03.0, ,19-20,M. Bridges misses 2-pt hook shot from 2 ft,,1,19,20,-1,537.0
3:02.0,Defensive rebound by O. Brissett,19-20, ,,1,19,20,-1,538.0
2:52.0,S. Hauser misses 3-pt jump shot from 23 ft,19-20, ,,1,19,20,-1,548.0
2:50.0, ,19-20,Defensive rebound by B. McGowens,,1,19,20,-1,550.0
2:50.0, ,19-20,Personal foul by O. Brissett (drawn by B. McGowens),,1,19,20,-1,550.0
2:50.0,Boston full timeout,19-20, ,,1,19,20,-1,550.0
2:50.0,J. Holiday enters the game for J. Brown,19-20, ,,1,19,20,-1,550.0
2:50.0,J. Tatum enters the game for S. Hauser,19-20, ,,1,19,20,-1,550.0
2:50.0, ,19-20,L. Ball enters the game for B. Miller,,1,19,20,-1,550.0
2:36.0, ,19-20,B. McGowens misses 3-pt jump shot from 28 ft,,1,19,20,-1,564.0
2:34.0,Defensive rebound by O. Brissett,19-20, ,,1,19,20,-1,566.0
2:21.0,Turnover by J. Holiday (out of bounds lost ball),19-20, ,,1,19,20,-1,579.0
2:05.0, ,19-20,B. McGowens misses 3-pt jump shot from 25 ft,,1,19,20,-1,595.0
2:03.0,Defensive rebound by J. Holiday,19-20, ,,1,19,20,-1,597.0
1:52.0,J. Tatum makes 3-pt jump shot from 25 ft,22-20, ,Lead change,1,22,20,2,608.0
1:39.0, ,22-20,Turnover by L. Ball (bad pass),,1,22,20,2,621.0
1:23.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Tatum),25-20, ,,1,25,20,5,637.0
1:01.0, ,25-23,B. McGowens makes 3-pt jump shot from 24 ft (assist by M. Bridges),,1,25,23,2,659.0
0:49.0,Turnover by J. Holiday (bad pass),25-23, ,,1,25,23,2,671.0
0:34.0, ,25-25,L. Ball makes 2-pt jump shot from 10 ft,Tie,1,25,25,0,686.0
0:31.0,P. Pritchard makes 3-pt jump shot from 26 ft,28-25, ,,1,28,25,3,689.0
0:14.0, ,28-25,Offensive foul by B. McGowens (drawn by L. Kornet),,1,28,25,3,706.0
0:14.0, ,28-25,Turnover by B. McGowens (offensive foul),,1,28,25,3,706.0
0:00.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Tatum),31-25, ,,1,31,25,6,720.0
0:00.0, ,31-25,M. Bridges misses 3-pt jump shot from 77 ft,,1,31,25,6,720.0
0:00.0, ,31-25,Offensive rebound by Team,,1,31,25,6,720.0
0:00.0,End of 1st quarter,31-25,,,1,31,25,6,720.0
12:00.0,Start of 2nd quarter,31-25,,,2,31,25,6,720.0
11:46.0, ,31-25,M. Bridges misses 2-pt layup from 2 ft,,2,31,25,6,734.0
11:44.0,Defensive rebound by J. Tatum,31-25, ,,2,31,25,6,736.0
11:40.0,J. Tatum makes 3-pt jump shot from 25 ft,34-25, ,,2,34,25,9,740.0
11:18.0, ,34-25,B. McGowens misses 3-pt jump shot from 26 ft,,2,34,25,9,762.0
11:15.0,Defensive rebound by O. Brissett,34-25, ,,2,34,25,9,765.0
11:10.0,J. Tatum misses 3-pt jump shot from 22 ft,34-25, ,,2,34,25,9,770.0
11:06.0, ,34-25,Defensive rebound by L. Ball,,2,34,25,9,774.0
11:02.0, ,34-27,P. Washington makes 2-pt layup from 2 ft (assist by L. Ball),,2,34,27,7,778.0
10:45.0,J. Tatum misses 3-pt jump shot from 24 ft,34-27, ,,2,34,27,7,795.0
10:42.0,Offensive rebound by O. Brissett,34-27, ,,2,34,27,7,798.0
10:41.0, ,34-27,Violation by Team (kicked ball),,2,34,27,7,799.0
10:35.0,J. Tatum makes 2-pt dunk from 2 ft,36-27, ,,2,36,27,9,805.0
10:35.0,Shooting foul by J. Thor (drawn by J. Tatum),36-27, ,,2,36,27,9,805.0
10:35.0,J. Tatum makes free throw 1 of 1,37-27, ,,2,37,27,10,805.0
10:17.0, ,37-27,Shooting foul by O. Brissett (drawn by M. Bridges),,2,37,27,10,823.0
10:17.0, ,37-28,M. Bridges makes free throw 1 of 2,,2,37,28,9,823.0
10:17.0, ,37-29,M. Bridges makes free throw 2 of 2,,2,37,29,8,823.0
10:07.0,J. Tatum makes 2-pt jump shot at rim,39-29, ,,2,39,29,10,833.0
9:39.0, ,39-29,P. Washington misses 3-pt jump shot from 26 ft,,2,39,29,10,861.0
9:36.0,Defensive rebound by L. Kornet,39-29, ,,2,39,29,10,864.0
9:23.0,Personal foul by L. Ball (drawn by J. Tatum),39-29, ,,2,39,29,10,877.0
9:19.0,J. Holiday makes 2-pt layup from 1 ft (assist by J. Tatum),41-29, ,,2,41,29,12,881.0
8:57.0, ,41-32,P. Washington makes 3-pt jump shot from 26 ft (assist by B. McGowens),,2,41,32,9,903.0
8:44.0,P. Pritchard makes 2-pt jump shot from 18 ft (assist by J. Holiday),43-32, ,,2,43,32,11,916.0
8:29.0, ,43-32,Turnover by L. Ball (bad pass; steal by P. Pritchard),,2,43,32,11,931.0
8:23.0,P. Pritchard misses 3-pt jump shot from 26 ft,43-32, ,,2,43,32,11,937.0
8:19.0, ,43-32,Defensive rebound by M. Bridges,,2,43,32,11,941.0
8:10.0, ,43-35,L. Ball makes 3-pt jump shot from 30 ft (assist by M. Bridges),,2,43,35,8,950.0
7:50.0,J. Tatum makes 3-pt jump shot from 27 ft,46-35, ,,2,46,35,11,970.0
7:38.0, ,46-35,L. Ball misses 3-pt jump shot from 27 ft,,2,46,35,11,982.0
7:36.0,Defensive rebound by J. Tatum,46-35, ,,2,46,35,11,984.0
7:30.0,L. Kornet makes 2-pt dunk from 2 ft (assist by O. Brissett),48-35, ,,2,48,35,13,990.0
7:30.0, ,48-35,Charlotte full timeout,,2,48,35,13,990.0
7:30.0, ,48-35,Instant Replay,,2,48,35,13,990.0
7:30.0,J. Brown enters the game for O. Brissett,48-35, ,,2,48,35,13,990.0
7:30.0,S. Hauser enters the game for J. Holiday,48-35, ,,2,48,35,13,990.0
7:30.0, ,48-35,G. Hayward enters the game for L. Ball,,2,48,35,13,990.0
7:30.0, ,48-35,B. Miller enters the game for B. McGowens,,2,48,35,13,990.0
7:30.0, ,48-35,I. Smith enters the game for J. Thor,,2,48,35,13,990.0
7:13.0, ,48-35,Personal foul by J. Tatum (drawn by M. Bridges),,2,48,35,13,1007.0
7:02.0, ,48-35,G. Hayward misses 2-pt jump shot from 3 ft,,2,48,35,13,1018.0
6:59.0,Defensive rebound by J. Tatum,48-35, ,,2,48,35,13,1021.0
6:54.0,J. Tatum makes 3-pt jump shot from 26 ft,51-35, ,,2,51,35,16,1026.0
6:37.0, ,51-35,B. Miller misses 2-pt layup from 3 ft,,2,51,35,16,1043.0
6:35.0,Defensive rebound by J. Brown,51-35, ,,2,51,35,16,1045.0
6:30.0,J. Brown misses 2-pt layup from 1 ft (block by B. Miller),51-35, ,,2,51,35,16,1050.0
6:30.0,Offensive rebound by Team,51-35, ,,2,51,35,16,1050.0
6:30.0,K. Porziņģis enters the game for L. Kornet,51-35, ,,2,51,35,16,1050.0
6:30.0, ,51-35,M. Williams enters the game for M. Bridges,,2,51,35,16,1050.0
6:18.0,J. Tatum makes 2-pt jump shot from 15 ft,53-35, ,,2,53,35,18,1062.0
6:05.0, ,53-38,P. Washington makes 3-pt jump shot from 23 ft (assist by I. Smith),,2,53,38,15,1075.0
5:41.0,J. Tatum misses 3-pt jump shot from 26 ft (block by M. Williams),53-38, ,,2,53,38,15,1099.0
5:40.0,Offensive rebound by Team,53-38, ,,2,53,38,15,1100.0
5:40.0,Turnover by Team (shot clock),53-38, ,,2,53,38,15,1100.0
5:29.0, ,53-41,P. Washington makes 3-pt jump shot from 28 ft (assist by G. Hayward),,2,53,41,12,1111.0
5:11.0,J. Brown misses 3-pt jump shot from 26 ft,53-41, ,,2,53,41,12,1129.0
5:09.0, ,53-41,Defensive rebound by M. Williams,,2,53,41,12,1131.0
5:03.0, ,53-41,P. Washington misses 3-pt jump shot from 23 ft,,2,53,41,12,1137.0
5:03.0,Defensive rebound by J. Tatum,53-41, ,,2,53,41,12,1137.0
4:49.0,P. Pritchard makes 2-pt layup from 2 ft,55-41, ,,2,55,41,14,1151.0
4:30.0, ,55-41,Shooting foul by S. Hauser (drawn by M. Williams),,2,55,41,14,1170.0
4:30.0, ,55-42,M. Williams makes free throw 1 of 2,,2,55,42,13,1170.0
4:30.0, ,55-42,M. Bridges enters the game for P. Washington,,2,55,42,13,1170.0
4:30.0, ,55-43,M. Williams makes free throw 2 of 2,,2,55,43,12,1170.0
4:20.0,Shooting foul by B. Miller (drawn by K. Porziņģis),55-43, ,,2,55,43,12,1180.0
4:20.0,K. Porziņģis misses free throw 1 of 2,55-43, ,,2,55,43,12,1180.0
4:20.0,Offensive rebound by Team,55-43, ,,2,55,43,12,1180.0
4:20.0,K. Porziņģis makes free throw 2 of 2,56-43, ,,2,56,43,13,1180.0
4:11.0, ,56-43,G. Hayward misses 2-pt jump shot from 8 ft (block by J. Tatum),,2,56,43,13,1189.0
4:08.0, ,56-43,Offensive rebound by G. Hayward,,2,56,43,13,1192.0
4:01.0, ,56-45,M. Bridges makes 2-pt layup from 2 ft (assist by I. Smith),,2,56,45,11,1199.0
3:51.0,Shooting foul by M. Williams (drawn by J. Tatum),56-45, ,,2,56,45,11,1209.0
3:51.0,J. Tatum makes free throw 1 of 2,57-45, ,,2,57,45,12,1209.0
3:51.0, ,57-45,L. Ball enters the game for I. Smith,,2,57,45,12,1209.0
3:51.0,J. Tatum makes free throw 2 of 2,58-45, ,,2,58,45,13,1209.0
3:42.0, ,58-45,B. Miller misses 2-pt dunk from 3 ft,,2,58,45,13,1218.0
3:42.0,Defensive rebound by Team,58-45, ,,2,58,45,13,1218.0
3:32.0,K. Porziņģis misses 3-pt jump shot from 26 ft,58-45, ,,2,58,45,13,1228.0
3:28.0, ,58-45,Defensive rebound by L. Ball,,2,58,45,13,1232.0
3:26.0, ,58-45,Personal foul by J. Brown (drawn by L. Ball),,2,58,45,13,1234.0
3:20.0, ,58-48,L. Ball makes 3-pt jump shot from 27 ft (assist by M. Williams),,2,58,48,10,1240.0
2:59.0,P. Pritchard misses 3-pt jump shot from 22 ft,58-48, ,,2,58,48,10,1261.0
2:57.0, ,58-48,Defensive rebound by L. Ball,,2,58,48,10,1263.0
2:55.0, ,58-50,B. Miller makes 2-pt dunk from 2 ft (assist by L. Ball),,2,58,50,8,1265.0
2:55.0,Boston full timeout,58-50, ,,2,58,50,8,1265.0
2:55.0,J. Holiday enters the game for P. Pritchard,58-50, ,,2,58,50,8,1265.0
2:40.0,J. Brown misses 2-pt layup from 3 ft (block by L. Ball),58-50, ,,2,58,50,8,1280.0
2:37.0,Offensive rebound by J. Brown,58-50, ,,2,58,50,8,1283.0
2:37.0,Offensive foul by J. Brown (drawn by B. Miller),58-50, ,,2,58,50,8,1283.0
2:37.0,Turnover by J. Brown (offensive foul),58-50, ,,2,58,50,8,1283.0
2:21.0, ,58-52,L. Ball makes 2-pt jump shot from 3 ft,,2,58,52,6,1299.0
2:09.0,J. Holiday makes 2-pt dunk from 2 ft (assist by J. Tatum),60-52, ,,2,60,52,8,1311.0
1:50.0, ,60-54,M. Williams makes 2-pt layup from 2 ft (assist by M. Bridges),,2,60,54,6,1330.0
1:36.0,J. Tatum misses 3-pt jump shot from 24 ft,60-54, ,,2,60,54,6,1344.0
1:33.0, ,60-54,Defensive rebound by B. Miller,,2,60,54,6,1347.0
1:32.0, ,60-54,Turnover by B. Miller (out of bounds lost ball),,2,60,54,6,1348.0
1:32.0, ,60-54,P. Washington enters the game for M. Williams,,2,60,54,6,1348.0
1:17.0,J. Holiday misses 3-pt jump shot from 27 ft,60-54, ,,2,60,54,6,1363.0
1:13.0, ,60-54,Defensive rebound by M. Bridges,,2,60,54,6,1367.0
1:04.0, ,60-54,P. Washington misses 3-pt jump shot from 27 ft,,2,60,54,6,1376.0
1:00.0,Defensive rebound by J. Brown,60-54, ,,2,60,54,6,1380.0
0:54.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Holiday),63-54, ,,2,63,54,9,1386.0
0:39.0, ,63-54,L. Ball misses 2-pt jump shot from 17 ft,,2,63,54,9,1401.0
0:36.0,Defensive rebound by J. Tatum,63-54, ,,2,63,54,9,1404.0
0:31.0,Shooting foul by M. Bridges (drawn by J. Tatum),63-54, ,,2,63,54,9,1409.0
0:31.0,J. Tatum makes free throw 1 of 3,64-54, ,,2,64,54,10,1409.0
0:31.0,J. Tatum makes free throw 2 of 3,65-54, ,,2,65,54,11,1409.0
0:31.0, ,65-54,I. Smith enters the game for L. Ball,,2,65,54,11,1409.0
0:31.0,J. Tatum misses free throw 3 of 3,65-54, ,,2,65,54,11,1409.0
0:28.0, ,65-54,Defensive rebound by M. Bridges,,2,65,54,11,1412.0
0:08.0, ,65-54,M. Bridges misses 3-pt jump shot from 29 ft,,2,65,54,11,1432.0
0:06.0,Defensive rebound by J. Tatum,65-54, ,,2,65,54,11,1434.0
0:00.0,Turnover by J. Tatum (bad pass; steal by P. Washington),65-54, ,,2,65,54,11,1440.0
0:00.0,End of 2nd quarter,65-54,,,2,65,54,11,1440.0
12:00.0,Start of 3rd quarter,65-54,,,3,65,54,11,1440.0
11:50.0, ,65-54,Turnover by G. Hayward (bad pass; steal by J. Holiday),,3,65,54,11,1450.0
11:44.0,J. Holiday misses 3-pt jump shot from 27 ft,65-54, ,,3,65,54,11,1456.0
11:42.0, ,65-54,Defensive rebound by M. Williams,,3,65,54,11,1458.0
11:38.0, ,65-54,Shooting foul by J. Brown (drawn by M. Bridges),,3,65,54,11,1462.0
11:38.0, ,65-55,M. Bridges makes free throw 1 of 2,,3,65,55,10,1462.0
11:38.0, ,65-56,M. Bridges makes free throw 2 of 2,,3,65,56,9,1462.0
11:22.0,K. Porziņģis makes 2-pt layup from 3 ft (assist by J. Holiday),67-56, ,,3,67,56,11,1478.0
11:22.0,Shooting foul by L. Ball (drawn by K. Porziņģis),67-56, ,,3,67,56,11,1478.0
11:22.0,K. Porziņģis makes free throw 1 of 1,68-56, ,,3,68,56,12,1478.0
11:14.0, ,68-56,M. Williams misses 2-pt layup from 4 ft (block by K. Porziņģis),,3,68,56,12,1486.0
11:10.0,Defensive rebound by K. Porziņģis,68-56, ,,3,68,56,12,1490.0
11:04.0,J. Brown misses 3-pt jump shot from 27 ft,68-56, ,,3,68,56,12,1496.0
11:01.0, ,68-56,Defensive rebound by L. Ball,,3,68,56,12,1499.0
10:49.0, ,68-58,M. Williams makes 2-pt jump shot from 4 ft (assist by G. Hayward),,3,68,58,10,1511.0
10:35.0,K. Porziņģis misses 3-pt jump shot from 28 ft,68-58, ,,3,68,58,10,1525.0
10:32.0, ,68-58,Defensive rebound by B. Miller,,3,68,58,10,1528.0
