Time,Boston,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:49.0,Offensive foul by J. Tatum (drawn by K. Lofton),89-86, ,,4,89,86,3,2471.0
6:49.0,Turnover by J. Tatum (offensive foul),89-86, ,,4,89,86,3,2471.0
6:35.0, ,89-86,D. Bane misses 2-pt jump shot from 19 ft,,4,89,86,3,2485.0
6:32.0,Defensive rebound by J. Brown,89-86, ,,4,89,86,3,2488.0
6:25.0,J. Brown misses 3-pt jump shot from 26 ft,89-86, ,,4,89,86,3,2495.0
6:21.0, ,89-86,Defensive rebound by J. Konchar,,4,89,86,3,2499.0
6:13.0, ,89-86,Turnover by J. Jackson (bad pass; steal by J. Brown),,4,89,86,3,2507.0
6:11.0,Shooting foul by J. Jackson (drawn by J. Tatum),89-86, ,,4,89,86,3,2509.0
6:11.0,J. Tatum makes free throw 1 of 2,90-86, ,,4,90,86,4,2509.0
6:11.0,D. White enters the game for S. Hauser,90-86, ,,4,90,86,4,2509.0
6:11.0, ,90-86,S. Aldama enters the game for J. Jackson,,4,90,86,4,2509.0
6:11.0,J. Tatum misses free throw 2 of 2,90-86, ,,4,90,86,4,2509.0
6:09.0, ,90-86,Defensive rebound by S. Aldama,,4,90,86,4,2511.0
5:49.0, ,90-86,S. Aldama misses 3-pt jump shot from 26 ft,,4,90,86,4,2531.0
5:46.0, ,90-86,Offensive rebound by D. Bane,,4,90,86,4,2534.0
5:44.0, ,90-86,D. Bane misses 3-pt jump shot from 25 ft,,4,90,86,4,2536.0
5:44.0, ,90-86,Offensive rebound by S. Aldama,,4,90,86,4,2536.0
5:37.0, ,90-86,Turnover by J. Konchar (lost ball; steal by J. Tatum),,4,90,86,4,2543.0
5:33.0,J. Tatum makes 2-pt dunk from 1 ft (assist by D. White),92-86, ,,4,92,86,6,2547.0
5:24.0, ,92-89,D. Bane makes 3-pt jump shot from 27 ft,,4,92,89,3,2556.0
5:10.0,J. Holiday makes 3-pt jump shot from 26 ft,95-89, ,,4,95,89,6,2570.0
4:49.0, ,95-89,S. Aldama misses 2-pt jump shot from 8 ft (block by J. Brown),,4,95,89,6,2591.0
4:45.0,Defensive rebound by J. Brown,95-89, ,,4,95,89,6,2595.0
4:44.0,Turnover by J. Brown (lost ball; steal by S. Aldama),95-89, ,,4,95,89,6,2596.0
4:41.0, ,95-89,D. Bane misses 3-pt jump shot from 28 ft,,4,95,89,6,2599.0
4:39.0, ,95-89,Offensive rebound by J. Konchar,,4,95,89,6,2601.0
4:37.0, ,95-92,D. Bane makes 3-pt jump shot from 26 ft (assist by J. Konchar),,4,95,92,3,2603.0
4:12.0,Personal foul by V. Williams (drawn by J. Brown),95-92, ,,4,95,92,3,2628.0
4:12.0, ,95-92,J. Jackson enters the game for K. Lofton,,4,95,92,3,2628.0
4:12.0, ,95-92,Z. Williams enters the game for V. Williams,,4,95,92,3,2628.0
4:07.0,D. White makes 3-pt jump shot from 22 ft (assist by J. Holiday),98-92, ,,4,98,92,6,2633.0
3:48.0, ,98-95,S. Aldama makes 3-pt jump shot from 25 ft (assist by J. Konchar),,4,98,95,3,2652.0
3:33.0,Offensive foul by J. Tatum (drawn by Z. Williams),98-95, ,,4,98,95,3,2667.0
3:33.0,Turnover by J. Tatum (offensive foul),98-95, ,,4,98,95,3,2667.0
3:33.0, ,98-95,Memphis full timeout,,4,98,95,3,2667.0
3:11.0, ,98-95,S. Aldama misses 2-pt layup from 2 ft,,4,98,95,3,2689.0
3:05.0, ,98-95,Offensive rebound by Z. Williams,,4,98,95,3,2695.0
3:05.0, ,98-97,Z. Williams makes 2-pt dunk at rim,,4,98,97,1,2695.0
2:48.0,J. Holiday misses 3-pt jump shot from 25 ft,98-97, ,,4,98,97,1,2712.0
2:45.0, ,98-97,Defensive rebound by S. Aldama,,4,98,97,1,2715.0
2:37.0, ,98-97,Personal foul by J. Brown (drawn by S. Aldama),,4,98,97,1,2723.0
2:23.0, ,98-97,S. Aldama misses 2-pt layup from 4 ft (block by K. Porziņģis),,4,98,97,1,2737.0
2:20.0,Defensive rebound by J. Tatum,98-97, ,,4,98,97,1,2740.0
2:04.0,K. Porziņģis misses 3-pt jump shot from 25 ft,98-97, ,,4,98,97,1,2756.0
2:00.0, ,98-97,Defensive rebound by Z. Williams,,4,98,97,1,2760.0
1:48.0, ,98-100,D. Bane makes 3-pt jump shot from 26 ft (assist by J. Jackson),Lead change,4,98,100,-2,2772.0
1:33.0,Shooting foul by S. Aldama (drawn by K. Porziņģis),98-100, ,,4,98,100,-2,2787.0
1:33.0,K. Porziņģis makes free throw 1 of 2,99-100, ,,4,99,100,-1,2787.0
1:33.0,K. Porziņģis makes free throw 2 of 2,100-100, ,Tie,4,100,100,0,2787.0
1:17.0, ,100-100,Turnover by S. Aldama (bad pass; steal by J. Brown),,4,100,100,0,2803.0
1:11.0,Jump ball: D. White vs. D. Bane (J. Tatum gains possession),100-100,,,4,100,100,0,2809.0
1:01.0,K. Porziņģis makes 2-pt dunk at rim (assist by J. Tatum),102-100, ,Lead change,4,102,100,2,2819.0
0:37.0, ,102-100,D. Bane misses 2-pt jump shot from 22 ft,,4,102,100,2,2843.0
0:34.0,Defensive rebound by D. White,102-100, ,,4,102,100,2,2846.0
0:17.0,J. Tatum misses 2-pt jump shot from 22 ft,102-100, ,,4,102,100,2,2863.0
0:14.0,Offensive rebound by D. White,102-100, ,,4,102,100,2,2866.0
0:09.0,J. Holiday misses 2-pt dunk from 1 ft,102-100, ,,4,102,100,2,2871.0
0:07.0, ,102-100,Defensive rebound by Z. Williams,,4,102,100,2,2873.0
0:04.0, ,102-100,S. Aldama misses 3-pt jump shot from 26 ft,,4,102,100,2,2876.0
0:00.0, ,102-100,Offensive rebound by Z. Williams,,4,102,100,2,2880.0
0:00.0, ,102-100,Z. Williams misses 2-pt jump shot from 18 ft (block by K. Porziņģis),,4,102,100,2,2880.0
0:00.0, ,102-100,Offensive rebound by Team,,4,102,100,2,2880.0
0:00.0,End of 4th quarter,102-100,,,4,102,100,2,2880.0
