Time,Houston,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:36.0,Shooting foul by D. White (drawn by J. Smith),6-6, ,,1,6,6,0,144.0
9:36.0,J. Smith makes free throw 1 of 1,7-6, ,Lead change,1,6,7,-1,144.0
9:18.0, ,7-6,Shooting foul by A. Sengun (drawn by K. Porziņģis),,1,6,7,-1,162.0
9:18.0, ,7-7,K. Porziņģis makes free throw 1 of 2,Tie,1,7,7,0,162.0
9:18.0, ,7-8,K. Porziņģis makes free throw 2 of 2,Lead change,1,8,7,1,162.0
9:10.0,Turnover by J. Green (bad pass; steal by J. Brown),7-8, ,,1,8,7,1,170.0
9:04.0, ,7-8,Turnover by J. Brown (bad pass; steal by A. Sengun),,1,8,7,1,176.0
8:51.0,A. Sengun makes 2-pt layup from 6 ft (assist by F. VanVleet),9-8, ,Lead change,1,8,9,-1,189.0
8:37.0, ,9-8,K. Porziņģis misses 2-pt jump shot from 9 ft,,1,8,9,-1,203.0
8:34.0,Defensive rebound by J. Green,9-8, ,,1,8,9,-1,206.0
8:25.0,J. Smith makes 2-pt jump shot from 10 ft (assist by A. Sengun),11-8, ,,1,8,11,-3,215.0
8:12.0, ,11-8,K. Porziņģis misses 3-pt jump shot from 26 ft,,1,8,11,-3,228.0
8:10.0,Defensive rebound by A. Sengun,11-8, ,,1,8,11,-3,230.0
8:03.0,J. Green makes 3-pt jump shot from 26 ft (assist by A. Sengun),14-8, ,,1,8,14,-6,237.0
7:44.0, ,14-8,J. Holiday misses 3-pt jump shot from 25 ft,,1,8,14,-6,256.0
7:43.0,Defensive rebound by A. Sengun,14-8, ,,1,8,14,-6,257.0
7:36.0,Turnover by J. Smith (lost ball; steal by D. White),14-8, ,,1,8,14,-6,264.0
7:33.0, ,14-10,J. Brown makes 2-pt layup from 4 ft,,1,10,14,-4,267.0
7:33.0, ,14-10,Shooting foul by J. Smith (drawn by J. Brown),,1,10,14,-4,267.0
7:33.0, ,14-11,J. Brown makes free throw 1 of 1,,1,11,14,-3,267.0
7:16.0,A. Sengun makes 2-pt layup from 6 ft (assist by J. Smith),16-11, ,,1,11,16,-5,284.0
7:05.0, ,16-14,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by J. Brown),,1,14,16,-2,295.0
6:50.0,F. VanVleet makes 2-pt layup from 4 ft,18-14, ,,1,14,18,-4,310.0
6:50.0, ,18-14,Boston full timeout,,1,14,18,-4,310.0
6:50.0, ,18-14,S. Hauser enters the game for J. Holiday,,1,14,18,-4,310.0
6:50.0, ,18-14,A. Horford enters the game for J. Tatum,,1,14,18,-4,310.0
6:35.0, ,18-14,D. White misses 2-pt jump shot from 15 ft,,1,14,18,-4,325.0
6:32.0,Defensive rebound by J. Green,18-14, ,,1,14,18,-4,328.0
6:20.0,D. Brooks misses 2-pt jump shot from 10 ft,18-14, ,,1,14,18,-4,340.0
6:17.0, ,18-14,Defensive rebound by K. Porziņģis,,1,14,18,-4,343.0
6:12.0, ,18-14,Shooting foul by D. Brooks (drawn by J. Brown),,1,14,18,-4,348.0
6:12.0, ,18-14,J. Brown misses free throw 1 of 2,,1,14,18,-4,348.0
6:12.0, ,18-14,Offensive rebound by Team,,1,14,18,-4,348.0
6:12.0,J. Tate enters the game for J. Smith,18-14, ,,1,14,18,-4,348.0
6:12.0, ,18-15,J. Brown makes free throw 2 of 2,,1,15,18,-3,348.0
6:00.0,J. Green makes 2-pt jump shot from 17 ft,20-15, ,,1,15,20,-5,360.0
5:49.0, ,20-15,D. White misses 2-pt jump shot from 5 ft,,1,15,20,-5,371.0
5:44.0, ,20-15,Offensive rebound by D. White,,1,15,20,-5,376.0
5:38.0, ,20-18,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by A. Horford),,1,18,20,-2,382.0
5:17.0,A. Sengun misses 2-pt layup from 4 ft (block by K. Porziņģis),20-18, ,,1,18,20,-2,403.0
5:15.0, ,20-18,Defensive rebound by S. Hauser,,1,18,20,-2,405.0
5:12.0, ,20-18,Offensive foul by K. Porziņģis (drawn by J. Tate),,1,18,20,-2,408.0
5:12.0, ,20-18,Turnover by K. Porziņģis (offensive foul),,1,18,20,-2,408.0
5:02.0,J. Green misses 2-pt jump shot from 21 ft,20-18, ,,1,18,20,-2,418.0
4:59.0, ,20-18,Defensive rebound by A. Horford,,1,18,20,-2,421.0
4:43.0, ,20-21,D. White makes 3-pt jump shot from 27 ft (assist by K. Porziņģis),Lead change,1,21,20,1,437.0
4:28.0,A. Sengun misses 3-pt jump shot from 26 ft,20-21, ,,1,21,20,1,452.0
4:26.0, ,20-21,Defensive rebound by S. Hauser,,1,21,20,1,454.0
4:20.0, ,20-23,K. Porziņģis makes 2-pt jump shot from 5 ft (assist by D. White),,1,23,20,3,460.0
4:20.0,Houston full timeout,20-23, ,,1,23,20,3,460.0
3:59.0,J. Green misses 3-pt jump shot from 26 ft,20-23, ,,1,23,20,3,481.0
3:56.0, ,20-23,Defensive rebound by J. Brown,,1,23,20,3,484.0
3:49.0, ,20-23,Personal foul by J. Tate (drawn by K. Porziņģis),,1,23,20,3,491.0
3:49.0,A. Thompson enters the game for D. Brooks,20-23, ,,1,23,20,3,491.0
3:49.0,C. Whitmore enters the game for J. Green,20-23, ,,1,23,20,3,491.0
3:42.0, ,20-25,D. White makes 2-pt layup from 5 ft,,1,25,20,5,498.0
3:24.0,C. Whitmore makes 3-pt jump shot from 25 ft (assist by F. VanVleet),23-25, ,,1,25,23,2,516.0
3:05.0, ,23-25,Turnover by K. Porziņģis (lost ball; steal by J. Tate),,1,25,23,2,535.0
2:58.0,F. VanVleet misses 2-pt jump shot from 22 ft,23-25, ,,1,25,23,2,542.0
2:56.0, ,23-25,Defensive rebound by K. Porziņģis,,1,25,23,2,544.0
2:50.0, ,23-25,Shooting foul by F. VanVleet (drawn by J. Brown),,1,25,23,2,550.0
2:50.0, ,23-25,J. Brown misses free throw 1 of 2,,1,25,23,2,550.0
2:50.0, ,23-25,Offensive rebound by Team,,1,25,23,2,550.0
2:50.0,J. Green enters the game for A. Sengun,23-25, ,,1,25,23,2,550.0
2:50.0,J. Smith enters the game for F. VanVleet,23-25, ,,1,25,23,2,550.0
2:50.0, ,23-25,J. Tatum enters the game for D. White,,1,25,23,2,550.0
2:50.0, ,23-26,J. Brown makes free throw 2 of 2,,1,26,23,3,550.0
2:41.0,C. Whitmore makes 3-pt jump shot from 27 ft (assist by J. Green),26-26, ,Tie,1,26,26,0,559.0
2:30.0, ,26-26,J. Brown misses 3-pt jump shot from 27 ft,,1,26,26,0,570.0
2:28.0,Defensive rebound by A. Thompson,26-26, ,,1,26,26,0,572.0
2:21.0,Turnover by J. Tate (bad pass; steal by J. Tatum),26-26, ,,1,26,26,0,579.0
2:18.0, ,26-28,J. Tatum makes 2-pt dunk from 2 ft,,1,28,26,2,582.0
2:03.0,J. Green makes 3-pt jump shot from 23 ft (assist by A. Thompson),29-28, ,Lead change,1,28,29,-1,597.0
1:49.0, ,29-28,S. Hauser misses 3-pt jump shot from 27 ft,,1,28,29,-1,611.0
1:46.0,Defensive rebound by C. Whitmore,29-28, ,,1,28,29,-1,614.0
1:40.0,C. Whitmore misses 3-pt jump shot from 26 ft,29-28, ,,1,28,29,-1,620.0
1:38.0, ,29-28,Defensive rebound by J. Brown,,1,28,29,-1,622.0
1:31.0, ,29-28,Shooting foul by C. Whitmore (drawn by A. Horford),,1,28,29,-1,629.0
1:31.0, ,29-29,A. Horford makes free throw 1 of 2,Tie,1,29,29,0,629.0
1:31.0, ,29-29,P. Pritchard enters the game for J. Brown,,1,29,29,0,629.0
1:31.0, ,29-30,A. Horford makes free throw 2 of 2,Lead change,1,30,29,1,629.0
1:15.0,J. Green makes 2-pt hook shot from 13 ft,31-30, ,Lead change,1,30,31,-1,645.0
0:57.0, ,31-32,J. Tatum makes 2-pt jump shot from 14 ft,Lead change,1,32,31,1,663.0
0:52.0,A. Thompson misses 2-pt layup from 2 ft,31-32, ,,1,32,31,1,668.0
0:49.0, ,31-32,Defensive rebound by J. Tatum,,1,32,31,1,671.0
0:34.0, ,31-32,J. Tatum misses 3-pt jump shot from 28 ft,,1,32,31,1,686.0
0:31.0,Defensive rebound by A. Thompson,31-32, ,,1,32,31,1,689.0
0:15.0,Turnover by J. Smith (lost ball; steal by K. Porziņģis),31-32, ,,1,32,31,1,705.0
0:00.0, ,31-35,J. Tatum makes 3-pt jump shot from 27 ft,,1,35,31,4,720.0
0:00.0, ,31-35,Instant Replay (Request: Ruling Stands),,1,35,31,4,720.0
0:00.0,End of 1st quarter,31-35,,,1,35,31,4,720.0
12:00.0,Start of 2nd quarter,31-35,,,2,35,31,4,720.0
11:47.0,A. Thompson misses 2-pt jump shot from 12 ft,31-35, ,,2,35,31,4,733.0
11:43.0,Offensive rebound by A. Thompson,31-35, ,,2,35,31,4,737.0
11:42.0,A. Thompson misses 2-pt layup at rim,31-35, ,,2,35,31,4,738.0
11:42.0,Offensive rebound by A. Thompson,31-35, ,,2,35,31,4,738.0
11:41.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by A. Thompson),34-35, ,,2,35,34,1,739.0
11:32.0, ,34-35,Personal foul by R. Bullock (drawn by J. Tatum),,2,35,34,1,748.0
11:16.0, ,34-35,L. Kornet misses 2-pt layup from 6 ft,,2,35,34,1,764.0
11:14.0,Defensive rebound by A. Thompson,34-35, ,,2,35,34,1,766.0
11:04.0,Shooting foul by L. Kornet (drawn by J. Green),34-35, ,,2,35,34,1,776.0
11:04.0,J. Green makes free throw 1 of 2,35-35, ,Tie,2,35,35,0,776.0
11:04.0,J. Green makes free throw 2 of 2,36-35, ,Lead change,2,35,36,-1,776.0
10:50.0, ,36-38,P. Pritchard makes 3-pt jump shot from 24 ft (assist by J. Tatum),Lead change,2,38,36,2,790.0
10:27.0,J. Green misses 2-pt jump shot from 21 ft,36-38, ,,2,38,36,2,813.0
10:25.0, ,36-38,Defensive rebound by J. Tatum,,2,38,36,2,815.0
10:15.0, ,36-38,J. Holiday misses 2-pt layup from 4 ft,,2,38,36,2,825.0
10:13.0,Defensive rebound by J. Green,36-38, ,,2,38,36,2,827.0
9:59.0,C. Whitmore misses 3-pt jump shot from 27 ft,36-38, ,,2,38,36,2,841.0
9:57.0, ,36-38,Defensive rebound by J. Holiday,,2,38,36,2,843.0
9:48.0, ,36-38,J. Holiday misses 3-pt jump shot from 26 ft,,2,38,36,2,852.0
9:45.0,Defensive rebound by A. Thompson,36-38, ,,2,38,36,2,855.0
9:40.0,Shooting foul by L. Kornet (drawn by A. Thompson),36-38, ,,2,38,36,2,860.0
9:40.0,A. Thompson makes free throw 1 of 2,37-38, ,,2,38,37,1,860.0
9:40.0,A. Thompson makes free throw 2 of 2,38-38, ,Tie,2,38,38,0,860.0
9:19.0, ,38-41,J. Tatum makes 3-pt jump shot from 26 ft,,2,41,38,3,881.0
9:08.0,Turnover by A. Thompson (out of bounds lost ball),38-41, ,,2,41,38,3,892.0
8:55.0, ,38-41,Turnover by P. Pritchard (bad pass; steal by A. Thompson),,2,41,38,3,905.0
8:47.0,J. Smith makes 2-pt dunk from 1 ft (assist by R. Bullock),40-41, ,,2,41,40,1,913.0
8:39.0, ,40-44,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Tatum),,2,44,40,4,921.0
8:21.0,J. Smith misses 2-pt jump shot from 16 ft,40-44, ,,2,44,40,4,939.0
8:19.0, ,40-44,Defensive rebound by A. Horford,,2,44,40,4,941.0
8:12.0, ,40-47,J. Tatum makes 3-pt jump shot from 28 ft,,2,47,40,7,948.0
8:11.0,Houston full timeout,40-47, ,,2,47,40,7,949.0
8:11.0,A. Sengun enters the game for J. Smith,40-47, ,,2,47,40,7,949.0
8:11.0,F. VanVleet enters the game for A. Thompson,40-47, ,,2,47,40,7,949.0
8:11.0, ,40-47,S. Hauser enters the game for A. Horford,,2,47,40,7,949.0
7:57.0,C. Whitmore makes 2-pt dunk from 1 ft (assist by A. Sengun),42-47, ,,2,47,42,5,963.0
7:37.0, ,42-47,J. Holiday misses 3-pt jump shot from 26 ft,,2,47,42,5,983.0
7:35.0,Defensive rebound by C. Whitmore,42-47, ,,2,47,42,5,985.0
7:20.0,A. Sengun misses 2-pt jump shot from 11 ft,42-47, ,,2,47,42,5,1000.0
7:17.0, ,42-47,Defensive rebound by J. Tatum,,2,47,42,5,1003.0
7:12.0, ,42-49,J. Tatum makes 2-pt jump shot from 21 ft,,2,49,42,7,1008.0
6:54.0,A. Sengun makes 2-pt hook shot from 16 ft (assist by F. VanVleet),44-49, ,,2,49,44,5,1026.0
6:47.0, ,44-49,Personal foul by A. Sengun (drawn by L. Kornet),,2,49,44,5,1033.0
6:47.0,D. Brooks enters the game for R. Bullock,44-49, ,,2,49,44,5,1033.0
6:47.0,J. Green enters the game for C. Whitmore,44-49, ,,2,49,44,5,1033.0
6:47.0, ,44-49,J. Brown enters the game for J. Holiday,,2,49,44,5,1033.0
6:47.0, ,44-49,K. Porziņģis enters the game for L. Kornet,,2,49,44,5,1033.0
6:40.0, ,44-51,J. Tatum makes 2-pt layup from 2 ft (assist by K. Porziņģis),,2,51,44,7,1040.0
6:40.0, ,44-51,Shooting foul by J. Green (drawn by J. Tatum),,2,51,44,7,1040.0
6:40.0, ,44-51,J. Tatum misses free throw 1 of 1,,2,51,44,7,1040.0
6:40.0,Defensive rebound by A. Sengun,44-51, ,,2,51,44,7,1040.0
6:22.0,A. Sengun makes 2-pt hook shot from 1 ft (assist by F. VanVleet),46-51, ,,2,51,46,5,1058.0
6:11.0, ,46-51,Turnover by J. Brown (lost ball; steal by A. Sengun),,2,51,46,5,1069.0
5:59.0,D. Brooks makes 2-pt layup from 2 ft,48-51, ,,2,51,48,3,1081.0
5:54.0, ,48-51,S. Hauser misses 3-pt jump shot from 26 ft,,2,51,48,3,1086.0
5:48.0,Defensive rebound by J. Green,48-51, ,,2,51,48,3,1092.0
5:45.0,Shooting foul by J. Brown (drawn by J. Green),48-51, ,,2,51,48,3,1095.0
5:45.0,J. Green makes free throw 1 of 2,49-51, ,,2,51,49,2,1095.0
5:45.0, ,49-51,Boston full timeout,,2,51,49,2,1095.0
5:45.0,J. Smith enters the game for J. Green,49-51, ,,2,51,49,2,1095.0
5:45.0, ,49-51,J. Holiday enters the game for S. Hauser,,2,51,49,2,1095.0
5:45.0, ,49-51,D. White enters the game for P. Pritchard,,2,51,49,2,1095.0
5:45.0,J. Green makes free throw 2 of 2,50-51, ,,2,51,50,1,1095.0
5:29.0, ,50-54,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Tatum),,2,54,50,4,1111.0
5:19.0,Personal foul by J. Brown (drawn by J. Green),50-54, ,,2,54,50,4,1121.0
5:06.0,D. Brooks misses 2-pt layup from 7 ft,50-54, ,,2,54,50,4,1134.0
5:03.0, ,50-54,Defensive rebound by D. White,,2,54,50,4,1137.0
4:59.0, ,50-54,Shooting foul by F. VanVleet (drawn by J. Holiday),,2,54,50,4,1141.0
4:59.0, ,50-55,J. Holiday makes free throw 1 of 2,,2,55,50,5,1141.0
4:59.0, ,50-56,J. Holiday makes free throw 2 of 2,,2,56,50,6,1141.0
4:48.0,J. Smith misses 3-pt jump shot from 25 ft,50-56, ,,2,56,50,6,1152.0
4:44.0, ,50-56,Defensive rebound by J. Brown,,2,56,50,6,1156.0
4:25.0, ,50-56,Boston full timeout,,2,56,50,6,1175.0
4:25.0, ,50-56,Instant Replay (Challenge: Ruling Stands),,2,56,50,6,1175.0
4:22.0, ,50-59,D. White makes 3-pt jump shot from 24 ft (assist by J. Holiday),,2,59,50,9,1178.0
3:59.0,A. Sengun misses 2-pt jump shot from 12 ft,50-59, ,,2,59,50,9,1201.0
3:57.0, ,50-59,Defensive rebound by J. Tatum,,2,59,50,9,1203.0
3:48.0, ,50-59,Turnover by J. Holiday (bad pass; steal by A. Sengun),,2,59,50,9,1212.0
3:43.0,D. Brooks makes 2-pt dunk at rim (assist by J. Green),52-59, ,,2,59,52,7,1217.0
3:17.0, ,52-62,D. White makes 3-pt jump shot from 24 ft (assist by K. Porziņģis),,2,62,52,10,1243.0
2:52.0,A. Sengun misses 2-pt layup from 3 ft,52-62, ,,2,62,52,10,1268.0
2:50.0,Offensive rebound by A. Sengun,52-62, ,,2,62,52,10,1270.0
2:49.0,A. Sengun makes 2-pt dunk from 1 ft,54-62, ,,2,62,54,8,1271.0
2:40.0, ,54-62,Personal foul by D. Brooks (drawn by J. Tatum),,2,62,54,8,1280.0
2:40.0, ,54-62,A. Horford enters the game for K. Porziņģis,,2,62,54,8,1280.0
2:40.0, ,54-62,J. Tatum misses free throw 1 of 2,,2,62,54,8,1280.0
2:40.0, ,54-62,Offensive rebound by Team,,2,62,54,8,1280.0
2:40.0, ,54-63,J. Tatum makes free throw 2 of 2,,2,63,54,9,1280.0
2:40.0,Technical foul by D. Brooks,54-63, ,,2,63,54,9,1280.0
2:40.0, ,54-64,J. Tatum makes technical free throw,,2,64,54,10,1280.0
2:29.0,Personal foul by J. Holiday (drawn by A. Sengun),54-64, ,,2,64,54,10,1291.0
2:29.0,A. Sengun makes free throw 1 of 2,55-64, ,,2,64,55,9,1291.0
2:29.0,A. Sengun makes free throw 2 of 2,56-64, ,,2,64,56,8,1291.0
2:12.0, ,56-67,J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Brown),,2,67,56,11,1308.0
1:58.0,Turnover by A. Sengun (lost ball; steal by J. Brown),56-67, ,,2,67,56,11,1322.0
1:47.0, ,56-69,J. Brown makes 2-pt jump shot from 17 ft,,2,69,56,13,1333.0
1:25.0,J. Smith misses 2-pt dunk from 4 ft (block by J. Brown),56-69, ,,2,69,56,13,1355.0
1:23.0, ,56-69,Defensive rebound by J. Tatum,,2,69,56,13,1357.0
1:19.0, ,56-69,J. Tatum misses 3-pt jump shot from 29 ft,,2,69,56,13,1361.0
1:17.0,Defensive rebound by A. Sengun,56-69, ,,2,69,56,13,1363.0
1:14.0,Turnover by A. Sengun (lost ball; steal by D. White),56-69, ,,2,69,56,13,1366.0
1:12.0, ,56-69,D. White misses 3-pt jump shot from 27 ft,,2,69,56,13,1368.0
1:10.0,Defensive rebound by Team,56-69, ,,2,69,56,13,1370.0
1:00.0,F. VanVleet misses 3-pt jump shot from 27 ft,56-69, ,,2,69,56,13,1380.0
0:59.0, ,56-69,Defensive rebound by Team,,2,69,56,13,1381.0
0:41.0, ,56-69,A. Horford misses 3-pt jump shot from 25 ft,,2,69,56,13,1399.0
0:32.0,Defensive rebound by A. Sengun,56-69, ,,2,69,56,13,1408.0
0:27.0,A. Sengun makes 2-pt layup from 3 ft,58-69, ,,2,69,58,11,1413.0
0:06.0, ,58-69,Turnover by J. Tatum (bad pass; steal by A. Sengun),,2,69,58,11,1434.0
0:01.0,J. Green misses 3-pt jump shot from 26 ft,58-69, ,,2,69,58,11,1439.0
0:01.0,Offensive rebound by Team,58-69, ,,2,69,58,11,1439.0
0:00.0,End of 2nd quarter,58-69,,,2,69,58,11,1440.0
12:00.0,Start of 3rd quarter,58-69,,,3,69,58,11,1440.0
11:44.0,A. Sengun misses 2-pt layup from 7 ft (block by K. Porziņģis),58-69, ,,3,69,58,11,1456.0
11:41.0, ,58-69,Defensive rebound by J. Holiday,,3,69,58,11,1459.0
11:35.0, ,58-71,J. Holiday makes 2-pt layup from 2 ft,,3,71,58,13,1465.0
11:26.0,F. VanVleet misses 2-pt jump shot from 20 ft,58-71, ,,3,71,58,13,1474.0
11:24.0, ,58-71,Defensive rebound by J. Tatum,,3,71,58,13,1476.0
11:12.0, ,58-71,Turnover by J. Brown (bad pass; steal by D. Brooks),,3,71,58,13,1488.0
11:06.0,J. Smith misses 3-pt jump shot from 25 ft,58-71, ,,3,71,58,13,1494.0
11:04.0, ,58-71,Defensive rebound by K. Porziņģis,,3,71,58,13,1496.0
10:58.0, ,58-74,J. Brown makes 3-pt jump shot from 26 ft,,3,74,58,16,1502.0
10:41.0,J. Green misses 2-pt layup from 4 ft,58-74, ,,3,74,58,16,1519.0
10:39.0, ,58-74,Defensive rebound by J. Holiday,,3,74,58,16,1521.0
10:32.0, ,58-74,J. Tatum misses 3-pt jump shot from 25 ft,,3,74,58,16,1528.0
10:30.0, ,58-74,Offensive rebound by J. Brown,,3,74,58,16,1530.0
10:28.0, ,58-76,J. Brown makes 2-pt layup from 4 ft,,3,76,58,18,1532.0
10:15.0,Turnover by A. Sengun (lost ball),58-76, ,,3,76,58,18,1545.0
10:14.0,Loose ball foul by A. Sengun (drawn by D. White),58-76, ,,3,76,58,18,1546.0
9:52.0, ,58-76,J. Tatum misses 2-pt jump shot from 19 ft,,3,76,58,18,1568.0
9:48.0,Defensive rebound by J. Smith,58-76, ,,3,76,58,18,1572.0
9:40.0,J. Green makes 3-pt jump shot from 27 ft,61-76, ,,3,76,61,15,1580.0
9:27.0, ,61-76,K. Porziņģis misses 2-pt layup from 5 ft (block by F. VanVleet),,3,76,61,15,1593.0
9:24.0,Defensive rebound by A. Sengun,61-76, ,,3,76,61,15,1596.0
9:20.0,J. Smith makes 2-pt jump shot from 4 ft (assist by F. VanVleet),63-76, ,,3,76,63,13,1600.0
9:11.0, ,63-76,Shooting foul by J. Smith (drawn by J. Brown),,3,76,63,13,1609.0
9:11.0, ,63-77,J. Brown makes free throw 1 of 2,,3,77,63,14,1609.0
9:11.0, ,63-77,J. Brown misses free throw 2 of 2,,3,77,63,14,1609.0
9:11.0,Defensive rebound by J. Smith,63-77, ,,3,77,63,14,1609.0
8:59.0,J. Green misses 3-pt jump shot from 27 ft,63-77, ,,3,77,63,14,1621.0
8:57.0, ,63-77,Defensive rebound by D. White,,3,77,63,14,1623.0
8:54.0, ,63-79,J. Brown makes 2-pt layup from 2 ft (assist by D. White),,3,79,63,16,1626.0
8:54.0, ,63-79,Shooting foul by D. Brooks (drawn by J. Brown),,3,79,63,16,1626.0
8:54.0, ,63-79,J. Brown misses free throw 1 of 1,,3,79,63,16,1626.0
8:54.0,Defensive rebound by A. Sengun,63-79, ,,3,79,63,16,1626.0
8:48.0,D. Brooks misses 2-pt layup from 5 ft (block by J. Tatum),63-79, ,,3,79,63,16,1632.0
8:48.0,Offensive rebound by Team,63-79, ,,3,79,63,16,1632.0
8:41.0,A. Sengun misses 2-pt hook shot from 4 ft,63-79, ,,3,79,63,16,1639.0
8:39.0, ,63-79,Defensive rebound by J. Brown,,3,79,63,16,1641.0
8:39.0,Technical foul by F. VanVleet,63-79, ,,3,79,63,16,1641.0
8:39.0, ,63-80,J. Tatum makes technical free throw,,3,80,63,17,1641.0
8:28.0, ,63-82,J. Holiday makes 2-pt jump shot from 18 ft,,3,82,63,19,1652.0
8:15.0,A. Sengun misses 2-pt hook shot from 7 ft,63-82, ,,3,82,63,19,1665.0
8:12.0,Offensive rebound by D. Brooks,63-82, ,,3,82,63,19,1668.0
8:12.0,D. Brooks misses 2-pt layup at rim,63-82, ,,3,82,63,19,1668.0
8:11.0,Offensive rebound by F. VanVleet,63-82, ,,3,82,63,19,1669.0
8:07.0,D. Brooks makes 2-pt layup from 3 ft (assist by F. VanVleet),65-82, ,,3,82,65,17,1673.0
7:55.0, ,65-82,J. Brown misses 2-pt jump shot from 12 ft,,3,82,65,17,1685.0
7:53.0,Defensive rebound by A. Sengun,65-82, ,,3,82,65,17,1687.0
7:45.0,A. Sengun misses 3-pt jump shot from 26 ft,65-82, ,,3,82,65,17,1695.0
7:43.0, ,65-82,Defensive rebound by J. Holiday,,3,82,65,17,1697.0
7:30.0, ,65-82,Shooting foul by D. Brooks (drawn by J. Tatum),,3,82,65,17,1710.0
7:30.0, ,65-83,J. Tatum makes free throw 1 of 2,,3,83,65,18,1710.0
7:30.0, ,65-84,J. Tatum makes free throw 2 of 2,,3,84,65,19,1710.0
7:15.0,F. VanVleet makes 3-pt jump shot from 27 ft,68-84, ,,3,84,68,16,1725.0
7:00.0, ,68-87,J. Brown makes 3-pt jump shot from 25 ft (assist by J. Holiday),,3,87,68,19,1740.0
6:44.0,J. Smith misses 2-pt hook shot from 9 ft (block by J. Brown),68-87, ,,3,87,68,19,1756.0
6:43.0, ,68-87,Defensive rebound by Team,,3,87,68,19,1757.0
6:43.0, ,68-87,Boston full timeout,,3,87,68,19,1757.0
6:43.0,A. Thompson enters the game for J. Green,68-87, ,,3,87,68,19,1757.0
6:43.0,C. Whitmore enters the game for F. VanVleet,68-87, ,,3,87,68,19,1757.0
6:26.0, ,68-90,J. Brown makes 3-pt jump shot from 27 ft (assist by K. Porziņģis),,3,90,68,22,1774.0
6:07.0,A. Sengun makes 2-pt layup from 3 ft,70-90, ,,3,90,70,20,1793.0
6:07.0,Shooting foul by K. Porziņģis (drawn by A. Sengun),70-90, ,,3,90,70,20,1793.0
6:07.0,A. Sengun makes free throw 1 of 1,71-90, ,,3,90,71,19,1793.0
5:50.0, ,71-90,K. Porziņģis misses 3-pt jump shot from 25 ft,,3,90,71,19,1810.0
5:47.0,Defensive rebound by C. Whitmore,71-90, ,,3,90,71,19,1813.0
5:43.0,C. Whitmore makes 2-pt jump shot from 4 ft,73-90, ,,3,90,73,17,1817.0
5:43.0,Shooting foul by J. Brown (drawn by C. Whitmore),73-90, ,,3,90,73,17,1817.0
5:43.0, ,73-90,S. Hauser enters the game for J. Holiday,,3,90,73,17,1817.0
5:43.0,C. Whitmore makes free throw 1 of 1,74-90, ,,3,90,74,16,1817.0
5:31.0, ,74-92,J. Tatum makes 2-pt jump shot from 12 ft (assist by D. White),,3,92,74,18,1829.0
5:18.0,A. Thompson misses 2-pt jump shot from 22 ft,74-92, ,,3,92,74,18,1842.0
