Time,Houston,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Sengun vs. K. Porziņģis (D. White gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,D. White misses 3-pt jump shot from 22 ft,,1,0,0,0,22.0
11:35.0,Defensive rebound by J. Smith,0-0, ,,1,0,0,0,25.0
11:21.0,A. Sengun makes 2-pt jump shot from 15 ft (assist by F. VanVleet),2-0, ,,1,0,2,-2,39.0
11:11.0, ,2-2,J. Brown makes 2-pt jump shot from 22 ft,Tie,1,2,2,0,49.0
11:01.0,Shooting foul by J. Tatum (drawn by D. Brooks),2-2, ,,1,2,2,0,59.0
11:01.0,D. Brooks makes free throw 1 of 2,3-2, ,,1,2,3,-1,59.0
11:01.0,D. Brooks makes free throw 2 of 2,4-2, ,,1,2,4,-2,59.0
10:53.0, ,4-4,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by J. Tatum),Tie,1,4,4,0,67.0
10:39.0,J. Green misses 2-pt layup from 4 ft,4-4, ,,1,4,4,0,81.0
10:38.0,Offensive rebound by A. Sengun,4-4, ,,1,4,4,0,82.0
10:34.0,D. Brooks misses 3-pt jump shot from 24 ft,4-4, ,,1,4,4,0,86.0
10:31.0, ,4-4,Defensive rebound by J. Tatum,,1,4,4,0,89.0
10:14.0, ,4-4,J. Tatum misses 2-pt jump shot from 21 ft,,1,4,4,0,106.0
10:12.0,Defensive rebound by J. Smith,4-4, ,,1,4,4,0,108.0
10:07.0,J. Smith misses 3-pt jump shot from 24 ft,4-4, ,,1,4,4,0,113.0
10:05.0, ,4-4,Defensive rebound by K. Porziņģis,,1,4,4,0,115.0
9:55.0, ,4-6,J. Brown makes 2-pt jump shot from 20 ft,Lead change,1,6,4,2,125.0
9:38.0,F. VanVleet misses 3-pt jump shot from 27 ft,4-6, ,,1,6,4,2,142.0
9:36.0,Offensive rebound by J. Smith,4-6, ,,1,6,4,2,144.0
9:36.0,J. Smith makes 2-pt layup from 1 ft,6-6, ,Tie,1,6,6,0,144.0
