Time,Boston,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:00.0, ,20-23,A. Pokusevski enters the game for T. Mann,,1,20,23,-3,420.0
4:45.0, ,20-25,M. Bolden makes 2-pt dunk from 3 ft (assist by M. Bridges),,1,20,25,-5,435.0
4:27.0,Shooting foul by M. Bolden (drawn by K. Porziņģis),20-25, ,,1,20,25,-5,453.0
4:27.0,K. Porziņģis makes free throw 1 of 2,21-25, ,,1,21,25,-4,453.0
4:27.0,K. Porziņģis misses free throw 2 of 2,21-25, ,,1,21,25,-4,453.0
4:25.0, ,21-25,Defensive rebound by M. Bolden,,1,21,25,-4,455.0
4:04.0, ,21-25,A. Pokusevski misses 2-pt layup from 3 ft (block by K. Porziņģis),,1,21,25,-4,476.0
4:02.0, ,21-25,Offensive rebound by A. Pokusevski,,1,21,25,-4,478.0
4:02.0, ,21-25,Turnover by Team (shot clock),,1,21,25,-4,478.0
4:00.0, ,21-25,Technical foul by S. Clifford,,1,21,25,-4,480.0
4:00.0,J. Tatum makes technical free throw,22-25, ,,1,22,25,-3,480.0
3:47.0,K. Porziņģis misses 3-pt jump shot from 26 ft,22-25, ,,1,22,25,-3,493.0
3:45.0, ,22-25,Defensive rebound by M. Bridges,,1,22,25,-3,495.0
3:39.0, ,22-27,B. Miller makes 2-pt jump shot from 7 ft (assist by M. Bridges),,1,22,27,-5,501.0
3:25.0,J. Tatum misses 3-pt jump shot from 25 ft,22-27, ,,1,22,27,-5,515.0
3:22.0, ,22-27,Defensive rebound by M. Bolden,,1,22,27,-5,518.0
3:11.0, ,22-27,V. Micić misses 2-pt jump shot from 4 ft,,1,22,27,-5,529.0
3:09.0,Defensive rebound by S. Hauser,22-27, ,,1,22,27,-5,531.0
3:01.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by O. Brissett),25-27, ,,1,25,27,-2,539.0
2:49.0, ,25-29,B. Miller makes 2-pt jump shot from 9 ft,,1,25,29,-4,551.0
2:49.0, ,25-29,Shooting foul by J. Tatum (drawn by B. Miller),,1,25,29,-4,551.0
2:49.0,Boston full timeout,25-29, ,,1,25,29,-4,551.0
