Time,Boston,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. D. Finney-Smith (A. Horford gains possession),0-0,,,1,0,0,0,0.0
11:42.0,K. Porziņģis makes 2-pt jump shot from 11 ft,2-0, ,,1,2,0,2,18.0
11:31.0, ,2-0,M. Bridges misses 3-pt jump shot from 25 ft,,1,2,0,2,29.0
11:30.0,Defensive rebound by Team,2-0, ,,1,2,0,2,30.0
11:11.0,K. Porziņģis misses 2-pt jump shot from 11 ft,2-0, ,,1,2,0,2,49.0
11:09.0,Offensive rebound by A. Horford,2-0, ,,1,2,0,2,51.0
11:09.0,A. Horford makes 2-pt layup from 1 ft,4-0, ,,1,4,0,4,51.0
10:56.0, ,4-3,R. O'Neale makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,1,4,3,1,64.0
10:45.0,Turnover by J. Holiday (lost ball; steal by R. O'Neale),4-3, ,,1,4,3,1,75.0
10:40.0, ,4-3,R. O'Neale misses 3-pt jump shot from 25 ft (block by K. Porziņģis),,1,4,3,1,80.0
10:36.0, ,4-3,Offensive rebound by D. Finney-Smith,,1,4,3,1,84.0
10:34.0, ,4-3,R. O'Neale misses 3-pt jump shot from 26 ft,,1,4,3,1,86.0
10:30.0,Defensive rebound by K. Porziņģis,4-3, ,,1,4,3,1,90.0
10:18.0,J. Tatum makes 3-pt jump shot from 25 ft,7-3, ,,1,7,3,4,102.0
10:04.0, ,7-5,M. Bridges makes 2-pt layup from 4 ft,,1,7,5,2,116.0
9:55.0,Turnover by J. Tatum (lost ball; steal by C. Thomas),7-5, ,,1,7,5,2,125.0
9:51.0, ,7-5,R. O'Neale misses 3-pt jump shot from 25 ft,,1,7,5,2,129.0
9:48.0,Defensive rebound by J. Brown,7-5, ,,1,7,5,2,132.0
9:37.0,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Brown),9-5, ,,1,9,5,4,143.0
9:24.0, ,9-5,M. Bridges misses 2-pt layup from 2 ft (block by K. Porziņģis),,1,9,5,4,156.0
9:22.0,Defensive rebound by J. Brown,9-5, ,,1,9,5,4,158.0
9:15.0,J. Tatum makes 3-pt jump shot from 25 ft,12-5, ,,1,12,5,7,165.0
8:58.0, ,12-5,C. Thomas misses 3-pt jump shot from 26 ft,,1,12,5,7,182.0
8:58.0,Defensive rebound by K. Porziņģis,12-5, ,,1,12,5,7,182.0
8:44.0,J. Tatum misses 3-pt jump shot from 24 ft,12-5, ,,1,12,5,7,196.0
8:40.0, ,12-5,Defensive rebound by S. Dinwiddie,,1,12,5,7,200.0
8:36.0, ,12-8,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,1,12,8,4,204.0
8:23.0,K. Porziņģis makes 2-pt jump shot from 3 ft (assist by J. Brown),14-8, ,,1,14,8,6,217.0
8:14.0, ,14-10,S. Dinwiddie makes 2-pt layup from 2 ft,,1,14,10,4,226.0
8:04.0,J. Brown makes 2-pt jump shot from 12 ft (assist by J. Holiday),16-10, ,,1,16,10,6,236.0
7:51.0, ,16-13,C. Thomas makes 3-pt jump shot from 26 ft,,1,16,13,3,249.0
7:33.0,J. Brown misses 2-pt jump shot from 13 ft,16-13, ,,1,16,13,3,267.0
7:30.0, ,16-13,Defensive rebound by R. O'Neale,,1,16,13,3,270.0
7:19.0, ,16-13,C. Thomas misses 2-pt layup from 2 ft (block by A. Horford),,1,16,13,3,281.0
7:17.0,Defensive rebound by J. Holiday,16-13, ,,1,16,13,3,283.0
7:16.0,Shooting foul by D. Finney-Smith (drawn by J. Brown),16-13, ,,1,16,13,3,284.0
7:16.0,J. Brown misses free throw 1 of 2,16-13, ,,1,16,13,3,284.0
7:16.0,Offensive rebound by Team,16-13, ,,1,16,13,3,284.0
7:16.0,J. Brown makes free throw 2 of 2,17-13, ,,1,17,13,4,284.0
6:55.0, ,17-13,M. Bridges misses 2-pt jump shot from 10 ft,,1,17,13,4,305.0
6:51.0,Defensive rebound by K. Porziņģis,17-13, ,,1,17,13,4,309.0
6:48.0,J. Brown misses 3-pt jump shot from 26 ft,17-13, ,,1,17,13,4,312.0
6:44.0, ,17-13,Defensive rebound by S. Dinwiddie,,1,17,13,4,316.0
6:40.0, ,17-13,S. Dinwiddie misses 3-pt jump shot from 26 ft,,1,17,13,4,320.0
6:35.0, ,17-13,Offensive rebound by R. O'Neale,,1,17,13,4,325.0
6:35.0, ,17-13,R. O'Neale misses 2-pt dunk at rim,,1,17,13,4,325.0
6:33.0, ,17-13,Offensive rebound by M. Bridges,,1,17,13,4,327.0
