Time,Boston,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:36.0, ,84-74,J. Grant makes 2-pt jump shot from 11 ft,,3,84,74,10,2064.0
1:36.0, ,84-74,Shooting foul by J. Brown (drawn by J. Grant),,3,84,74,10,2064.0
1:36.0, ,84-75,J. Grant makes free throw 1 of 1,,3,84,75,9,2064.0
1:20.0,S. Hauser makes 2-pt jump shot from 15 ft (assist by J. Brown),86-75, ,,3,86,75,11,2080.0
0:57.0, ,86-75,S. Henderson misses 2-pt layup from 5 ft (block by L. Kornet),,3,86,75,11,2103.0
0:54.0,Defensive rebound by L. Kornet,86-75, ,,3,86,75,11,2106.0
0:39.0,D. White misses 3-pt jump shot from 25 ft,86-75, ,,3,86,75,11,2121.0
0:38.0,Offensive rebound by Team,86-75, ,,3,86,75,11,2122.0
0:38.0, ,86-75,Loose ball foul by S. Henderson (drawn by O. Brissett),,3,86,75,11,2122.0
0:36.0,J. Brown makes 2-pt jump shot from 14 ft (assist by D. White),88-75, ,,3,88,75,13,2124.0
0:16.0, ,88-75,Offensive foul by D. Reath (drawn by D. White),,3,88,75,13,2144.0
0:16.0, ,88-75,Turnover by D. Reath (offensive foul),,3,88,75,13,2144.0
0:16.0,P. Pritchard enters the game for O. Brissett,88-75, ,,3,88,75,13,2144.0
0:16.0, ,88-75,T. Camara enters the game for D. Reath,,3,88,75,13,2144.0
0:02.0,J. Brown misses 2-pt jump shot from 14 ft (block by M. Thybulle),88-75, ,,3,88,75,13,2158.0
0:01.0, ,88-75,Defensive rebound by Team,,3,88,75,13,2159.0
0:00.0,End of 3rd quarter,88-75,,,3,88,75,13,2160.0
12:00.0,Start of 4th quarter,88-75,,,4,88,75,13,2160.0
11:41.0,J. Tatum misses 3-pt jump shot from 26 ft,88-75, ,,4,88,75,13,2179.0
11:39.0,Offensive rebound by O. Brissett,88-75, ,,4,88,75,13,2181.0
11:37.0,J. Tatum misses 3-pt jump shot from 25 ft,88-75, ,,4,88,75,13,2183.0
11:35.0, ,88-75,Defensive rebound by Team,,4,88,75,13,2185.0
11:17.0, ,88-77,D. Reath makes 2-pt dunk from 1 ft (assist by D. Banton),,4,88,77,11,2203.0
10:57.0,S. Hauser makes 3-pt jump shot from 27 ft (assist by P. Pritchard),91-77, ,,4,91,77,14,2223.0
10:46.0, ,91-80,D. Banton makes 3-pt jump shot from 25 ft (assist by S. Henderson),,4,91,80,11,2234.0
10:30.0,J. Tatum makes 2-pt layup from 3 ft,93-80, ,,4,93,80,13,2250.0
10:11.0, ,93-80,T. Camara misses 3-pt jump shot from 23 ft,,4,93,80,13,2269.0
10:07.0,Defensive rebound by P. Pritchard,93-80, ,,4,93,80,13,2273.0
9:45.0,O. Brissett makes 2-pt dunk from 2 ft (assist by J. Tatum),95-80, ,,4,95,80,15,2295.0
9:28.0, ,95-80,T. Camara misses 2-pt jump shot from 10 ft,,4,95,80,15,2312.0
9:26.0, ,95-80,Offensive rebound by S. Henderson,,4,95,80,15,2314.0
9:24.0, ,95-83,D. Banton makes 3-pt jump shot from 26 ft (assist by S. Henderson),,4,95,83,12,2316.0
9:05.0,J. Tatum makes 3-pt jump shot from 26 ft,98-83, ,,4,98,83,15,2335.0
8:44.0, ,98-83,Turnover by S. Henderson (lost ball; steal by S. Hauser),,4,98,83,15,2356.0
8:40.0,S. Hauser makes 3-pt jump shot from 24 ft (assist by P. Pritchard),101-83, ,,4,101,83,18,2360.0
8:38.0, ,101-83,Portland full timeout,,4,101,83,18,2362.0
8:38.0, ,101-83,D. Ayton enters the game for S. Henderson,,4,101,83,18,2362.0
8:38.0, ,101-83,J. Grant enters the game for D. Reath,,4,101,83,18,2362.0
8:38.0, ,101-83,A. Simons enters the game for M. Thybulle,,4,101,83,18,2362.0
8:21.0, ,101-85,A. Simons makes 2-pt hook shot from 4 ft,,4,101,85,16,2379.0
8:04.0,J. Tatum misses 3-pt jump shot from 25 ft,101-85, ,,4,101,85,16,2396.0
8:03.0,Offensive rebound by Team,101-85, ,,4,101,85,16,2397.0
8:03.0, ,101-85,Loose ball foul by D. Banton (drawn by L. Kornet),,4,101,85,16,2397.0
7:54.0,J. Tatum misses 2-pt jump shot from 17 ft,101-85, ,,4,101,85,16,2406.0
7:51.0, ,101-85,Defensive rebound by A. Simons,,4,101,85,16,2409.0
7:47.0, ,101-87,D. Ayton makes 2-pt layup from 4 ft (assist by D. Banton),,4,101,87,14,2413.0
7:30.0,J. Tatum misses 2-pt layup from 5 ft (block by T. Camara),101-87, ,,4,101,87,14,2430.0
7:27.0, ,101-87,Defensive rebound by D. Banton,,4,101,87,14,2433.0
7:26.0, ,101-87,D. Banton misses 2-pt layup from 3 ft (block by L. Kornet),,4,101,87,14,2434.0
7:26.0, ,101-87,Offensive rebound by Team,,4,101,87,14,2434.0
7:17.0, ,101-87,D. Ayton misses 2-pt jump shot from 15 ft,,4,101,87,14,2443.0
7:14.0,Defensive rebound by O. Brissett,101-87, ,,4,101,87,14,2446.0
6:58.0,P. Pritchard makes 2-pt layup from 2 ft,103-87, ,,4,103,87,16,2462.0
6:40.0, ,103-87,A. Simons misses 3-pt jump shot from 27 ft,,4,103,87,16,2480.0
6:37.0,Defensive rebound by J. Tatum,103-87, ,,4,103,87,16,2483.0
6:21.0,J. Tatum misses 2-pt layup from 3 ft,103-87, ,,4,103,87,16,2499.0
6:19.0, ,103-87,Defensive rebound by D. Ayton,,4,103,87,16,2501.0
6:10.0, ,103-87,D. Banton misses 3-pt jump shot from 26 ft,,4,103,87,16,2510.0
6:09.0,Defensive rebound by Team,103-87, ,,4,103,87,16,2511.0
6:09.0,Boston full timeout,103-87, ,,4,103,87,16,2511.0
6:09.0,A. Horford enters the game for O. Brissett,103-87, ,,4,103,87,16,2511.0
6:09.0,D. White enters the game for L. Kornet,103-87, ,,4,103,87,16,2511.0
6:09.0, ,103-87,S. Henderson enters the game for D. Banton,,4,103,87,16,2511.0
5:54.0,S. Hauser misses 3-pt jump shot from 23 ft,103-87, ,,4,103,87,16,2526.0
5:51.0, ,103-87,Defensive rebound by D. Ayton,,4,103,87,16,2529.0
5:41.0, ,103-89,S. Henderson makes 2-pt jump shot from 10 ft (assist by T. Camara),,4,103,89,14,2539.0
5:17.0,J. Tatum makes 2-pt jump shot from 6 ft,105-89, ,,4,105,89,16,2563.0
4:56.0, ,105-89,Turnover by J. Grant (bad pass),,4,105,89,16,2584.0
4:56.0,J. Brown enters the game for P. Pritchard,105-89, ,,4,105,89,16,2584.0
4:39.0,Shooting foul by A. Simons (drawn by J. Tatum),105-89, ,,4,105,89,16,2601.0
4:39.0,J. Tatum makes free throw 1 of 2,106-89, ,,4,106,89,17,2601.0
4:39.0,J. Tatum makes free throw 2 of 2,107-89, ,,4,107,89,18,2601.0
4:31.0, ,107-91,D. Ayton makes 2-pt dunk from 2 ft (assist by A. Simons),,4,107,91,16,2609.0
4:13.0,S. Hauser makes 3-pt jump shot from 27 ft (assist by J. Tatum),110-91, ,,4,110,91,19,2627.0
3:54.0, ,110-91,J. Grant misses 2-pt jump shot from 11 ft (block by D. White),,4,110,91,19,2646.0
3:54.0, ,110-91,Offensive rebound by Team,,4,110,91,19,2646.0
3:51.0, ,110-93,J. Grant makes 2-pt jump shot from 17 ft (assist by S. Henderson),,4,110,93,17,2649.0
3:28.0,J. Tatum misses 2-pt layup from 4 ft,110-93, ,,4,110,93,17,2672.0
3:26.0, ,110-93,Defensive rebound by S. Henderson,,4,110,93,17,2674.0
3:19.0, ,110-93,A. Simons misses 2-pt layup from 5 ft,,4,110,93,17,2681.0
3:15.0, ,110-93,Offensive rebound by D. Ayton,,4,110,93,17,2685.0
3:15.0, ,110-93,D. Ayton misses 2-pt layup at rim,,4,110,93,17,2685.0
3:13.0, ,110-93,Turnover by D. Ayton (traveling),,4,110,93,17,2687.0
2:58.0,A. Horford makes 2-pt dunk from 3 ft (assist by D. White),112-93, ,,4,112,93,19,2702.0
2:41.0, ,112-93,A. Simons misses 2-pt jump shot from 12 ft,,4,112,93,19,2719.0
2:39.0, ,112-93,Offensive rebound by D. Ayton,,4,112,93,19,2721.0
2:38.0, ,112-93,D. Ayton misses 2-pt hook shot from 7 ft (block by D. White),,4,112,93,19,2722.0
2:34.0, ,112-93,Offensive rebound by S. Henderson,,4,112,93,19,2726.0
2:30.0, ,112-95,T. Camara makes 2-pt layup from 2 ft (assist by S. Henderson),,4,112,95,17,2730.0
2:00.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by A. Horford),115-95, ,,4,115,95,20,2760.0
1:54.0, ,115-95,Portland full timeout,,4,115,95,20,2766.0
1:54.0,O. Brissett enters the game for J. Brown,115-95, ,,4,115,95,20,2766.0
1:54.0,J. Davison enters the game for S. Hauser,115-95, ,,4,115,95,20,2766.0
1:54.0,P. Pritchard enters the game for A. Horford,115-95, ,,4,115,95,20,2766.0
1:54.0,N. Queta enters the game for J. Tatum,115-95, ,,4,115,95,20,2766.0
1:54.0,J. Springer enters the game for D. White,115-95, ,,4,115,95,20,2766.0
1:54.0, ,115-95,D. Banton enters the game for D. Ayton,,4,115,95,20,2766.0
1:54.0, ,115-95,M. Brown enters the game for J. Grant,,4,115,95,20,2766.0
1:54.0, ,115-95,K. Murray enters the game for S. Henderson,,4,115,95,20,2766.0
1:54.0, ,115-95,R. Rupert enters the game for A. Simons,,4,115,95,20,2766.0
1:40.0, ,115-95,M. Brown misses 2-pt layup from 5 ft (block by N. Queta),,4,115,95,20,2780.0
1:40.0, ,115-95,Offensive rebound by Team,,4,115,95,20,2780.0
1:40.0,Jump ball: M. Brown vs. N. Queta (D. Banton gains possession),115-95,,,4,115,95,20,2780.0
1:28.0, ,115-95,M. Brown misses 2-pt hook shot from 5 ft,,4,115,95,20,2792.0
1:28.0, ,115-95,Offensive rebound by Team,,4,115,95,20,2792.0
1:20.0, ,115-95,R. Rupert misses 2-pt layup from 3 ft,,4,115,95,20,2800.0
1:17.0,Defensive rebound by J. Davison,115-95, ,,4,115,95,20,2803.0
1:14.0,P. Pritchard makes 2-pt jump shot from 11 ft,117-95, ,,4,117,95,22,2806.0
1:07.0, ,117-95,Shooting foul by J. Davison (drawn by D. Banton),,4,117,95,22,2813.0
1:07.0, ,117-96,D. Banton makes free throw 1 of 2,,4,117,96,21,2813.0
1:07.0, ,117-97,D. Banton makes free throw 2 of 2,,4,117,97,20,2813.0
0:51.0,J. Davison makes 3-pt jump shot from 26 ft (assist by N. Queta),120-97, ,,4,120,97,23,2829.0
0:42.0, ,120-97,Turnover by D. Banton (lost ball; steal by J. Springer),,4,120,97,23,2838.0
0:36.0,N. Queta misses 2-pt hook shot from 8 ft,120-97, ,,4,120,97,23,2844.0
0:35.0,Offensive rebound by N. Queta,120-97, ,,4,120,97,23,2845.0
0:35.0,Shooting foul by M. Brown (drawn by N. Queta),120-97, ,,4,120,97,23,2845.0
0:35.0,N. Queta makes free throw 1 of 2,121-97, ,,4,121,97,24,2845.0
0:35.0,N. Queta misses free throw 2 of 2,121-97, ,,4,121,97,24,2845.0
0:32.0, ,121-97,Defensive rebound by K. Murray,,4,121,97,24,2848.0
0:17.0, ,121-99,M. Brown makes 2-pt layup from 4 ft (assist by R. Rupert),,4,121,99,22,2863.0
0:00.0,End of 4th quarter,121-99,,,4,121,99,22,2880.0
