Time,Boston,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:45.0, ,26-20,A. Simons makes 2-pt layup from 2 ft,,1,26,20,6,495.0
3:35.0,J. Brown makes 2-pt jump shot from 6 ft (assist by D. White),28-20, ,,1,28,20,8,505.0
3:22.0,Violation by Team (kicked ball),28-20, ,,1,28,20,8,518.0
3:22.0,L. Kornet enters the game for A. Horford,28-20, ,,1,28,20,8,518.0
3:12.0, ,28-23,J. Grant makes 3-pt jump shot from 24 ft (assist by D. Banton),,1,28,23,5,528.0
2:53.0,D. White misses 2-pt jump shot from 12 ft,28-23, ,,1,28,23,5,547.0
2:52.0, ,28-23,Defensive rebound by Team,,1,28,23,5,548.0
2:52.0,Boston full timeout,28-23, ,,1,28,23,5,548.0
2:52.0, ,28-23,T. Camara enters the game for D. Ayton,,1,28,23,5,548.0
2:52.0, ,28-23,S. Henderson enters the game for J. Grant,,1,28,23,5,548.0
2:52.0, ,28-23,D. Reath enters the game for A. Simons,,1,28,23,5,548.0
2:38.0, ,28-23,S. Henderson misses 3-pt jump shot from 26 ft,,1,28,23,5,562.0
2:35.0,Defensive rebound by S. Hauser,28-23, ,,1,28,23,5,565.0
2:19.0,J. Brown makes 3-pt jump shot from 26 ft (assist by D. White),31-23, ,,1,31,23,8,581.0
2:07.0, ,31-23,S. Henderson misses 2-pt layup from 3 ft,,1,31,23,8,593.0
2:05.0,Defensive rebound by D. White,31-23, ,,1,31,23,8,595.0
1:56.0,J. Brown misses 3-pt jump shot from 25 ft,31-23, ,,1,31,23,8,604.0
1:54.0, ,31-23,Defensive rebound by S. Henderson,,1,31,23,8,606.0
1:54.0, ,31-23,Personal foul by O. Brissett (drawn by S. Henderson),,1,31,23,8,606.0
1:54.0,P. Pritchard enters the game for J. Brown,31-23, ,,1,31,23,8,606.0
1:54.0,J. Tatum enters the game for D. White,31-23, ,,1,31,23,8,606.0
1:33.0, ,31-23,Shooting foul by O. Brissett (drawn by T. Camara),,1,31,23,8,627.0
1:33.0, ,31-24,T. Camara makes free throw 1 of 2,,1,31,24,7,627.0
