Time,Brooklyn,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Finney-Smith vs. K. Porziņģis (J. Brown gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-2,J. Holiday makes 2-pt hook shot from 7 ft (assist by J. Tatum),,1,2,0,2,21.0
11:20.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,0-2, ,,1,2,0,2,40.0
11:19.0, ,0-2,Defensive rebound by J. Holiday,,1,2,0,2,41.0
11:13.0, ,0-2,J. Brown misses 2-pt layup from 4 ft (block by D. Finney-Smith),,1,2,0,2,47.0
11:11.0,Defensive rebound by C. Johnson,0-2, ,,1,2,0,2,49.0
11:04.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by M. Bridges),3-2, ,Lead change,1,2,3,-1,56.0
10:48.0, ,3-2,Shooting foul by C. Johnson (drawn by K. Porziņģis),,1,2,3,-1,72.0
10:48.0, ,3-3,K. Porziņģis makes free throw 1 of 2,Tie,1,3,3,0,72.0
10:48.0, ,3-4,K. Porziņģis makes free throw 2 of 2,Lead change,1,4,3,1,72.0
10:39.0,M. Bridges makes 2-pt jump shot from 20 ft,5-4, ,Lead change,1,4,5,-1,81.0
10:27.0, ,5-4,J. Tatum misses 3-pt jump shot from 28 ft,,1,4,5,-1,93.0
10:25.0, ,5-4,Offensive rebound by J. Tatum,,1,4,5,-1,95.0
10:22.0, ,5-6,J. Brown makes 2-pt jump shot from 18 ft (assist by J. Tatum),Lead change,1,6,5,1,98.0
10:22.0, ,5-6,Shooting foul by M. Bridges (drawn by J. Brown),,1,6,5,1,98.0
10:22.0, ,5-7,J. Brown makes free throw 1 of 1,,1,7,5,2,98.0
10:05.0,Turnover by M. Bridges (bad pass; steal by J. Holiday),5-7, ,,1,7,5,2,115.0
10:02.0, ,5-10,J. Brown makes 3-pt jump shot from 27 ft (assist by J. Holiday),,1,10,5,5,118.0
9:40.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,5-10, ,,1,10,5,5,140.0
9:37.0, ,5-10,Defensive rebound by J. Tatum,,1,10,5,5,143.0
9:28.0, ,5-12,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by J. Brown),,1,12,5,7,152.0
9:10.0,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by R. O'Neale),8-12, ,,1,12,8,4,170.0
8:53.0, ,8-15,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Holiday),,1,15,8,7,187.0
8:52.0,Brooklyn full timeout,8-15, ,,1,15,8,7,188.0
8:35.0,S. Dinwiddie misses 2-pt layup from 3 ft,8-15, ,,1,15,8,7,205.0
8:34.0, ,8-15,Defensive rebound by J. Holiday,,1,15,8,7,206.0
8:26.0, ,8-15,J. Brown misses 2-pt jump shot from 18 ft,,1,15,8,7,214.0
8:24.0,Defensive rebound by S. Dinwiddie,8-15, ,,1,15,8,7,216.0
8:11.0,C. Johnson makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),11-15, ,,1,15,11,4,229.0
7:53.0, ,11-18,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Brown),,1,18,11,7,247.0
7:39.0,D. Finney-Smith misses 2-pt layup from 4 ft,11-18, ,,1,18,11,7,261.0
7:37.0, ,11-18,Defensive rebound by J. Holiday,,1,18,11,7,263.0
7:34.0, ,11-20,J. Brown makes 2-pt layup from 4 ft (assist by J. Holiday),,1,20,11,9,266.0
7:20.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,11-20, ,,1,20,11,9,280.0
7:19.0, ,11-20,Defensive rebound by J. Tatum,,1,20,11,9,281.0
7:13.0, ,11-20,J. Brown misses 3-pt jump shot from 28 ft,,1,20,11,9,287.0
7:11.0,Defensive rebound by S. Dinwiddie,11-20, ,,1,20,11,9,289.0
7:00.0,S. Dinwiddie makes 3-pt jump shot from 31 ft (assist by D. Finney-Smith),14-20, ,,1,20,14,6,300.0
6:33.0, ,14-22,K. Porziņģis makes 2-pt jump shot from 14 ft,,1,22,14,8,327.0
6:23.0,C. Johnson misses 3-pt jump shot from 27 ft,14-22, ,,1,22,14,8,337.0
6:21.0, ,14-22,Defensive rebound by D. White,,1,22,14,8,339.0
6:16.0, ,14-22,J. Holiday misses 3-pt jump shot from 25 ft,,1,22,14,8,344.0
6:15.0,Defensive rebound by D. Finney-Smith,14-22, ,,1,22,14,8,345.0
6:04.0,Shooting foul by D. White (drawn by M. Bridges),14-22, ,,1,22,14,8,356.0
6:04.0,M. Bridges makes free throw 1 of 2,15-22, ,,1,22,15,7,356.0
6:04.0,D. Sharpe enters the game for D. Finney-Smith,15-22, ,,1,22,15,7,356.0
6:04.0,L. Walker enters the game for C. Johnson,15-22, ,,1,22,15,7,356.0
6:04.0,T. Watford enters the game for R. O'Neale,15-22, ,,1,22,15,7,356.0
6:04.0, ,15-22,O. Brissett enters the game for J. Holiday,,1,22,15,7,356.0
6:04.0, ,15-22,S. Hauser enters the game for J. Tatum,,1,22,15,7,356.0
6:04.0,M. Bridges makes free throw 2 of 2,16-22, ,,1,22,16,6,356.0
5:44.0, ,16-22,S. Hauser misses 3-pt jump shot from 24 ft,,1,22,16,6,376.0
5:42.0, ,16-22,Offensive rebound by O. Brissett,,1,22,16,6,378.0
5:37.0, ,16-22,Shooting foul by S. Dinwiddie (drawn by J. Brown),,1,22,16,6,383.0
5:37.0, ,16-23,J. Brown makes free throw 1 of 2,,1,23,16,7,383.0
5:37.0, ,16-23,J. Brown misses free throw 2 of 2,,1,23,16,7,383.0
5:37.0,Defensive rebound by D. Sharpe,16-23, ,,1,23,16,7,383.0
5:26.0,M. Bridges makes 2-pt jump shot from 16 ft,18-23, ,,1,23,18,5,394.0
5:13.0, ,18-23,Def 3 sec tech foul by Team,,1,23,18,5,407.0
5:13.0, ,18-24,K. Porziņģis makes technical free throw,,1,24,18,6,407.0
5:13.0,D. Smith enters the game for S. Dinwiddie,18-24, ,,1,24,18,6,407.0
5:07.0, ,18-24,J. Brown misses 2-pt jump shot from 17 ft,,1,24,18,6,413.0
5:05.0,Defensive rebound by M. Bridges,18-24, ,,1,24,18,6,415.0
4:59.0,M. Bridges misses 3-pt jump shot from 26 ft,18-24, ,,1,24,18,6,421.0
4:57.0, ,18-24,Defensive rebound by K. Porziņģis,,1,24,18,6,423.0
4:52.0, ,18-27,S. Hauser makes 3-pt jump shot from 28 ft (assist by D. White),,1,27,18,9,428.0
4:35.0,M. Bridges misses 3-pt jump shot from 24 ft,18-27, ,,1,27,18,9,445.0
4:34.0,Offensive rebound by Team,18-27, ,,1,27,18,9,446.0
4:34.0, ,18-27,Loose ball foul by K. Porziņģis (drawn by D. Sharpe),,1,27,18,9,446.0
4:34.0,A. Brooks enters the game for M. Bridges,18-27, ,,1,27,18,9,446.0
4:28.0,Shooting foul by K. Porziņģis (drawn by D. Sharpe),18-27, ,,1,27,18,9,452.0
4:28.0,D. Sharpe misses free throw 1 of 2,18-27, ,,1,27,18,9,452.0
4:28.0,Offensive rebound by Team,18-27, ,,1,27,18,9,452.0
4:28.0, ,18-27,L. Kornet enters the game for K. Porziņģis,,1,27,18,9,452.0
4:28.0,D. Sharpe makes free throw 2 of 2,19-27, ,,1,27,19,8,452.0
4:11.0, ,19-27,L. Kornet misses 2-pt layup from 4 ft,,1,27,19,8,469.0
4:09.0,Defensive rebound by T. Watford,19-27, ,,1,27,19,8,471.0
4:05.0,T. Watford makes 2-pt layup from 3 ft,21-27, ,,1,27,21,6,475.0
3:54.0, ,21-27,D. White misses 2-pt jump shot from 16 ft,,1,27,21,6,486.0
3:51.0,Defensive rebound by L. Walker,21-27, ,,1,27,21,6,489.0
3:44.0,T. Watford makes 2-pt jump shot from 23 ft (assist by L. Walker),23-27, ,,1,27,23,4,496.0
3:44.0, ,23-27,Boston full timeout,,1,27,23,4,496.0
3:44.0, ,23-27,P. Pritchard enters the game for O. Brissett,,1,27,23,4,496.0
3:34.0, ,23-27,S. Hauser misses 3-pt jump shot from 24 ft,,1,27,23,4,506.0
3:32.0,Defensive rebound by T. Watford,23-27, ,,1,27,23,4,508.0
3:22.0,T. Watford makes 2-pt jump shot from 9 ft (assist by D. Smith),25-27, ,,1,27,25,2,518.0
3:07.0, ,25-27,D. White misses 2-pt jump shot from 17 ft,,1,27,25,2,533.0
3:04.0,Defensive rebound by L. Walker,25-27, ,,1,27,25,2,536.0
2:58.0,L. Walker makes 2-pt jump shot from 8 ft,27-27, ,Tie,1,27,27,0,542.0
2:40.0, ,27-30,P. Pritchard makes 3-pt jump shot from 27 ft (assist by J. Brown),,1,30,27,3,560.0
2:14.0,D. Sharpe misses 2-pt hook shot from 4 ft,27-30, ,,1,30,27,3,586.0
2:11.0, ,27-30,Defensive rebound by J. Brown,,1,30,27,3,589.0
2:06.0, ,27-30,D. White misses 3-pt jump shot from 22 ft,,1,30,27,3,594.0
2:04.0,Defensive rebound by A. Brooks,27-30, ,,1,30,27,3,596.0
1:58.0,L. Walker makes 3-pt jump shot from 27 ft (assist by D. Smith),30-30, ,Tie,1,30,30,0,602.0
1:36.0, ,30-33,D. White makes 3-pt jump shot from 28 ft (assist by J. Brown),,1,33,30,3,624.0
1:28.0,Offensive foul by D. Sharpe (drawn by J. Brown),30-33, ,,1,33,30,3,632.0
1:28.0,Turnover by D. Sharpe (offensive foul),30-33, ,,1,33,30,3,632.0
1:28.0,D. Finney-Smith enters the game for D. Sharpe,30-33, ,,1,33,30,3,632.0
1:28.0, ,30-33,J. Holiday enters the game for J. Brown,,1,33,30,3,632.0
1:28.0, ,30-33,J. Tatum enters the game for D. White,,1,33,30,3,632.0
1:19.0, ,30-33,J. Tatum misses 3-pt jump shot from 27 ft,,1,33,30,3,641.0
1:17.0, ,30-33,Offensive rebound by L. Kornet,,1,33,30,3,643.0
1:17.0, ,30-35,L. Kornet makes 2-pt layup at rim,,1,35,30,5,643.0
1:05.0,L. Walker misses 2-pt jump shot from 22 ft,30-35, ,,1,35,30,5,655.0
1:03.0, ,30-35,Defensive rebound by P. Pritchard,,1,35,30,5,657.0
0:53.0, ,30-35,J. Holiday misses 2-pt layup from 4 ft,,1,35,30,5,667.0
0:50.0,Defensive rebound by D. Smith,30-35, ,,1,35,30,5,670.0
0:45.0,D. Smith misses 2-pt layup from 5 ft,30-35, ,,1,35,30,5,675.0
0:44.0, ,30-35,Defensive rebound by J. Tatum,,1,35,30,5,676.0
0:41.0, ,30-35,P. Pritchard misses 3-pt jump shot from 28 ft,,1,35,30,5,679.0
0:40.0, ,30-35,Offensive rebound by P. Pritchard,,1,35,30,5,680.0
0:36.0, ,30-38,P. Pritchard makes 3-pt jump shot from 24 ft,,1,38,30,8,684.0
0:32.0,L. Walker makes 3-pt jump shot from 28 ft,33-38, ,,1,38,33,5,688.0
0:16.0, ,33-38,P. Pritchard misses 3-pt jump shot from 27 ft,,1,38,33,5,704.0
0:15.0, ,33-38,Offensive rebound by S. Hauser,,1,38,33,5,705.0
0:03.0, ,33-38,J. Tatum misses 2-pt layup from 2 ft,,1,38,33,5,717.0
0:00.0,Defensive rebound by D. Smith,33-38, ,,1,38,33,5,720.0
0:00.0,End of 1st quarter,33-38,,,1,38,33,5,720.0
12:00.0,Start of 2nd quarter,33-38,,,2,38,33,5,720.0
11:48.0,A. Brooks misses 3-pt jump shot from 26 ft,33-38, ,,2,38,33,5,732.0
11:46.0, ,33-38,Defensive rebound by O. Brissett,,2,38,33,5,734.0
11:31.0, ,33-38,O. Brissett misses 3-pt jump shot from 25 ft,,2,38,33,5,749.0
11:29.0,Defensive rebound by S. Dinwiddie,33-38, ,,2,38,33,5,751.0
11:27.0,Turnover by S. Dinwiddie (bad pass; steal by O. Brissett),33-38, ,,2,38,33,5,753.0
11:26.0, ,33-38,Personal foul by T. Watford (drawn by O. Brissett),,2,38,33,5,754.0
11:09.0, ,33-38,J. Holiday misses 2-pt jump shot from 19 ft,,2,38,33,5,771.0
11:07.0,Defensive rebound by S. Dinwiddie,33-38, ,,2,38,33,5,773.0
10:52.0,T. Watford misses 2-pt layup from 3 ft,33-38, ,,2,38,33,5,788.0
10:50.0, ,33-38,Defensive rebound by O. Brissett,,2,38,33,5,790.0
10:39.0, ,33-38,Turnover by S. Mykhailiuk (bad pass),,2,38,33,5,801.0
10:39.0, ,33-38,Loose ball foul by J. Holiday (drawn by M. Bridges),,2,38,33,5,801.0
10:39.0,R. O'Neale enters the game for T. Watford,33-38, ,,2,38,33,5,801.0
10:27.0,Turnover by M. Bridges (lost ball; steal by P. Pritchard),33-38, ,,2,38,33,5,813.0
10:27.0, ,33-38,Personal foul by M. Bridges (drawn by P. Pritchard),,2,38,33,5,813.0
10:27.0, ,33-38,Instant Replay (Request: Stands),,2,38,33,5,813.0
10:27.0, ,33-38,J. Tatum misses free throw 1 of 1,,2,38,33,5,813.0
10:27.0, ,33-38,Offensive rebound by Team,,2,38,33,5,813.0
10:06.0, ,33-38,J. Holiday misses 3-pt jump shot from 27 ft,,2,38,33,5,834.0
10:03.0, ,33-38,Offensive rebound by P. Pritchard,,2,38,33,5,837.0
9:51.0, ,33-38,O. Brissett misses 3-pt jump shot from 24 ft,,2,38,33,5,849.0
9:48.0,Defensive rebound by R. O'Neale,33-38, ,,2,38,33,5,852.0
9:42.0,Shooting foul by S. Mykhailiuk (drawn by S. Dinwiddie),33-38, ,,2,38,33,5,858.0
9:42.0,S. Dinwiddie makes free throw 1 of 2,34-38, ,,2,38,34,4,858.0
9:42.0, ,34-38,K. Porziņģis enters the game for O. Brissett,,2,38,34,4,858.0
9:42.0,S. Dinwiddie makes free throw 2 of 2,35-38, ,,2,38,35,3,858.0
9:26.0, ,35-40,J. Holiday makes 2-pt layup from 6 ft,,2,40,35,5,874.0
9:03.0,R. O'Neale misses 3-pt jump shot from 26 ft,35-40, ,,2,40,35,5,897.0
9:01.0,Offensive rebound by A. Brooks,35-40, ,,2,40,35,5,899.0
9:01.0,A. Brooks misses 2-pt layup at rim,35-40, ,,2,40,35,5,899.0
8:58.0,Offensive rebound by D. Finney-Smith,35-40, ,,2,40,35,5,902.0
