A,B,C,D,E,F,Event
4:04.0, , ,24-18, ,Violation by Team (delay of game),
3:53.0,Shooting foul by R. O'Neale (drawn by J. Brown), ,24-18, , ,
3:53.0,J. Brown makes free throw 1 of 2,+1,25-18, , ,
3:53.0,O. Brissett enters the game for J. Holiday, ,25-18, , ,
3:53.0, , ,25-18, ,T. Watford enters the game for R. O'Neale,
3:53.0,J. Brown makes free throw 2 of 2,+1,26-18, , ,
3:32.0, , ,26-20,+2,L. Walker makes 2-pt layup from 3 ft (assist by T. Watford),
3:18.0,K. Porziņģis misses 3-pt jump shot from 27 ft, ,26-20, , ,
3:15.0, , ,26-20, ,Defensive rebound by L. Walker,
3:10.0, , ,26-20, ,Shooting foul by J. Brown (drawn by L. Walker),
3:10.0, , ,26-21,+1,L. Walker makes free throw 1 of 2,
3:10.0, , ,26-21, ,S. Dinwiddie enters the game for M. Bridges,
3:10.0, , ,26-21, ,D. Sharpe enters the game for D. Finney-Smith,
3:10.0, , ,26-22,+1,L. Walker makes free throw 2 of 2,
2:53.0,J. Brown misses 3-pt jump shot from 25 ft, ,26-22, , ,
2:49.0, , ,26-22, ,Defensive rebound by T. Watford,
2:41.0, , ,26-24,+2,L. Walker makes 2-pt jump shot from 21 ft,
2:29.0,Shooting foul by T. Watford (drawn by K. Porziņģis), ,26-24, , ,
2:29.0,Boston full timeout, ,26-24, , ,
2:29.0,J. Tatum enters the game for J. Brown, ,26-24, , ,
2:29.0,K. Porziņģis makes free throw 1 of 2,+1,27-24, , ,
2:29.0,K. Porziņģis misses free throw 2 of 2, ,27-24, , ,
2:26.0, , ,27-24, ,Defensive rebound by T. Watford,
2:10.0, , ,27-26,+2,D. Sharpe makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),
1:50.0,O. Brissett makes 3-pt jump shot from 26 ft (assist by P. Pritchard),+3,30-26, , ,
1:36.0, , ,30-29,+3,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by D. Smith),
1:26.0,Shooting foul by S. Dinwiddie (drawn by K. Porziņģis), ,30-29, , ,
1:26.0,K. Porziņģis makes free throw 1 of 2,+1,31-29, , ,
1:26.0,K. Porziņģis misses free throw 2 of 2, ,31-29, , ,
1:24.0, , ,31-29, ,Defensive rebound by D. Sharpe,
1:09.0, , ,31-29, ,L. Walker misses 2-pt jump shot from 2 ft,
1:07.0, , ,31-29, ,Offensive rebound by D. Sharpe,
1:07.0, , ,31-31,+2,D. Sharpe makes 2-pt layup at rim,Tie
1:07.0,Technical foul by K. Porziņģis, ,31-31, , ,
1:07.0, , ,31-31, ,S. Dinwiddie misses technical free throw,
1:07.0,Defensive rebound by Team, ,31-31, , ,
1:03.0,P. Pritchard misses 3-pt jump shot from 25 ft, ,31-31, , ,
0:58.0, , ,31-31, ,Defensive rebound by D. Smith,
0:43.0, , ,31-31, ,D. Smith misses 3-pt jump shot from 26 ft,
0:40.0,Defensive rebound by O. Brissett, ,31-31, , ,
0:35.0,J. Tatum misses 2-pt layup from 5 ft (block by D. Smith), ,31-31, , ,
0:35.0,Offensive rebound by Team, ,31-31, , ,
0:35.0,L. Kornet enters the game for K. Porziņģis, ,31-31, , ,
0:35.0, , ,31-31, ,D. Finney-Smith enters the game for D. Sharpe,
0:32.0,S. Hauser makes 3-pt jump shot from 28 ft (assist by J. Tatum),+3,34-31, , ,
0:17.0, , ,34-31, ,Personal foul by P. Pritchard (drawn by D. Smith),
0:17.0,J. Holiday enters the game for L. Kornet, ,34-31, , ,
0:17.0, , ,34-31, ,M. Bridges enters the game for D. Smith,
0:17.0, , ,34-31, ,C. Thomas enters the game for T. Watford,
0:03.0, , ,34-33,+2,C. Thomas makes 2-pt jump shot from 11 ft,
0:03.0, , ,34-33, ,Shooting foul by S. Hauser (drawn by C. Thomas),
0:03.0, , ,34-33, ,R. O'Neale enters the game for L. Walker,
0:03.0, , ,34-34,+1,C. Thomas makes free throw 1 of 1,Tie
0:00.0,P. Pritchard misses 3-pt jump shot from 25 ft, ,34-34, , ,
0:00.0,Offensive rebound by Team, ,34-34, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Boston,,Score,,Brooklyn,
12:00.0,Start of 2nd quarter,
11:46.0, , ,34-34, ,D. Finney-Smith misses 3-pt jump shot from 23 ft,
11:43.0,Defensive rebound by L. Kornet, ,34-34, , ,
11:37.0,J. Tatum misses 2-pt layup from 2 ft (block by M. Bridges), ,34-34, , ,
11:33.0,Offensive rebound by J. Holiday, ,34-34, , ,
11:21.0,J. Holiday misses 2-pt jump shot from 12 ft, ,34-34, , ,
11:19.0, , ,34-34, ,Defensive rebound by D. Sharpe,
11:07.0, , ,34-34, ,Shooting foul by L. Kornet (drawn by D. Sharpe),
11:07.0, , ,34-35,+1,D. Sharpe makes free throw 1 of 2,Lead change
11:07.0, , ,34-36,+1,D. Sharpe makes free throw 2 of 2,
10:57.0,J. Tatum misses 3-pt jump shot from 24 ft, ,34-36, , ,
10:54.0, , ,34-36, ,Defensive rebound by Team,
10:37.0, , ,34-38,+2,C. Thomas makes 2-pt jump shot from 12 ft (assist by M. Bridges),
10:22.0,O. Brissett misses 3-pt jump shot from 23 ft, ,34-38, , ,
10:20.0, , ,34-38, ,Defensive rebound by M. Bridges,
10:20.0, , ,34-38, ,Personal foul by J. Tatum (drawn by M. Bridges),
10:20.0,A. Horford enters the game for O. Brissett, ,34-38, , ,
10:06.0, , ,34-38, ,C. Thomas misses 2-pt jump shot from 12 ft,
10:02.0,Defensive rebound by L. Kornet, ,34-38, , ,
9:55.0,Shooting foul by M. Bridges (drawn by J. Holiday), ,34-38, , ,
9:55.0,J. Holiday makes free throw 1 of 2,+1,35-38, , ,
9:55.0,P. Pritchard enters the game for S. Hauser, ,35-38, , ,
9:55.0,J. Holiday makes free throw 2 of 2,+1,36-38, , ,
9:43.0, , ,36-41,+3,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),
9:31.0,J. Holiday misses 3-pt jump shot from 24 ft, ,36-41, , ,
9:26.0, , ,36-41, ,Defensive rebound by D. Finney-Smith,
9:23.0, , ,36-41, ,D. Finney-Smith misses 3-pt jump shot from 26 ft,
9:20.0,Defensive rebound by L. Kornet, ,36-41, , ,
9:15.0,L. Kornet makes 2-pt layup from 2 ft (assist by A. Horford),+2,38-41, , ,
8:50.0, , ,38-41, ,C. Thomas misses 2-pt jump shot from 9 ft,
8:48.0,Defensive rebound by A. Horford, ,38-41, , ,
8:41.0,L. Kornet makes 2-pt layup from 3 ft (assist by J. Holiday),+2,40-41, , ,
8:41.0, , ,40-41, ,Brooklyn full timeout,
8:41.0,J. Brown enters the game for L. Kornet, ,40-41, , ,
8:41.0, , ,40-41, ,R. O'Neale enters the game for D. Sharpe,
8:28.0, , ,40-41, ,Shooting foul by P. Pritchard (drawn by S. Dinwiddie),
8:28.0, , ,40-41, ,S. Dinwiddie misses free throw 1 of 2,
8:28.0, , ,40-41, ,Offensive rebound by Team,
8:28.0, , ,40-41, ,S. Dinwiddie misses free throw 2 of 2,
8:26.0,Defensive rebound by J. Brown, ,40-41, , ,
8:13.0,J. Tatum makes 3-pt jump shot from 24 ft,+3,43-41, , ,Lead change
7:49.0, , ,43-41, ,M. Bridges misses 3-pt jump shot from 26 ft,
7:47.0,Defensive rebound by J. Tatum, ,43-41, , ,
7:40.0,J. Tatum makes 2-pt jump shot from 5 ft,+2,45-41, , ,
7:23.0, , ,45-44,+3,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by C. Thomas),
7:09.0,A. Horford misses 3-pt jump shot from 23 ft, ,45-44, , ,
7:05.0, , ,45-44, ,Defensive rebound by S. Dinwiddie,
6:59.0, , ,45-44, ,M. Bridges misses 2-pt jump shot from 10 ft,
6:57.0, , ,45-44, ,Offensive rebound by D. Finney-Smith,
6:50.0, , ,45-44, ,M. Bridges misses 3-pt jump shot from 25 ft,
6:46.0, , ,45-44, ,Offensive rebound by D. Finney-Smith,
6:44.0, , ,45-44, ,C. Thomas misses 3-pt jump shot from 25 ft,
6:40.0,Defensive rebound by J. Holiday, ,45-44, , ,
6:32.0,J. Brown makes 2-pt jump shot from 10 ft,+2,47-44, , ,
6:18.0, , ,47-46,+2,C. Thomas makes 2-pt jump shot from 14 ft,
6:08.0,Turnover by J. Brown (traveling), ,47-46, , ,
6:08.0,K. Porziņģis enters the game for P. Pritchard, ,47-46, , ,
6:08.0, , ,47-46, ,D. Smith enters the game for S. Dinwiddie,
