A,B,C,D,E,F,Event
2:02.0, , ,26-21,+3,J. McDaniels makes 3-pt jump shot from 26 ft (assist by S. Barnes),
2:00.0,Boston full timeout, ,26-21, , ,
2:00.0,P. Pritchard enters the game for J. Holiday, ,26-21, , ,
2:00.0,D. White enters the game for K. Porziņģis, ,26-21, , ,
2:00.0, , ,26-21, ,R. Barrett enters the game for P. Siakam,
1:45.0,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),+3,29-21, , ,
1:31.0, , ,29-23,+2,R. Barrett makes 2-pt layup at rim (assist by T. Young),
1:15.0,S. Hauser misses 2-pt jump shot from 10 ft, ,29-23, , ,
1:12.0, , ,29-23, ,Defensive rebound by S. Barnes,
1:03.0, , ,29-25,+2,S. Barnes makes 2-pt hook shot from 6 ft,
0:47.0,D. White misses 3-pt jump shot from 26 ft, ,29-25, , ,
0:44.0, , ,29-25, ,Defensive rebound by J. McDaniels,
0:32.0, , ,29-25, ,T. Young misses 2-pt hook shot from 6 ft,
0:29.0,Defensive rebound by S. Hauser, ,29-25, , ,
0:22.0,Personal foul by T. Young (drawn by J. Tatum), ,29-25, , ,
0:17.0,P. Pritchard misses 3-pt jump shot from 25 ft, ,29-25, , ,
0:14.0, , ,29-25, ,Defensive rebound by R. Barrett,
0:00.0, , ,29-25, ,J. McDaniels misses 3-pt jump shot from 25 ft,
0:00.0, , ,29-25, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Boston,,Score,,Toronto,
12:00.0,Start of 2nd quarter,
11:46.0, , ,29-25, ,Shooting foul by L. Kornet (drawn by C. Boucher),
11:46.0, , ,29-26,+1,C. Boucher makes free throw 1 of 2,
11:46.0, , ,29-27,+1,C. Boucher makes free throw 2 of 2,
11:21.0,A. Horford misses 2-pt jump shot from 21 ft, ,29-27, , ,
11:19.0, , ,29-27, ,Defensive rebound by S. Barnes,
11:15.0, , ,29-30,+3,D. Schröder makes 3-pt jump shot from 24 ft (assist by S. Barnes),Lead change
10:52.0,P. Pritchard misses 2-pt layup from 2 ft, ,29-30, , ,
10:48.0, , ,29-30, ,Defensive rebound by S. Barnes,
10:45.0, , ,29-30, ,R. Barrett misses 3-pt jump shot from 23 ft,
10:43.0, , ,29-30, ,Offensive rebound by J. McDaniels,
10:39.0, , ,29-30, ,C. Boucher misses 3-pt jump shot from 25 ft,
10:36.0,Defensive rebound by P. Pritchard, ,29-30, , ,
10:32.0,A. Horford makes 3-pt jump shot from 26 ft (assist by P. Pritchard),+3,32-30, , ,Lead change
10:11.0, , ,32-32,+2,R. Barrett makes 2-pt layup from 6 ft,Tie
9:52.0,Turnover by D. White (traveling), ,32-32, , ,
9:32.0, , ,32-34,+2,J. McDaniels makes 2-pt hook shot from 6 ft (assist by R. Barrett),Lead change
9:14.0,A. Horford misses 2-pt hook shot from 3 ft, ,32-34, , ,
9:13.0,Offensive rebound by A. Horford, ,32-34, , ,
9:13.0,A. Horford makes 2-pt hook shot at rim,+2,34-34, , ,Tie
9:13.0, , ,34-34, ,Violation by Team (def goaltending),
9:01.0, , ,34-34, ,Turnover by D. Schröder (bad pass),
9:01.0,O. Brissett enters the game for L. Kornet, ,34-34, , ,
8:50.0,D. White makes 3-pt jump shot from 26 ft,+3,37-34, , ,Lead change
8:31.0, , ,37-34, ,D. Schröder misses 3-pt jump shot from 24 ft,
8:28.0,Defensive rebound by P. Pritchard, ,37-34, , ,
8:21.0,D. White makes 3-pt jump shot from 25 ft (assist by A. Horford),+3,40-34, , ,
8:20.0, , ,40-34, ,Toronto full timeout,
8:20.0, , ,40-34, ,J. Porter enters the game for R. Barrett,
8:20.0, , ,40-34, ,I. Quickley enters the game for J. McDaniels,
7:55.0, , ,40-36,+2,I. Quickley makes 2-pt jump shot from 19 ft (assist by D. Schröder),
7:28.0,D. White misses 2-pt jump shot from 18 ft (block by J. Porter), ,40-36, , ,
7:25.0, , ,40-36, ,Defensive rebound by S. Barnes,
7:22.0, , ,40-36, ,C. Boucher misses 3-pt jump shot from 25 ft,
7:18.0,Defensive rebound by S. Hauser, ,40-36, , ,
7:05.0,O. Brissett misses 2-pt jump shot from 9 ft, ,40-36, , ,
7:03.0,Offensive rebound by A. Horford, ,40-36, , ,
7:00.0,A. Horford misses 2-pt hook shot from 6 ft, ,40-36, , ,
7:00.0,Offensive rebound by O. Brissett, ,40-36, , ,
6:55.0,O. Brissett misses 2-pt dunk at rim, ,40-36, , ,
6:54.0, , ,40-36, ,Defensive rebound by C. Boucher,
6:50.0, , ,40-36, ,C. Boucher misses 2-pt layup from 5 ft,
6:48.0,Defensive rebound by A. Horford, ,40-36, , ,
6:41.0,D. White misses 3-pt jump shot from 26 ft, ,40-36, , ,
6:38.0, , ,40-36, ,Defensive rebound by S. Barnes,
6:31.0, , ,40-38,+2,D. Schröder makes 2-pt jump shot from 9 ft,
6:16.0,Shooting foul by C. Boucher (drawn by O. Brissett), ,40-38, , ,
6:16.0,O. Brissett makes free throw 1 of 2,+1,41-38, , ,
6:16.0,J. Holiday enters the game for S. Hauser, ,41-38, , ,
6:16.0,K. Porziņģis enters the game for A. Horford, ,41-38, , ,
6:16.0,J. Tatum enters the game for P. Pritchard, ,41-38, , ,
6:16.0, , ,41-38, ,R. Barrett enters the game for S. Barnes,
6:16.0, , ,41-38, ,P. Siakam enters the game for C. Boucher,
6:16.0,O. Brissett makes free throw 2 of 2,+1,42-38, , ,
6:03.0, , ,42-38, ,J. Porter misses 3-pt jump shot from 27 ft,
5:58.0,Defensive rebound by J. Holiday, ,42-38, , ,
5:52.0,D. White misses 2-pt jump shot from 7 ft, ,42-38, , ,
5:52.0, , ,42-38, ,Defensive rebound by I. Quickley,
5:37.0, , ,42-38, ,D. Schröder misses 2-pt layup from 4 ft,
5:35.0,Defensive rebound by J. Tatum, ,42-38, , ,
5:32.0,J. Tatum makes 3-pt jump shot from 26 ft,+3,45-38, , ,
5:13.0, , ,45-40,+2,I. Quickley makes 2-pt jump shot from 13 ft (assist by J. Porter),
4:56.0,D. White misses 2-pt jump shot from 8 ft, ,45-40, , ,
