A,B,C,D,E,F,Event
4:28.0, , ,17-24,+1,D. Lillard makes free throw 1 of 2,
4:28.0, , ,17-24, ,P. Connaughton enters the game for K. Middleton,
4:28.0, , ,17-25,+1,D. Lillard makes free throw 2 of 2,
4:14.0,K. Porziņģis misses 2-pt jump shot from 12 ft, ,17-25, , ,
4:10.0, , ,17-25, ,Defensive rebound by B. Portis,
4:09.0, , ,17-25, ,Shooting foul by S. Hauser (drawn by B. Portis),
4:09.0, , ,17-25, ,B. Portis misses free throw 1 of 2,
4:09.0, , ,17-25, ,Offensive rebound by Team,
4:09.0, , ,17-26,+1,B. Portis makes free throw 2 of 2,
3:54.0,D. White misses 3-pt jump shot from 25 ft, ,17-26, , ,
3:50.0, , ,17-26, ,Defensive rebound by B. Portis,
3:33.0, , ,17-29,+3,M. Beasley makes 3-pt jump shot from 27 ft (assist by D. Lillard),
3:11.0,J. Brown makes 2-pt dunk from 1 ft (assist by K. Porziņģis),+2,19-29, , ,
2:55.0, , ,19-29, ,B. Portis misses 2-pt jump shot from 17 ft,
2:51.0,Defensive rebound by O. Brissett, ,19-29, , ,
2:37.0,O. Brissett makes 2-pt dunk from 1 ft (assist by K. Porziņģis),+2,21-29, , ,
2:37.0, , ,21-29, ,Milwaukee full timeout,
2:37.0,J. Holiday enters the game for J. Brown, ,21-29, , ,
2:37.0,J. Tatum enters the game for D. White, ,21-29, , ,
2:37.0, , ,21-29, ,G. Antetokounmpo enters the game for M. Beasley,
2:37.0, , ,21-29, ,A. Jackson enters the game for B. Lopez,
2:26.0, , ,21-31,+2,G. Antetokounmpo makes 2-pt hook shot from 10 ft (assist by A. Jackson),
2:14.0,O. Brissett makes 2-pt dunk from 1 ft (assist by J. Tatum),+2,23-31, , ,
1:54.0, , ,23-34,+3,B. Portis makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),
1:34.0,J. Holiday misses 2-pt jump shot from 16 ft, ,23-34, , ,
1:30.0, , ,23-34, ,Defensive rebound by D. Lillard,
1:25.0, , ,23-34, ,G. Antetokounmpo misses 2-pt layup from 5 ft,
1:21.0, , ,23-34, ,Offensive rebound by G. Antetokounmpo,
1:21.0, , ,23-36,+2,G. Antetokounmpo makes 2-pt layup at rim,
1:10.0,O. Brissett misses 3-pt jump shot from 23 ft, ,23-36, , ,
1:06.0, , ,23-36, ,Defensive rebound by A. Jackson,
0:46.0, , ,23-39,+3,B. Portis makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),
0:27.0,Turnover by J. Tatum (bad pass; steal by B. Portis), ,23-39, , ,
0:23.0, , ,23-41,+2,B. Portis makes 2-pt layup from 3 ft,
0:03.0,J. Tatum misses 3-pt jump shot from 26 ft, ,23-41, , ,
0:01.0,Offensive rebound by Team, ,23-41, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Boston,,Score,,Milwaukee,
12:00.0,Start of 2nd quarter,
11:36.0, , ,23-41, ,Turnover by Team (shot clock),
11:21.0,J. Holiday misses 3-pt jump shot from 27 ft, ,23-41, , ,
11:16.0,Offensive rebound by S. Hauser, ,23-41, , ,
11:16.0,Turnover by S. Hauser (bad pass), ,23-41, , ,
10:58.0, , ,23-43,+2,G. Antetokounmpo makes 2-pt jump shot from 13 ft (assist by K. Middleton),
10:41.0,P. Pritchard misses 3-pt jump shot from 23 ft, ,23-43, , ,
10:36.0, , ,23-43, ,Defensive rebound by B. Portis,
10:24.0, , ,23-43, ,K. Middleton misses 2-pt jump shot from 10 ft,
10:22.0, , ,23-43, ,Offensive rebound by A. Jackson,
10:20.0, , ,23-46,+3,B. Portis makes 3-pt jump shot from 25 ft (assist by A. Jackson),
10:07.0,S. Hauser misses 3-pt jump shot from 23 ft, ,23-46, , ,
10:03.0, , ,23-46, ,Defensive rebound by B. Portis,
9:54.0, , ,23-46, ,B. Portis misses 3-pt jump shot from 27 ft,
9:51.0, , ,23-46, ,Offensive rebound by G. Antetokounmpo,
9:49.0, , ,23-46, ,K. Middleton misses 3-pt jump shot from 26 ft,
9:46.0, , ,23-46, ,Offensive rebound by P. Connaughton,
9:43.0, , ,23-46, ,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),
9:43.0, , ,23-46, ,G. Antetokounmpo misses free throw 1 of 2,
9:43.0, , ,23-46, ,Offensive rebound by Team,
9:43.0, , ,23-47,+1,G. Antetokounmpo makes free throw 2 of 2,
9:27.0,J. Holiday misses 3-pt jump shot from 23 ft, ,23-47, , ,
9:23.0, , ,23-47, ,Defensive rebound by B. Portis,
9:14.0, , ,23-49,+2,G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by K. Middleton),
9:07.0,P. Pritchard misses 3-pt jump shot from 27 ft, ,23-49, , ,
9:02.0, , ,23-49, ,Defensive rebound by B. Portis,
