A,B,C,D,E,F,Event
3:41.0,Personal foul by O. Brissett (drawn by A. Nembhard), ,19-24, , ,
3:41.0,A. Nesmith enters the game for B. Hield, ,19-24, , ,
3:41.0,J. Smith enters the game for M. Turner, ,19-24, , ,
3:41.0, , ,19-24, ,P. Pritchard enters the game for J. Brown,
3:35.0,P. Siakam misses 2-pt jump shot from 17 ft, ,19-24, , ,
3:33.0, , ,19-24, ,Defensive rebound by P. Pritchard,
3:26.0, , ,19-24, ,K. Porziņģis misses 2-pt jump shot from 13 ft,
3:24.0, , ,19-24, ,Offensive rebound by Team,
3:24.0,O. Toppin enters the game for P. Siakam, ,19-24, , ,
3:21.0, , ,19-26,+2,K. Porziņģis makes 2-pt layup from 4 ft (assist by D. White),
3:07.0,J. Smith misses 3-pt jump shot from 27 ft, ,19-26, , ,
3:03.0, , ,19-26, ,Defensive rebound by O. Brissett,
2:54.0, , ,19-28,+2,D. White makes 2-pt jump shot from 6 ft (assist by P. Pritchard),
2:52.0,Indiana full timeout, ,19-28, , ,
2:52.0,T. Haliburton enters the game for B. Sheppard, ,19-28, , ,
2:38.0,A. Nembhard misses 3-pt jump shot from 25 ft, ,19-28, , ,
2:35.0, , ,19-28, ,Defensive rebound by Team,
2:15.0, , ,19-28, ,K. Porziņģis misses 2-pt jump shot from 16 ft,
2:12.0,Defensive rebound by A. Nesmith, ,19-28, , ,
2:02.0,Turnover by O. Toppin (bad pass; steal by S. Hauser), ,19-28, , ,
1:57.0, , ,19-28, ,P. Pritchard misses 3-pt jump shot from 31 ft,
1:54.0,Defensive rebound by O. Toppin, ,19-28, , ,
1:50.0,A. Nesmith makes 2-pt dunk from 2 ft (assist by O. Toppin),+2,21-28, , ,
1:35.0, , ,21-31,+3,D. White makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),
1:20.0,A. Nembhard misses 2-pt jump shot from 9 ft, ,21-31, , ,
1:18.0, , ,21-31, ,Defensive rebound by P. Pritchard,
1:13.0, , ,21-31, ,K. Porziņģis misses 3-pt jump shot from 30 ft,
1:09.0,Defensive rebound by A. Nesmith, ,21-31, , ,
1:04.0,A. Nembhard misses 3-pt jump shot from 27 ft, ,21-31, , ,
1:04.0,Offensive rebound by O. Toppin, ,21-31, , ,
1:00.0,O. Toppin makes 2-pt layup from 2 ft,+2,23-31, , ,
0:49.0, , ,23-34,+3,D. White makes 3-pt jump shot from 27 ft,
0:36.0,T. Haliburton misses 2-pt layup from 7 ft (block by K. Porziņģis), ,23-34, , ,
0:33.0, , ,23-34, ,Defensive rebound by K. Porziņģis,
0:30.0, , ,23-34, ,P. Pritchard misses 2-pt jump shot from 21 ft,
0:30.0,Defensive rebound by Team, ,23-34, , ,
0:30.0, , ,23-34, ,N. Queta enters the game for K. Porziņģis,
0:23.0,T. Haliburton misses 3-pt jump shot from 27 ft, ,23-34, , ,
0:20.0,Offensive rebound by O. Toppin, ,23-34, , ,
0:19.0,Personal foul by P. Pritchard (drawn by T. Haliburton), ,23-34, , ,
