A,B,C,D,E,F,Event
1st Q
Time,Chicago,,Score,,Boston,
12:00.0,Jump ball: N. Vučević vs. A. Horford (C. White gains possession),
11:50.0,Personal foul by D. White (drawn by D. DeRozan), ,0-0, , ,
11:45.0,D. DeRozan misses 2-pt jump shot from 18 ft, ,0-0, , ,
11:43.0, , ,0-0, ,Defensive rebound by J. Brown,
11:36.0, , ,0-0, ,A. Horford misses 3-pt jump shot from 27 ft,
11:35.0,Defensive rebound by Z. LaVine, ,0-0, , ,
11:14.0,Z. LaVine misses 3-pt jump shot from 26 ft, ,0-0, , ,
11:13.0, , ,0-0, ,Defensive rebound by D. White,
11:02.0, , ,0-0, ,J. Tatum misses 3-pt jump shot from 29 ft,
11:00.0,Defensive rebound by N. Vučević, ,0-0, , ,
10:53.0,C. White misses 3-pt jump shot from 29 ft, ,0-0, , ,
10:51.0,Offensive rebound by P. Williams, ,0-0, , ,
10:38.0,P. Williams misses 3-pt jump shot from 27 ft, ,0-0, , ,
10:37.0, , ,0-0, ,Defensive rebound by A. Horford,
10:30.0, , ,0-3,+3,J. Brown makes 3-pt jump shot from 28 ft (assist by J. Holiday),
10:05.0,P. Williams makes 3-pt jump shot from 23 ft (assist by D. DeRozan),+3,3-3, , ,Tie
9:49.0, , ,3-3, ,Turnover by J. Tatum (bad pass; steal by P. Williams),
9:36.0,N. Vučević makes 2-pt layup from 4 ft (assist by D. DeRozan),+2,5-3, , ,Lead change
9:20.0, , ,5-5,+2,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),Tie
9:01.0,Personal foul by J. Tatum (drawn by N. Vučević), ,5-5, , ,
8:47.0,C. White makes 3-pt jump shot from 22 ft (assist by Z. LaVine),+3,8-5, , ,
8:40.0, , ,8-5, ,Personal foul by Z. LaVine (drawn by J. Brown),
8:31.0, , ,8-8,+3,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. White),Tie
8:17.0,D. DeRozan misses 2-pt jump shot from 13 ft, ,8-8, , ,
8:16.0, , ,8-8, ,Defensive rebound by J. Brown,
8:10.0, , ,8-8, ,J. Brown misses 3-pt jump shot from 27 ft,
8:09.0,Defensive rebound by D. DeRozan, ,8-8, , ,
7:51.0,N. Vučević makes 2-pt jump shot from 7 ft (assist by C. White),+2,10-8, , ,
7:31.0, , ,10-8, ,J. Tatum misses 3-pt jump shot from 29 ft,
7:29.0,Defensive rebound by D. DeRozan, ,10-8, , ,
7:16.0,C. White misses 3-pt jump shot from 25 ft, ,10-8, , ,
7:13.0, , ,10-8, ,Defensive rebound by J. Brown,
7:09.0, , ,10-8, ,J. Brown misses 2-pt layup from 3 ft,
7:08.0, , ,10-8, ,Offensive rebound by J. Holiday,
7:07.0, , ,10-10,+2,J. Holiday makes 2-pt layup from 4 ft,Tie
6:57.0,N. Vučević misses 2-pt jump shot from 17 ft, ,10-10, , ,
6:57.0, , ,10-10, ,Defensive rebound by J. Holiday,
6:43.0, , ,10-13,+3,J. Brown makes 3-pt jump shot from 25 ft (assist by A. Horford),Lead change
6:28.0,Z. LaVine misses 2-pt layup from 3 ft (block by A. Horford), ,10-13, , ,
6:27.0,Offensive rebound by Z. LaVine, ,10-13, , ,
6:24.0,D. DeRozan makes 3-pt jump shot from 26 ft (assist by P. Williams),+3,13-13, , ,Tie
6:22.0, , ,13-13, ,Boston full timeout,
6:22.0,A. Dosunmu enters the game for C. White, ,13-13, , ,
6:22.0, , ,13-13, ,D. Banton enters the game for J. Tatum,
6:22.0, , ,13-13, ,S. Hauser enters the game for D. White,
6:07.0, , ,13-13, ,S. Hauser misses 3-pt jump shot from 27 ft,
6:05.0, , ,13-13, ,Offensive rebound by J. Brown,
6:02.0, , ,13-13, ,Turnover by J. Brown (lost ball; steal by Z. LaVine),
5:54.0,N. Vučević misses 3-pt jump shot from 27 ft, ,13-13, , ,
5:52.0, , ,13-13, ,Defensive rebound by A. Horford,
5:47.0, , ,13-13, ,Turnover by J. Holiday (bad pass; steal by N. Vučević),
5:40.0,Z. LaVine misses 2-pt jump shot from 23 ft, ,13-13, , ,
5:38.0, , ,13-13, ,Defensive rebound by S. Hauser,
5:23.0, , ,13-16,+3,J. Brown makes 3-pt jump shot from 28 ft (assist by J. Holiday),
4:59.0,N. Vučević misses 2-pt hook shot from 9 ft, ,13-16, , ,
4:57.0, , ,13-16, ,Defensive rebound by J. Brown,
4:45.0, , ,13-19,+3,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Holiday),
4:45.0,Chicago full timeout, ,13-19, , ,
4:45.0,A. Caruso enters the game for D. DeRozan, ,13-19, , ,
4:45.0, , ,13-19, ,P. Pritchard enters the game for J. Holiday,
4:27.0,A. Dosunmu misses 2-pt jump shot from 8 ft, ,13-19, , ,
4:26.0, , ,13-19, ,Defensive rebound by A. Horford,
4:13.0, , ,13-19, ,J. Brown misses 3-pt jump shot from 25 ft,
4:12.0,Defensive rebound by N. Vučević, ,13-19, , ,
4:07.0,A. Caruso misses 2-pt layup from 5 ft (block by D. Banton), ,13-19, , ,
4:06.0,Offensive rebound by Team, ,13-19, , ,
4:06.0,T. Craig enters the game for P. Williams, ,13-19, , ,
4:06.0, , ,13-19, ,L. Kornet enters the game for A. Horford,
3:57.0,Z. LaVine misses 2-pt jump shot from 18 ft, ,13-19, , ,
3:56.0, , ,13-19, ,Defensive rebound by S. Hauser,
3:45.0, , ,13-22,+3,P. Pritchard makes 3-pt jump shot from 29 ft (assist by J. Brown),
3:23.0,A. Caruso misses 3-pt jump shot from 27 ft, ,13-22, , ,
3:21.0, , ,13-22, ,Defensive rebound by P. Pritchard,
3:11.0, , ,13-22, ,D. Banton misses 3-pt jump shot from 28 ft,
3:10.0, , ,13-22, ,Offensive rebound by L. Kornet,
3:10.0,D. DeRozan enters the game for Z. LaVine, ,13-22, , ,
3:10.0,A. Drummond enters the game for N. Vučević, ,13-22, , ,
3:10.0, , ,13-22, ,J. Tatum enters the game for J. Brown,
3:06.0, , ,13-25,+3,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Tatum),
2:39.0,A. Caruso makes 3-pt jump shot from 27 ft (assist by D. DeRozan),+3,16-25, , ,
2:16.0, , ,16-25, ,S. Hauser misses 3-pt jump shot from 27 ft,
2:15.0,Defensive rebound by A. Drummond, ,16-25, , ,
1:59.0,A. Dosunmu misses 2-pt layup from 6 ft (block by L. Kornet), ,16-25, , ,
1:57.0,Offensive rebound by A. Caruso, ,16-25, , ,
