A,B,C,D,E,F,Event
3:38.0,Defensive rebound by B. Fernando, ,16-23, , ,
3:30.0,Shooting foul by M. Bridges (drawn by B. Bogdanović), ,16-23, , ,
3:30.0,B. Bogdanović makes free throw 1 of 2,+1,17-23, , ,
3:30.0,J. Johnson enters the game for S. Bey, ,17-23, , ,
3:30.0,G. Mathews enters the game for B. Fernando, ,17-23, , ,
3:30.0,T. Young enters the game for D. Murray, ,17-23, , ,
3:30.0, , ,17-23, ,S. Curry enters the game for T. Mann,
3:30.0, , ,17-23, ,V. Micić enters the game for C. Martin,
3:30.0, , ,17-23, ,G. Williams enters the game for N. Richards,
3:30.0,B. Bogdanović makes free throw 2 of 2,+1,18-23, , ,
3:05.0, , ,18-23, ,M. Bridges misses 2-pt jump shot from 19 ft,
3:03.0,Defensive rebound by J. Johnson, ,18-23, , ,
2:56.0,J. Johnson misses 2-pt layup from 1 ft, ,18-23, , ,
2:54.0, , ,18-23, ,Defensive rebound by G. Williams,
2:45.0, , ,18-25,+2,G. Williams makes 2-pt jump shot from 4 ft (assist by V. Micić),
2:31.0,T. Young makes 3-pt jump shot from 25 ft,+3,21-25, , ,
2:17.0, , ,21-25, ,Shooting foul by J. Johnson (drawn by M. Bridges),
2:17.0, , ,21-25, ,Charlotte full timeout,
2:17.0, , ,21-25, ,T. Mann enters the game for B. Miller,
2:17.0, , ,21-26,+1,M. Bridges makes free throw 1 of 2,
2:17.0, , ,21-27,+1,M. Bridges makes free throw 2 of 2,
2:07.0,Shooting foul by M. Bridges (drawn by D. Hunter), ,21-27, , ,
2:07.0,D. Hunter makes free throw 1 of 2,+1,22-27, , ,
2:07.0, , ,22-27, ,N. Richards enters the game for M. Bridges,
2:07.0,D. Hunter makes free throw 2 of 2,+1,23-27, , ,
1:53.0, , ,23-29,+2,V. Micić makes 2-pt layup from 2 ft,
1:46.0,Personal foul by V. Micić (drawn by T. Young), ,23-29, , ,
1:41.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),+3,26-29, , ,
1:20.0, , ,26-29, ,G. Williams misses 3-pt jump shot from 26 ft,
1:17.0,Defensive rebound by B. Bogdanović, ,26-29, , ,
1:06.0,J. Johnson makes 2-pt dunk from 1 ft (assist by B. Bogdanović),+2,28-29, , ,
0:45.0, , ,28-29, ,V. Micić misses 3-pt jump shot from 26 ft,
0:44.0, , ,28-29, ,Offensive rebound by Team,
0:44.0,Loose ball foul by J. Johnson (drawn by N. Richards), ,28-29, , ,
0:44.0,B. Fernando enters the game for J. Johnson, ,28-29, , ,
0:36.0, , ,28-29, ,G. Williams misses 3-pt jump shot from 26 ft,
0:34.0, , ,28-29, ,Offensive rebound by G. Williams,
0:26.0, , ,28-29, ,T. Mann misses 2-pt jump shot from 12 ft,
0:23.0,Defensive rebound by B. Bogdanović, ,28-29, , ,
0:02.0,D. Hunter makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),+3,31-29, , ,Lead change
