A,B,C,D,E,F,Event
3:04.0,G. Mathews misses 3-pt jump shot from 22 ft, ,18-23, , ,
3:00.0, , ,18-23, ,Defensive rebound by S. Aldama,
2:52.0, , ,18-25,+2,S. Aldama makes 2-pt layup from 2 ft (assist by J. LaRavia),
2:52.0,Atlanta full timeout, ,18-25, , ,
2:52.0,T. Forrest enters the game for S. Bey, ,18-25, , ,
2:52.0,W. Matthews enters the game for D. Murray, ,18-25, , ,
2:52.0, , ,18-25, ,W. Gabriel enters the game for S. Aldama,
2:52.0, , ,18-25, ,T. Jemison enters the game for J. Goodwin,
2:52.0, , ,18-25, ,V. Williams enters the game for J. Jackson,
2:37.0,D. Hunter misses 2-pt jump shot from 22 ft, ,18-25, , ,
2:34.0, , ,18-25, ,Defensive rebound by V. Williams,
2:27.0, , ,18-28,+3,L. Stevens makes 3-pt jump shot from 25 ft (assist by V. Williams),
2:05.0,D. Hunter misses 2-pt jump shot from 14 ft, ,18-28, , ,
2:00.0, , ,18-28, ,Defensive rebound by L. Stevens,
1:54.0, , ,18-28, ,V. Williams misses 3-pt jump shot from 25 ft,
1:51.0,Defensive rebound by B. Fernando, ,18-28, , ,
1:32.0,T. Forrest misses 2-pt jump shot from 10 ft, ,18-28, , ,
1:29.0, , ,18-28, ,Defensive rebound by V. Williams,
1:24.0, , ,18-31,+3,J. LaRavia makes 3-pt jump shot from 23 ft (assist by V. Williams),
1:06.0,D. Hunter misses 2-pt jump shot from 17 ft, ,18-31, , ,
1:02.0, , ,18-31, ,Defensive rebound by L. Stevens,
0:41.0, , ,18-31, ,L. Stevens misses 2-pt jump shot from 16 ft,
0:38.0,Defensive rebound by G. Mathews, ,18-31, , ,
0:32.0,Personal foul by L. Stevens (drawn by G. Mathews), ,18-31, , ,
0:23.0,T. Forrest makes 2-pt jump shot from 8 ft (assist by D. Hunter),+2,20-31, , ,
0:08.0, , ,20-31, ,Personal take foul by G. Mathews (drawn by J. LaRavia),
0:05.0, , ,20-31, ,V. Williams misses 3-pt jump shot from 26 ft,
0:05.0, , ,20-31, ,Offensive rebound by W. Gabriel,
0:00.0, , ,20-31, ,W. Gabriel misses 2-pt hook shot from 2 ft,
0:00.0, , ,20-31, ,Offensive rebound by L. Stevens,
0:00.0, , ,20-31, ,L. Stevens misses 2-pt layup at rim,
0:00.0, , ,20-31, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Atlanta,,Score,,Memphis,
12:00.0,Start of 2nd quarter,
11:39.0,Turnover by D. Hunter (bad pass; steal by J. LaRavia), ,20-31, , ,
11:19.0, , ,20-31, ,J. LaRavia misses 3-pt jump shot from 24 ft,
11:14.0,Defensive rebound by T. Forrest, ,20-31, , ,
11:01.0,Turnover by B. Bogdanović (bad pass; steal by W. Gabriel), ,20-31, , ,
10:56.0, , ,20-33,+2,L. Stevens makes 2-pt dunk from 1 ft (assist by V. Williams),
10:43.0,D. Hunter misses 3-pt jump shot from 26 ft, ,20-33, , ,
10:39.0, , ,20-33, ,Defensive rebound by T. Jemison,
10:30.0, , ,20-33, ,T. Jemison misses 2-pt layup from 4 ft,
10:27.0,Defensive rebound by B. Fernando, ,20-33, , ,
10:23.0,D. Hunter misses 3-pt jump shot from 23 ft, ,20-33, , ,
10:17.0, , ,20-33, ,Defensive rebound by L. Stevens,
10:09.0, , ,20-33, ,Shooting foul by D. Hunter (drawn by V. Williams),
10:09.0, , ,20-33, ,V. Williams misses free throw 1 of 2,
10:09.0, , ,20-33, ,Offensive rebound by Team,
10:09.0,V. Krejci enters the game for T. Forrest, ,20-33, , ,
10:09.0,D. Murray enters the game for W. Matthews, ,20-33, , ,
10:09.0, , ,20-33, ,J. Konchar enters the game for J. LaRavia,
10:09.0, , ,20-34,+1,V. Williams makes free throw 2 of 2,
9:52.0,Personal foul by V. Williams (drawn by V. Krejci), ,20-34, , ,
9:44.0,Shooting foul by T. Jemison (drawn by B. Fernando), ,20-34, , ,
9:44.0,B. Fernando makes free throw 1 of 2,+1,21-34, , ,
9:44.0,B. Fernando misses free throw 2 of 2, ,21-34, , ,
9:42.0, , ,21-34, ,Defensive rebound by W. Gabriel,
9:30.0, , ,21-34, ,Turnover by V. Williams (lost ball; steal by V. Krejci),
9:24.0,B. Bogdanović misses 3-pt jump shot from 25 ft, ,21-34, , ,
9:22.0, , ,21-34, ,Defensive rebound by Team,
9:06.0, , ,21-34, ,Turnover by T. Jemison (bad pass),
8:49.0,D. Murray makes 2-pt jump shot from 11 ft,+2,23-34, , ,
8:32.0, , ,23-34, ,L. Stevens misses 2-pt jump shot from 10 ft,
8:25.0,Defensive rebound by B. Bogdanović, ,23-34, , ,
8:16.0,D. Murray makes 2-pt jump shot from 11 ft,+2,25-34, , ,
8:16.0,Shooting foul by V. Williams (drawn by D. Murray), ,25-34, , ,
8:16.0,G. Mathews enters the game for B. Bogdanović, ,25-34, , ,
8:16.0, , ,25-34, ,Memphis full timeout,
8:16.0,S. Bey enters the game for D. Hunter, ,25-34, , ,
8:16.0,D. Murray makes free throw 1 of 1,+1,26-34, , ,
8:03.0, , ,26-34, ,Shooting foul by B. Fernando (drawn by T. Jemison),
8:03.0, , ,26-34, ,T. Jemison misses free throw 1 of 2,
8:03.0, , ,26-34, ,Offensive rebound by Team,
8:03.0, , ,26-35,+1,T. Jemison makes free throw 2 of 2,
7:47.0,V. Krejci misses 3-pt jump shot from 26 ft, ,26-35, , ,
7:43.0,Offensive rebound by G. Mathews, ,26-35, , ,
7:43.0,Turnover by S. Bey (step out of bounds), ,26-35, , ,
7:25.0, , ,26-37,+2,T. Jemison makes 2-pt dunk from 2 ft (assist by W. Gabriel),
7:03.0,G. Mathews makes 3-pt jump shot from 22 ft (assist by V. Krejci),+3,29-37, , ,
6:46.0, , ,29-37, ,L. Stevens misses 2-pt jump shot from 14 ft,
6:42.0,Defensive rebound by D. Murray, ,29-37, , ,
6:32.0,Turnover by B. Fernando (3 sec), ,29-37, , ,
6:32.0, , ,29-37, ,S. Aldama enters the game for W. Gabriel,
6:32.0, , ,29-37, ,J. Goodwin enters the game for T. Jemison,
6:32.0, , ,29-37, ,J. Jackson enters the game for V. Williams,
6:13.0, , ,29-37, ,Personal foul by D. Murray (drawn by J. Jackson),
6:13.0,B. Bogdanović enters the game for B. Fernando, ,29-37, , ,
6:13.0,C. Capela enters the game for G. Mathews, ,29-37, , ,
6:00.0, , ,29-37, ,L. Stevens misses 2-pt jump shot from 16 ft,
5:56.0,Defensive rebound by C. Capela, ,29-37, , ,
5:45.0,D. Murray makes 2-pt jump shot from 13 ft,+2,31-37, , ,
5:29.0, , ,31-37, ,J. Goodwin misses 2-pt layup from 3 ft,
5:26.0,Defensive rebound by S. Bey, ,31-37, , ,
5:17.0,C. Capela makes 2-pt dunk from 1 ft (assist by V. Krejci),+2,33-37, , ,
4:59.0, , ,33-40,+3,J. Konchar makes 3-pt jump shot from 23 ft (assist by J. Goodwin),
4:52.0,Personal take foul by L. Stevens (drawn by D. Murray), ,33-40, , ,
4:52.0,D. Hunter enters the game for V. Krejci, ,33-40, , ,
4:52.0, , ,33-40, ,J. LaRavia enters the game for J. Konchar,
4:45.0,B. Bogdanović misses 2-pt layup from 4 ft, ,33-40, , ,
4:43.0, , ,33-40, ,Defensive rebound by Team,
4:25.0, , ,33-40, ,J. Jackson misses 3-pt jump shot from 25 ft,
4:20.0, , ,33-40, ,Offensive rebound by S. Aldama,
4:18.0, , ,33-40, ,J. Goodwin misses 3-pt jump shot from 25 ft,
4:15.0,Defensive rebound by D. Murray, ,33-40, , ,
4:04.0,Shooting foul by J. Goodwin (drawn by C. Capela), ,33-40, , ,
4:04.0,C. Capela makes free throw 1 of 2,+1,34-40, , ,
4:04.0,C. Capela makes free throw 2 of 2,+1,35-40, , ,
3:50.0, , ,35-40, ,L. Stevens misses 3-pt jump shot from 23 ft,
3:47.0,Defensive rebound by B. Bogdanović, ,35-40, , ,
3:45.0,Turnover by B. Bogdanović (lost ball; steal by J. LaRavia), ,35-40, , ,
3:44.0, , ,35-40, ,Shooting foul by B. Bogdanović (drawn by J. LaRavia),
3:44.0, , ,35-41,+1,J. LaRavia makes free throw 1 of 2,
3:44.0, , ,35-41, ,V. Williams enters the game for L. Stevens,
3:44.0, , ,35-42,+1,J. LaRavia makes free throw 2 of 2,
3:30.0,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by C. Capela),+2,37-42, , ,
3:13.0, , ,37-42, ,J. LaRavia misses 3-pt jump shot from 25 ft,
3:08.0,Defensive rebound by S. Bey, ,37-42, , ,
2:59.0,S. Bey misses 3-pt jump shot from 26 ft, ,37-42, , ,
2:55.0, , ,37-42, ,Defensive rebound by V. Williams,
2:41.0, , ,37-44,+2,J. Jackson makes 2-pt jump shot from 5 ft (assist by J. LaRavia),
2:30.0,D. Murray makes 2-pt jump shot from 4 ft,+2,39-44, , ,
2:13.0, , ,39-44, ,J. LaRavia misses 2-pt layup from 3 ft,
2:10.0,Defensive rebound by C. Capela, ,39-44, , ,
2:08.0,Shooting foul by J. Goodwin (drawn by S. Bey), ,39-44, , ,
2:08.0,Atlanta full timeout, ,39-44, , ,
2:08.0,S. Bey makes free throw 1 of 2,+1,40-44, , ,
2:08.0,S. Bey misses free throw 2 of 2, ,40-44, , ,
2:07.0, , ,40-44, ,Defensive rebound by S. Aldama,
1:50.0, , ,40-44, ,J. Jackson misses 3-pt jump shot from 26 ft,
1:49.0,Defensive rebound by Team, ,40-44, , ,
1:27.0,C. Capela misses 2-pt layup from 4 ft, ,40-44, , ,
1:23.0, , ,40-44, ,Defensive rebound by J. Jackson,
1:14.0, , ,40-44, ,J. LaRavia misses 2-pt layup from 2 ft,
1:12.0, , ,40-44, ,Offensive rebound by J. LaRavia,
1:12.0, , ,40-44, ,J. Konchar enters the game for V. Williams,
1:07.0, , ,40-44, ,J. LaRavia misses 3-pt jump shot from 24 ft,
1:02.0,Defensive rebound by D. Murray, ,40-44, , ,
0:53.0,D. Hunter makes 3-pt jump shot from 23 ft (assist by D. Murray),+3,43-44, , ,
0:38.0, , ,43-44, ,Turnover by S. Aldama (lost ball; steal by D. Hunter),
0:30.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Murray),+3,46-44, , ,Lead change
0:14.0, , ,46-44, ,J. Goodwin misses 2-pt jump shot from 9 ft (block by B. Bogdanović),
0:14.0, , ,46-44, ,Offensive rebound by Team,
0:10.0, , ,46-46,+2,J. Jackson makes 2-pt jump shot from 5 ft (assist by J. Goodwin),Tie
0:01.0,D. Murray misses 3-pt jump shot from 28 ft, ,46-46, , ,
0:01.0,Offensive rebound by Team, ,46-46, , ,
0:00.0,End of 2nd quarter,
3rd Q,
Time,Atlanta,,Score,,Memphis,
12:00.0,Start of 3rd quarter,
11:36.0,C. Capela makes 2-pt layup from 2 ft (assist by B. Bogdanović),+2,48-46, , ,
11:13.0, , ,48-46, ,S. Aldama misses 2-pt layup from 5 ft (block by S. Bey),
11:10.0, , ,48-46, ,Offensive rebound by J. Konchar,
11:07.0, , ,48-48,+2,J. Goodwin makes 2-pt jump shot from 23 ft (assist by J. Konchar),Tie
10:53.0,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by C. Capela),+2,50-48, , ,
10:37.0, , ,50-48, ,J. Goodwin misses 3-pt jump shot from 22 ft,
10:33.0,Defensive rebound by B. Bogdanović, ,50-48, , ,
10:23.0,D. Murray misses 3-pt jump shot from 24 ft, ,50-48, , ,
10:20.0, , ,50-48, ,Defensive rebound by J. Jackson,
10:14.0, , ,50-48, ,J. Jackson misses 2-pt layup from 6 ft,
10:11.0,Defensive rebound by S. Bey, ,50-48, , ,
10:06.0,C. Capela makes 2-pt layup from 2 ft (assist by V. Krejci),+2,52-48, , ,
10:06.0,Shooting foul by J. Jackson (drawn by C. Capela), ,52-48, , ,
10:06.0,C. Capela makes free throw 1 of 1,+1,53-48, , ,
9:46.0, , ,53-48, ,J. Jackson misses 2-pt layup from 4 ft (block by C. Capela),
9:46.0, , ,53-48, ,Offensive rebound by Team,
9:44.0, , ,53-48, ,V. Williams misses 2-pt jump shot from 18 ft,
9:41.0,Defensive rebound by B. Bogdanović, ,53-48, , ,
9:30.0,C. Capela makes 2-pt hook shot from 3 ft (assist by V. Krejci),+2,55-48, , ,
9:17.0, , ,55-48, ,J. Jackson misses 2-pt jump shot from 9 ft,
9:14.0,Defensive rebound by C. Capela, ,55-48, , ,
9:02.0,B. Bogdanović makes 2-pt jump shot from 11 ft,+2,57-48, , ,
9:01.0, , ,57-48, ,Memphis full timeout,
8:50.0, , ,57-51,+3,S. Aldama makes 3-pt jump shot from 23 ft (assist by J. Konchar),
8:24.0,S. Bey misses 2-pt layup from 6 ft (block by J. Jackson), ,57-51, , ,
8:21.0,Offensive rebound by S. Bey, ,57-51, , ,
8:19.0,Turnover by S. Bey (bad pass; steal by J. Jackson), ,57-51, , ,
8:11.0, , ,57-54,+3,V. Williams makes 3-pt jump shot from 26 ft (assist by J. Goodwin),
7:43.0,B. Bogdanović misses 3-pt jump shot from 24 ft, ,57-54, , ,
7:41.0, , ,57-54, ,Defensive rebound by J. Konchar,
7:26.0, , ,57-56,+2,J. Jackson makes 2-pt layup from 3 ft,
7:26.0, , ,57-56, ,Shooting foul by C. Capela (drawn by J. Jackson),
7:26.0, , ,57-57,+1,J. Jackson makes free throw 1 of 1,Tie
7:14.0,D. Murray misses 2-pt jump shot from 14 ft, ,57-57, , ,
7:12.0,Offensive rebound by C. Capela, ,57-57, , ,
7:10.0,C. Capela misses 2-pt layup from 2 ft (block by S. Aldama), ,57-57, , ,
7:07.0,Offensive rebound by V. Krejci, ,57-57, , ,
7:03.0,D. Murray makes 3-pt jump shot from 24 ft (assist by V. Krejci),+3,60-57, , ,
6:48.0, , ,60-57, ,Turnover by V. Williams (bad pass; steal by S. Bey),
6:42.0,C. Capela makes 2-pt layup from 2 ft (assist by S. Bey),+2,62-57, , ,
6:18.0, , ,62-57, ,Turnover by J. Konchar (bad pass; steal by V. Krejci),
6:13.0,Personal foul by V. Williams (drawn by D. Murray), ,62-57, , ,
6:13.0,G. Mathews enters the game for B. Bogdanović, ,62-57, , ,
6:13.0, , ,62-57, ,J. LaRavia enters the game for V. Williams,
6:05.0,C. Capela misses 2-pt layup from 3 ft (block by S. Aldama), ,62-57, , ,
6:01.0,Offensive rebound by S. Bey, ,62-57, , ,
5:55.0,D. Murray makes 2-pt layup from 3 ft,+2,64-57, , ,
5:55.0, , ,64-57, ,Memphis full timeout,
5:33.0, , ,64-57, ,S. Aldama misses 3-pt jump shot from 26 ft,
5:30.0,Defensive rebound by D. Murray, ,64-57, , ,
5:16.0,D. Murray makes 3-pt jump shot from 29 ft (assist by S. Bey),+3,67-57, , ,
5:16.0,B. Fernando enters the game for C. Capela, ,67-57, , ,
5:16.0,D. Hunter enters the game for V. Krejci, ,67-57, , ,
5:16.0, , ,67-57, ,V. Williams enters the game for J. Konchar,
4:56.0, , ,67-57, ,Turnover by V. Williams (traveling),
4:42.0,S. Bey makes 2-pt jump shot from 18 ft,+2,69-57, , ,
4:29.0, , ,69-57, ,Personal foul by D. Hunter (drawn by J. Jackson),
4:23.0, , ,69-57, ,Personal foul by S. Bey (drawn by S. Aldama),
4:16.0, , ,69-57, ,Shooting foul by B. Fernando (drawn by S. Aldama),
4:16.0, , ,69-58,+1,S. Aldama makes free throw 1 of 2,
4:16.0, , ,69-58, ,S. Aldama misses free throw 2 of 2,
4:15.0,Defensive rebound by D. Hunter, ,69-58, , ,
4:15.0,Personal foul by J. LaRavia (drawn by D. Hunter), ,69-58, , ,
3:57.0,S. Bey misses 2-pt jump shot from 20 ft, ,69-58, , ,
3:53.0, , ,69-58, ,Defensive rebound by J. LaRavia,
3:44.0, , ,69-58, ,Shooting foul by D. Hunter (drawn by J. LaRavia),
3:44.0, , ,69-59,+1,J. LaRavia makes free throw 1 of 2,
3:44.0, , ,69-59, ,T. Jemison enters the game for S. Aldama,
3:44.0, , ,69-59, ,L. Stevens enters the game for J. Goodwin,
3:44.0, , ,69-60,+1,J. LaRavia makes free throw 2 of 2,
3:24.0,Turnover by D. Hunter (lost ball; steal by L. Stevens), ,69-60, , ,
3:21.0, , ,69-62,+2,L. Stevens makes 2-pt layup from 6 ft (assist by J. LaRavia),
3:00.0,S. Bey misses 3-pt jump shot from 23 ft, ,69-62, , ,
2:56.0,Offensive rebound by S. Bey, ,69-62, , ,
2:53.0,G. Mathews misses 2-pt jump shot from 6 ft (block by L. Stevens), ,69-62, , ,
2:53.0,Offensive rebound by Team, ,69-62, , ,
2:47.0,D. Murray misses 3-pt jump shot from 24 ft, ,69-62, , ,
2:44.0, , ,69-62, ,Defensive rebound by V. Williams,
2:32.0, , ,69-65,+3,V. Williams makes 3-pt jump shot from 24 ft (assist by J. Jackson),
2:09.0,D. Murray makes 3-pt jump shot from 26 ft,+3,72-65, , ,
1:56.0, , ,72-65, ,Personal foul by D. Hunter (drawn by J. Jackson),
1:56.0, , ,72-66,+1,J. Jackson makes free throw 1 of 2,
1:56.0,B. Bogdanović enters the game for G. Mathews, ,72-66, , ,
1:56.0, , ,72-66, ,J. Jackson misses free throw 2 of 2,
1:54.0,Defensive rebound by B. Fernando, ,72-66, , ,
1:46.0,Turnover by D. Murray (bad pass; steal by T. Jemison), ,72-66, , ,
1:43.0, , ,72-66, ,Turnover by V. Williams (out of bounds lost ball),
1:24.0,D. Murray makes 2-pt jump shot from 17 ft,+2,74-66, , ,
1:12.0, , ,74-66, ,Personal foul by B. Fernando (drawn by V. Williams),
1:12.0, , ,74-67,+1,V. Williams makes free throw 1 of 2,
1:12.0,G. Mathews enters the game for S. Bey, ,74-67, , ,
1:12.0, , ,74-68,+1,V. Williams makes free throw 2 of 2,
1:01.0,G. Mathews makes 3-pt jump shot from 23 ft (assist by D. Murray),+3,77-68, , ,
0:43.0, , ,77-68, ,Shooting foul by G. Mathews (drawn by L. Stevens),
0:43.0, , ,77-69,+1,L. Stevens makes free throw 1 of 2,
0:43.0, , ,77-70,+1,L. Stevens makes free throw 2 of 2,
0:32.0,D. Hunter misses 3-pt jump shot from 25 ft, ,77-70, , ,
0:29.0,Offensive rebound by Team, ,77-70, , ,
0:29.0, , ,77-70, ,Loose ball foul by J. Jackson (drawn by G. Mathews),
0:23.0,D. Hunter makes 2-pt layup from 5 ft (assist by D. Murray),+2,79-70, , ,
0:23.0,Shooting foul by J. Jackson (drawn by D. Hunter), ,79-70, , ,
0:23.0,D. Hunter makes free throw 1 of 1,+1,80-70, , ,
0:02.0, , ,80-72,+2,T. Jemison makes 2-pt dunk from 2 ft (assist by V. Williams),
0:01.0,Turnover by D. Hunter (bad pass; steal by J. LaRavia), ,80-72, , ,
0:00.0, , ,80-72, ,J. LaRavia misses 3-pt jump shot from 26 ft,
0:00.0, , ,80-72, ,Offensive rebound by Team,
0:00.0,End of 3rd quarter,
4th Q,
Time,Atlanta,,Score,,Memphis,
12:00.0,Start of 4th quarter,
11:51.0, , ,80-74,+2,V. Williams makes 2-pt layup from 4 ft,
11:32.0,Turnover by B. Bogdanović (out of bounds lost ball), ,80-74, , ,
11:17.0, , ,80-74, ,Turnover by W. Gabriel (bad pass; steal by B. Fernando),
11:04.0,Personal foul by W. Gabriel (drawn by D. Hunter), ,80-74, , ,
11:00.0,Personal foul by W. Gabriel (drawn by G. Mathews), ,80-74, , ,
10:51.0,B. Bogdanović misses 3-pt jump shot from 26 ft, ,80-74, , ,
10:47.0, , ,80-74, ,Defensive rebound by V. Williams,
10:41.0, , ,80-74, ,Shooting foul by B. Bogdanović (drawn by L. Stevens),
10:41.0, , ,80-75,+1,L. Stevens makes free throw 1 of 2,
10:41.0, , ,80-76,+1,L. Stevens makes free throw 2 of 2,
10:23.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),+3,83-76, , ,
10:04.0, , ,83-76, ,Shooting foul by D. Hunter (drawn by W. Gabriel),
10:04.0, , ,83-76, ,W. Gabriel misses free throw 1 of 2,
10:04.0, , ,83-76, ,Offensive rebound by Team,
10:04.0,V. Krejci enters the game for G. Mathews, ,83-76, , ,
10:04.0, , ,83-76, ,W. Gabriel misses free throw 2 of 2,
10:02.0,Defensive rebound by B. Fernando, ,83-76, , ,
9:41.0,B. Fernando misses 2-pt layup from 7 ft, ,83-76, , ,
9:37.0, , ,83-76, ,Defensive rebound by T. Jemison,
9:21.0, , ,83-76, ,Turnover by V. Williams (bad pass; steal by B. Fernando),
9:03.0,V. Krejci misses 3-pt jump shot from 23 ft, ,83-76, , ,
8:59.0, , ,83-76, ,Defensive rebound by W. Gabriel,
8:51.0, , ,83-76, ,W. Gabriel misses 2-pt layup from 4 ft (block by B. Bogdanović),
8:51.0, , ,83-76, ,Offensive rebound by Team,
8:51.0,S. Bey enters the game for T. Forrest, ,83-76, , ,
8:51.0,D. Murray enters the game for D. Hunter, ,83-76, , ,
8:41.0, , ,83-76, ,V. Williams misses 2-pt hook shot from 7 ft,
8:38.0, , ,83-76, ,Offensive rebound by W. Gabriel,
8:38.0, , ,83-78,+2,W. Gabriel makes 2-pt layup at rim,
8:38.0,Atlanta full timeout, ,83-78, , ,
8:22.0,S. Bey misses 2-pt layup from 6 ft (block by J. Konchar), ,83-78, , ,
8:22.0,Offensive rebound by Team, ,83-78, , ,
8:22.0, , ,83-78, ,Violation by Team (kicked ball),
8:08.0,B. Bogdanović misses 2-pt jump shot from 7 ft, ,83-78, , ,
8:08.0,Offensive rebound by Team, ,83-78, , ,
8:08.0,Turnover by Team (shot clock), ,83-78, , ,
7:55.0, , ,83-81,+3,V. Williams makes 3-pt jump shot from 27 ft (assist by W. Gabriel),
7:40.0,V. Krejci misses 3-pt jump shot from 23 ft, ,83-81, , ,
7:35.0,Offensive rebound by B. Fernando, ,83-81, , ,
7:35.0,Shooting foul by T. Jemison (drawn by B. Bogdanović), ,83-81, , ,
7:35.0,B. Bogdanović misses free throw 1 of 2, ,83-81, , ,
7:35.0,Offensive rebound by Team, ,83-81, , ,
7:35.0,D. Hunter enters the game for V. Krejci, ,83-81, , ,
7:35.0, , ,83-81, ,S. Aldama enters the game for W. Gabriel,
7:35.0, , ,83-81, ,J. Jackson enters the game for T. Jemison,
