A,B,C,D,E,F,Event
4:27.0,D. Murray makes 3-pt jump shot from 23 ft (assist by V. Krejci),+3,20-16, , ,
4:06.0, , ,20-16, ,Shooting foul by G. Mathews (drawn by M. Kleber),
4:06.0, , ,20-17,+1,M. Kleber makes free throw 1 of 2,
4:06.0, , ,20-18,+1,M. Kleber makes free throw 2 of 2,
3:47.0,Offensive foul by B. Fernando (drawn by M. Kleber), ,20-18, , ,
3:47.0,Turnover by B. Fernando (offensive foul), ,20-18, , ,
3:47.0, , ,20-18, ,D. Powell enters the game for P. Washington,
3:39.0, , ,20-18, ,T. Hardaway misses 3-pt jump shot from 26 ft,
3:36.0,Defensive rebound by D. Hunter, ,20-18, , ,
3:33.0,Shooting foul by D. Exum (drawn by D. Hunter), ,20-18, , ,
3:33.0,D. Hunter makes free throw 1 of 2,+1,21-18, , ,
3:33.0,D. Hunter makes free throw 2 of 2,+1,22-18, , ,
3:20.0, , ,22-18, ,K. Irving misses 3-pt jump shot from 25 ft,
3:17.0, , ,22-18, ,Offensive rebound by M. Kleber,
3:10.0, , ,22-18, ,T. Hardaway misses 2-pt jump shot from 17 ft,
3:10.0,Defensive rebound by G. Mathews, ,22-18, , ,
2:59.0,D. Hunter misses 2-pt jump shot from 23 ft, ,22-18, , ,
2:57.0, , ,22-18, ,Defensive rebound by D. Exum,
2:40.0, , ,22-18, ,Turnover by K. Irving (lost ball; steal by B. Fernando),
2:34.0,G. Mathews misses 2-pt layup from 4 ft, ,22-18, , ,
2:33.0, , ,22-18, ,Defensive rebound by M. Kleber,
2:29.0, , ,22-18, ,Turnover by T. Hardaway (lost ball; steal by D. Hunter),
2:25.0,Offensive foul by D. Hunter (drawn by D. Powell), ,22-18, , ,
2:25.0,Turnover by D. Hunter (offensive foul), ,22-18, , ,
2:25.0,Technical foul by G. Mathews, ,22-18, , ,
2:25.0,Atlanta full timeout, ,22-18, , ,
2:25.0,Instant Replay (Challenge: Ruling Stands), ,22-18, , ,
2:25.0,B. Bogdanović enters the game for D. Hunter, ,22-18, , ,
2:25.0,K. Bufkin enters the game for G. Mathews, ,22-18, , ,
2:25.0,J. Johnson enters the game for D. Murray, ,22-18, , ,
2:25.0, , ,22-19,+1,K. Irving makes technical free throw,
2:07.0, , ,22-21,+2,M. Kleber makes 2-pt jump shot from 12 ft (assist by T. Hardaway),
1:52.0,Shooting foul by M. Kleber (drawn by B. Fernando), ,22-21, , ,
1:52.0,B. Fernando makes free throw 1 of 2,+1,23-21, , ,
1:52.0, , ,23-21, ,J. Hardy enters the game for D. Exum,
1:52.0,B. Fernando misses free throw 2 of 2, ,23-21, , ,
1:50.0, , ,23-21, ,Defensive rebound by T. Hardaway,
1:41.0, , ,23-21, ,J. Hardy misses 3-pt jump shot from 23 ft,
1:37.0,Defensive rebound by K. Bufkin, ,23-21, , ,
1:24.0,B. Fernando misses 2-pt jump shot from 4 ft (block by K. Irving), ,23-21, , ,
1:22.0, , ,23-21, ,Defensive rebound by J. Hardy,
1:18.0, , ,23-21, ,T. Hardaway misses 3-pt jump shot from 23 ft,
1:17.0, , ,23-21, ,Offensive rebound by D. Powell,
1:17.0, , ,23-23,+2,D. Powell makes 2-pt layup at rim,Tie
1:17.0, , ,23-23, ,Shooting foul by V. Krejci (drawn by D. Powell),
1:17.0, , ,23-23, ,D. Powell misses free throw 1 of 1,
1:13.0,Defensive rebound by J. Johnson, ,23-23, , ,
1:03.0,B. Bogdanović misses 3-pt jump shot from 26 ft, ,23-23, , ,
1:02.0,Offensive rebound by Team, ,23-23, , ,
