A,B,C,D,E,F,Event
3:37.0,T. Young enters the game for D. Murray, ,21-23, , ,
3:37.0, , ,21-23, ,D. Daniels enters the game for H. Jones,
3:28.0, , ,21-26,+3,J. Hawkins makes 3-pt jump shot from 25 ft (assist by B. Ingram),
3:18.0,Turnover by T. Young (bad pass; steal by K. Lewis), ,21-26, , ,
3:15.0, , ,21-28,+2,L. Nance makes 2-pt dunk from 1 ft (assist by K. Lewis),
2:46.0,B. Bogdanović misses 3-pt jump shot from 25 ft, ,21-28, , ,
2:44.0,Offensive rebound by S. Bey, ,21-28, , ,
2:42.0,S. Bey misses 2-pt layup from 3 ft (block by B. Ingram), ,21-28, , ,
2:41.0, , ,21-28, ,Defensive rebound by L. Nance,
2:36.0, , ,21-28, ,J. Hawkins misses 3-pt jump shot from 23 ft,
2:32.0,Defensive rebound by O. Okongwu, ,21-28, , ,
2:20.0,Shooting foul by J. Hawkins (drawn by O. Okongwu), ,21-28, , ,
2:20.0,O. Okongwu misses free throw 1 of 2, ,21-28, , ,
2:20.0,Offensive rebound by Team, ,21-28, , ,
2:20.0, , ,21-28, ,Z. Williamson enters the game for B. Ingram,
2:20.0,O. Okongwu makes free throw 2 of 2,+1,22-28, , ,
2:01.0, , ,22-30,+2,D. Daniels makes 2-pt jump shot from 8 ft,
1:53.0,S. Bey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),+3,25-30, , ,
1:33.0, , ,25-30, ,L. Nance misses 3-pt jump shot from 23 ft,
1:30.0, , ,25-30, ,Offensive rebound by L. Nance,
1:25.0, , ,25-33,+3,J. Hawkins makes 3-pt jump shot from 23 ft (assist by L. Nance),
1:17.0,T. Young misses 3-pt jump shot from 26 ft, ,25-33, , ,
1:13.0,Offensive rebound by S. Bey, ,25-33, , ,
1:05.0,T. Young misses 2-pt jump shot from 8 ft, ,25-33, , ,
1:00.0, , ,25-33, ,Defensive rebound by L. Nance,
0:54.0, , ,25-33, ,Personal foul by G. Mathews (drawn by L. Nance),
0:47.0, , ,25-33, ,K. Lewis misses 3-pt jump shot from 25 ft,
0:43.0,Defensive rebound by S. Bey, ,25-33, , ,
0:38.0,S. Bey makes 2-pt layup from 6 ft,+2,27-33, , ,
0:38.0, , ,27-33, ,Violation by Team (def goaltending),
0:31.0,Violation by Team (kicked ball), ,27-33, , ,
0:26.0, , ,27-33, ,Personal foul by S. Bey (drawn by L. Nance),
0:26.0, , ,27-34,+1,L. Nance makes free throw 1 of 2,
0:26.0, , ,27-34, ,H. Jones enters the game for Z. Williamson,
0:26.0, , ,27-35,+1,L. Nance makes free throw 2 of 2,
0:02.0,S. Bey misses 3-pt jump shot from 28 ft, ,27-35, , ,
0:02.0, , ,27-35, ,Defensive rebound by J. Hawkins,
0:00.0,End of 1st quarter,
2nd Q,
Time,Atlanta,,Score,,New Orleans,
12:00.0,Start of 2nd quarter,
11:45.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),+3,30-35, , ,
11:16.0, , ,30-35, ,C. McCollum misses 3-pt jump shot from 23 ft (block by B. Bogdanović),
11:12.0,Defensive rebound by O. Okongwu, ,30-35, , ,
11:03.0,Offensive foul by J. Johnson (drawn by J. Hawkins), ,30-35, , ,
11:03.0,Turnover by J. Johnson (offensive foul), ,30-35, , ,
10:53.0, , ,30-35, ,Turnover by M. Ryan (bad pass; steal by B. Bogdanović),
10:48.0,B. Bogdanović makes 2-pt dunk from 2 ft,+2,32-35, , ,
10:33.0, , ,32-37,+2,M. Ryan makes 2-pt jump shot from 10 ft (assist by C. McCollum),
10:24.0,S. Bey misses 3-pt jump shot from 25 ft, ,32-37, , ,
10:21.0,Offensive rebound by B. Bogdanović, ,32-37, , ,
10:13.0,Turnover by T. Young (bad pass; steal by H. Jones), ,32-37, , ,
10:08.0, , ,32-37, ,J. Hawkins misses 3-pt jump shot from 27 ft,
10:05.0,Defensive rebound by J. Johnson, ,32-37, , ,
9:59.0,J. Johnson misses 2-pt jump shot from 6 ft, ,32-37, , ,
9:58.0,Offensive rebound by O. Okongwu, ,32-37, , ,
9:58.0,O. Okongwu misses 2-pt layup from 2 ft (block by H. Jones), ,32-37, , ,
9:57.0, , ,32-37, ,Defensive rebound by H. Jones,
9:42.0, , ,32-37, ,J. Valančiūnas misses 2-pt hook shot from 5 ft (block by O. Okongwu),
9:41.0,Defensive rebound by O. Okongwu, ,32-37, , ,
9:30.0,J. Johnson misses 2-pt jump shot from 11 ft (block by C. McCollum), ,32-37, , ,
9:27.0, , ,32-37, ,Defensive rebound by C. McCollum,
9:23.0, , ,32-37, ,J. Valančiūnas misses 2-pt layup from 2 ft,
9:18.0, , ,32-37, ,Offensive rebound by J. Valančiūnas,
9:18.0, , ,32-39,+2,J. Valančiūnas makes 2-pt layup at rim,
9:00.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),+3,35-39, , ,
8:42.0, , ,35-41,+2,C. McCollum makes 2-pt jump shot from 15 ft,
8:42.0, , ,35-41, ,Shooting foul by T. Young (drawn by C. McCollum),
8:42.0,D. Hunter enters the game for S. Bey, ,35-41, , ,
8:42.0, , ,35-41, ,C. McCollum misses free throw 1 of 1,
