A,B,C,D,E,F,Event
4:23.0,Defensive rebound by C. Capela, ,15-20, , ,
4:09.0,Turnover by D. Murray (bad pass; steal by J. Williams), ,15-20, , ,
4:02.0, , ,15-20, ,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,
4:00.0,Defensive rebound by C. Capela, ,15-20, , ,
3:43.0,C. Capela makes 2-pt dunk from 2 ft (assist by S. Bey),+2,17-20, , ,
3:27.0, , ,17-20, ,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,
3:24.0,Defensive rebound by S. Bey, ,17-20, , ,
3:13.0,D. Murray makes 2-pt jump shot from 5 ft,+2,19-20, , ,
3:13.0, , ,19-20, ,Oklahoma City full timeout,
3:13.0,J. Johnson enters the game for C. Capela, ,19-20, , ,
3:13.0,O. Okongwu enters the game for D. Hunter, ,19-20, , ,
3:13.0,T. Young enters the game for D. Murray, ,19-20, , ,
3:13.0, , ,19-20, ,C. Wallace enters the game for L. Dort,
3:13.0, , ,19-20, ,A. Wiggins enters the game for J. Williams,
3:01.0, , ,19-22,+2,A. Wiggins makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),
2:44.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),+3,22-22, , ,Tie
2:17.0, , ,22-25,+3,A. Wiggins makes 3-pt jump shot from 26 ft,
1:56.0,T. Young misses 2-pt jump shot from 23 ft, ,22-25, , ,
1:56.0,Offensive rebound by Team, ,22-25, , ,
1:56.0, , ,22-25, ,Loose ball foul by J. Williams (drawn by O. Okongwu),
1:49.0,B. Bogdanović misses 3-pt jump shot from 28 ft, ,22-25, , ,
1:45.0, , ,22-25, ,Defensive rebound by J. Williams,
1:35.0, , ,22-27,+2,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,
1:23.0,Turnover by T. Young (bad pass), ,22-27, , ,
1:23.0, , ,22-27, ,C. Holmgren enters the game for J. Williams,
1:17.0, , ,22-27, ,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft,
1:13.0,Defensive rebound by T. Young, ,22-27, , ,
1:04.0,J. Johnson makes 2-pt dunk from 3 ft (assist by T. Young),+2,24-27, , ,
0:56.0, , ,24-27, ,C. Holmgren misses 3-pt jump shot from 25 ft,
0:54.0,Defensive rebound by J. Johnson, ,24-27, , ,
0:48.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by T. Young),+2,26-27, , ,
0:48.0, , ,26-27, ,J. Giddey enters the game for A. Wiggins,
0:27.0, , ,26-27, ,Shooting foul by O. Okongwu (drawn by C. Holmgren),
0:27.0, , ,26-28,+1,C. Holmgren makes free throw 1 of 2,
0:27.0, , ,26-28, ,A. Wiggins enters the game for J. Giddey,
0:27.0, , ,26-29,+1,C. Holmgren makes free throw 2 of 2,
0:04.0,B. Bogdanović misses 2-pt jump shot from 21 ft, ,26-29, , ,
0:00.0,Offensive rebound by S. Bey, ,26-29, , ,
0:00.0,S. Bey misses 2-pt jump shot from 8 ft, ,26-29, , ,
0:00.0,Offensive rebound by J. Johnson, ,26-29, , ,
0:00.0,J. Johnson makes 2-pt layup at rim,+2,28-29, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Atlanta,,Score,,Oklahoma City,
12:00.0,Start of 2nd quarter,
11:40.0,T. Young misses 2-pt jump shot from 12 ft, ,28-29, , ,
11:36.0, , ,28-29, ,Defensive rebound by C. Holmgren,
11:14.0, , ,28-29, ,J. Giddey misses 2-pt layup from 2 ft,
11:13.0,Defensive rebound by O. Okongwu, ,28-29, , ,
11:04.0,O. Okongwu misses 2-pt layup from 5 ft, ,28-29, , ,
11:03.0, , ,28-29, ,Defensive rebound by C. Holmgren,
10:46.0, , ,28-29, ,C. Holmgren misses 2-pt jump shot from 8 ft,
10:44.0,Defensive rebound by G. Mathews, ,28-29, , ,
10:33.0,Turnover by T. Young (bad pass), ,28-29, , ,
10:21.0, , ,28-29, ,Oklahoma City full timeout,
10:14.0, , ,28-32,+3,O. Dieng makes 3-pt jump shot from 26 ft (assist by C. Wallace),
9:56.0,Turnover by S. Bey (bad pass; steal by C. Wallace), ,28-32, , ,
9:54.0, , ,28-34,+2,C. Wallace makes 2-pt dunk from 3 ft,
9:44.0,Shooting foul by C. Holmgren (drawn by T. Young), ,28-34, , ,
9:44.0,T. Young makes free throw 1 of 2,+1,29-34, , ,
9:44.0,T. Young makes free throw 2 of 2,+1,30-34, , ,
9:22.0, , ,30-34, ,C. Wallace misses 3-pt jump shot from 25 ft,
9:22.0, , ,30-34, ,Offensive rebound by J. Giddey,
9:08.0, , ,30-34, ,J. Williams misses 2-pt jump shot from 8 ft,
9:04.0, , ,30-34, ,Offensive rebound by O. Dieng,
9:04.0, , ,30-34, ,O. Dieng misses 2-pt layup at rim,
9:04.0,Defensive rebound by B. Bogdanović, ,30-34, , ,
8:58.0,T. Young misses 3-pt jump shot from 26 ft, ,30-34, , ,
8:56.0, , ,30-34, ,Defensive rebound by Team,
