A,B,C,D,E,F,Event
3:55.0, , ,17-27,+1,N. Jokić makes free throw 2 of 2,
3:41.0,D. Hunter misses 3-pt jump shot from 23 ft, ,17-27, , ,
3:38.0, , ,17-27, ,Defensive rebound by R. Jackson,
3:25.0, , ,17-27, ,N. Jokić misses 2-pt hook shot from 4 ft,
3:23.0,Defensive rebound by D. Hunter, ,17-27, , ,
3:18.0,Turnover by D. Hunter (bad pass), ,17-27, , ,
3:10.0, , ,17-27, ,Turnover by N. Jokić (lost ball; steal by D. Hunter),
3:05.0,Shooting foul by R. Jackson (drawn by D. Murray), ,17-27, , ,
3:05.0,D. Murray makes free throw 1 of 2,+1,18-27, , ,
3:05.0,B. Bogdanović enters the game for D. Hunter, ,18-27, , ,
3:05.0,J. Johnson enters the game for G. Mathews, ,18-27, , ,
3:05.0, , ,18-27, ,J. Holiday enters the game for K. Caldwell-Pope,
3:05.0,D. Murray misses free throw 2 of 2, ,18-27, , ,
3:03.0, , ,18-27, ,Defensive rebound by P. Watson,
2:47.0, , ,18-27, ,Shooting foul by B. Fernando (drawn by N. Jokić),
2:47.0,Atlanta full timeout, ,18-27, , ,
2:47.0,K. Bufkin enters the game for D. Murray, ,18-27, , ,
2:47.0, , ,18-28,+1,N. Jokić makes free throw 1 of 2,
2:47.0, , ,18-29,+1,N. Jokić makes free throw 2 of 2,
2:29.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by V. Krejci),+3,21-29, , ,
2:08.0, , ,21-29, ,Turnover by J. Holiday (out of bounds lost ball),
1:47.0,K. Bufkin misses 3-pt jump shot from 22 ft, ,21-29, , ,
1:45.0, , ,21-29, ,Defensive rebound by Team,
1:45.0, , ,21-29, ,M. Porter enters the game for C. Braun,
1:27.0, , ,21-29, ,R. Jackson misses 3-pt jump shot from 23 ft,
1:24.0,Defensive rebound by J. Johnson, ,21-29, , ,
1:18.0,Turnover by J. Johnson (bad pass; steal by P. Watson), ,21-29, , ,
1:13.0, , ,21-29, ,N. Jokić misses 2-pt jump shot from 2 ft,
1:10.0,Defensive rebound by B. Fernando, ,21-29, , ,
1:04.0,B. Fernando misses 2-pt layup from 1 ft, ,21-29, , ,
1:03.0,Offensive rebound by B. Fernando, ,21-29, , ,
1:03.0,B. Fernando misses 2-pt layup at rim, ,21-29, , ,
1:03.0,Offensive rebound by Team, ,21-29, , ,
0:51.0,B. Bogdanović misses 3-pt jump shot from 27 ft, ,21-29, , ,
0:49.0, , ,21-29, ,Defensive rebound by N. Jokić,
0:47.0, , ,21-31,+2,J. Holiday makes 2-pt layup from 2 ft (assist by N. Jokić),
0:37.0,B. Fernando makes 2-pt dunk at rim (assist by K. Bufkin),+2,23-31, , ,
0:33.0, , ,23-31, ,N. Jokić misses 3-pt jump shot from 25 ft,
0:30.0,Defensive rebound by B. Fernando, ,23-31, , ,
0:17.0,Personal foul by M. Porter (drawn by V. Krejci), ,23-31, , ,
0:17.0, , ,23-31, ,Technical foul by M. Porter,
0:17.0,B. Bogdanović makes technical free throw,+1,24-31, , ,
0:17.0, , ,24-31, ,K. Caldwell-Pope enters the game for M. Porter,
0:07.0,B. Fernando makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),+2,26-31, , ,
0:01.0, , ,26-31, ,R. Jackson misses 2-pt layup from 3 ft,
